Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Aubin,Jean Guy Dubé,Yvon Godin,Odette Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 132","Haut-Shippegan",4,52,81,23,4,164,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 133","Shippagan--Pointe-Sauvage",4,28,70,34,0,136,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 134","Shippagan",6,46,119,40,3,214,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 135","Shippagan",11,68,98,56,3,236,468
13001,"Acadie--Bathurst/Acadie--Bathurst"," 136","Shippagan",2,32,52,26,1,113,222
13001,"Acadie--Bathurst/Acadie--Bathurst"," 137","Shippagan",2,67,112,54,4,239,419
13001,"Acadie--Bathurst/Acadie--Bathurst"," 138","Shippagan",1,31,82,56,1,171,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 139","Shippagan",5,46,79,41,3,174,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 140","Le Goulet",4,63,114,66,3,250,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 141","Le Goulet",7,38,163,60,3,271,433
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142","Lamèque",0,20,84,45,4,153,320
13001,"Acadie--Bathurst/Acadie--Bathurst"," 143","Lamèque",4,53,58,23,3,141,278
13001,"Acadie--Bathurst/Acadie--Bathurst"," 144","Lamèque",4,46,57,44,2,153,263
13001,"Acadie--Bathurst/Acadie--Bathurst"," 145","Lamèque",1,52,52,34,4,143,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 146","Sainte-Marie-Saint-Raphaël",3,26,124,26,5,184,319
13001,"Acadie--Bathurst/Acadie--Bathurst"," 147","Sainte-Marie-Saint-Raphaël",1,31,83,41,3,159,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 148","Sainte-Marie-Saint-Raphaël",2,22,125,36,3,188,296
13001,"Acadie--Bathurst/Acadie--Bathurst"," 149","Maltampec",1,24,101,58,1,185,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150","Maltampec",1,20,147,39,4,211,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 151","Pokemouche",0,39,107,59,2,207,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 152","Evangeline",4,15,139,32,2,192,281
13001,"Acadie--Bathurst/Acadie--Bathurst"," 153","Inkerman",2,30,123,78,6,239,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 154","Inkerman",1,44,53,81,1,180,254
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155","Four Roads",0,26,92,27,2,147,221
13001,"Acadie--Bathurst/Acadie--Bathurst"," 156","Six Roads",2,26,124,50,2,204,357
13001,"Acadie--Bathurst/Acadie--Bathurst"," 157","Sainte-Rose",2,24,120,32,3,181,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 158","Sainte-Rose",2,40,137,61,1,241,368
13001,"Acadie--Bathurst/Acadie--Bathurst"," 159","Gaspereau",5,39,152,46,0,242,383
13001,"Acadie--Bathurst/Acadie--Bathurst"," 160","Burnsville",0,22,165,60,1,248,410
13001,"Acadie--Bathurst/Acadie--Bathurst"," 161","Notre-Dame-des-Érables",1,6,210,52,3,272,414
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162","Haut-Paquetville",2,8,79,12,1,102,190
