Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Dave Bylsma,Heather Carter,Sid Frere,Dave Heatley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 160","Pelham",97,3,65,21,28,0,214,365
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 161","Pelham",118,1,50,29,27,0,225,372
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 162","Pelham",92,4,64,30,41,1,232,405
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 163","Pelham",118,7,52,12,34,2,225,402
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 164","Pelham",92,5,44,21,24,1,187,304
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 165","Pelham",121,7,31,15,42,0,216,344
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 166A","Pelham",86,1,43,12,16,0,158,278
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 166B","Pelham",77,4,41,14,14,2,152,284
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 167","Pelham",91,0,48,15,36,1,191,321
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 168","Pelham",75,2,63,17,21,1,179,362
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 169","Pelham",87,1,62,13,18,0,181,296
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 170","Pelham",118,1,83,15,28,0,245,400
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 170-1","Pelham",69,0,43,11,10,1,134,232
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 171","Pelham",71,0,58,8,15,0,152,267
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 172","Pelham",73,2,66,17,25,0,183,272
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 173","Pelham",105,0,81,18,16,0,220,441
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 174A","Pelham",87,1,42,15,36,0,181,325
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 174B","Pelham",66,2,40,10,27,0,145,257
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 175","Pelham",89,1,69,15,44,1,219,380
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 176A","Pelham",97,0,73,14,18,1,203,319
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 176B","Pelham",75,0,58,14,25,0,172,319
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 177","Pelham",103,1,61,25,43,0,233,390
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 178","Pelham",88,0,66,10,28,1,193,345
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 179","Pelham",131,4,104,28,36,0,303,486
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 180","Pelham",106,1,83,19,33,0,242,420
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 181","Pelham",113,1,56,18,18,0,206,381
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 182","Pelham",113,1,84,10,31,1,240,425
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 183","Pelham",83,2,82,13,13,1,194,330
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 184","Pelham",68,0,61,10,15,0,154,259
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 185","Pelham",105,1,39,17,19,0,181,322
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 400","Stoney Creek",8,0,13,1,8,1,31,73
