Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Carrier,Tristan Desjardins Drouin,Régent Millette,Cynthia Roy,Wilson Saintelmy,Alexandre Salameh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Alfred-Pellan/Alfred-Pellan"," 121","Laval",47,3,2,14,69,32,5,172,316
24003,"Alfred-Pellan/Alfred-Pellan"," 122","Laval",67,10,0,33,122,63,4,299,413
24003,"Alfred-Pellan/Alfred-Pellan"," 123","Laval",56,16,2,30,138,68,3,313,470
24003,"Alfred-Pellan/Alfred-Pellan"," 124","Laval",50,3,0,25,49,28,4,159,290
24003,"Alfred-Pellan/Alfred-Pellan"," 125","Laval",49,4,0,22,36,22,2,135,247
24003,"Alfred-Pellan/Alfred-Pellan"," 126","Laval",107,16,2,38,62,43,9,277,501
24003,"Alfred-Pellan/Alfred-Pellan"," 127","Laval",98,9,0,25,69,46,7,254,396
24003,"Alfred-Pellan/Alfred-Pellan"," 128","Laval",86,4,1,15,39,25,2,172,290
24003,"Alfred-Pellan/Alfred-Pellan"," 129","Laval",90,5,2,35,46,19,7,204,305
24003,"Alfred-Pellan/Alfred-Pellan"," 130","Laval",97,6,1,29,77,31,3,244,351
24003,"Alfred-Pellan/Alfred-Pellan"," 131","Laval",96,8,3,29,116,65,0,317,513
24003,"Alfred-Pellan/Alfred-Pellan"," 132","Laval",78,8,3,42,82,35,3,251,362
24003,"Alfred-Pellan/Alfred-Pellan"," 133","Laval",87,7,1,26,47,30,2,200,347
24003,"Alfred-Pellan/Alfred-Pellan"," 134","Laval",73,3,0,23,52,27,2,180,322
24003,"Alfred-Pellan/Alfred-Pellan"," 135","Laval",32,2,0,12,11,5,0,62,118
24003,"Alfred-Pellan/Alfred-Pellan"," 135-1","Laval",122,9,0,50,89,36,0,306,626
24003,"Alfred-Pellan/Alfred-Pellan"," 136","Laval",92,10,2,54,92,64,5,319,481
24003,"Alfred-Pellan/Alfred-Pellan"," 137","Laval",91,6,0,26,90,35,1,249,389
24003,"Alfred-Pellan/Alfred-Pellan"," 138","Laval",72,8,1,32,70,53,3,239,349
24003,"Alfred-Pellan/Alfred-Pellan"," 139","Laval",87,8,1,36,97,40,0,269,426
24003,"Alfred-Pellan/Alfred-Pellan"," 140","Laval",109,12,2,29,71,37,4,264,403
24003,"Alfred-Pellan/Alfred-Pellan"," 141","Laval",123,15,1,38,73,49,0,299,470
24003,"Alfred-Pellan/Alfred-Pellan"," 142","Laval",96,11,4,25,35,30,2,203,351
24003,"Alfred-Pellan/Alfred-Pellan"," 143","Laval",110,11,2,53,51,41,1,269,565
24003,"Alfred-Pellan/Alfred-Pellan"," 144","Laval",96,2,0,22,29,15,4,168,439
24003,"Alfred-Pellan/Alfred-Pellan"," 145","Laval",104,10,0,36,71,44,4,269,432
24003,"Alfred-Pellan/Alfred-Pellan"," 146","Laval",87,5,1,37,40,18,2,190,358
24003,"Alfred-Pellan/Alfred-Pellan"," 147","Laval",97,7,2,32,46,38,6,228,425
24003,"Alfred-Pellan/Alfred-Pellan"," 148","Laval",86,6,2,30,74,18,5,221,382
24003,"Alfred-Pellan/Alfred-Pellan"," 149","Laval",73,5,0,24,48,19,3,172,347
24003,"Alfred-Pellan/Alfred-Pellan"," 150","Laval",89,7,2,27,41,11,6,183,377
24003,"Alfred-Pellan/Alfred-Pellan"," 151","Laval",73,9,0,18,29,18,7,154,328
24003,"Alfred-Pellan/Alfred-Pellan"," 152","Laval",89,7,3,26,59,37,3,224,311
24003,"Alfred-Pellan/Alfred-Pellan"," 153","Laval",95,8,1,35,68,28,6,241,365
24003,"Alfred-Pellan/Alfred-Pellan"," 154","Laval",122,6,0,36,56,38,1,259,428
24003,"Alfred-Pellan/Alfred-Pellan"," 155","Laval",106,5,4,31,101,35,2,284,409
24003,"Alfred-Pellan/Alfred-Pellan"," 156","Laval",87,7,1,36,82,60,5,278,390
24003,"Alfred-Pellan/Alfred-Pellan"," 157","Laval",53,8,0,25,123,40,3,252,412
24003,"Alfred-Pellan/Alfred-Pellan"," 158","Laval",66,2,1,26,58,29,2,184,271
24003,"Alfred-Pellan/Alfred-Pellan"," 159","Laval",59,12,3,26,61,27,1,189,311
24003,"Alfred-Pellan/Alfred-Pellan"," 160","Laval",70,20,0,21,57,25,2,195,348
24003,"Alfred-Pellan/Alfred-Pellan"," 161","Laval",69,10,1,31,67,28,2,208,325
24003,"Alfred-Pellan/Alfred-Pellan"," 162","Laval",88,5,2,50,72,32,1,250,350
24003,"Alfred-Pellan/Alfred-Pellan"," 163","Laval",99,9,3,30,90,36,4,271,393
24003,"Alfred-Pellan/Alfred-Pellan"," 164","Laval",78,8,1,35,92,58,0,272,409
24003,"Alfred-Pellan/Alfred-Pellan"," 165","Laval",75,13,1,21,101,38,4,253,377
24003,"Alfred-Pellan/Alfred-Pellan"," 166","Laval",58,7,1,24,92,26,1,209,334
24003,"Alfred-Pellan/Alfred-Pellan"," 167","Laval",93,7,2,23,45,45,1,216,334
24003,"Alfred-Pellan/Alfred-Pellan"," 168","Laval",89,8,1,17,43,31,0,189,313
24003,"Alfred-Pellan/Alfred-Pellan"," 169","Laval",66,5,0,20,69,37,1,198,315
24003,"Alfred-Pellan/Alfred-Pellan"," 170","Laval",79,11,0,33,74,43,2,242,440
24003,"Alfred-Pellan/Alfred-Pellan"," 171","Laval",107,4,6,14,102,76,0,309,435
24003,"Alfred-Pellan/Alfred-Pellan"," 172","Laval",75,4,2,23,33,27,0,164,287
24003,"Alfred-Pellan/Alfred-Pellan"," 173","Laval",43,1,1,22,46,26,0,139,245
24003,"Alfred-Pellan/Alfred-Pellan"," 174","Laval",70,4,0,23,47,25,1,170,253
24003,"Alfred-Pellan/Alfred-Pellan"," 175","Laval",102,10,0,36,76,43,0,267,413
24003,"Alfred-Pellan/Alfred-Pellan"," 176","Laval",78,6,0,24,73,35,0,216,344
24003,"Alfred-Pellan/Alfred-Pellan"," 177","Laval",86,8,0,32,70,34,3,233,363
24003,"Alfred-Pellan/Alfred-Pellan"," 178","Laval",100,8,1,23,83,34,1,250,380
24003,"Alfred-Pellan/Alfred-Pellan"," 179","Laval",93,10,0,29,53,32,1,218,329
24003,"Alfred-Pellan/Alfred-Pellan"," 180","Laval",97,11,0,38,50,29,2,227,333
24003,"Alfred-Pellan/Alfred-Pellan"," 181","Laval",84,10,3,23,31,29,1,181,363
24003,"Alfred-Pellan/Alfred-Pellan"," 182","Laval",84,2,1,23,24,16,1,151,258
24003,"Alfred-Pellan/Alfred-Pellan"," 183","Laval",47,1,4,8,87,62,1,210,289
24003,"Alfred-Pellan/Alfred-Pellan"," 184","Laval",95,9,0,27,40,23,2,196,397
24003,"Alfred-Pellan/Alfred-Pellan"," 185","Laval",95,8,1,44,46,27,2,223,422
24003,"Alfred-Pellan/Alfred-Pellan"," 186","Laval",68,4,0,20,47,23,2,164,314
24003,"Alfred-Pellan/Alfred-Pellan"," 187","Laval",48,4,1,19,31,24,1,128,253
24003,"Alfred-Pellan/Alfred-Pellan"," 188","Laval",73,3,0,20,31,11,0,138,311
24003,"Alfred-Pellan/Alfred-Pellan"," 189","Laval",85,5,1,9,24,15,3,142,326
24003,"Alfred-Pellan/Alfred-Pellan"," 190","Laval",78,7,2,21,31,17,5,161,285
24003,"Alfred-Pellan/Alfred-Pellan"," 191","Laval",68,11,2,12,42,18,4,157,383
24003,"Alfred-Pellan/Alfred-Pellan"," 192","Laval",52,4,0,14,28,24,4,126,365
24003,"Alfred-Pellan/Alfred-Pellan"," 193","Laval",91,5,1,25,26,24,3,175,371
24003,"Alfred-Pellan/Alfred-Pellan"," 194","Laval",29,6,3,16,127,39,1,221,389
24003,"Alfred-Pellan/Alfred-Pellan"," 400A","Laval",54,0,1,6,61,35,2,159,217
24003,"Alfred-Pellan/Alfred-Pellan"," 400B","Laval",37,2,0,11,57,38,5,150,207
24003,"Alfred-Pellan/Alfred-Pellan"," 400C","Laval",48,3,2,11,65,43,1,173,234
24003,"Alfred-Pellan/Alfred-Pellan"," 401","Laval",41,7,4,7,52,39,6,156,181
24003,"Alfred-Pellan/Alfred-Pellan"," 402","Laval",73,9,2,15,81,44,10,234,283
24003,"Alfred-Pellan/Alfred-Pellan"," 403","Laval",39,6,1,13,53,27,3,142,160
24003,"Alfred-Pellan/Alfred-Pellan"," 404","Laval",44,7,1,7,59,19,2,139,169
24003,"Alfred-Pellan/Alfred-Pellan"," 500","Mobile poll/Bureau itinérant",23,2,2,1,17,17,2,64,119
24003,"Alfred-Pellan/Alfred-Pellan"," 501","Mobile poll/Bureau itinérant",14,1,3,5,10,6,3,42,115
24003,"Alfred-Pellan/Alfred-Pellan"," 502","Mobile poll/Bureau itinérant",15,5,1,5,18,3,3,50,88
24003,"Alfred-Pellan/Alfred-Pellan"," 503","Mobile poll/Bureau itinérant",11,4,2,0,18,10,1,46,136
24003,"Alfred-Pellan/Alfred-Pellan"," 600","Laval",254,12,1,50,78,62,9,466,
24003,"Alfred-Pellan/Alfred-Pellan"," 601","Laval",316,9,3,47,109,74,14,572,
24003,"Alfred-Pellan/Alfred-Pellan"," 602","Laval",263,12,1,51,115,113,8,563,
24003,"Alfred-Pellan/Alfred-Pellan"," 603","Laval",280,18,2,54,185,141,10,690,
24003,"Alfred-Pellan/Alfred-Pellan"," 604","Laval",193,4,1,44,111,88,7,448,
24003,"Alfred-Pellan/Alfred-Pellan"," 605","Laval",222,12,2,44,144,150,4,578,
24003,"Alfred-Pellan/Alfred-Pellan"," 606","Laval",299,21,2,57,158,171,2,710,
24003,"Alfred-Pellan/Alfred-Pellan"," 607","Laval",232,13,2,69,136,87,11,550,
24003,"Alfred-Pellan/Alfred-Pellan"," 608","Laval",219,15,0,32,109,74,9,458,
24003,"Alfred-Pellan/Alfred-Pellan"," 609","Laval",188,8,2,28,96,76,1,399,
24003,"Alfred-Pellan/Alfred-Pellan",,Group 1/Groupe 1,18,4,1,9,33,28,4,97,146
24003,"Alfred-Pellan/Alfred-Pellan",,Group 2/Groupe 2,209,10,1,36,151,102,13,522,

