Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 89","Toronto",0,1,0,21,43,37,73,1,1,177,183
35093,"Toronto Centre/Toronto-Centre"," 90","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 91","Toronto",0,1,0,6,26,12,36,1,1,83,112
35093,"Toronto Centre/Toronto-Centre"," 91-1A","Toronto",0,0,1,21,17,22,80,1,1,143,280
35093,"Toronto Centre/Toronto-Centre"," 91-1B","Toronto",0,0,0,37,16,27,98,1,0,179,329
35093,"Toronto Centre/Toronto-Centre"," 92","Toronto",1,1,0,20,54,28,93,0,1,198,423
35093,"Toronto Centre/Toronto-Centre"," 93","Toronto",0,0,0,26,23,30,75,2,0,156,293
35093,"Toronto Centre/Toronto-Centre"," 93-1","Toronto",0,0,0,21,34,15,83,0,2,155,515
35093,"Toronto Centre/Toronto-Centre"," 94","Toronto",0,0,0,4,11,4,18,0,0,37,167
35093,"Toronto Centre/Toronto-Centre"," 95","Toronto",0,1,0,20,45,33,62,0,2,163,441
35093,"Toronto Centre/Toronto-Centre"," 96","Toronto",1,1,0,20,17,10,38,0,1,88,347
35093,"Toronto Centre/Toronto-Centre"," 97","Toronto",1,0,0,12,31,3,52,1,2,102,331
35093,"Toronto Centre/Toronto-Centre"," 98","Toronto",3,3,0,39,36,31,105,0,5,222,442
35093,"Toronto Centre/Toronto-Centre"," 99","Toronto",0,1,0,22,14,22,72,0,3,134,264
35093,"Toronto Centre/Toronto-Centre"," 100","Toronto",0,0,0,13,11,21,23,0,0,68,217
35093,"Toronto Centre/Toronto-Centre"," 101","Toronto",0,1,2,28,42,25,79,2,0,179,460
35093,"Toronto Centre/Toronto-Centre"," 102","Toronto",0,0,0,30,35,28,117,1,1,212,429
35093,"Toronto Centre/Toronto-Centre"," 103","Toronto",1,1,0,17,44,11,47,0,0,121,297
35093,"Toronto Centre/Toronto-Centre"," 104","Toronto",0,0,1,21,34,21,67,0,1,145,228
35093,"Toronto Centre/Toronto-Centre"," 104-1A","Toronto",0,1,1,20,54,21,81,1,2,181,322
35093,"Toronto Centre/Toronto-Centre"," 104-1B","Toronto",0,0,1,21,43,27,95,2,2,191,324
35093,"Toronto Centre/Toronto-Centre"," 105A","Toronto",0,1,0,28,28,15,74,0,0,146,302
35093,"Toronto Centre/Toronto-Centre"," 105B","Toronto",0,1,0,31,19,21,83,0,1,156,329
35093,"Toronto Centre/Toronto-Centre"," 106A","Toronto",0,0,1,27,24,30,119,1,0,202,375
35093,"Toronto Centre/Toronto-Centre"," 106B","Toronto",0,1,0,47,22,26,128,3,0,227,384
35093,"Toronto Centre/Toronto-Centre"," 107","Toronto",0,0,0,40,5,16,59,0,0,120,264
35093,"Toronto Centre/Toronto-Centre"," 108","Toronto",0,0,0,0,0,0,0,0,0,0,394
35093,"Toronto Centre/Toronto-Centre"," 109","Toronto",0,0,0,80,21,21,136,0,1,259,462
35093,"Toronto Centre/Toronto-Centre"," 110","Toronto",2,0,0,49,33,35,112,0,0,231,521
35093,"Toronto Centre/Toronto-Centre"," 111","Toronto",0,0,1,19,35,34,78,0,0,167,366
35093,"Toronto Centre/Toronto-Centre"," 112","Toronto",1,0,0,5,10,15,72,3,1,107,171
35093,"Toronto Centre/Toronto-Centre"," 113","Toronto",2,2,1,21,39,12,103,4,1,185,382
35093,"Toronto Centre/Toronto-Centre"," 114","Toronto",1,1,0,22,55,55,124,3,1,262,387
35093,"Toronto Centre/Toronto-Centre"," 115","Toronto",0,1,0,22,31,46,165,3,4,272,438
35093,"Toronto Centre/Toronto-Centre"," 116","Toronto",4,2,0,13,41,3,174,1,0,238,638
35093,"Toronto Centre/Toronto-Centre"," 117","Toronto",2,0,1,12,49,4,127,1,0,196,484
35093,"Toronto Centre/Toronto-Centre"," 118","Toronto",2,4,0,14,39,6,130,2,4,201,418
35093,"Toronto Centre/Toronto-Centre"," 119","Toronto",Merged with No. 120/Fusionné avec le nº 120,,,,,,,,,,31
35093,"Toronto Centre/Toronto-Centre"," 120","Toronto",0,0,0,30,25,42,102,1,4,204,408
35093,"Toronto Centre/Toronto-Centre"," 121","Toronto",0,2,3,57,52,54,140,0,1,309,630
35093,"Toronto Centre/Toronto-Centre"," 122","Toronto",3,2,1,14,22,10,133,0,1,186,459
35093,"Toronto Centre/Toronto-Centre"," 123","Toronto",1,1,0,40,73,53,148,2,0,318,697
35093,"Toronto Centre/Toronto-Centre"," 124","Toronto",1,6,1,14,27,4,115,0,5,173,459
35093,"Toronto Centre/Toronto-Centre"," 125","Toronto",2,1,1,20,36,4,128,1,0,193,482
35093,"Toronto Centre/Toronto-Centre"," 126","Toronto",1,0,1,12,59,31,64,1,0,169,258
35093,"Toronto Centre/Toronto-Centre"," 127","Toronto",1,0,2,27,40,32,104,1,1,208,386
35093,"Toronto Centre/Toronto-Centre"," 128","Toronto",1,2,0,31,55,16,129,1,1,236,498
35093,"Toronto Centre/Toronto-Centre"," 129","Toronto",0,0,0,8,22,4,51,4,0,89,240
35093,"Toronto Centre/Toronto-Centre"," 130","Toronto",1,1,0,15,28,6,62,2,1,116,314
35093,"Toronto Centre/Toronto-Centre"," 131","Toronto",0,0,2,30,45,30,123,2,1,233,446
35093,"Toronto Centre/Toronto-Centre"," 132","Toronto",3,0,1,24,66,34,92,1,1,222,439
35093,"Toronto Centre/Toronto-Centre"," 133","Toronto",0,1,0,16,40,14,43,0,0,114,229
35093,"Toronto Centre/Toronto-Centre"," 134","Toronto",0,0,0,7,40,13,79,1,0,140,283
35093,"Toronto Centre/Toronto-Centre"," 135","Toronto",0,1,0,18,55,16,67,0,3,160,342
35093,"Toronto Centre/Toronto-Centre"," 136","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 137","Toronto",1,4,4,28,60,22,151,1,1,272,446
35093,"Toronto Centre/Toronto-Centre"," 138","Toronto",2,0,0,46,56,35,112,2,1,254,459
35093,"Toronto Centre/Toronto-Centre"," 139","Toronto",Merged with No. 467/Fusionné avec le nº 467,,,,,,,,,,3
35093,"Toronto Centre/Toronto-Centre"," 140","Toronto",0,1,0,34,36,39,102,0,1,213,423
35093,"Toronto Centre/Toronto-Centre"," 141","Toronto",2,0,0,25,49,36,138,0,0,250,445
35093,"Toronto Centre/Toronto-Centre"," 400","Toronto",0,0,0,42,8,46,112,0,1,209,300
35093,"Toronto Centre/Toronto-Centre"," 401","Toronto",0,0,0,20,5,9,67,2,1,104,136
35093,"Toronto Centre/Toronto-Centre"," 402","Toronto",1,0,0,45,12,16,72,1,1,148,288
35093,"Toronto Centre/Toronto-Centre"," 403","Toronto",0,0,0,41,13,9,89,0,3,155,208
35093,"Toronto Centre/Toronto-Centre"," 404","Toronto",0,0,0,33,46,32,137,0,0,248,474
35093,"Toronto Centre/Toronto-Centre"," 405","Toronto",1,0,1,16,25,19,47,0,0,109,273
35093,"Toronto Centre/Toronto-Centre"," 405-1","Toronto",0,0,0,12,15,10,29,1,0,67,228
35093,"Toronto Centre/Toronto-Centre"," 406","Toronto",0,0,0,50,5,8,104,0,0,167,273
35093,"Toronto Centre/Toronto-Centre"," 407","Toronto",1,0,0,19,38,19,57,0,0,134,330
35093,"Toronto Centre/Toronto-Centre"," 407-1","Toronto",1,1,0,11,21,15,52,0,2,103,258
35093,"Toronto Centre/Toronto-Centre"," 408","Toronto",0,0,0,63,14,12,78,0,0,167,309
35093,"Toronto Centre/Toronto-Centre"," 409","Toronto",1,3,1,16,41,0,94,0,0,156,384
35093,"Toronto Centre/Toronto-Centre"," 410","Toronto",1,0,0,21,24,10,55,1,0,112,232
35093,"Toronto Centre/Toronto-Centre"," 411","Toronto",4,0,1,36,35,11,98,2,5,192,359
