Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilbert Barrette,Bruno Côté,Pierre Grandmaitre,Marc Lemay,Ghislain Loiselle,Christine Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 135","Rouyn-Noranda",32,9,37,81,2,18,1,180,327
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 136","Rouyn-Noranda",50,5,36,80,2,14,2,189,304
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 137","Rouyn-Noranda",30,3,27,85,1,8,1,155,326
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 138","Rouyn-Noranda",23,4,23,67,2,11,4,134,338
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 139","Rouyn-Noranda",33,5,39,101,1,20,1,200,379
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 140","Rouyn-Noranda",34,4,27,44,2,13,1,125,243
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 141","Rouyn-Noranda",18,8,22,77,0,10,2,137,415
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 142","Rouyn-Noranda",29,10,24,109,0,17,2,191,392
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 143","Rouyn-Noranda",39,8,50,89,0,24,1,211,414
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 144","Rouyn-Noranda",23,3,46,66,0,14,1,153,351
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 145","Rouyn-Noranda",36,3,24,77,1,15,2,158,401
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 146","Rouyn-Noranda",31,1,31,69,1,7,2,142,366
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 147","Rouyn-Noranda",10,1,19,54,3,4,0,91,322
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 148","Rouyn-Noranda",29,2,18,86,3,23,1,162,367
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 149","Rouyn-Noranda",32,2,34,76,1,18,4,167,390
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 150","Rouyn-Noranda",28,1,20,68,2,20,0,139,354
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 151","Rouyn-Noranda",33,3,31,77,1,24,2,171,331
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 152","Rouyn-Noranda",34,7,36,73,2,19,2,173,362
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 153","Rouyn-Noranda",24,1,23,51,1,11,3,114,302
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 154","Rouyn-Noranda",33,5,22,65,0,14,3,142,384
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 155","Rouyn-Noranda",31,7,26,61,1,12,4,142,361
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 156","Rouyn-Noranda",39,3,39,88,1,17,6,193,376
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 157","Rouyn-Noranda",50,4,57,114,1,18,2,246,475
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 158","Rouyn-Noranda",33,1,14,68,2,9,1,128,351
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 159","Rouyn-Noranda",36,2,32,87,0,15,6,178,354
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 160","Rouyn-Noranda",36,2,29,87,0,13,1,168,354
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 161","Rouyn-Noranda",35,4,38,82,2,21,4,186,374
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 162","Granada",23,2,50,88,0,25,4,192,470
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 163","Rouyn-Noranda",45,1,39,64,1,27,2,179,368
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 164","Granada",26,3,16,129,1,25,1,201,361
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 165","Rouyn-Noranda",16,1,29,78,0,18,2,144,334
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 166","Rouyn-Noranda",Void/Supprimé,,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167","Granada",37,3,36,104,0,26,1,207,380
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167-1","Rouyn-Noranda",25,3,31,84,0,15,1,159,339
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 168","Rouyn-Noranda",35,3,26,119,0,33,3,219,533
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 169","Rouyn-Noranda",105,4,50,96,2,23,1,281,474
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 170","Rouyn-Noranda",25,1,29,69,3,22,3,152,358
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 171","Rouyn-Noranda",52,6,35,101,5,15,2,216,385
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 172","Rouyn-Noranda",18,6,21,75,2,15,1,138,355
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 173","Rouyn-Noranda",24,4,24,76,0,10,0,138,265
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 174","Rouyn-Noranda",28,3,43,89,1,18,0,182,364
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 175","Rouyn-Noranda",21,5,24,91,4,12,3,160,329
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 176","Rouyn-Noranda",38,1,37,92,4,18,1,191,409
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 177","Rouyn-Noranda",19,1,25,49,0,17,1,112,303
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 178","Rouyn-Noranda",37,7,39,135,1,16,1,236,511
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 179","Rouyn-Noranda",16,3,22,66,1,11,0,119,308
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 180","Rouyn-Noranda",44,4,40,88,0,21,2,199,359
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 181","Rouyn-Noranda",44,6,36,98,0,22,4,210,416
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 182","Rouyn-Noranda",42,2,44,98,0,17,6,209,425
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183","McWatters",20,0,33,93,2,18,3,169,426
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183-1","Rouyn-Noranda",7,3,15,46,1,9,1,82,133
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 184","Rouyn-Noranda",33,6,26,117,2,23,3,210,417
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 185","McWatters",32,6,47,108,0,27,3,223,451
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 186","Cadillac",29,6,32,67,3,17,4,158,354
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 187","Cadillac",10,4,27,57,0,12,6,116,270
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 188","Bellecombe",47,3,25,72,0,23,1,171,350
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 189","Bellecombe",14,1,23,67,1,10,5,121,280
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 190","Nédelec",55,5,31,49,3,21,2,166,310
