Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cowling,Irma DeVries,Sandra Gardiner,Julian Ichim,Kerry McManus,Gary Ralph Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Perth--Wellington/Perth--Wellington"," 25","Mount Forest",16,1,52,0,29,139,1,238,471
35070,"Perth--Wellington/Perth--Wellington"," 26","Mount Forest",21,1,38,0,41,141,1,243,480
35070,"Perth--Wellington/Perth--Wellington"," 27","Mount Forest",20,3,58,0,33,99,0,213,384
35070,"Perth--Wellington/Perth--Wellington"," 28","Wellington North",12,1,16,0,20,70,0,119,314
35070,"Perth--Wellington/Perth--Wellington"," 29","Wellington North",12,2,21,0,14,56,1,106,300
35070,"Perth--Wellington/Perth--Wellington"," 30","Wellington North",25,11,25,0,23,106,0,190,335
35070,"Perth--Wellington/Perth--Wellington"," 31","Wellington North",13,4,21,0,24,65,0,127,242
35070,"Perth--Wellington/Perth--Wellington"," 32","Wellington North",26,9,42,0,38,144,0,259,490
35070,"Perth--Wellington/Perth--Wellington"," 33","West Garafraxa",Void/Supprimé,,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 34","Arthur",27,3,16,2,39,113,0,200,392
35070,"Perth--Wellington/Perth--Wellington"," 34-1","Wellington North",18,6,28,1,17,90,0,160,279
35070,"Perth--Wellington/Perth--Wellington"," 35","Arthur",13,1,31,1,17,124,0,187,363
35070,"Perth--Wellington/Perth--Wellington"," 36","Arthur",23,6,23,0,42,115,1,210,499
35070,"Perth--Wellington/Perth--Wellington"," 37","Arthur",17,2,31,1,59,137,1,248,404
35070,"Perth--Wellington/Perth--Wellington"," 38","Wellington North",21,3,19,0,30,126,1,200,395
35070,"Perth--Wellington/Perth--Wellington"," 39","Wellington North",11,8,19,0,18,63,0,119,258
35070,"Perth--Wellington/Perth--Wellington"," 40","Mapleton",6,5,10,0,12,71,0,104,217
35070,"Perth--Wellington/Perth--Wellington"," 41","Mapleton",8,3,27,0,15,110,0,163,260
35070,"Perth--Wellington/Perth--Wellington"," 42","Mapleton",17,4,27,0,28,127,0,203,318
35070,"Perth--Wellington/Perth--Wellington"," 43","Alma",22,5,30,0,36,121,1,215,358
35070,"Perth--Wellington/Perth--Wellington"," 43-1","Mapleton",11,1,16,0,12,75,0,115,179
35070,"Perth--Wellington/Perth--Wellington"," 44","Peel",Void/Supprimé,,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 45","Mapleton",5,3,31,0,22,98,1,160,373
35070,"Perth--Wellington/Perth--Wellington"," 46","Drayton",19,14,18,0,39,163,0,253,410
35070,"Perth--Wellington/Perth--Wellington"," 46-1","Mapleton",6,5,21,0,35,92,5,164,307
35070,"Perth--Wellington/Perth--Wellington"," 47","Drayton",7,7,34,1,39,143,0,231,474
35070,"Perth--Wellington/Perth--Wellington"," 48","Mapleton",20,4,28,0,25,117,0,194,396
35070,"Perth--Wellington/Perth--Wellington"," 49","Mapleton",4,3,18,0,15,55,2,97,257
35070,"Perth--Wellington/Perth--Wellington"," 49-1","Mapleton",13,6,25,0,24,93,1,162,340
35070,"Perth--Wellington/Perth--Wellington"," 50","Mapleton",15,8,29,0,23,101,1,177,348
35070,"Perth--Wellington/Perth--Wellington"," 51","Mapleton",3,3,9,0,3,45,0,63,277
35070,"Perth--Wellington/Perth--Wellington"," 52","Mapleton",3,1,18,0,6,31,2,61,222
35070,"Perth--Wellington/Perth--Wellington"," 53","Mapleton",6,0,12,0,9,34,0,61,386
35070,"Perth--Wellington/Perth--Wellington"," 54","Mapleton",11,3,22,0,29,93,2,160,418
35070,"Perth--Wellington/Perth--Wellington"," 55","North Perth",31,5,49,0,42,135,2,264,571
35070,"Perth--Wellington/Perth--Wellington"," 56","North Perth",6,5,35,0,26,101,0,173,384
35070,"Perth--Wellington/Perth--Wellington"," 57","North Perth",7,8,33,0,33,72,1,154,333
35070,"Perth--Wellington/Perth--Wellington"," 58","North Perth",12,3,38,1,26,149,0,229,400
35070,"Perth--Wellington/Perth--Wellington"," 59","North Perth",21,2,42,0,32,159,0,256,451
35070,"Perth--Wellington/Perth--Wellington"," 60","North Perth",16,1,36,0,32,110,1,196,413
35070,"Perth--Wellington/Perth--Wellington"," 61","North Perth",27,1,38,0,36,111,1,214,400
35070,"Perth--Wellington/Perth--Wellington"," 62","North Perth",28,7,44,1,52,100,3,235,495
35070,"Perth--Wellington/Perth--Wellington"," 63","North Perth",13,3,30,0,14,118,1,179,315
35070,"Perth--Wellington/Perth--Wellington"," 63-1","North Perth",9,4,32,0,16,124,1,186,360
35070,"Perth--Wellington/Perth--Wellington"," 64","North Perth",19,2,49,2,36,170,0,278,565
35070,"Perth--Wellington/Perth--Wellington"," 64-1","North Perth",9,2,9,2,18,39,0,79,216
35070,"Perth--Wellington/Perth--Wellington"," 65","North Perth",14,8,33,0,14,105,1,175,429
35070,"Perth--Wellington/Perth--Wellington"," 66","North Perth",8,7,12,0,18,89,0,134,279
35070,"Perth--Wellington/Perth--Wellington"," 67","North Perth",16,4,19,0,14,92,0,145,224
35070,"Perth--Wellington/Perth--Wellington"," 68","North Perth",14,4,26,0,47,133,1,225,404
35070,"Perth--Wellington/Perth--Wellington"," 69","North Perth",13,0,20,0,21,96,0,150,234
35070,"Perth--Wellington/Perth--Wellington"," 70","North Perth",14,3,46,0,7,137,1,208,368
35070,"Perth--Wellington/Perth--Wellington"," 71","Perth East",4,5,13,1,9,38,0,70,179
35070,"Perth--Wellington/Perth--Wellington"," 72","Milverton",11,7,32,0,23,84,3,160,335
35070,"Perth--Wellington/Perth--Wellington"," 73","Milverton",29,9,61,0,26,178,1,304,486
35070,"Perth--Wellington/Perth--Wellington"," 74","Milverton",21,6,36,0,29,101,2,195,352
35070,"Perth--Wellington/Perth--Wellington"," 75","Perth East",5,3,21,1,13,47,0,90,274
35070,"Perth--Wellington/Perth--Wellington"," 76","Perth East",3,0,5,0,1,11,0,20,251
35070,"Perth--Wellington/Perth--Wellington"," 77","Millbank",17,2,24,0,19,83,0,145,425
35070,"Perth--Wellington/Perth--Wellington"," 78","Perth East",6,0,19,0,19,47,0,91,294
35070,"Perth--Wellington/Perth--Wellington"," 79","Perth East",14,2,36,0,14,67,1,134,439
35070,"Perth--Wellington/Perth--Wellington"," 80","North Perth",21,2,18,1,19,72,0,133,250
35070,"Perth--Wellington/Perth--Wellington"," 81","North Perth",5,3,16,0,28,60,0,112,274
35070,"Perth--Wellington/Perth--Wellington"," 82","West Perth",2,5,13,0,23,69,0,112,221
35070,"Perth--Wellington/Perth--Wellington"," 83","West Perth",3,1,24,1,15,73,0,117,187
35070,"Perth--Wellington/Perth--Wellington"," 84","West Perth",13,5,46,0,21,96,2,183,315
35070,"Perth--Wellington/Perth--Wellington"," 85","West Perth",11,7,40,1,15,114,0,188,313
35070,"Perth--Wellington/Perth--Wellington"," 86","West Perth",6,10,21,0,9,38,0,84,173
35070,"Perth--Wellington/Perth--Wellington"," 87","Mitchell",16,4,41,0,43,109,0,213,410
35070,"Perth--Wellington/Perth--Wellington"," 88","Mitchell",11,1,34,0,29,97,0,172,323
35070,"Perth--Wellington/Perth--Wellington"," 89","Mitchell",9,8,50,1,25,111,2,206,368
35070,"Perth--Wellington/Perth--Wellington"," 90","Mitchell",23,2,29,0,28,74,0,156,297
35070,"Perth--Wellington/Perth--Wellington"," 91","Mitchell",23,10,70,0,45,137,0,285,552
35070,"Perth--Wellington/Perth--Wellington"," 92","Mitchell",11,10,22,0,25,93,0,161,320
35070,"Perth--Wellington/Perth--Wellington"," 93","Mitchell",8,6,26,0,34,91,0,165,298
35070,"Perth--Wellington/Perth--Wellington"," 94","Mitchell",13,7,26,0,46,80,0,172,345
35070,"Perth--Wellington/Perth--Wellington"," 95","Mitchell",8,4,30,0,29,79,0,150,291
35070,"Perth--Wellington/Perth--Wellington"," 96","West Perth",12,6,23,0,22,96,1,160,290
35070,"Perth--Wellington/Perth--Wellington"," 97","Dublin",15,6,49,0,31,69,0,170,316
35070,"Perth--Wellington/Perth--Wellington"," 98","West Perth",17,7,50,0,17,83,2,176,294
35070,"Perth--Wellington/Perth--Wellington"," 99","West Perth",15,2,18,0,12,70,0,117,196
35070,"Perth--Wellington/Perth--Wellington"," 100","West Perth",21,4,43,0,22,119,0,209,357
35070,"Perth--Wellington/Perth--Wellington"," 101","West Perth",8,16,25,0,18,70,0,137,234
35070,"Perth--Wellington/Perth--Wellington"," 102","Perth East",13,11,50,0,19,59,0,152,233
35070,"Perth--Wellington/Perth--Wellington"," 103","Perth East",13,2,29,0,40,91,0,175,310
35070,"Perth--Wellington/Perth--Wellington"," 104","Perth East",18,13,33,0,20,71,1,156,272
35070,"Perth--Wellington/Perth--Wellington"," 105","Perth East",16,4,25,1,20,79,0,145,192
35070,"Perth--Wellington/Perth--Wellington"," 106","Sebringville",7,6,13,1,39,41,0,107,256
35070,"Perth--Wellington/Perth--Wellington"," 107","Perth East",14,3,34,0,27,65,0,143,243
35070,"Perth--Wellington/Perth--Wellington"," 108","Perth East",18,2,25,0,15,86,0,146,337
35070,"Perth--Wellington/Perth--Wellington"," 109","Perth East",6,3,31,1,13,62,1,117,237
35070,"Perth--Wellington/Perth--Wellington"," 110","Perth East",23,6,51,0,26,87,0,193,326
35070,"Perth--Wellington/Perth--Wellington"," 111","Perth East",26,1,36,0,10,78,1,152,256
35070,"Perth--Wellington/Perth--Wellington"," 112","Perth East",22,4,42,1,31,109,0,209,345
35070,"Perth--Wellington/Perth--Wellington"," 113","Perth East",17,2,44,0,26,122,0,211,376
35070,"Perth--Wellington/Perth--Wellington"," 114","Perth East",12,5,24,0,18,51,0,110,196
35070,"Perth--Wellington/Perth--Wellington"," 114-1A","Stratford",10,2,58,0,31,36,1,138,301
35070,"Perth--Wellington/Perth--Wellington"," 114-1B","Stratford",12,1,41,0,26,49,1,130,331
35070,"Perth--Wellington/Perth--Wellington"," 115","Perth East",24,1,48,0,41,110,1,225,381
35070,"Perth--Wellington/Perth--Wellington"," 116","Perth East",8,1,28,0,14,73,0,124,209
35070,"Perth--Wellington/Perth--Wellington"," 117","Perth East",11,3,48,1,10,49,0,122,219
35070,"Perth--Wellington/Perth--Wellington"," 118","Stratford",21,2,54,0,41,59,0,177,373
35070,"Perth--Wellington/Perth--Wellington"," 119","Stratford",18,3,61,0,48,62,0,192,375
35070,"Perth--Wellington/Perth--Wellington"," 120","Stratford",24,5,71,1,59,75,0,235,399
35070,"Perth--Wellington/Perth--Wellington"," 121","Stratford",11,2,44,2,25,61,0,145,233
35070,"Perth--Wellington/Perth--Wellington"," 121-1","Stratford",9,1,80,0,28,75,0,193,327
35070,"Perth--Wellington/Perth--Wellington"," 122","Stratford",29,1,81,0,60,97,0,268,470
35070,"Perth--Wellington/Perth--Wellington"," 123","Stratford",19,2,70,0,47,118,0,256,411
35070,"Perth--Wellington/Perth--Wellington"," 124","Stratford",22,1,100,0,39,95,1,258,424
35070,"Perth--Wellington/Perth--Wellington"," 125","Stratford",17,1,96,0,23,74,1,212,365
35070,"Perth--Wellington/Perth--Wellington"," 126","Stratford",26,0,97,0,33,70,0,226,387
35070,"Perth--Wellington/Perth--Wellington"," 127","Stratford",23,2,69,1,50,59,0,204,318
35070,"Perth--Wellington/Perth--Wellington"," 128","Stratford",32,3,101,1,39,49,0,225,385
35070,"Perth--Wellington/Perth--Wellington"," 129","Stratford",26,2,68,1,43,47,3,190,332
35070,"Perth--Wellington/Perth--Wellington"," 130","Stratford",22,0,84,0,34,72,0,212,330
35070,"Perth--Wellington/Perth--Wellington"," 131","Stratford",26,1,104,0,24,58,0,213,345
35070,"Perth--Wellington/Perth--Wellington"," 132","Stratford",29,4,81,1,42,95,2,254,428
35070,"Perth--Wellington/Perth--Wellington"," 133","Stratford",8,6,54,1,46,56,2,173,370
35070,"Perth--Wellington/Perth--Wellington"," 134","Stratford",18,1,43,0,45,53,1,161,398
35070,"Perth--Wellington/Perth--Wellington"," 135","Stratford",15,1,51,1,33,62,1,164,374
35070,"Perth--Wellington/Perth--Wellington"," 136","Stratford",29,2,70,0,42,62,0,205,359
35070,"Perth--Wellington/Perth--Wellington"," 137","Stratford",40,2,74,0,30,46,0,192,318
35070,"Perth--Wellington/Perth--Wellington"," 138","Stratford",15,0,42,2,67,44,0,170,415
35070,"Perth--Wellington/Perth--Wellington"," 139","Stratford",12,6,24,0,47,38,2,129,347
35070,"Perth--Wellington/Perth--Wellington"," 140","Stratford",27,2,40,1,63,50,0,183,399
35070,"Perth--Wellington/Perth--Wellington"," 141","Stratford",26,2,33,0,58,63,0,182,385
35070,"Perth--Wellington/Perth--Wellington"," 142","Stratford",29,2,84,0,42,56,0,213,443
35070,"Perth--Wellington/Perth--Wellington"," 143","Stratford",21,2,51,1,44,50,1,170,322
35070,"Perth--Wellington/Perth--Wellington"," 144","Stratford",29,2,71,2,49,31,4,188,369
35070,"Perth--Wellington/Perth--Wellington"," 145","Stratford",21,3,36,1,53,58,0,172,358
35070,"Perth--Wellington/Perth--Wellington"," 146","Stratford",20,0,52,0,49,53,1,175,330
35070,"Perth--Wellington/Perth--Wellington"," 147","Stratford",11,3,47,1,66,74,0,202,417
35070,"Perth--Wellington/Perth--Wellington"," 148","Stratford",11,2,24,0,48,31,1,117,274
35070,"Perth--Wellington/Perth--Wellington"," 149","Stratford",19,1,62,2,46,81,0,211,390
35070,"Perth--Wellington/Perth--Wellington"," 150","Stratford",23,0,45,1,60,31,3,163,344
35070,"Perth--Wellington/Perth--Wellington"," 151","Stratford",20,1,39,2,49,59,0,170,349
35070,"Perth--Wellington/Perth--Wellington"," 152","Stratford",14,3,43,0,47,62,0,169,310
35070,"Perth--Wellington/Perth--Wellington"," 153","Stratford",9,5,39,1,72,62,1,189,331
35070,"Perth--Wellington/Perth--Wellington"," 154","Stratford",14,1,37,0,47,70,0,169,309
35070,"Perth--Wellington/Perth--Wellington"," 155","Stratford",30,2,42,1,55,46,0,176,386
35070,"Perth--Wellington/Perth--Wellington"," 156","Stratford",9,3,46,0,40,48,0,146,311
35070,"Perth--Wellington/Perth--Wellington"," 156-1","Stratford",14,0,32,1,31,43,2,123,269
35070,"Perth--Wellington/Perth--Wellington"," 157","Stratford",26,1,39,1,55,94,0,216,494
35070,"Perth--Wellington/Perth--Wellington"," 158","Stratford",19,0,57,0,55,76,1,208,366
35070,"Perth--Wellington/Perth--Wellington"," 159","Stratford",22,2,92,0,50,101,0,267,442
35070,"Perth--Wellington/Perth--Wellington"," 160","Stratford",24,2,101,1,32,126,1,287,484
35070,"Perth--Wellington/Perth--Wellington"," 161","Stratford",26,8,67,0,46,52,0,199,398
35070,"Perth--Wellington/Perth--Wellington"," 162A","Stratford",15,5,61,0,33,77,1,192,390
35070,"Perth--Wellington/Perth--Wellington"," 162B","Stratford",10,4,65,0,41,52,0,172,325
35070,"Perth--Wellington/Perth--Wellington"," 163","Stratford",17,0,64,0,29,71,0,181,363
35070,"Perth--Wellington/Perth--Wellington"," 164","Stratford",24,1,93,0,28,75,0,221,375
35070,"Perth--Wellington/Perth--Wellington"," 165","Stratford",34,2,77,0,42,38,0,193,300
35070,"Perth--Wellington/Perth--Wellington"," 166","Stratford",44,2,106,0,39,25,2,218,338
35070,"Perth--Wellington/Perth--Wellington"," 167","Stratford",20,1,55,1,39,48,0,164,263
35070,"Perth--Wellington/Perth--Wellington"," 168","Stratford",20,5,63,1,41,78,1,209,332
35070,"Perth--Wellington/Perth--Wellington"," 169A","Stratford",7,0,49,0,16,45,1,118,187
35070,"Perth--Wellington/Perth--Wellington"," 169B","Stratford",2,4,68,3,28,82,6,193,287
35070,"Perth--Wellington/Perth--Wellington"," 170","Stratford",16,1,71,0,48,69,1,206,396
35070,"Perth--Wellington/Perth--Wellington"," 171","Stratford",15,1,57,0,47,79,2,201,334
35070,"Perth--Wellington/Perth--Wellington"," 172","Stratford",23,7,77,0,52,60,1,220,374
35070,"Perth--Wellington/Perth--Wellington"," 173","Stratford",18,6,47,0,59,71,0,201,396
35070,"Perth--Wellington/Perth--Wellington"," 174","Stratford",14,2,73,2,35,88,0,214,381
35070,"Perth--Wellington/Perth--Wellington"," 175","Sebringville",5,2,8,0,14,38,0,67,89
35070,"Perth--Wellington/Perth--Wellington"," 175-1","Sebringville",27,6,62,1,40,132,0,268,427
35070,"Perth--Wellington/Perth--Wellington"," 176","Perth South",13,6,40,0,11,86,0,156,231
35070,"Perth--Wellington/Perth--Wellington"," 177","Perth South",10,3,30,0,13,79,0,135,203
35070,"Perth--Wellington/Perth--Wellington"," 178","Perth South",3,0,27,0,13,66,1,110,189
35070,"Perth--Wellington/Perth--Wellington"," 179","Perth South",20,9,33,0,20,70,0,152,256
35070,"Perth--Wellington/Perth--Wellington"," 180","Perth South",13,2,28,0,19,78,0,140,241
35070,"Perth--Wellington/Perth--Wellington"," 181","Perth South",12,3,32,0,31,75,0,153,279
35070,"Perth--Wellington/Perth--Wellington"," 182","Perth South",28,2,43,0,18,70,0,161,262
35070,"Perth--Wellington/Perth--Wellington"," 183","Perth South",13,3,36,0,17,92,2,163,297
35070,"Perth--Wellington/Perth--Wellington"," 184","Perth South",28,5,37,1,32,111,0,214,399
35070,"Perth--Wellington/Perth--Wellington"," 185","St. Marys",11,2,40,0,26,121,0,200,369
35070,"Perth--Wellington/Perth--Wellington"," 185-1","St. Marys",11,1,30,0,24,69,0,135,241
35070,"Perth--Wellington/Perth--Wellington"," 186","St. Marys",24,0,43,2,31,113,0,213,403
35070,"Perth--Wellington/Perth--Wellington"," 187","St. Marys",32,4,48,1,43,118,0,246,413
35070,"Perth--Wellington/Perth--Wellington"," 187-1","St. Marys",13,2,40,0,16,75,1,147,316
35070,"Perth--Wellington/Perth--Wellington"," 188","St. Marys",13,3,34,0,32,78,0,160,319
35070,"Perth--Wellington/Perth--Wellington"," 189","St. Marys",13,1,25,1,35,101,0,176,328
35070,"Perth--Wellington/Perth--Wellington"," 190","St. Marys",13,2,26,1,25,70,1,138,278
35070,"Perth--Wellington/Perth--Wellington"," 191","St. Marys",23,4,52,1,44,169,1,294,502
35070,"Perth--Wellington/Perth--Wellington"," 192","St. Marys",25,0,21,1,40,84,0,171,342
35070,"Perth--Wellington/Perth--Wellington"," 193","St. Marys",30,0,49,1,25,115,0,220,376
35070,"Perth--Wellington/Perth--Wellington"," 194","St. Marys",11,3,23,0,18,52,0,107,207
35070,"Perth--Wellington/Perth--Wellington"," 195","St. Marys",21,1,26,0,32,87,1,168,321
35070,"Perth--Wellington/Perth--Wellington"," 196","St. Marys",15,1,31,0,36,110,1,194,392
35070,"Perth--Wellington/Perth--Wellington"," 196-1","St. Marys",8,0,23,0,45,68,1,145,314
35070,"Perth--Wellington/Perth--Wellington"," 500","Mobile poll/Bureau itinérant",3,2,16,0,5,24,0,50,96
35070,"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",2,1,16,0,0,34,0,53,95
35070,"Perth--Wellington/Perth--Wellington"," 502","Mobile poll/Bureau itinérant",2,0,16,1,1,30,1,51,126
35070,"Perth--Wellington/Perth--Wellington"," 503","Mobile poll/Bureau itinérant",1,1,22,1,7,38,0,70,130
35070,"Perth--Wellington/Perth--Wellington"," 600","Minto",19,9,42,0,24,122,0,216,
35070,"Perth--Wellington/Perth--Wellington"," 601","Minto",5,1,17,0,7,32,0,62,
35070,"Perth--Wellington/Perth--Wellington"," 602","Wellington North",23,7,73,0,51,243,2,399,
35070,"Perth--Wellington/Perth--Wellington"," 603","Wellington North",4,6,21,0,19,91,0,141,
35070,"Perth--Wellington/Perth--Wellington"," 604","Mapleton",25,11,34,0,25,157,0,252,
35070,"Perth--Wellington/Perth--Wellington"," 605","North Perth",24,9,101,1,67,274,1,477,
35070,"Perth--Wellington/Perth--Wellington"," 606","North Perth",0,0,12,0,3,29,0,44,
35070,"Perth--Wellington/Perth--Wellington"," 607","West Perth",23,13,111,0,43,244,0,434,
35070,"Perth--Wellington/Perth--Wellington"," 608","Perth East",19,4,84,0,40,148,0,295,
35070,"Perth--Wellington/Perth--Wellington"," 609","Stratford",61,7,294,3,120,312,0,797,
35070,"Perth--Wellington/Perth--Wellington"," 610","Stratford",35,5,109,1,76,116,4,346,
35070,"Perth--Wellington/Perth--Wellington"," 611","Stratford",45,9,232,1,87,202,1,577,
35070,"Perth--Wellington/Perth--Wellington"," 612","Perth South",12,3,44,1,9,65,0,134,
35070,"Perth--Wellington/Perth--Wellington"," 613","St. Marys",37,2,103,2,59,289,1,493,
35070,"Perth--Wellington/Perth--Wellington",,Group 1/Groupe 1,10,0,22,1,13,52,0,98,165
35070,"Perth--Wellington/Perth--Wellington",,Group 2/Groupe 2,45,17,186,1,92,304,6,651,

