Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Chan,Wei Ping Chen,Dale Jackaman,Dobie Yiu-Chung To,Michael Anthony Wolfe,Alice Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Richmond/Richmond"," 108-1","Richmond",37,2,13,0,3,88,1,144,296
59023,"Richmond/Richmond"," 109","Richmond",83,3,11,0,24,137,2,260,480
59023,"Richmond/Richmond"," 110","Richmond",89,1,23,0,14,147,3,277,566
59023,"Richmond/Richmond"," 111","Richmond",104,4,26,1,15,165,2,317,592
59023,"Richmond/Richmond"," 112","Richmond",77,0,26,0,23,116,0,242,383
59023,"Richmond/Richmond"," 113","Richmond",63,3,38,0,25,107,3,239,353
59023,"Richmond/Richmond"," 114","Richmond",101,2,43,1,16,130,1,294,497
59023,"Richmond/Richmond"," 115","Richmond",74,0,43,0,21,103,0,241,400
59023,"Richmond/Richmond"," 116","Richmond",69,0,39,0,23,97,1,229,422
59023,"Richmond/Richmond"," 117","Richmond",93,1,35,1,29,107,2,268,394
59023,"Richmond/Richmond"," 117-1","Richmond",40,0,11,0,17,75,0,143,269
59023,"Richmond/Richmond"," 118","Richmond",54,1,41,0,25,119,2,242,462
59023,"Richmond/Richmond"," 119","Richmond",67,0,31,0,17,92,0,207,434
59023,"Richmond/Richmond"," 120","Richmond",62,0,37,0,21,95,0,215,375
59023,"Richmond/Richmond"," 121","Richmond",106,0,23,0,10,137,0,276,554
59023,"Richmond/Richmond"," 122","Richmond",62,5,21,2,3,106,0,199,459
59023,"Richmond/Richmond"," 123","Richmond",86,4,53,0,21,108,0,272,476
59023,"Richmond/Richmond"," 124","Richmond",105,0,39,0,19,112,1,276,468
59023,"Richmond/Richmond"," 125","Richmond",51,1,22,0,9,91,0,174,331
59023,"Richmond/Richmond"," 126","Richmond",90,0,26,0,18,159,2,295,563
59023,"Richmond/Richmond"," 127","Richmond",84,2,15,2,14,174,3,294,593
59023,"Richmond/Richmond"," 128","Richmond",62,0,14,1,7,94,1,179,356
59023,"Richmond/Richmond"," 129","Richmond",75,1,20,0,5,142,0,243,498
59023,"Richmond/Richmond"," 130","Richmond",67,1,13,0,11,158,0,250,522
59023,"Richmond/Richmond"," 131","Richmond",46,2,14,0,13,119,0,194,368
59023,"Richmond/Richmond"," 131-1","Richmond",57,1,9,0,6,75,0,148,336
59023,"Richmond/Richmond"," 132","Richmond",95,3,43,1,23,122,0,287,552
59023,"Richmond/Richmond"," 133","Richmond",41,3,10,0,10,78,0,142,379
59023,"Richmond/Richmond"," 133-1","Richmond",41,1,10,0,7,45,0,104,248
59023,"Richmond/Richmond"," 134","Richmond",40,1,7,0,8,82,0,138,313
59023,"Richmond/Richmond"," 134-1","Richmond",24,2,4,0,5,65,0,100,269
59023,"Richmond/Richmond"," 135","Richmond",61,2,30,0,21,121,0,235,461
59023,"Richmond/Richmond"," 136","Richmond",50,0,33,1,25,85,1,195,483
59023,"Richmond/Richmond"," 137","Richmond",37,0,16,0,6,77,0,136,311
59023,"Richmond/Richmond"," 137-1","Richmond",59,1,20,1,11,91,0,183,391
59023,"Richmond/Richmond"," 138","Richmond",61,4,23,0,12,115,1,216,483
59023,"Richmond/Richmond"," 139","Richmond",90,1,41,0,31,123,0,286,459
59023,"Richmond/Richmond"," 140","Richmond",54,0,53,0,31,107,2,247,391
59023,"Richmond/Richmond"," 141","Richmond",55,0,40,2,26,69,0,192,297
59023,"Richmond/Richmond"," 141-1","Richmond",33,2,23,0,11,78,1,148,299
59023,"Richmond/Richmond"," 142","Richmond",87,1,44,0,22,145,2,301,519
59023,"Richmond/Richmond"," 143","Richmond",78,3,25,0,20,146,0,272,494
59023,"Richmond/Richmond"," 144","Richmond",71,1,37,0,21,94,1,225,423
59023,"Richmond/Richmond"," 145","Richmond",99,2,30,0,18,81,0,230,440
59023,"Richmond/Richmond"," 146","Richmond",100,1,36,1,12,134,2,286,496
59023,"Richmond/Richmond"," 147","Richmond",73,0,29,1,14,142,2,261,489
59023,"Richmond/Richmond"," 147-1","Richmond",39,2,16,1,15,67,0,140,270
59023,"Richmond/Richmond"," 148","Richmond",84,3,34,0,15,118,0,254,430
59023,"Richmond/Richmond"," 149","Richmond",96,4,29,1,21,129,0,280,514
59023,"Richmond/Richmond"," 150","Richmond",72,1,25,2,14,140,0,254,532
59023,"Richmond/Richmond"," 151","Richmond",70,2,25,0,14,141,1,253,453
59023,"Richmond/Richmond"," 152","Richmond",96,3,36,0,20,117,1,273,533
59023,"Richmond/Richmond"," 153","Richmond",43,1,28,1,11,109,0,193,437
59023,"Richmond/Richmond"," 154","Richmond",80,1,34,0,12,129,1,257,470
59023,"Richmond/Richmond"," 155","Richmond",57,0,18,0,12,116,1,204,386
59023,"Richmond/Richmond"," 156","Richmond",86,0,17,0,14,123,1,241,498
59023,"Richmond/Richmond"," 157","Richmond",44,1,17,0,14,85,2,163,377
59023,"Richmond/Richmond"," 158","Richmond",54,2,21,0,21,107,3,208,385
59023,"Richmond/Richmond"," 159","Richmond",83,2,9,0,4,124,1,223,445
59023,"Richmond/Richmond"," 160","Richmond",54,1,35,0,10,77,0,177,318
59023,"Richmond/Richmond"," 400","Mobile poll/Bureau itinérant",36,1,11,2,10,26,2,88,283
59023,"Richmond/Richmond"," 500","Mobile poll/Bureau itinérant",42,0,18,1,5,50,2,118,282
59023,"Richmond/Richmond"," 600","Richmond",107,6,22,1,31,300,1,468,
59023,"Richmond/Richmond"," 601","Richmond",147,0,46,2,31,284,2,512,
59023,"Richmond/Richmond"," 602","Richmond",145,2,63,1,36,338,2,587,
59023,"Richmond/Richmond"," 603","Richmond",75,2,38,0,31,207,3,356,
59023,"Richmond/Richmond"," 604","Richmond",131,5,50,0,29,310,4,529,
59023,"Richmond/Richmond"," 605","Richmond",160,3,69,1,26,298,5,562,
59023,"Richmond/Richmond"," 606","Richmond",95,9,44,1,27,248,2,426,
59023,"Richmond/Richmond"," 607","Richmond",84,4,21,0,11,157,1,278,
59023,"Richmond/Richmond",,Group 1/Groupe 1,16,0,5,0,3,26,1,51,88
59023,"Richmond/Richmond",,Group 2/Groupe 2,220,13,53,4,38,396,1,725,

