Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodrigo Alfaro,Gaëtan Bérard,Gérard Labelle,François Pilon,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",47,7,59,22,152,3,290,510
24022,"Honoré-Mercier/Honoré-Mercier"," 18","Montréal",39,7,53,17,103,0,219,406
24022,"Honoré-Mercier/Honoré-Mercier"," 19","Montréal",28,5,71,28,88,0,220,512
24022,"Honoré-Mercier/Honoré-Mercier"," 20","Montréal",38,9,66,33,143,3,292,525
24022,"Honoré-Mercier/Honoré-Mercier"," 21","Montréal",26,5,17,10,85,2,145,262
24022,"Honoré-Mercier/Honoré-Mercier"," 22","Montréal",44,9,44,30,116,7,250,529
24022,"Honoré-Mercier/Honoré-Mercier"," 23","Montréal",50,9,44,34,146,4,287,526
24022,"Honoré-Mercier/Honoré-Mercier"," 24","Montréal",30,11,66,20,113,4,244,430
24022,"Honoré-Mercier/Honoré-Mercier"," 25","Montréal",11,2,8,13,95,1,130,241
24022,"Honoré-Mercier/Honoré-Mercier"," 26","Montréal",19,8,28,17,111,5,188,402
24022,"Honoré-Mercier/Honoré-Mercier"," 27","Montréal",28,8,28,23,87,3,177,317
24022,"Honoré-Mercier/Honoré-Mercier"," 28","Montréal",29,5,12,14,95,0,155,245
24022,"Honoré-Mercier/Honoré-Mercier"," 29","Montréal",30,6,21,13,170,7,247,422
24022,"Honoré-Mercier/Honoré-Mercier"," 30A","Montréal",36,6,43,35,82,5,207,460
24022,"Honoré-Mercier/Honoré-Mercier"," 30B","Mobile poll/Bureau itinérant",25,3,32,9,43,1,113,117
24022,"Honoré-Mercier/Honoré-Mercier"," 31","Montréal",20,1,11,5,108,3,148,299
24022,"Honoré-Mercier/Honoré-Mercier"," 32","Montréal",38,2,10,15,123,1,189,368
24022,"Honoré-Mercier/Honoré-Mercier"," 33","Montréal",25,10,57,10,118,7,227,505
24022,"Honoré-Mercier/Honoré-Mercier"," 34","Montréal",69,11,42,27,170,3,322,504
24022,"Honoré-Mercier/Honoré-Mercier"," 34-1","Montréal",46,4,32,21,107,1,211,391
24022,"Honoré-Mercier/Honoré-Mercier"," 35","Montréal",41,10,53,25,127,1,257,417
24022,"Honoré-Mercier/Honoré-Mercier"," 36","Montréal",12,1,22,12,65,2,114,216
24022,"Honoré-Mercier/Honoré-Mercier"," 37","Montréal",26,4,27,20,55,1,133,220
24022,"Honoré-Mercier/Honoré-Mercier"," 38","Montréal",25,13,21,13,146,2,220,337
24022,"Honoré-Mercier/Honoré-Mercier"," 39","Montréal",33,3,41,20,79,0,176,307
24022,"Honoré-Mercier/Honoré-Mercier"," 40","Montréal",31,10,81,19,73,0,214,529
24022,"Honoré-Mercier/Honoré-Mercier"," 41","Montréal",35,3,3,6,93,3,143,317
24022,"Honoré-Mercier/Honoré-Mercier"," 42","Montréal",42,7,9,5,145,0,208,313
24022,"Honoré-Mercier/Honoré-Mercier"," 43","Montréal",28,5,7,13,98,0,151,377
24022,"Honoré-Mercier/Honoré-Mercier"," 44","Montréal",17,2,6,5,118,0,148,285
24022,"Honoré-Mercier/Honoré-Mercier"," 45","Montréal",40,3,12,20,168,0,243,408
24022,"Honoré-Mercier/Honoré-Mercier"," 46","Montréal",42,6,31,21,150,6,256,506
24022,"Honoré-Mercier/Honoré-Mercier"," 47","Montréal",53,7,27,28,150,3,268,477
24022,"Honoré-Mercier/Honoré-Mercier"," 48","Montréal",37,4,63,28,84,4,220,390
24022,"Honoré-Mercier/Honoré-Mercier"," 49","Montréal",42,3,25,28,136,1,235,405
24022,"Honoré-Mercier/Honoré-Mercier"," 50","Montréal",20,2,11,7,108,2,150,232
24022,"Honoré-Mercier/Honoré-Mercier"," 51","Montréal",30,5,15,14,135,5,204,280
24022,"Honoré-Mercier/Honoré-Mercier"," 52","Montréal",18,4,9,10,81,3,125,202
24022,"Honoré-Mercier/Honoré-Mercier"," 53","Montréal",25,4,49,18,60,1,157,289
24022,"Honoré-Mercier/Honoré-Mercier"," 54","Montréal",27,2,24,8,71,1,133,281
24022,"Honoré-Mercier/Honoré-Mercier"," 55","Montréal",28,8,35,13,110,7,201,484
24022,"Honoré-Mercier/Honoré-Mercier"," 56","Montréal",29,6,5,14,112,1,167,287
24022,"Honoré-Mercier/Honoré-Mercier"," 57","Montréal",44,7,19,19,175,3,267,400
24022,"Honoré-Mercier/Honoré-Mercier"," 58","Montréal",27,2,1,14,100,1,145,236
24022,"Honoré-Mercier/Honoré-Mercier"," 59","Montréal",37,7,13,20,140,1,218,382
24022,"Honoré-Mercier/Honoré-Mercier"," 60","Montréal",39,5,14,12,108,2,180,363
24022,"Honoré-Mercier/Honoré-Mercier"," 61","Montréal",51,5,10,23,192,1,282,474
24022,"Honoré-Mercier/Honoré-Mercier"," 62","Montréal",25,3,17,18,128,1,192,384
24022,"Honoré-Mercier/Honoré-Mercier"," 63","Montréal",55,3,23,11,137,4,233,420
24022,"Honoré-Mercier/Honoré-Mercier"," 64","Montréal",52,5,26,13,134,1,231,481
24022,"Honoré-Mercier/Honoré-Mercier"," 65","Montréal",41,7,47,29,146,3,273,471
24022,"Honoré-Mercier/Honoré-Mercier"," 66","Montréal",22,6,8,16,132,2,186,367
24022,"Honoré-Mercier/Honoré-Mercier"," 67","Montréal",28,5,23,15,149,4,224,398
24022,"Honoré-Mercier/Honoré-Mercier"," 68","Montréal",36,4,23,16,115,5,199,427
24022,"Honoré-Mercier/Honoré-Mercier"," 69","Montréal",14,1,37,14,55,2,123,288
24022,"Honoré-Mercier/Honoré-Mercier"," 70","Montréal",19,4,30,24,148,4,229,530
24022,"Honoré-Mercier/Honoré-Mercier"," 71","Montréal",34,3,21,11,128,3,200,436
24022,"Honoré-Mercier/Honoré-Mercier"," 72","Montréal",39,5,7,17,121,1,190,316
24022,"Honoré-Mercier/Honoré-Mercier"," 73","Montréal",40,7,29,12,94,0,182,411
24022,"Honoré-Mercier/Honoré-Mercier"," 74","Montréal",35,7,20,20,131,4,217,416
24022,"Honoré-Mercier/Honoré-Mercier"," 75","Montréal",33,7,40,19,135,1,235,447
24022,"Honoré-Mercier/Honoré-Mercier"," 76","Montréal",33,7,63,29,107,3,242,470
24022,"Honoré-Mercier/Honoré-Mercier"," 77","Montréal",50,7,20,17,161,3,258,444
24022,"Honoré-Mercier/Honoré-Mercier"," 78","Montréal",51,7,28,12,114,1,213,429
24022,"Honoré-Mercier/Honoré-Mercier"," 79","Montréal",58,5,10,21,153,2,249,428
24022,"Honoré-Mercier/Honoré-Mercier"," 80","Anjou",36,11,123,40,84,1,295,466
24022,"Honoré-Mercier/Honoré-Mercier"," 81","Anjou",27,9,102,22,66,4,230,379
24022,"Honoré-Mercier/Honoré-Mercier"," 82","Anjou",31,9,75,32,97,1,245,385
24022,"Honoré-Mercier/Honoré-Mercier"," 83","Anjou",32,3,59,19,107,4,224,388
24022,"Honoré-Mercier/Honoré-Mercier"," 84","Anjou",48,8,66,24,121,9,276,429
24022,"Honoré-Mercier/Honoré-Mercier"," 85","Anjou",40,5,63,28,91,4,231,432
24022,"Honoré-Mercier/Honoré-Mercier"," 86","Anjou",27,5,59,25,110,2,228,374
24022,"Honoré-Mercier/Honoré-Mercier"," 87","Anjou",22,8,68,21,76,3,198,327
24022,"Honoré-Mercier/Honoré-Mercier"," 88","Anjou",17,4,35,16,41,5,118,227
24022,"Honoré-Mercier/Honoré-Mercier"," 89","Anjou",10,7,39,24,35,1,116,237
24022,"Honoré-Mercier/Honoré-Mercier"," 90","Anjou",33,6,50,16,90,3,198,345
24022,"Honoré-Mercier/Honoré-Mercier"," 91","Anjou",14,3,22,13,41,2,95,211
24022,"Honoré-Mercier/Honoré-Mercier"," 92","Anjou",7,2,32,21,63,0,125,251
24022,"Honoré-Mercier/Honoré-Mercier"," 93","Anjou",33,4,53,21,67,1,179,287
24022,"Honoré-Mercier/Honoré-Mercier"," 94A","Anjou",15,4,44,12,40,1,116,216
24022,"Honoré-Mercier/Honoré-Mercier"," 94B","Mobile poll/Bureau itinérant",20,2,35,5,74,6,142,140
24022,"Honoré-Mercier/Honoré-Mercier"," 94-1","Anjou",77,22,76,20,127,3,325,486
24022,"Honoré-Mercier/Honoré-Mercier"," 95","Anjou",15,2,31,11,48,0,107,227
24022,"Honoré-Mercier/Honoré-Mercier"," 96","Anjou",34,4,50,13,44,2,147,251
24022,"Honoré-Mercier/Honoré-Mercier"," 97","Anjou",63,6,77,20,89,4,259,439
24022,"Honoré-Mercier/Honoré-Mercier"," 98","Anjou",38,3,71,32,71,1,216,396
24022,"Honoré-Mercier/Honoré-Mercier"," 99","Anjou",25,0,56,19,82,4,186,342
24022,"Honoré-Mercier/Honoré-Mercier"," 100","Anjou",29,2,78,20,74,4,207,403
24022,"Honoré-Mercier/Honoré-Mercier"," 101","Anjou",13,7,64,28,40,6,158,349
24022,"Honoré-Mercier/Honoré-Mercier"," 102","Anjou",32,7,52,13,72,4,180,389
24022,"Honoré-Mercier/Honoré-Mercier"," 103","Anjou",26,2,75,18,85,3,209,424
24022,"Honoré-Mercier/Honoré-Mercier"," 104","Anjou",14,3,69,23,61,3,173,238
24022,"Honoré-Mercier/Honoré-Mercier"," 105A","Anjou",21,7,106,34,74,9,251,381
24022,"Honoré-Mercier/Honoré-Mercier"," 105B","Mobile poll/Bureau itinérant",Merged with No. 94B/Fusionné avec le nº 94B,,,,,,,77
24022,"Honoré-Mercier/Honoré-Mercier"," 106","Anjou",21,0,83,31,58,1,194,340
24022,"Honoré-Mercier/Honoré-Mercier"," 107","Anjou",23,2,62,25,72,1,185,395
24022,"Honoré-Mercier/Honoré-Mercier"," 108","Anjou",27,3,90,28,50,0,198,423
24022,"Honoré-Mercier/Honoré-Mercier"," 109","Anjou",19,4,68,20,74,8,193,367
24022,"Honoré-Mercier/Honoré-Mercier"," 110","Montréal",32,3,127,31,84,3,280,455
24022,"Honoré-Mercier/Honoré-Mercier"," 111","Montréal",23,10,131,39,96,5,304,462
24022,"Honoré-Mercier/Honoré-Mercier"," 112","Montréal",21,3,100,22,53,3,202,336
24022,"Honoré-Mercier/Honoré-Mercier"," 113","Montréal",14,4,69,23,30,4,144,323
24022,"Honoré-Mercier/Honoré-Mercier"," 114","Montréal",15,13,90,33,64,5,220,473
24022,"Honoré-Mercier/Honoré-Mercier"," 115","Montréal",22,7,125,29,31,7,221,410
24022,"Honoré-Mercier/Honoré-Mercier"," 116","Montréal",19,10,106,29,62,4,230,375
24022,"Honoré-Mercier/Honoré-Mercier"," 117","Montréal",31,15,131,33,69,3,282,456
24022,"Honoré-Mercier/Honoré-Mercier"," 118","Anjou",22,5,47,29,67,5,175,330
24022,"Honoré-Mercier/Honoré-Mercier"," 119","Anjou",16,5,82,17,58,6,184,357
24022,"Honoré-Mercier/Honoré-Mercier"," 120","Anjou",21,2,89,29,70,3,214,380
24022,"Honoré-Mercier/Honoré-Mercier"," 121","Anjou",12,5,68,17,40,7,149,301
24022,"Honoré-Mercier/Honoré-Mercier"," 122","Anjou",28,9,90,24,72,8,231,400
24022,"Honoré-Mercier/Honoré-Mercier"," 123","Anjou",21,5,116,20,64,2,228,407
24022,"Honoré-Mercier/Honoré-Mercier"," 124","Anjou",7,5,64,17,40,1,134,311
24022,"Honoré-Mercier/Honoré-Mercier"," 125","Anjou",26,6,89,26,83,2,232,400
24022,"Honoré-Mercier/Honoré-Mercier"," 126","Anjou",24,8,64,13,78,2,189,333
24022,"Honoré-Mercier/Honoré-Mercier"," 127","Anjou",28,17,82,25,71,1,224,366
24022,"Honoré-Mercier/Honoré-Mercier"," 128","Anjou",27,13,106,36,76,0,258,367
24022,"Honoré-Mercier/Honoré-Mercier"," 129","Anjou",28,2,65,38,88,10,231,352
24022,"Honoré-Mercier/Honoré-Mercier"," 130","Anjou",20,1,49,23,69,5,167,363
24022,"Honoré-Mercier/Honoré-Mercier"," 131","Anjou",22,9,60,34,110,2,237,356
24022,"Honoré-Mercier/Honoré-Mercier"," 132","Anjou",39,6,90,21,83,2,241,375
24022,"Honoré-Mercier/Honoré-Mercier"," 133","Anjou",37,8,95,36,110,1,287,436
24022,"Honoré-Mercier/Honoré-Mercier"," 134","Anjou",25,6,55,18,90,1,195,416
24022,"Honoré-Mercier/Honoré-Mercier"," 135","Anjou",21,1,74,25,99,0,220,340
24022,"Honoré-Mercier/Honoré-Mercier"," 136","Anjou",39,5,37,22,52,2,157,311
24022,"Honoré-Mercier/Honoré-Mercier"," 137","Anjou",49,10,108,28,114,4,313,477
24022,"Honoré-Mercier/Honoré-Mercier"," 138","Anjou",20,9,58,20,59,2,168,382
24022,"Honoré-Mercier/Honoré-Mercier"," 139","Anjou",36,14,60,17,80,0,207,335
24022,"Honoré-Mercier/Honoré-Mercier"," 140","Anjou",28,8,61,21,59,6,183,345
24022,"Honoré-Mercier/Honoré-Mercier"," 141","Anjou",19,13,57,14,36,4,143,375
24022,"Honoré-Mercier/Honoré-Mercier"," 142","Anjou",17,3,67,34,88,1,210,367
24022,"Honoré-Mercier/Honoré-Mercier"," 143","Anjou",20,8,55,27,52,3,165,338
24022,"Honoré-Mercier/Honoré-Mercier"," 144","Anjou",26,2,72,35,74,0,209,385
24022,"Honoré-Mercier/Honoré-Mercier"," 145","Anjou",27,3,77,15,86,7,215,373
24022,"Honoré-Mercier/Honoré-Mercier"," 146","Anjou",39,8,56,21,100,5,229,392
24022,"Honoré-Mercier/Honoré-Mercier"," 147","Anjou",36,1,52,15,125,0,229,352
24022,"Honoré-Mercier/Honoré-Mercier"," 148","Anjou",35,4,78,20,84,7,228,362
24022,"Honoré-Mercier/Honoré-Mercier"," 149","Montréal",23,3,117,27,41,0,211,353
24022,"Honoré-Mercier/Honoré-Mercier"," 150","Montréal",21,1,81,20,58,1,182,379
24022,"Honoré-Mercier/Honoré-Mercier"," 151","Montréal",15,2,38,14,47,2,118,307
24022,"Honoré-Mercier/Honoré-Mercier"," 152","Montréal",24,10,112,32,37,3,218,395
24022,"Honoré-Mercier/Honoré-Mercier"," 153","Montréal",32,12,95,35,65,4,243,399
24022,"Honoré-Mercier/Honoré-Mercier"," 154","Anjou",32,8,66,31,47,4,188,322
24022,"Honoré-Mercier/Honoré-Mercier"," 155","Anjou",17,5,83,32,70,3,210,344
24022,"Honoré-Mercier/Honoré-Mercier"," 156","Anjou",19,2,70,16,58,1,166,309
24022,"Honoré-Mercier/Honoré-Mercier"," 157","Anjou",15,7,70,21,87,2,202,378
24022,"Honoré-Mercier/Honoré-Mercier"," 158","Montréal",16,8,109,31,55,3,222,412
24022,"Honoré-Mercier/Honoré-Mercier"," 159","Montréal",17,6,49,14,30,0,116,240
24022,"Honoré-Mercier/Honoré-Mercier"," 160A","Montréal",12,4,73,17,45,0,151,250
24022,"Honoré-Mercier/Honoré-Mercier"," 160B","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,,79
24022,"Honoré-Mercier/Honoré-Mercier"," 161","Montréal",31,4,66,28,42,1,172,276
24022,"Honoré-Mercier/Honoré-Mercier"," 162","Montréal",36,15,159,37,109,2,358,568
24022,"Honoré-Mercier/Honoré-Mercier"," 163","Montréal",44,8,110,33,73,2,270,475
24022,"Honoré-Mercier/Honoré-Mercier"," 164","Anjou",19,4,51,24,41,0,139,274
24022,"Honoré-Mercier/Honoré-Mercier"," 164-1A","Anjou",37,3,57,11,47,1,156,329
24022,"Honoré-Mercier/Honoré-Mercier"," 164-1B","Anjou",43,4,62,13,65,0,187,348
24022,"Honoré-Mercier/Honoré-Mercier"," 165","Anjou",36,1,58,18,84,1,198,332
24022,"Honoré-Mercier/Honoré-Mercier"," 166","Anjou",37,7,54,23,58,2,181,324
24022,"Honoré-Mercier/Honoré-Mercier"," 167","Anjou",26,10,70,24,79,5,214,369
24022,"Honoré-Mercier/Honoré-Mercier"," 168","Montréal",12,3,32,26,25,2,100,314
24022,"Honoré-Mercier/Honoré-Mercier"," 168-1","Montréal",9,1,29,10,41,2,92,158
24022,"Honoré-Mercier/Honoré-Mercier"," 169","Montréal",30,6,73,22,64,2,197,417
24022,"Honoré-Mercier/Honoré-Mercier"," 170","Anjou",33,7,70,31,71,0,212,345
24022,"Honoré-Mercier/Honoré-Mercier"," 171","Anjou",38,3,65,21,76,3,206,381
24022,"Honoré-Mercier/Honoré-Mercier"," 172","Anjou",25,2,35,25,84,2,173,288
24022,"Honoré-Mercier/Honoré-Mercier"," 173","Anjou",31,5,64,34,81,1,216,473
24022,"Honoré-Mercier/Honoré-Mercier"," 174","Anjou",31,6,46,28,84,2,197,323
24022,"Honoré-Mercier/Honoré-Mercier"," 175","Anjou",37,3,66,15,80,0,201,380
24022,"Honoré-Mercier/Honoré-Mercier"," 176","Anjou",26,0,25,10,36,0,97,208
24022,"Honoré-Mercier/Honoré-Mercier"," 177A","Anjou",39,6,45,11,86,9,196,362
24022,"Honoré-Mercier/Honoré-Mercier"," 177B","Anjou",44,5,43,14,109,6,221,366
24022,"Honoré-Mercier/Honoré-Mercier"," 177-1","Anjou",62,6,71,22,97,3,261,500
24022,"Honoré-Mercier/Honoré-Mercier"," 178","Anjou",61,3,75,24,115,7,285,579
24022,"Honoré-Mercier/Honoré-Mercier"," 178-1","Anjou",58,7,81,25,105,1,277,526
24022,"Honoré-Mercier/Honoré-Mercier"," 179","Anjou",38,5,61,18,76,2,200,364
24022,"Honoré-Mercier/Honoré-Mercier"," 180","Anjou",41,10,78,43,79,1,252,376
24022,"Honoré-Mercier/Honoré-Mercier"," 181","Anjou",38,8,87,32,102,0,267,402
24022,"Honoré-Mercier/Honoré-Mercier"," 182","Montréal",22,5,78,22,54,1,182,425
24022,"Honoré-Mercier/Honoré-Mercier"," 183","Montréal",34,2,37,15,113,2,203,397
24022,"Honoré-Mercier/Honoré-Mercier"," 184","Montréal",34,10,37,12,65,0,158,346
24022,"Honoré-Mercier/Honoré-Mercier"," 185","Montréal",35,2,52,21,59,3,172,369
24022,"Honoré-Mercier/Honoré-Mercier"," 186","Montréal",37,3,39,11,58,0,148,254
24022,"Honoré-Mercier/Honoré-Mercier"," 187","Montréal",39,7,33,9,83,3,174,325
24022,"Honoré-Mercier/Honoré-Mercier"," 188","Montréal",23,6,36,12,88,2,167,295
24022,"Honoré-Mercier/Honoré-Mercier"," 189","Montréal",21,6,57,15,75,4,178,397
24022,"Honoré-Mercier/Honoré-Mercier"," 190","Montréal",27,4,11,12,67,0,121,215
24022,"Honoré-Mercier/Honoré-Mercier"," 191","Montréal",28,4,116,31,85,8,272,478
24022,"Honoré-Mercier/Honoré-Mercier"," 192","Montréal",27,8,115,32,88,3,273,409
24022,"Honoré-Mercier/Honoré-Mercier"," 193","Montréal",50,5,70,29,82,0,236,400
24022,"Honoré-Mercier/Honoré-Mercier"," 194","Montréal",27,8,69,17,85,3,209,346
24022,"Honoré-Mercier/Honoré-Mercier"," 195","Montréal",24,4,82,29,68,2,209,317
24022,"Honoré-Mercier/Honoré-Mercier"," 196","Montréal",41,7,87,26,82,0,243,351
24022,"Honoré-Mercier/Honoré-Mercier"," 197","Montréal",35,6,79,15,82,2,219,351
24022,"Honoré-Mercier/Honoré-Mercier"," 198","Montréal",28,5,99,29,108,5,274,437
24022,"Honoré-Mercier/Honoré-Mercier"," 199","Montréal",27,7,95,36,78,5,248,397
24022,"Honoré-Mercier/Honoré-Mercier"," 200","Montréal",22,8,88,21,51,5,195,319
24022,"Honoré-Mercier/Honoré-Mercier"," 400","Montréal",11,7,42,13,31,6,110,231
24022,"Honoré-Mercier/Honoré-Mercier"," 500","Mobile poll/Bureau itinérant",10,0,11,3,29,1,54,104
24022,"Honoré-Mercier/Honoré-Mercier"," 501","Mobile poll/Bureau itinérant",14,6,38,11,29,8,106,285
24022,"Honoré-Mercier/Honoré-Mercier"," 600","Montréal",63,15,107,31,191,1,408,
24022,"Honoré-Mercier/Honoré-Mercier"," 601","Montréal",45,10,72,30,229,4,390,
24022,"Honoré-Mercier/Honoré-Mercier"," 602","Montréal",52,7,46,22,253,8,388,
24022,"Honoré-Mercier/Honoré-Mercier"," 603","Montréal--Anjou",81,7,70,19,278,4,459,
24022,"Honoré-Mercier/Honoré-Mercier"," 604","Anjou",30,12,98,22,135,1,298,
24022,"Honoré-Mercier/Honoré-Mercier"," 605","Anjou",55,5,118,39,200,5,422,
24022,"Honoré-Mercier/Honoré-Mercier"," 606","Anjou",47,10,172,36,153,8,426,
24022,"Honoré-Mercier/Honoré-Mercier"," 607","Montréal",43,17,230,23,123,2,438,
24022,"Honoré-Mercier/Honoré-Mercier"," 608","Montréal",180,7,189,58,353,5,792,
24022,"Honoré-Mercier/Honoré-Mercier"," 609","Montréal",218,14,255,59,408,17,971,
24022,"Honoré-Mercier/Honoré-Mercier"," 610","Montréal",75,10,174,37,154,6,456,
24022,"Honoré-Mercier/Honoré-Mercier",,Group 1/Groupe 1,9,4,32,5,41,13,104,168
24022,"Honoré-Mercier/Honoré-Mercier",,Group 2/Groupe 2,48,11,111,20,186,13,389,

