Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Christie,Stephen Harper,Larry R. Heather,Holly Heffernan,Marlene Lamontagne,Dennis Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 158","Calgary",14,211,1,12,16,0,1,255,480
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 159","Calgary",12,206,0,21,19,2,1,261,503
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 160","Calgary",10,151,3,10,25,3,0,202,404
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 161","Calgary",18,147,0,29,24,0,0,218,429
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 162","Calgary",12,231,2,16,23,1,1,286,484
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 163","Calgary",16,216,0,27,25,0,2,286,507
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 164","Calgary",15,158,2,15,6,0,1,197,349
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 165","Calgary",18,223,2,17,19,0,0,279,462
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 166","Calgary",22,161,2,19,19,1,0,224,420
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 167A","Calgary",8,98,2,15,16,1,2,142,372
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 167B","Mobile poll/Bureau itinérant",Merged with No. 182B/Fusionné avec le nº 182B,,,,,,,,126
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 168","Calgary",13,113,0,11,14,3,0,154,336
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 169","Calgary",11,96,0,10,19,1,0,137,254
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 170","Calgary",12,124,0,10,14,0,0,160,319
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 171","Calgary",20,133,2,13,19,0,0,187,309
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 172","Calgary",9,174,0,10,19,1,0,213,512
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 173","Calgary",9,227,0,13,18,0,2,269,505
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 174","Calgary",6,139,1,21,11,1,1,180,412
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 175","Calgary",20,134,1,20,15,0,0,190,428
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 176","Calgary",5,55,1,6,8,0,0,75,184
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 177","Calgary",9,118,0,8,9,0,0,144,342
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 178","Calgary",29,120,0,29,23,0,0,201,447
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 179A","Calgary",16,111,1,27,12,0,2,169,482
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 179B","Calgary",20,144,1,23,25,1,0,214,547
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 180","Calgary",17,134,0,23,13,1,1,189,421
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 181","Calgary",18,112,0,13,18,0,0,161,377
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 182A","Calgary",9,123,0,6,13,0,0,151,277
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 182B","Mobile poll/Bureau itinérant",7,155,1,11,14,1,2,191,109
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 183","Calgary",14,132,0,23,23,1,1,194,442
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 184","Calgary",12,138,4,19,6,1,0,180,361
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 185","Calgary",18,127,0,15,17,0,1,178,372
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 186A","Calgary",12,145,0,18,10,1,0,186,411
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 186B","Calgary",8,124,0,11,16,1,1,161,384
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 186C","Calgary",13,173,1,22,18,1,1,229,465
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 187","Calgary",11,139,0,10,7,1,0,168,368
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 188","Calgary",16,200,0,10,21,1,0,248,465
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 189","Calgary",6,222,1,23,20,3,0,275,467
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 190","Calgary",16,158,0,13,18,0,1,206,352
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 191","Calgary",20,172,2,24,25,0,0,243,437
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 192","Calgary",18,142,1,19,11,1,1,193,388
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 193","Calgary",21,132,0,16,11,1,0,181,380
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 194","Calgary",17,135,1,23,8,0,0,184,299
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 195","Calgary",11,153,0,16,6,1,1,188,302
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 196","Calgary",9,176,1,21,17,0,0,224,431
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 197","Calgary",8,138,0,18,13,1,0,178,344
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 198","Calgary",12,134,2,21,21,0,0,190,379
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 199","Calgary",13,193,1,14,12,1,0,234,473
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 200","Calgary",14,127,1,16,10,0,0,168,343
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 201","Calgary",30,108,2,18,13,3,0,174,404
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 202","Calgary",13,182,0,10,19,1,0,225,475
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 203","Calgary",21,145,2,14,18,0,1,201,425
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 204","Calgary",21,169,1,14,26,1,1,233,452
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 205A","Calgary",17,153,2,28,16,2,0,218,442
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 205B","Calgary",19,160,0,16,28,1,2,226,446
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 206","Calgary",9,156,2,10,16,1,1,195,384
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 207A","Calgary",9,115,2,15,10,0,1,152,394
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 207B","Calgary",11,135,1,9,13,0,1,170,374
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 207C","Calgary",11,102,0,18,9,0,0,140,381
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 208A","Calgary",16,140,0,24,15,0,0,195,500
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 208B","Calgary",10,174,0,31,20,1,0,236,586
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 209","Calgary",11,151,0,6,20,0,1,189,310
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 210","Calgary",16,132,0,21,19,1,0,189,403
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 211","Calgary",9,148,2,10,17,0,0,186,423
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 212","Calgary",2,97,1,7,19,1,3,130,271
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 213","Calgary",26,158,1,26,10,0,1,222,488
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 214","Calgary",9,190,1,26,9,0,2,237,406
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 215","Calgary",13,155,0,12,12,0,0,192,373
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 216","Calgary",12,149,0,12,7,1,0,181,412
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 217","Calgary",18,171,1,24,11,0,0,225,442
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 218","Calgary",11,158,1,19,15,0,1,205,403
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 219","Calgary",10,129,1,19,16,1,0,176,335
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 220","Calgary",21,162,2,15,14,1,0,215,439
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 221","Calgary",11,87,0,21,17,2,0,138,334
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 222","Calgary",13,134,0,17,15,1,0,180,391
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 223","Calgary",18,213,0,18,24,2,1,276,514
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 224","Calgary",13,185,2,13,10,2,0,225,424
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 225","Calgary",17,194,0,10,14,3,1,239,441
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 226","Calgary",15,176,1,15,20,0,1,228,404
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",6,144,3,15,24,1,5,198,296
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",2,79,1,5,8,1,2,98,163
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",2,47,0,5,4,1,1,60,96
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 600","Calgary",30,245,2,12,40,0,1,330,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 601","Calgary",36,258,1,32,31,1,1,360,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 602","Calgary",28,323,3,18,49,0,1,422,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 603","Calgary",36,351,3,26,65,0,1,482,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 604","Calgary",38,310,3,25,46,1,0,423,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 605","Calgary",36,327,1,33,36,2,0,435,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 606","Calgary",48,308,1,23,41,3,1,425,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 607","Calgary",29,322,1,14,23,3,1,393,
48008,"Calgary Southwest/Calgary-Sud-Ouest"," 608","Calgary",28,245,0,15,24,2,0,314,
