Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Huguette Allen,Alice Brown,Gordie Campbell,Janna Francis,Colin Mayes,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 115B","Vernon",29,25,0,21,72,1,0,148,270
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 116A","Vernon",23,25,0,15,73,2,0,138,274
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 116B","Vernon",28,38,1,18,64,1,0,150,249
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 117","Vernon",48,61,2,35,161,0,2,309,503
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 118","Vernon",36,29,0,17,105,1,2,190,418
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 118-1","Vernon",38,48,2,24,107,1,1,221,417
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 119","Vernon",45,37,1,24,126,1,2,236,432
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 120","Vernon",39,53,1,17,79,1,1,191,386
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 121A","Vernon",25,36,1,9,61,3,0,135,250
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 121B","Vernon",13,32,3,11,49,1,0,109,231
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 122A","Vernon",28,36,1,19,40,0,0,124,225
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 122B","Vernon",25,28,3,9,35,0,2,102,209
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 123","Vernon",24,51,2,23,81,0,2,183,358
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 124A","Vernon",28,56,3,23,83,1,1,195,400
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 124B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,57
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 125A","Vernon",22,28,2,16,76,0,0,144,244
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 125B","Vernon",15,34,3,18,77,0,1,148,252
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 126A","Vernon",31,38,1,20,59,2,0,151,336
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 126B","Vernon",23,32,1,19,64,1,0,140,323
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 127","Vernon",27,26,1,6,34,1,0,95,268
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 127-1","Vernon",17,22,0,16,54,0,0,109,277
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 128","Vernon",42,56,6,17,86,2,3,212,452
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 129A","Vernon",17,28,0,16,69,0,1,131,242
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 129B","Vernon",15,14,1,9,56,0,0,95,194
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 130","Vernon",52,62,1,21,66,3,0,205,530
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 131","Vernon",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 132A","Vernon",21,38,1,14,26,1,0,101,244
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 132B","Vernon",25,32,1,8,37,1,0,104,256
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 133","Vernon",72,45,2,32,70,0,0,221,396
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 134","Vernon",91,57,2,24,73,1,0,248,463
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 135A","Vernon",22,22,2,28,60,1,0,135,286
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 135B","Vernon",30,35,1,16,62,2,1,147,272
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 136","Vernon",48,63,0,22,121,0,1,255,439
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 137","Vernon",35,35,1,26,87,0,0,184,364
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 138A","Vernon",24,33,0,7,40,2,1,107,279
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 138B","Vernon",21,28,1,6,50,2,0,108,250
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 139","Vernon",38,48,0,23,129,0,0,238,434
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 140A","Vernon",24,30,0,18,57,1,1,131,264
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 140B","Vernon",30,18,0,18,44,0,1,111,221
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 141A","Vernon",32,23,0,9,76,2,0,142,276
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 141B","Vernon",28,16,0,16,81,2,0,143,253
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 142","Vernon",25,31,0,11,67,2,1,137,329
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 142-1","Vernon",26,41,0,10,40,0,0,117,297
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 143A","Vernon",16,25,2,7,66,0,0,116,254
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 143B","Vernon",27,40,0,13,56,0,0,136,276
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 144A","Vernon",15,35,3,17,79,5,0,154,316
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 144B","Vernon",15,29,0,8,57,0,0,109,286
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 145A","Vernon",25,34,1,22,108,0,0,190,417
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 145B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,106
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 146","Vernon",51,30,0,19,95,1,0,196,340
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 146-1","Vernon",21,37,5,27,91,1,0,182,322
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 147","Vernon",23,32,1,9,76,3,0,144,339
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 148A","Vernon",39,35,2,28,127,0,0,231,447
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 148B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,74
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 149","Vernon",36,34,1,18,83,2,0,174,346
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 150","Vernon",31,51,0,18,85,0,0,185,504
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 151","Vernon",48,57,5,13,73,1,0,197,413
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 152","Vernon",35,33,1,28,83,2,0,182,357
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 152-1","Vernon",29,27,2,19,61,1,0,139,281
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 153","Vernon",26,21,0,11,37,0,0,95,283
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 153-1","Vernon",31,43,4,18,58,4,0,158,475
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 154","Vernon",28,28,0,17,78,0,0,151,385
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 155","Vernon",28,38,0,13,63,1,0,143,400
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 156","Vernon",35,34,2,16,36,3,0,126,345
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 157","Vernon",16,45,0,9,45,3,0,118,280
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 157-1","Vernon",35,39,2,13,47,0,1,137,359
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 158","Vernon",61,34,1,38,57,0,0,191,327
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 159","Vernon",43,45,3,29,92,1,2,215,399
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 160A","Vernon",23,29,0,15,48,0,1,116,252
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 160B","Vernon",28,38,2,13,82,0,0,163,254
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 161A","Vernon",24,27,0,16,72,1,0,140,241
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 161B","Vernon",27,23,0,19,64,0,0,133,239
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 162","Vernon",30,37,0,20,70,0,0,157,358
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 163","Vernon",41,18,0,8,73,1,0,141,313
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 164","Vernon",23,25,0,18,50,0,0,116,289
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 165A","Vernon",24,25,1,31,113,0,0,194,373
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 165B","Vernon",37,32,1,25,121,0,3,219,387
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 166","Vernon",37,34,1,19,94,1,2,188,363
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 166-1","Vernon",26,35,2,18,120,4,0,205,374
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 166-2","Vernon",20,29,1,34,162,0,0,246,396
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 167","Vernon",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 168","Kalamalka",23,6,0,12,103,2,0,146,253
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 169A","Coldstream--Cousins Bay",38,18,0,28,79,0,0,163,269
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 169B","Coldstream--Cousins Bay",33,19,2,17,58,1,1,131,245
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 170","Coldstream Lookout",58,44,3,36,113,2,0,256,442
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 171","Coldstream College",25,30,1,10,60,0,1,127,261
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 172","Coldstream--Orchard Ridge",35,11,0,23,77,1,0,147,242
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 173","Coldstream",19,25,1,14,49,2,0,110,223
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 173-1","Coldstream",21,15,1,26,82,0,0,145,226
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 173-2","Coldstream",24,9,3,19,112,0,0,167,288
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 173-3","Coldstream",42,25,1,27,116,0,0,211,394
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 174","Coldstream",51,21,1,8,80,0,0,161,272
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 175","Coldstream",42,28,0,38,87,2,0,197,333
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 176","Coldstream",36,27,1,21,81,2,0,168,278
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 176-1","Coldstream",40,36,1,16,63,1,1,158,247
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 177","Coldstream",20,18,1,13,31,1,0,84,121
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 178A","Coldstream",37,30,1,25,90,0,1,184,308
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 178B","Coldstream",34,14,1,15,106,0,0,170,301
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 179","Coldstream",34,19,1,13,62,3,0,132,277
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 180","Coldstream",36,34,0,40,148,0,1,259,460
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 181","Coldstream",48,39,3,33,126,1,0,250,423
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 182","Lavington",31,34,1,14,105,1,2,188,336
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 183","Lavington",30,37,2,17,103,3,0,192,315
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 184","Lavington",59,55,6,23,137,3,0,283,500
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 185","Coldstream",53,43,0,19,121,0,0,236,420
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 186","Lumby--Trinity Valley",38,28,1,7,80,2,0,156,313
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 186-1","Lumby--Trinity Valley",37,10,0,4,71,0,1,123,260
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 187","Lumby",53,26,0,3,67,1,0,150,326
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 187-1","Lumby",54,49,1,20,112,0,2,238,440
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 188","Lumby",50,39,1,7,99,5,0,201,374
