Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Pierre Breton,Michaël Chicoine,Jacques Gélineau,Randy Jones,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Manicouagan/Manicouagan"," 54","Baie-Comeau",81,49,2,3,9,2,146,319
24039,"Manicouagan/Manicouagan"," 55","Baie-Comeau",79,41,7,3,7,2,139,293
24039,"Manicouagan/Manicouagan"," 56","Baie-Comeau",54,21,11,1,7,3,97,312
24039,"Manicouagan/Manicouagan"," 57","Baie-Comeau",80,36,1,7,13,1,138,302
24039,"Manicouagan/Manicouagan"," 58","Baie-Comeau",58,19,4,1,2,4,88,216
24039,"Manicouagan/Manicouagan"," 59","Baie-Comeau",106,60,8,4,17,1,196,419
24039,"Manicouagan/Manicouagan"," 60","Baie-Comeau",87,36,4,5,4,1,137,305
24039,"Manicouagan/Manicouagan"," 61","Baie-Comeau",94,62,10,5,8,1,180,391
24039,"Manicouagan/Manicouagan"," 62","Baie-Comeau",58,58,9,4,15,2,146,275
24039,"Manicouagan/Manicouagan"," 63","Baie-Comeau",85,49,8,9,11,1,163,408
24039,"Manicouagan/Manicouagan"," 64","Baie-Comeau",99,42,13,9,11,3,177,333
24039,"Manicouagan/Manicouagan"," 65","Baie-Comeau",78,67,4,6,12,2,169,318
24039,"Manicouagan/Manicouagan"," 66","Pointe-Lebel",144,62,12,8,13,3,242,431
24039,"Manicouagan/Manicouagan"," 67","Pointe-Lebel",85,36,8,4,11,0,144,297
24039,"Manicouagan/Manicouagan"," 68","Pointe-Lebel",143,51,5,6,12,1,218,416
24039,"Manicouagan/Manicouagan"," 69","Pointe-Lebel",103,43,8,1,5,0,160,370
24039,"Manicouagan/Manicouagan"," 70","Pointe-aux-Outardes",103,62,5,2,7,0,179,369
24039,"Manicouagan/Manicouagan"," 71","Ragueneau",85,37,1,4,8,0,135,396
24039,"Manicouagan/Manicouagan"," 72","Chute-aux-Outardes",102,35,4,1,3,0,145,331
24039,"Manicouagan/Manicouagan"," 73","Chute-aux-Outardes",109,45,7,2,12,2,177,377
24039,"Manicouagan/Manicouagan"," 74","Chute-aux-Outardes",102,34,2,2,2,4,146,376
24039,"Manicouagan/Manicouagan"," 75","Chute-aux-Outardes",109,26,3,3,4,3,148,324
24039,"Manicouagan/Manicouagan"," 76","Ragueneau",130,45,9,6,15,4,209,449
24039,"Manicouagan/Manicouagan"," 77","Pointe-aux-Outardes",121,60,7,8,7,2,205,393
24039,"Manicouagan/Manicouagan"," 78","Pointe-aux-Outardes",91,39,3,11,6,2,152,340
24039,"Manicouagan/Manicouagan"," 79","Ragueneau",84,44,7,3,8,1,147,390
24039,"Manicouagan/Manicouagan"," 80","Betsiamites",6,15,3,1,21,0,46,507
24039,"Manicouagan/Manicouagan"," 81","Betsiamites",8,17,0,2,23,0,50,380
24039,"Manicouagan/Manicouagan"," 81-1","Betsiamites",0,11,0,1,14,2,28,285
24039,"Manicouagan/Manicouagan"," 82","Betsiamites",4,12,1,2,10,1,30,396
24039,"Manicouagan/Manicouagan"," 83","Port-Cartier",120,35,12,4,17,2,190,498
24039,"Manicouagan/Manicouagan"," 84","Port-Cartier",122,40,9,15,25,4,215,458
24039,"Manicouagan/Manicouagan"," 85","Port-Cartier",88,33,19,11,13,4,168,412
24039,"Manicouagan/Manicouagan"," 86","Port-Cartier",47,19,2,3,10,0,81,246
24039,"Manicouagan/Manicouagan"," 87","Port-Cartier",91,38,8,5,15,1,158,471
24039,"Manicouagan/Manicouagan"," 88","Port-Cartier",98,25,8,10,12,6,159,377
24039,"Manicouagan/Manicouagan"," 89","Port-Cartier",90,42,9,6,24,0,171,353
24039,"Manicouagan/Manicouagan"," 90","Port-Cartier",83,19,6,2,9,1,120,331
24039,"Manicouagan/Manicouagan"," 91","Port-Cartier",83,17,3,7,13,2,125,300
24039,"Manicouagan/Manicouagan"," 92","Port-Cartier",94,52,14,6,13,4,183,333
24039,"Manicouagan/Manicouagan"," 93A","Port-Cartier",85,34,9,14,36,4,182,333
24039,"Manicouagan/Manicouagan"," 93B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,7
24039,"Manicouagan/Manicouagan"," 94","Port-Cartier",56,49,9,10,23,3,150,316
24039,"Manicouagan/Manicouagan"," 95","Port-Cartier",76,23,7,6,20,0,132,358
24039,"Manicouagan/Manicouagan"," 96","Gallix",90,26,7,16,19,5,163,298
24039,"Manicouagan/Manicouagan"," 96-1","Sept-Îles",64,36,6,9,25,4,144,290
24039,"Manicouagan/Manicouagan"," 97","Sept-Îles",114,32,10,6,31,2,195,361
24039,"Manicouagan/Manicouagan"," 98","Uashat",6,6,6,5,12,0,35,379
24039,"Manicouagan/Manicouagan"," 98-1","Uashat",7,22,0,3,23,0,55,352
24039,"Manicouagan/Manicouagan"," 99","Sept-Îles",64,16,12,7,25,5,129,295
24039,"Manicouagan/Manicouagan"," 100","Sept-Îles",65,24,3,7,21,4,124,254
24039,"Manicouagan/Manicouagan"," 101","Sept-Îles",79,36,7,5,28,4,159,300
24039,"Manicouagan/Manicouagan"," 102","Sept-Îles",101,36,5,11,25,2,180,341
24039,"Manicouagan/Manicouagan"," 103","Sept-Îles",61,45,11,4,21,0,142,335
24039,"Manicouagan/Manicouagan"," 104","Sept-Îles",89,51,9,7,29,1,186,396
24039,"Manicouagan/Manicouagan"," 105","Sept-Îles",81,29,12,9,24,6,161,307
24039,"Manicouagan/Manicouagan"," 106","Sept-Îles",53,56,11,5,32,4,161,321
24039,"Manicouagan/Manicouagan"," 107","Sept-Îles",70,22,2,3,20,5,122,293
24039,"Manicouagan/Manicouagan"," 108","Sept-Îles",67,26,7,1,17,0,118,272
24039,"Manicouagan/Manicouagan"," 109","Sept-Îles",142,52,14,16,55,6,285,532
24039,"Manicouagan/Manicouagan"," 110","Sept-Îles",72,19,6,4,18,4,123,308
24039,"Manicouagan/Manicouagan"," 111","Sept-Îles",52,22,8,12,18,5,117,331
24039,"Manicouagan/Manicouagan"," 112","Sept-Îles",85,32,6,5,19,0,147,349
24039,"Manicouagan/Manicouagan"," 113","Sept-Îles",65,24,2,15,15,0,121,365
24039,"Manicouagan/Manicouagan"," 114","Sept-Îles",51,14,7,8,18,3,101,295
24039,"Manicouagan/Manicouagan"," 115","Sept-Îles",43,21,9,5,14,0,92,211
24039,"Manicouagan/Manicouagan"," 116","Sept-Îles",82,86,4,16,60,3,251,450
24039,"Manicouagan/Manicouagan"," 117","Sept-Îles",54,26,4,7,20,1,112,286
24039,"Manicouagan/Manicouagan"," 118","Sept-Îles",68,47,10,6,21,3,155,373
24039,"Manicouagan/Manicouagan"," 119","Sept-Îles",100,35,10,5,31,1,182,420
24039,"Manicouagan/Manicouagan"," 120","Sept-Îles",85,25,10,3,19,5,147,330
24039,"Manicouagan/Manicouagan"," 121","Sept-Îles",100,27,7,2,18,2,156,374
24039,"Manicouagan/Manicouagan"," 122","Sept-Îles",103,21,5,3,8,4,144,307
24039,"Manicouagan/Manicouagan"," 123","Sept-Îles",78,24,22,6,13,4,147,331
24039,"Manicouagan/Manicouagan"," 124","Sept-Îles",118,25,12,7,24,1,187,430
24039,"Manicouagan/Manicouagan"," 125","Sept-Îles",116,43,8,6,23,6,202,484
24039,"Manicouagan/Manicouagan"," 126","Sept-Îles",120,37,7,3,18,5,190,439
24039,"Manicouagan/Manicouagan"," 127","Sept-Îles",105,38,8,13,30,4,198,410
24039,"Manicouagan/Manicouagan"," 128","Sept-Îles",109,36,11,11,32,6,205,443
24039,"Manicouagan/Manicouagan"," 129","Sept-Îles",74,25,13,2,19,2,135,387
24039,"Manicouagan/Manicouagan"," 130","Sept-Îles",101,19,5,6,33,4,168,411
24039,"Manicouagan/Manicouagan"," 131","Sept-Îles",101,55,14,12,39,5,226,452
24039,"Manicouagan/Manicouagan"," 132","Sept-Îles",132,47,14,10,43,3,249,481
24039,"Manicouagan/Manicouagan"," 133","Sept-Îles",92,36,8,7,28,4,175,343
24039,"Manicouagan/Manicouagan"," 134","Sept-Îles",76,32,4,5,33,2,152,392
24039,"Manicouagan/Manicouagan"," 135","Sept-Îles",60,23,3,2,23,6,117,355
24039,"Manicouagan/Manicouagan"," 136","Sept-Îles",108,42,7,9,30,2,198,395
24039,"Manicouagan/Manicouagan"," 137","Sept-Îles",76,25,10,6,18,5,140,356
24039,"Manicouagan/Manicouagan"," 138","Sept-Îles",87,29,16,9,30,1,172,551
24039,"Manicouagan/Manicouagan"," 139","Sept-Îles",44,15,8,4,14,4,89,273
24039,"Manicouagan/Manicouagan"," 140","Sept-Îles",111,66,14,7,46,5,249,464
24039,"Manicouagan/Manicouagan"," 141","Sept-Îles",72,26,12,7,22,2,141,268
24039,"Manicouagan/Manicouagan"," 142","Sept-Îles",93,53,13,8,33,6,206,372
24039,"Manicouagan/Manicouagan"," 143","Sept-Îles",77,32,6,7,18,2,142,291
24039,"Manicouagan/Manicouagan"," 144","Sept-Îles",58,44,20,6,18,5,151,262
24039,"Manicouagan/Manicouagan"," 145","Sept-Îles",112,40,15,17,30,7,221,529
24039,"Manicouagan/Manicouagan"," 146","Sept-Îles",95,28,6,9,15,7,160,338
24039,"Manicouagan/Manicouagan"," 147","Sept-Îles",102,40,19,24,44,3,232,467
24039,"Manicouagan/Manicouagan"," 148","Moisie",91,33,14,8,25,3,174,395
24039,"Manicouagan/Manicouagan"," 149","Moisie",121,36,6,13,15,5,196,456
24039,"Manicouagan/Manicouagan"," 150","Maliotenam 27A",13,8,2,0,28,0,51,419
24039,"Manicouagan/Manicouagan"," 151","Maliotenam 27A",5,6,1,5,16,0,33,394
24039,"Manicouagan/Manicouagan"," 152","Baie-Johan-Beetz",24,5,1,1,14,1,46,76
24039,"Manicouagan/Manicouagan"," 153","Rivière-au-Tonnerre",67,8,0,2,19,1,97,285
24039,"Manicouagan/Manicouagan"," 154","Rivière-Saint-Jean",60,5,2,6,24,0,97,225
24039,"Manicouagan/Manicouagan"," 155","Longue-Pointe",75,31,4,16,26,3,155,469
24039,"Manicouagan/Manicouagan"," 156","Havre-Saint-Pierre",120,42,16,5,19,5,207,439
24039,"Manicouagan/Manicouagan"," 157","Havre-Saint-Pierre",127,51,8,3,20,2,211,465
24039,"Manicouagan/Manicouagan"," 158","Havre-Saint-Pierre",113,40,3,7,30,4,197,441
24039,"Manicouagan/Manicouagan"," 159","Havre-Saint-Pierre",76,21,10,12,19,2,140,382
24039,"Manicouagan/Manicouagan"," 160","Havre-Saint-Pierre",55,30,14,0,15,1,115,247
24039,"Manicouagan/Manicouagan"," 161","Havre-Saint-Pierre",65,11,7,1,13,4,101,227
24039,"Manicouagan/Manicouagan"," 162","Havre-Saint-Pierre",72,34,5,3,20,2,136,273
24039,"Manicouagan/Manicouagan"," 163","Aguanish",83,13,5,3,35,2,141,261
24039,"Manicouagan/Manicouagan"," 164","Natashquan",56,14,5,3,46,4,128,239
24039,"Manicouagan/Manicouagan"," 165","Natashquan 1",16,9,8,1,52,0,86,485
24039,"Manicouagan/Manicouagan"," 166","Port-Menier",30,6,6,2,25,5,74,192
24039,"Manicouagan/Manicouagan"," 167","La Tabatière",5,19,8,4,146,1,183,293
24039,"Manicouagan/Manicouagan"," 168","Shekatika",4,1,3,0,19,1,28,68
24039,"Manicouagan/Manicouagan"," 169","Saint-Augustin",1,14,2,1,33,1,52,149
24039,"Manicouagan/Manicouagan"," 170","Saint-Augustin",3,12,4,5,56,1,81,293
24039,"Manicouagan/Manicouagan"," 171","Baie-des-Moutons",0,2,5,1,28,0,36,91
24039,"Manicouagan/Manicouagan"," 172","Tête-à-la-Baleine",21,7,0,0,34,0,62,153
24039,"Manicouagan/Manicouagan"," 173","Harrington Harbour",0,4,2,0,103,0,109,189
24039,"Manicouagan/Manicouagan"," 174","Chevery",6,13,6,0,85,0,110,195
24039,"Manicouagan/Manicouagan"," 175","La Romaine",13,4,6,2,50,0,75,607
24039,"Manicouagan/Manicouagan"," 176","La Romaine",22,4,7,0,16,0,49,103
24039,"Manicouagan/Manicouagan"," 177","Kegaska",5,27,6,1,33,0,72,90
24039,"Manicouagan/Manicouagan"," 178","Middle Bay",2,0,1,0,27,0,30,44
24039,"Manicouagan/Manicouagan"," 179","Lourdes-de-Blanc-Sablon",4,11,2,1,99,0,117,228
24039,"Manicouagan/Manicouagan"," 180A","Lourdes-de-Blanc-Sablon",15,16,5,0,50,0,86,267
24039,"Manicouagan/Manicouagan"," 180B","Lourdes-de-Blanc-Sablon",16,26,4,2,118,2,168,412
24039,"Manicouagan/Manicouagan"," 181","Rivière-Saint-Paul",2,13,7,2,97,1,122,331
24039,"Manicouagan/Manicouagan"," 182","Vieux-Fort",4,16,19,4,60,1,104,249
24039,"Manicouagan/Manicouagan"," 400","Fermont",Void/Supprimé,,,,,,,
24039,"Manicouagan/Manicouagan"," 401","Fermont",Void/Supprimé,,,,,,,
24039,"Manicouagan/Manicouagan"," 500","Mobile poll/Bureau itinérant",33,58,6,2,18,4,121,245
24039,"Manicouagan/Manicouagan"," 501","Mobile poll/Bureau itinérant",17,10,2,0,11,0,40,81
24039,"Manicouagan/Manicouagan"," 502","Mobile poll/Bureau itinérant",17,9,0,0,19,0,45,98
24039,"Manicouagan/Manicouagan"," 600","Schefferville--Matimekosh",10,1,1,3,10,0,25,
24039,"Manicouagan/Manicouagan"," 601","Fermont",42,21,5,3,7,1,79,
24039,"Manicouagan/Manicouagan"," 602","Baie-Trinité",29,15,2,0,2,0,48,
24039,"Manicouagan/Manicouagan"," 603","Baie-Comeau--Marquet",187,261,10,8,54,7,527,
24039,"Manicouagan/Manicouagan"," 604","Baie-Comeau",190,111,15,5,13,3,337,
24039,"Manicouagan/Manicouagan"," 605","Chutes-aux-Outardes--Betsiamites 3",105,47,11,2,9,1,175,
24039,"Manicouagan/Manicouagan"," 606","Gallix--Port-Cartier",163,71,14,14,42,4,308,
24039,"Manicouagan/Manicouagan"," 607","Sept-Îles",289,163,18,19,110,4,603,
24039,"Manicouagan/Manicouagan"," 608","Sept-Îles",202,107,7,6,68,2,392,
24039,"Manicouagan/Manicouagan"," 609","Moisie--Maliotenam",171,110,15,17,66,3,382,
24039,"Manicouagan/Manicouagan"," 610","Havre-Saint-Pierre",60,58,1,3,15,1,138,
24039,"Manicouagan/Manicouagan"," 611","Lourdes-de-Blanc-Sablon",1,4,0,0,10,1,16,
24039,"Manicouagan/Manicouagan"," 612","Port-Menier",7,4,1,1,2,0,15,
24039,"Manicouagan/Manicouagan"," 613","Baie-Comeau--Mingan",172,103,10,4,23,2,314,
24039,"Manicouagan/Manicouagan",,Group 1/Groupe 1,35,39,7,5,26,8,120,300
24039,"Manicouagan/Manicouagan",,Group 2/Groupe 2,253,171,19,8,43,8,502,

