Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Gregory Nyholt,Gerry Ritz,Harold Stephan,Bob Woloshyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 143","Kindersley",13,9,108,0,30,2,162,275
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 144","Brock",6,3,109,3,24,0,145,235
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 145","Kindersley",9,1,49,0,20,0,79,193
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 146","Kindersley",4,6,109,2,27,1,149,275
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 147","Kindersley",7,8,90,2,30,1,138,262
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 148","Kindersley",8,10,100,3,31,1,153,290
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 149","Kindersley",10,2,69,2,18,0,101,256
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 150","Kindersley",17,12,148,4,48,1,230,676
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 151","Kindersley",13,6,107,4,34,1,165,294
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 152","Kindersley",6,14,129,5,31,0,185,395
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 153","Kindersley",11,14,181,2,44,1,253,528
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",0,4,12,0,11,1,28,47
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",2,5,7,5,2,1,22,56
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",2,3,9,3,3,0,20,51
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",2,12,25,1,39,1,80,154
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",8,30,23,7,36,4,108,253
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",3,3,11,1,6,0,24,46
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 506","Mobile poll/Bureau itinérant",2,8,23,0,5,2,40,86
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","St. Walburg",6,11,105,0,21,0,143,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","Turtleford",7,7,38,0,9,0,61,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Cochin",2,14,81,0,32,0,129,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","North Battleford",8,26,176,1,90,2,303,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","North Battleford",6,23,86,2,63,0,180,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Lloydminster",10,9,190,5,55,1,270,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","Maidstone",14,3,87,3,17,2,126,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","Battleford",14,23,176,2,89,2,306,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","Unity",12,11,106,2,41,0,172,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Wilkie",2,10,64,0,26,0,102,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Kerrobert",3,7,48,2,22,0,82,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Kindersley",10,12,201,0,47,2,272,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 1/Groupe 1,17,42,21,0,47,4,131,179
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 2/Groupe 2,14,31,141,3,73,5,267,

