Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Burgis,Troy DeSouza,Brian G. Gordon,Keith Martin,Philip G. Ney,Brad Rhodes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 120","Saanich",45,70,25,112,0,0,2,254,412
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 121","Tillicum",58,42,15,118,1,0,0,234,346
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 122","Tillicum",30,51,17,69,2,0,0,169,273
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 123","Saanich",61,68,21,72,1,0,1,224,448
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 124","Saanich",89,76,23,109,1,0,2,300,470
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 125","Saanich",71,56,24,88,0,1,1,241,389
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 126","Tillicum",63,50,28,53,2,0,0,196,338
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 127","Tillicum",71,40,19,68,1,1,0,200,369
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 128","Saanich",69,73,27,89,1,0,0,259,425
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 129","Saanich",59,69,18,70,0,1,2,219,397
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 130","Saanich",99,63,24,85,3,0,3,277,497
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 131","Saanich",71,38,19,57,2,1,1,189,383
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 132","Saanich",69,44,24,86,2,1,0,226,436
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 133","Saanich",45,63,20,70,1,0,0,199,322
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 134","Tillicum",88,66,37,89,0,0,1,281,416
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 135","Saanich",80,66,39,89,7,1,0,282,476
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 136","Saanich",45,25,14,30,1,0,0,115,230
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 137","Saanich",54,39,13,51,5,2,0,164,331
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 138","Saanich",63,45,17,56,0,1,0,182,381
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 139","Colwood",71,85,19,116,1,1,0,293,514
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 140","Colwood",52,57,20,73,3,1,0,206,428
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 141","Colwood",21,61,5,32,3,0,0,122,315
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 142","Colwood",22,76,14,61,0,0,0,173,309
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 143","Colwood",30,55,14,56,1,0,0,156,240
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 144","Colwood",65,94,9,76,1,4,1,250,454
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 145","Colwood",44,57,20,44,1,0,0,166,274
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 146","Colwood",43,73,12,75,0,0,0,203,321
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 147","Colwood",62,103,17,76,1,2,0,261,442
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 148","Colwood",29,29,14,36,0,0,0,108,261
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 149","Colwood",43,77,9,56,2,1,2,190,328
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 150","Colwood",36,113,17,96,0,0,0,262,472
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 151","Colwood",42,62,15,57,0,0,0,176,317
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 152","Colwood",55,71,21,61,3,0,0,211,401
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 153","Colwood",42,82,15,60,0,0,0,199,352
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 154","Colwood",68,116,16,91,4,0,1,296,451
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 155","Colwood",52,83,19,111,4,0,0,269,439
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 156","Colwood",16,81,12,19,1,0,0,129,264
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 157","Colwood",57,103,26,91,3,0,1,281,467
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 158","Colwood",44,102,22,107,0,0,0,275,447
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 159","Colwood",37,77,22,77,2,0,1,216,364
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 160","Colwood",67,79,12,110,0,0,0,268,434
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 161","Colwood",41,110,26,77,2,2,0,258,413
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 162","Colwood",36,115,10,163,1,0,2,327,505
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 163","Colwood",79,252,38,192,1,0,1,563,981
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 163-1","Colwood",35,103,17,70,0,0,0,225,384
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 164","Tillicum",65,83,18,110,1,0,1,278,478
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 165","Esquimalt",84,99,27,124,1,1,0,336,613
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 166","Esquimalt",78,86,24,104,2,0,0,294,500
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 167","Esquimalt",84,77,32,106,3,2,3,307,472
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 168","Esquimalt",42,73,20,72,1,0,0,208,401
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 169","Esquimalt",37,64,15,83,2,0,0,201,345
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 170","Esquimalt",29,29,9,49,0,0,1,117,216
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 171","Esquimalt",58,60,37,117,1,0,0,273,498
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 172","Esquimalt",86,56,28,87,1,1,0,259,473
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 173","Esquimalt",59,46,22,55,2,3,0,187,378
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 174","Esquimalt",41,38,14,52,1,1,0,147,274
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 175","Esquimalt",54,40,17,70,1,0,1,183,407
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 176","Esquimalt",64,47,12,73,2,0,1,199,320
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 177","Esquimalt",54,46,29,106,2,1,0,238,436
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 178","Esquimalt",43,30,10,47,0,0,0,130,263
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 179","Esquimalt",56,35,27,43,1,0,0,162,313
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 180","Esquimalt",67,32,24,70,2,0,0,195,469
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 181","Esquimalt",13,27,9,61,0,1,0,111,302
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 182","Esquimalt",33,15,11,28,0,1,1,89,211
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 183","Esquimalt",50,28,16,51,2,0,2,149,309
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 184","Esquimalt",42,19,14,41,1,0,0,117,236
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 185","Esquimalt",25,25,12,45,1,0,0,108,225
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 186","Esquimalt",62,55,20,87,1,1,0,226,444
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 187","Esquimalt",55,50,16,87,1,0,1,210,390
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 188","Esquimalt",66,36,21,93,2,0,1,219,379
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 189","Esquimalt",43,36,14,47,0,1,0,141,290
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 190","Esquimalt",44,45,20,79,0,0,0,188,387
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 191","Esquimalt",52,68,23,132,0,2,0,277,442
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 192","Esquimalt",33,45,7,70,0,0,0,155,262
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 193","Esquimalt",55,22,5,67,1,0,0,150,230
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 194","Esquimalt",54,56,8,84,1,2,0,205,351
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 195","Esquimalt",63,49,23,66,0,0,0,201,426
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 196","Esquimalt",38,52,13,67,2,0,0,172,323
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 197","Esquimalt",30,33,14,63,0,1,0,141,272
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 198","Happy Valley",69,98,30,92,3,1,0,293,496
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 199","Happy Valley",53,117,27,113,1,0,0,311,505
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 200","Albert Head",78,102,30,112,1,1,0,324,485
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 201","Albert Head",82,112,23,119,5,0,0,341,537
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 202","Albert Head",20,44,16,84,2,0,0,166,288
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 203","Albert Head",41,79,11,116,2,0,0,249,364
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 204","Albert Head",51,123,26,101,1,0,0,302,484
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 205","Albert Head",17,55,17,55,1,0,0,145,232
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 206","Albert Head",41,41,24,75,0,0,0,181,322
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 600","Sooke",116,255,60,271,3,2,1,708,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 601","Langford",160,372,34,215,9,1,0,791,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 602","Saanich",65,157,20,131,0,1,0,374,
