Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,Noel Burgon,Ryan Dolby,Carl Hiemstra,Joe Preston,Suzanne van Bommel,Michael van Holst,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 137","St. Thomas",0,3,33,6,104,46,2,1,195,434
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 138","St. Thomas",1,10,39,0,64,33,3,1,151,294
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 139","St. Thomas",0,16,50,1,60,62,0,2,191,350
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 140","St. Thomas",3,3,37,2,46,33,2,0,126,266
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 141","St. Thomas",1,9,29,3,56,32,0,0,130,264
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 142","St. Thomas",0,9,49,1,68,33,1,1,162,317
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 143","St. Thomas",0,11,51,3,50,22,1,1,139,350
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 144","St. Thomas",0,13,64,0,136,63,0,1,277,495
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 145","Central Elgin",0,8,27,1,54,29,1,0,120,240
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 146","St. Thomas",1,12,47,1,69,28,2,0,160,372
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 147","St. Thomas",0,27,68,2,220,125,4,2,448,715
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 148","St. Thomas",3,8,34,2,67,45,0,0,159,326
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 149","St. Thomas",0,11,48,0,58,34,2,2,155,320
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 150","St. Thomas",1,7,42,0,118,51,1,1,221,448
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 151","St. Thomas",0,9,52,3,66,47,2,0,179,349
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 152","St. Thomas",0,7,54,0,68,75,1,1,206,380
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 153","St. Thomas",0,16,40,2,93,63,1,0,215,354
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 154","St. Thomas",0,9,49,1,77,44,0,1,181,316
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 155","Central Elgin",0,14,21,2,96,45,1,0,179,285
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 156","Yarmouth",1,22,63,6,147,51,0,2,292,494
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 157","Central Elgin",0,9,18,9,56,28,2,1,123,204
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 158","Central Elgin",0,24,51,1,156,87,1,1,321,603
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 158-1","Central Elgin",0,17,37,5,100,66,0,1,226,426
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 159A","Yarmouth",0,21,83,3,182,84,2,1,376,655
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 159B","Yarmouth",0,26,84,3,161,56,0,2,332,623
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 160","Yarmouth",0,6,18,3,94,41,0,0,162,261
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 161","Malahide",1,9,25,6,87,49,1,2,180,313
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 162","Central Elgin",0,25,47,3,113,72,0,0,260,396
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 163","Central Elgin",0,17,40,0,93,56,2,0,208,321
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 164","Central Elgin",0,13,24,2,68,58,1,0,166,303
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 165","Central Elgin",0,9,36,4,104,53,0,0,206,400
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 166","Sparta",0,16,34,1,69,37,1,1,159,240
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 167","Sparta",0,20,34,3,55,41,1,0,154,286
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 168","Malahide",4,19,48,5,111,48,2,1,238,527
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 169","Malahide",0,16,15,3,89,40,1,0,164,243
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 170","Malahide",0,15,29,6,95,41,0,0,186,287
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 171","Malahide",0,13,24,11,95,44,1,2,190,322
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 172","Springfield",0,3,26,5,115,24,0,0,173,303
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 173","Malahide",1,16,29,12,142,29,1,0,230,436
