Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugh Arrison,Richard Laushway,Paul Szabo,Matt Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Mississauga South/Mississauga-Sud"," 85","Mississauga",81,22,148,14,0,265,435
35050,"Mississauga South/Mississauga-Sud"," 86","Mississauga",129,15,101,6,1,252,433
35050,"Mississauga South/Mississauga-Sud"," 87A","Mississauga",153,7,103,6,1,270,460
35050,"Mississauga South/Mississauga-Sud"," 87B","Mississauga",165,9,132,12,2,320,522
35050,"Mississauga South/Mississauga-Sud"," 88","Mississauga",47,11,42,1,1,102,200
35050,"Mississauga South/Mississauga-Sud"," 89","Mississauga",102,14,91,3,0,210,332
35050,"Mississauga South/Mississauga-Sud"," 90","Mississauga",55,26,64,32,0,177,345
35050,"Mississauga South/Mississauga-Sud"," 91","Mississauga",56,18,56,17,0,147,306
35050,"Mississauga South/Mississauga-Sud"," 92","Mississauga",50,17,49,32,0,148,317
35050,"Mississauga South/Mississauga-Sud"," 93","Mississauga",61,19,63,25,0,168,404
35050,"Mississauga South/Mississauga-Sud"," 94","Mississauga",44,21,48,24,1,138,293
35050,"Mississauga South/Mississauga-Sud"," 95","Mississauga",37,19,55,13,1,125,240
35050,"Mississauga South/Mississauga-Sud"," 96","Mississauga",64,19,71,26,1,181,379
35050,"Mississauga South/Mississauga-Sud"," 97","Mississauga",55,19,91,13,1,179,294
35050,"Mississauga South/Mississauga-Sud"," 98","Mississauga",53,16,63,22,0,154,329
35050,"Mississauga South/Mississauga-Sud"," 99","Mississauga",61,19,71,16,0,167,367
35050,"Mississauga South/Mississauga-Sud"," 100","Mississauga",50,13,52,15,0,130,300
35050,"Mississauga South/Mississauga-Sud"," 101","Mississauga",90,6,102,4,0,202,338
35050,"Mississauga South/Mississauga-Sud"," 102","Mississauga",104,5,110,5,0,224,464
35050,"Mississauga South/Mississauga-Sud"," 103","Mississauga",55,17,98,9,0,179,326
35050,"Mississauga South/Mississauga-Sud"," 104","Mississauga",119,6,104,11,1,241,431
35050,"Mississauga South/Mississauga-Sud"," 105","Mississauga",93,10,115,3,0,221,415
35050,"Mississauga South/Mississauga-Sud"," 106","Mississauga",128,9,91,8,0,236,393
35050,"Mississauga South/Mississauga-Sud"," 107","Mississauga",103,16,106,9,1,235,416
35050,"Mississauga South/Mississauga-Sud"," 108","Mississauga",126,21,128,14,0,289,509
35050,"Mississauga South/Mississauga-Sud"," 109","Mississauga",105,11,88,4,0,208,358
35050,"Mississauga South/Mississauga-Sud"," 110","Mississauga",140,13,92,8,2,255,427
35050,"Mississauga South/Mississauga-Sud"," 111","Mississauga",73,10,57,7,0,147,250
35050,"Mississauga South/Mississauga-Sud"," 112","Mississauga",71,7,62,3,0,143,252
35050,"Mississauga South/Mississauga-Sud"," 113","Mississauga",134,14,124,11,0,283,425
35050,"Mississauga South/Mississauga-Sud"," 114","Mississauga",115,11,74,3,0,203,360
35050,"Mississauga South/Mississauga-Sud"," 115","Mississauga",107,12,68,3,1,191,332
35050,"Mississauga South/Mississauga-Sud"," 116","Mississauga",133,13,57,2,0,205,363
35050,"Mississauga South/Mississauga-Sud"," 117","Mississauga",88,15,127,27,2,259,585
35050,"Mississauga South/Mississauga-Sud"," 118","Mississauga",43,11,62,10,1,127,288
35050,"Mississauga South/Mississauga-Sud"," 119","Mississauga",69,11,56,4,0,140,270
35050,"Mississauga South/Mississauga-Sud"," 120","Mississauga",83,9,89,11,0,192,408
35050,"Mississauga South/Mississauga-Sud"," 121","Mississauga",96,16,92,9,0,213,424
35050,"Mississauga South/Mississauga-Sud"," 122","Mississauga",54,18,67,21,0,160,346
35050,"Mississauga South/Mississauga-Sud"," 123","Mississauga",52,20,69,24,0,165,410
35050,"Mississauga South/Mississauga-Sud"," 124","Mississauga",64,20,77,22,0,183,429
35050,"Mississauga South/Mississauga-Sud"," 125","Mississauga",103,11,91,8,0,213,361
35050,"Mississauga South/Mississauga-Sud"," 126","Mississauga",120,19,136,9,0,284,391
35050,"Mississauga South/Mississauga-Sud"," 127","Mississauga",91,13,117,13,1,235,400
35050,"Mississauga South/Mississauga-Sud"," 128","Mississauga",77,14,85,10,0,186,316
35050,"Mississauga South/Mississauga-Sud"," 129","Mississauga",100,20,147,13,1,281,439
35050,"Mississauga South/Mississauga-Sud"," 130","Mississauga",91,15,98,6,0,210,367
35050,"Mississauga South/Mississauga-Sud"," 131","Mississauga",145,22,121,7,1,296,504
35050,"Mississauga South/Mississauga-Sud"," 132","Mississauga",75,9,86,18,1,189,309
35050,"Mississauga South/Mississauga-Sud"," 133","Mississauga",58,19,104,23,0,204,357
35050,"Mississauga South/Mississauga-Sud"," 134","Mississauga",52,12,38,26,0,128,373
35050,"Mississauga South/Mississauga-Sud"," 135","Mississauga",68,13,129,9,0,219,349
35050,"Mississauga South/Mississauga-Sud"," 136","Mississauga",91,12,114,18,3,238,389
35050,"Mississauga South/Mississauga-Sud"," 137","Mississauga",Merged with No. 136/Fusionné avec le nº 136,,,,,,61
35050,"Mississauga South/Mississauga-Sud"," 138","Mississauga",85,24,138,25,1,273,449
35050,"Mississauga South/Mississauga-Sud"," 139","Mississauga",72,5,73,11,0,161,281
35050,"Mississauga South/Mississauga-Sud"," 140","Mississauga",81,19,71,8,0,179,315
35050,"Mississauga South/Mississauga-Sud"," 141","Mississauga",44,14,60,21,0,139,313
35050,"Mississauga South/Mississauga-Sud"," 142","Mississauga",57,11,104,30,1,203,438
35050,"Mississauga South/Mississauga-Sud"," 143","Mississauga",53,22,65,44,1,185,445
35050,"Mississauga South/Mississauga-Sud"," 144","Mississauga",67,22,74,6,0,169,261
35050,"Mississauga South/Mississauga-Sud"," 145","Mississauga",103,8,84,10,0,205,348
35050,"Mississauga South/Mississauga-Sud"," 146","Mississauga",64,13,97,9,1,184,318
35050,"Mississauga South/Mississauga-Sud"," 147","Mississauga",61,12,71,5,0,149,256
35050,"Mississauga South/Mississauga-Sud"," 148","Mississauga",106,10,83,6,1,206,318
35050,"Mississauga South/Mississauga-Sud"," 149","Mississauga",102,8,102,5,0,217,382
35050,"Mississauga South/Mississauga-Sud"," 150","Mississauga",116,18,150,9,1,294,566
35050,"Mississauga South/Mississauga-Sud"," 151","Mississauga",106,17,152,27,0,302,579
35050,"Mississauga South/Mississauga-Sud"," 152A","Mississauga",24,5,77,9,0,115,316
35050,"Mississauga South/Mississauga-Sud"," 152B","Mississauga",30,4,48,8,0,90,272
35050,"Mississauga South/Mississauga-Sud"," 153","Mississauga",26,4,98,19,0,147,478
35050,"Mississauga South/Mississauga-Sud"," 154","Mississauga",22,5,60,27,2,116,344
35050,"Mississauga South/Mississauga-Sud"," 155","Mississauga",17,0,45,9,0,71,279
35050,"Mississauga South/Mississauga-Sud"," 156","Mississauga",43,17,83,33,1,177,417
35050,"Mississauga South/Mississauga-Sud"," 157","Mississauga",49,12,86,19,0,166,272
35050,"Mississauga South/Mississauga-Sud"," 158","Mississauga",72,15,80,11,0,178,277
35050,"Mississauga South/Mississauga-Sud"," 159","Mississauga",62,16,78,12,1,169,242
35050,"Mississauga South/Mississauga-Sud"," 160","Mississauga",54,12,81,16,0,163,404
35050,"Mississauga South/Mississauga-Sud"," 161","Mississauga",91,12,118,14,0,235,335
35050,"Mississauga South/Mississauga-Sud"," 162","Mississauga",44,11,64,5,2,126,212
35050,"Mississauga South/Mississauga-Sud"," 163","Mississauga",50,6,70,13,1,140,222
35050,"Mississauga South/Mississauga-Sud"," 164","Mississauga",68,14,61,22,1,166,336
35050,"Mississauga South/Mississauga-Sud"," 165","Mississauga",74,19,70,19,0,182,350
35050,"Mississauga South/Mississauga-Sud"," 166","Mississauga",82,22,105,16,0,225,378
35050,"Mississauga South/Mississauga-Sud"," 167","Mississauga",104,14,134,16,2,270,401
35050,"Mississauga South/Mississauga-Sud"," 168","Mississauga",92,20,128,13,0,253,398
35050,"Mississauga South/Mississauga-Sud"," 169","Mississauga",100,22,102,26,1,251,437
35050,"Mississauga South/Mississauga-Sud"," 170","Mississauga",109,7,123,14,0,253,522
35050,"Mississauga South/Mississauga-Sud"," 171","Mississauga",54,9,50,20,0,133,306
35050,"Mississauga South/Mississauga-Sud"," 172","Mississauga",51,14,77,9,0,151,270
35050,"Mississauga South/Mississauga-Sud"," 173","Mississauga",45,9,82,13,0,149,223
35050,"Mississauga South/Mississauga-Sud"," 174","Mississauga",55,9,73,35,0,172,310
35050,"Mississauga South/Mississauga-Sud"," 175","Mississauga",100,17,67,31,1,216,399
35050,"Mississauga South/Mississauga-Sud"," 176","Mississauga",50,8,27,14,0,99,208
35050,"Mississauga South/Mississauga-Sud"," 177","Mississauga",50,16,71,31,0,168,366
35050,"Mississauga South/Mississauga-Sud"," 178","Mississauga",35,14,62,28,0,139,399
35050,"Mississauga South/Mississauga-Sud"," 179","Mississauga",34,12,61,16,1,124,354
35050,"Mississauga South/Mississauga-Sud"," 180","Mississauga",37,12,46,26,0,121,287
35050,"Mississauga South/Mississauga-Sud"," 181","Mississauga",86,10,80,27,1,204,358
35050,"Mississauga South/Mississauga-Sud"," 182","Mississauga",85,20,81,36,0,222,399
35050,"Mississauga South/Mississauga-Sud"," 183","Mississauga",56,12,44,23,2,137,269
35050,"Mississauga South/Mississauga-Sud"," 184","Mississauga",68,21,68,19,0,176,357
35050,"Mississauga South/Mississauga-Sud"," 185","Mississauga",48,8,56,29,1,142,350
35050,"Mississauga South/Mississauga-Sud"," 186","Mississauga",60,18,74,38,1,191,372
35050,"Mississauga South/Mississauga-Sud"," 187","Mississauga",68,9,82,22,1,182,343
35050,"Mississauga South/Mississauga-Sud"," 188","Mississauga",63,16,108,26,0,213,349
35050,"Mississauga South/Mississauga-Sud"," 189","Mississauga",95,25,124,39,2,285,559
35050,"Mississauga South/Mississauga-Sud"," 190","Mississauga",49,14,62,24,0,149,293
35050,"Mississauga South/Mississauga-Sud"," 191","Mississauga",62,19,69,23,2,175,395
35050,"Mississauga South/Mississauga-Sud"," 192","Mississauga",30,16,46,23,0,115,228
35050,"Mississauga South/Mississauga-Sud"," 193","Mississauga",36,4,35,15,0,90,257
35050,"Mississauga South/Mississauga-Sud"," 194A","Mississauga",46,12,47,26,0,131,378
35050,"Mississauga South/Mississauga-Sud"," 194B","Mississauga",55,16,50,32,1,154,398
35050,"Mississauga South/Mississauga-Sud"," 195","Mississauga",Void/Supprimé,,,,,,
35050,"Mississauga South/Mississauga-Sud"," 196","Mississauga",38,12,44,11,2,107,327
35050,"Mississauga South/Mississauga-Sud"," 197","Mississauga",100,10,124,5,0,239,370
35050,"Mississauga South/Mississauga-Sud"," 400","Mississauga",112,11,134,12,0,269,357
35050,"Mississauga South/Mississauga-Sud"," 401","Mississauga",64,11,112,26,3,216,336
35050,"Mississauga South/Mississauga-Sud"," 402","Mississauga",64,13,115,43,1,236,337
35050,"Mississauga South/Mississauga-Sud"," 403","Mississauga",63,17,100,15,0,195,292
35050,"Mississauga South/Mississauga-Sud"," 404","Mississauga",34,2,66,15,1,118,401
35050,"Mississauga South/Mississauga-Sud"," 405","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,232
35050,"Mississauga South/Mississauga-Sud"," 406","Mississauga",30,6,36,22,0,94,301
35050,"Mississauga South/Mississauga-Sud"," 407","Mississauga",24,7,34,5,1,71,209
35050,"Mississauga South/Mississauga-Sud"," 408","Mississauga",22,0,31,18,0,71,241
35050,"Mississauga South/Mississauga-Sud"," 409","Mississauga",44,13,52,21,0,130,295
35050,"Mississauga South/Mississauga-Sud"," 410","Mississauga",32,4,43,14,3,96,197
35050,"Mississauga South/Mississauga-Sud"," 411","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,104
35050,"Mississauga South/Mississauga-Sud"," 412","Mississauga",46,26,54,40,1,167,366
35050,"Mississauga South/Mississauga-Sud"," 500","Mobile poll/Bureau itinérant",36,3,48,10,6,103,67
35050,"Mississauga South/Mississauga-Sud"," 501","Mobile poll/Bureau itinérant",37,4,50,12,0,103,211
35050,"Mississauga South/Mississauga-Sud"," 502A","Mobile poll/Bureau itinérant",18,3,26,11,0,58,160
35050,"Mississauga South/Mississauga-Sud"," 502B","Mobile poll/Bureau itinérant",40,2,55,11,0,108,153
35050,"Mississauga South/Mississauga-Sud"," 600","Mississauga",195,33,173,31,1,433,
35050,"Mississauga South/Mississauga-Sud"," 601","Mississauga",182,27,206,54,1,470,
35050,"Mississauga South/Mississauga-Sud"," 602","Mississauga",193,29,160,35,2,419,
35050,"Mississauga South/Mississauga-Sud"," 603","Mississauga",188,22,228,36,1,475,
35050,"Mississauga South/Mississauga-Sud"," 604","Mississauga",292,32,226,31,5,586,
35050,"Mississauga South/Mississauga-Sud"," 605","Mississauga",330,41,307,35,1,714,
35050,"Mississauga South/Mississauga-Sud"," 606","Mississauga",345,39,341,23,5,753,
35050,"Mississauga South/Mississauga-Sud"," 607","Mississauga",224,25,279,50,0,578,
35050,"Mississauga South/Mississauga-Sud"," 608","Mississauga",145,16,220,32,0,413,
35050,"Mississauga South/Mississauga-Sud"," 609","Mississauga",240,23,213,54,0,530,
35050,"Mississauga South/Mississauga-Sud",,Group 1/Groupe 1,42,10,42,2,2,98,159
35050,"Mississauga South/Mississauga-Sud",,Group 2/Groupe 2,479,58,462,50,9,1058,

