Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Aegard,Ken Boshcoff,Richard Neumann,John Rafferty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Devlin",9,47,57,81,1,195,298
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Alberton",7,32,58,63,0,160,311
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Burriss",6,28,29,53,0,116,220
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Alberton",3,37,67,62,0,169,350
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21A","Dance",0,5,10,7,0,22,75
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21B","Dance",1,3,1,70,1,76,95
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22A","Couchiching 16A",1,22,7,79,0,109,110
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22B","Couchiching 16A",1,10,0,25,0,36,42
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Fort Frances",2,49,33,102,0,186,333
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24A","Fort Frances",3,14,15,31,0,63,272
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24B","Fort Frances",0,10,9,26,0,45,249
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","Rocky Inlet",4,40,56,39,0,139,211
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 26","Bear Pass",2,19,18,54,1,94,139
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 27","Mine Centre",1,12,12,0,1,26,93
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 28","Seine River 23A",5,10,2,55,1,73,166
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 29","Neguaguon Lake 25D",2,3,0,55,0,60,88
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 30","Fort Frances",4,41,38,88,0,171,468
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31","Fort Frances",7,37,42,88,0,174,435
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 32","Fort Frances",6,34,45,76,0,161,370
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 33","Fort Frances",4,40,48,87,0,179,355
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 34","Fort Frances",4,48,43,73,0,168,372
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 35","Fort Frances",6,58,69,93,0,226,449
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 36","Fort Frances",13,39,41,92,0,185,397
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 37","Fort Frances",3,31,30,69,0,133,369
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 38","Fort Frances",1,34,47,90,1,173,437
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 39","Fort Frances",3,22,21,54,0,100,271
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 40","Fort Frances",7,30,27,49,0,113,264
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 41","Fort Frances",3,89,66,98,0,256,452
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 42","Fort Frances",3,51,43,84,1,182,399
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 43","Fort Frances",1,18,20,82,0,121,312
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 44","Fort Frances",1,31,34,57,0,123,322
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 45","Atikokan",1,47,26,72,1,147,345
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 46","Atikokan",6,26,26,65,1,124,297
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 47","Atikokan",6,32,17,59,0,114,308
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 48","Atikokan",10,16,20,66,0,112,293
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Atikokan",2,26,25,45,0,98,235
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Atikokan",11,25,35,51,0,122,325
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Atikokan",5,56,34,50,0,145,345
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Atikokan",9,30,20,45,0,104,281
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Sapawe",2,40,33,33,0,108,200
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Upsala",3,19,43,22,0,87,209
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Shebandowan",6,28,36,31,0,101,154
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56","Raith",2,23,29,57,0,111,298
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56-1","Thunder Bay, Unorganized",0,9,2,3,0,14,27
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Mokomon",10,32,47,55,1,145,320
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57-1","Thunder Bay, Unorganized",5,22,19,38,0,84,201
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",12,77,78,103,0,270,514
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59","Oliver",11,65,75,89,2,242,510
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59-1","Oliver Paipoonge",10,35,50,44,1,140,295
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","O'Connor",5,29,50,103,1,188,319
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","O'Connor",3,45,31,45,1,125,250
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Paipoonge",20,59,79,82,0,240,422
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Kakabeka Falls",5,30,41,46,0,122,256
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Murillo",9,24,75,59,0,167,299
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Murillo",Void/Supprimé,,,,,,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Paipoonge",12,60,82,75,0,229,416
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Paipoonge",14,73,103,78,1,269,442
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Paipoonge",14,57,118,51,0,240,384
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Paipoonge",7,52,71,52,2,184,299
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Paipoonge",11,51,71,46,0,179,314
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71","Nolalu",22,50,60,90,1,223,486
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Hymers",14,17,32,41,0,104,183
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","South Gillies",10,33,45,82,1,171,301
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Scoble",12,37,45,71,0,165,332
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Pardee",7,11,28,46,0,92,176
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Crooks",2,17,21,36,0,76,163
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Moose Hill",13,62,118,105,0,298,530
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",3,82,74,66,1,226,379
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79A","Thunder Bay",2,62,48,49,0,161,302
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79B","Thunder Bay",6,58,53,56,0,173,329
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",9,86,51,79,0,225,427
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Thunder Bay",4,55,30,45,0,134,313
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",5,95,51,39,1,191,328
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",5,32,18,68,1,124,398
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",7,54,16,62,0,139,287
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",9,72,31,93,1,206,382
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",6,65,32,101,0,204,430
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",2,36,21,64,2,125,272
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",8,56,16,104,0,184,390
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",15,112,102,80,1,310,558
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",12,106,60,89,3,270,468
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",2,49,38,106,0,195,402
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",7,88,63,89,1,248,425
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",6,53,50,78,1,188,347
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",5,66,44,76,0,191,406
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",2,42,20,77,2,143,353
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",6,118,64,77,0,265,475
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97","Thunder Bay",9,83,80,73,0,245,474
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",9,115,85,63,0,272,478
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",8,82,44,34,1,169,318
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",8,119,80,71,0,278,440
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",6,96,47,65,0,214,377
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",3,24,15,39,2,83,296
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",3,41,31,79,0,154,328
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",3,48,19,55,0,125,277
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",7,92,44,80,0,223,381
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",6,54,36,77,2,175,351
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",12,78,36,80,1,207,410
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",8,76,37,77,1,199,359
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",6,69,28,69,0,172,322
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",7,83,26,44,0,160,290
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",3,76,41,62,0,182,331
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",2,67,24,52,0,145,265
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",3,90,46,55,0,194,368
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",5,50,36,55,0,146,290
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",6,91,49,61,1,208,388
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",7,55,22,67,0,151,342
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",6,90,36,87,3,222,387
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",4,150,50,93,0,297,550
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",9,96,51,81,2,239,478
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",9,120,48,91,2,270,515
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",4,51,24,55,1,135,304
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",4,69,43,60,1,177,367
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",6,54,24,47,0,131,314
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124A","Thunder Bay",4,61,30,61,0,156,282
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124B","Thunder Bay",11,7,15,22,0,55,78
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",5,83,37,79,0,204,353
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",7,76,33,62,0,178,341
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",3,78,24,50,1,156,287
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128A","Thunder Bay",9,101,32,111,1,254,548
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128B","Thunder Bay",2,9,7,7,0,25,104
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",7,49,29,61,0,146,280
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",6,61,30,62,0,159,293
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",7,51,39,61,1,159,352
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",5,39,12,72,0,128,280
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",3,33,21,52,0,109,284
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",7,50,25,92,2,176,384
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",7,41,28,68,0,144,337
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Thunder Bay",8,47,19,66,0,140,346
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Thunder Bay",4,37,11,52,0,104,274
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Thunder Bay",9,23,25,66,0,123,339
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Thunder Bay",8,32,5,75,0,120,305
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",5,36,10,44,1,96,232
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",8,56,13,73,0,150,343
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",7,36,24,51,0,118,332
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",3,35,14,81,0,133,330
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",7,38,17,64,2,128,338
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",5,42,39,89,0,175,393
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",5,83,26,75,3,192,401
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",7,45,15,51,2,120,329
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",8,34,12,45,1,100,367
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",1,20,11,40,0,72,204
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",11,55,24,100,1,191,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",9,65,21,71,0,166,340
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",16,35,20,89,0,160,364
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Thunder Bay",6,62,25,61,0,154,350
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",7,68,29,74,1,179,369
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",4,33,26,46,0,109,336
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",11,57,38,93,1,200,439
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",14,96,30,69,1,210,370
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",15,97,44,53,1,210,423
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",18,103,32,78,0,231,410
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","Thunder Bay",6,40,23,55,0,124,237
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","Thunder Bay",11,60,23,75,0,169,343
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",7,65,28,94,0,194,391
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",5,27,15,71,0,118,291
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",3,50,26,94,1,174,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",3,36,13,69,1,122,253
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",2,38,28,66,0,134,307
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Thunder Bay",8,54,15,99,0,176,399
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","Thunder Bay",4,36,28,68,0,136,356
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Thunder Bay",12,62,41,78,0,193,420
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Thunder Bay",5,49,39,37,0,130,344
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Thunder Bay",6,46,15,40,0,107,340
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Thunder Bay",9,54,22,72,1,158,329
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","Thunder Bay",6,73,23,62,0,164,312
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Thunder Bay",3,60,23,79,0,165,344
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175A","Thunder Bay",7,47,34,81,0,169,346
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175B","Thunder Bay",0,29,6,6,1,42,133
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Thunder Bay",2,77,43,76,1,199,468
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Thunder Bay",3,74,29,54,1,161,386
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 178","Thunder Bay",4,50,35,75,3,167,449
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 179","Thunder Bay",4,53,33,76,0,166,346
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 180","Thunder Bay",7,39,20,82,0,148,365
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 181","Thunder Bay",8,42,25,57,0,132,293
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 182","Thunder Bay",6,54,16,91,1,168,299
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 183","Thunder Bay",6,51,27,88,0,172,414
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 184","Thunder Bay",16,40,13,92,1,162,405
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 185A","Fort William 52",2,30,5,43,0,80,294
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 185B","Fort William 52",5,48,3,39,0,95,286
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",2,26,5,13,0,46,46
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",4,37,58,39,0,138,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Fort Frances",9,48,81,83,0,221,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",14,111,141,242,2,510,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",16,142,108,189,1,456,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka Falls",24,98,134,114,0,370,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",9,180,80,194,0,463,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",17,323,186,228,2,756,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",19,256,175,230,3,683,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",6,112,51,119,0,288,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",8,133,69,117,1,328,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",10,251,142,284,0,687,
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1,9,48,37,28,4,126,207
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2,47,314,236,285,8,890,

