Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Aubert,Jean-Yves Laforest,Stéphane Roof,Ronald St-Onge Lynch,Martial Toupin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","La Tuque",14,52,33,30,3,3,135,299
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","La Tuque",23,92,32,30,6,3,186,398
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","La Tuque",13,51,16,23,6,2,111,274
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Hervey-Jonction",16,78,29,12,6,12,153,241
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 38","Notre-Dame-de-Montauban",12,61,22,22,8,0,125,259
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 39","Notre-Dame-de-Montauban",12,96,57,15,6,4,190,300
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 40","Notre-Dame-de-Montauban",4,30,9,7,0,3,53,141
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 41","Lac-aux-Sables",16,69,39,22,8,3,157,304
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42A","Lac-aux-Sables",15,90,45,31,5,3,189,343
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42B","Lac-aux-Sables",12,80,36,22,2,2,154,269
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 43","Sainte-Thècle",15,125,73,22,6,3,244,469
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 44","Sainte-Thècle",9,71,52,29,4,2,167,336
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 45","Sainte-Thècle",17,113,52,36,4,3,225,425
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 46","Sainte-Thècle",6,86,32,20,2,6,152,273
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 47","Sainte-Thècle",17,109,89,36,12,10,273,528
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 48","Saint-Adelphe",26,97,66,39,15,3,246,424
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 49","Saint-Adelphe",10,74,67,51,4,2,208,378
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 50","Saint-Roch-de-Mékinac",13,54,40,24,2,6,139,258
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 51","Grandes-Piles",18,92,41,35,7,7,200,319
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 52","Saint-Tite",19,124,71,57,15,7,293,521
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 53","Saint-Tite",8,69,70,39,2,5,193,332
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 54","Saint-Tite",15,56,46,30,6,6,159,369
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 55","Saint-Tite",7,53,39,60,7,1,167,269
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 56","Saint-Tite",21,79,53,52,5,4,214,390
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 57","Saint-Tite",14,71,62,43,6,12,208,366
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 58","Saint-Tite",8,78,41,53,7,10,197,331
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 59","Saint-Tite",11,57,38,46,5,4,161,303
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 60","Saint-Tite",17,59,46,30,1,3,156,327
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 61","Hérouxville",12,57,50,35,1,1,156,243
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 62","Hérouxville",18,140,56,49,6,6,275,526
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 63","Hérouxville",10,69,45,28,7,1,160,299
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 64","Proulxville",14,55,37,54,9,3,172,287
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 65","Proulxville",17,95,70,50,11,5,248,412
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66","Saint-Jean-des-Piles",14,82,55,51,8,2,212,356
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66-1","Shawinigan",18,69,37,36,3,2,165,275
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 67","Grand-Mère",15,98,60,62,9,8,252,466
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 68","Grand-Mère",33,97,42,44,7,4,227,418
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 69","Grand-Mère",11,73,25,78,4,4,195,338
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70","Grand-Mère",22,93,41,67,7,6,236,392
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70-1","Grand-Mère",7,83,38,62,4,5,199,362
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 71","Saint-Gérard-des-Laurentides",17,94,35,31,10,4,191,352
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 72","Saint-Gérard-des-Laurentides",31,117,51,47,7,6,259,455
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 73","Saint-Gérard-des-Laurentides",11,92,47,52,10,13,225,437
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74","Shawinigan",25,97,52,49,6,6,235,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74-1","Shawinigan",11,67,45,53,5,2,183,319
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 75","Shawinigan",11,95,47,43,8,5,209,365
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 76","Saint-Gérard-des-Laurentides",25,116,68,36,9,5,259,509
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 77","Shawinigan",12,97,43,49,8,6,215,399
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 78","Shawinigan",17,104,50,51,5,3,230,396
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 79","Saint-Georges",23,113,73,37,7,5,258,512
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 80","Lac-à-la-Tortue",13,100,71,49,8,10,251,534
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 81","Lac-à-la-Tortue",11,96,47,46,4,6,210,421
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 82","Lac-à-la-Tortue",6,54,28,28,6,2,124,292
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 83","Saint-Georges",20,94,48,40,9,5,216,435
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 84","Saint-Georges",14,79,39,37,9,9,187,412
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 85","Saint-Georges",17,76,30,37,5,5,170,320
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 86","Saint-Georges",6,101,26,22,3,2,160,330
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 87","Grand-Mère",10,93,33,44,4,1,185,418
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 88","Saint-Georges",13,85,57,45,2,7,209,467
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 89","Saint-Georges",23,124,52,59,6,7,271,493
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 90","Lac-à-la-Tortue",13,86,37,24,9,7,176,441
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 91","Lac-à-la-Tortue",10,51,23,21,0,1,106,258
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 92","Lac-à-la-Tortue",27,100,50,28,9,5,219,501
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 93","Grand-Mère",10,76,21,32,5,3,147,321
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 94","Grand-Mère",14,65,20,24,2,5,130,277
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 95","Grand-Mère",15,71,28,18,3,6,141,309
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 96","Grand-Mère",14,88,37,38,1,8,186,380
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 97","Grand-Mère",17,96,31,37,6,8,195,418
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 98","Grand-Mère",9,40,30,35,5,0,119,381
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 99","Grand-Mère",4,52,19,18,4,2,99,329
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100","Grand-Mère",10,73,35,45,6,5,174,472
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 101","Grand-Mère",13,68,24,19,2,4,130,352
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 102","Grand-Mère",17,57,21,42,5,8,150,372
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 103","Grand-Mère",10,71,15,45,5,2,148,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 104","Grand-Mère",12,62,26,30,2,2,134,297
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 105","Grand-Mère",14,58,26,26,1,3,128,283
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 106","Grand-Mère",8,80,50,70,5,2,215,416
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 107","Grand-Mère",6,74,57,24,3,4,168,316
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 108","Grand-Mère",22,81,50,39,3,4,199,449
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 109","Grand-Mère",13,97,45,49,6,7,217,405
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 110","Grand-Mère",12,88,58,68,0,4,230,422
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 111","Grand-Mère",22,70,28,43,3,3,169,376
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 112","Grand-Mère",8,79,36,43,0,6,172,372
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 113","Grand-Mère",18,85,50,57,11,10,231,439
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 114","Grand-Mère",8,80,38,59,4,4,193,416
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 115","Grand-Mère",11,60,33,37,4,2,147,341
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 116","Shawinigan",20,116,53,40,6,4,239,425
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 117","Shawinigan",23,99,35,45,14,4,220,486
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 118","Shawinigan",8,96,61,49,3,5,222,415
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 119","Shawinigan",15,113,49,38,4,1,220,345
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 120","Shawinigan",13,83,44,36,5,3,184,324
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 121","Shawinigan",26,75,40,64,6,7,218,572
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 122","Shawinigan",8,73,42,39,5,4,171,304
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 123","Shawinigan",14,119,45,34,8,0,220,364
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 124","Shawinigan",13,66,27,29,8,0,143,339
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 125","Shawinigan",15,73,21,38,3,6,156,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 126","Shawinigan",12,72,29,51,2,1,167,380
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 127","Shawinigan",12,89,35,41,6,9,192,373
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 128","Shawinigan",12,67,29,29,10,6,153,349
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 129","Shawinigan",8,44,23,44,5,0,124,291
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 130","Shawinigan",9,64,27,35,5,2,142,434
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 131","Shawinigan",9,53,28,16,7,1,114,295
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 132","Shawinigan",10,54,15,19,1,7,106,287
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 133","Shawinigan",10,56,22,32,6,2,128,369
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 134","Shawinigan",11,69,23,27,6,6,142,398
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 135","Shawinigan",12,57,21,27,6,3,126,348
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 136","Shawinigan",15,51,24,26,5,1,122,393
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 137","Shawinigan",6,63,30,32,6,6,143,380
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 138","Shawinigan",11,54,22,36,6,1,130,231
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 139","Shawinigan",8,69,53,54,5,5,194,396
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 140","Shawinigan",8,61,31,24,4,0,128,376
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 141","Shawinigan",1,70,26,28,2,1,128,312
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 142","Shawinigan",18,52,17,30,1,2,120,253
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 143","Shawinigan",15,73,29,22,4,2,145,362
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 144","Shawinigan",17,68,33,30,3,3,154,332
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 145","Shawinigan",11,64,21,19,6,4,125,346
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 146","Shawinigan",13,83,34,46,7,2,185,452
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 147","Shawinigan",20,147,36,45,11,2,261,412
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 148","Shawinigan",19,39,30,32,2,5,127,319
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 149","Shawinigan",17,64,22,41,9,6,159,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 150","Shawinigan-Sud",23,116,37,31,6,0,213,367
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 151","Shawinigan-Sud",25,101,36,49,9,0,220,420
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 152","Shawinigan-Sud",15,108,44,40,7,11,225,450
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 153","Shawinigan-Sud",23,122,53,66,7,12,283,506
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 154","Shawinigan-Sud",12,96,52,51,0,4,215,396
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 155","Shawinigan-Sud",7,61,29,42,8,7,154,302
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 156","Shawinigan-Sud",21,81,38,58,7,5,210,426
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 157","Shawinigan-Sud",20,74,52,72,5,4,227,407
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158A","Shawinigan-Sud",9,73,31,34,7,4,158,345
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158B","Shawinigan-Sud",10,70,54,78,5,7,224,258
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 159","Shawinigan-Sud",8,50,25,30,3,3,119,298
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160","Shawinigan-Sud",11,55,22,26,5,3,122,290
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161","Shawinigan-Sud",6,39,15,29,2,1,92,225
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 162","Shawinigan-Sud",7,69,29,25,7,2,139,318
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 163","Shawinigan-Sud",13,70,46,26,9,6,170,348
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 164","Shawinigan-Sud",17,73,29,52,7,8,186,381
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 165","Shawinigan-Sud",15,105,59,58,6,5,248,400
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 166","Shawinigan-Sud",8,67,38,50,3,4,170,405
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 167","Shawinigan-Sud",12,95,39,60,7,5,218,377
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 168","Shawinigan-Sud",17,94,70,75,3,9,268,453
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 168-1","Shawinigan-Sud",17,89,31,44,5,4,190,304
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 169","Shawinigan-Sud",15,89,56,73,5,7,245,399
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 170","Shawinigan-Sud",11,114,43,42,9,3,222,341
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 171","Shawinigan-Sud",18,71,41,44,4,6,184,390
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 172","Shawinigan-Sud",11,95,44,36,6,3,195,326
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 173","Shawinigan-Sud",18,66,35,28,5,2,154,251
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 174","Shawinigan-Sud",20,81,49,46,9,7,212,366
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 175","Notre-Dame-du-Mont-Carmel",14,102,54,51,13,7,241,447
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 176","Notre-Dame-du-Mont-Carmel",19,88,44,45,7,4,207,416
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 177","Notre-Dame-du-Mont-Carmel",25,117,48,50,7,3,250,486
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 178","Notre-Dame-du-Mont-Carmel",28,113,51,46,9,0,247,514
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 179","Notre-Dame-du-Mont-Carmel",16,98,57,26,7,6,210,405
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 180","Notre-Dame-du-Mont-Carmel",28,97,48,31,7,4,215,468
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 181","Notre-Dame-du-Mont-Carmel",22,87,44,25,18,7,203,394
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 182","Notre-Dame-du-Mont-Carmel",11,64,30,10,6,2,123,285
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 183","Notre-Dame-du-Mont-Carmel",22,95,35,36,8,3,199,422
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 184","Notre-Dame-du-Mont-Carmel",10,68,56,12,7,0,153,330
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 185","Saint-Maurice",33,115,55,42,27,8,280,451
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 186","Saint-Maurice",34,117,72,47,42,3,315,477
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 187","Saint-Maurice",26,103,103,56,19,10,317,491
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 188","Saint-Maurice",46,112,67,48,29,11,313,524
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 189","Saint-Stanislas",38,114,97,60,17,4,330,565
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 190","Saint-Stanislas",4,24,35,22,6,0,91,140
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 191","Saint-Prosper",24,118,72,76,15,1,306,452
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 192","Sainte-Anne-de-la-Pérade",10,88,55,38,5,2,198,338
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 193","Sainte-Anne-de-la-Pérade",14,72,59,39,12,4,200,305
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 194","Sainte-Anne-de-la-Pérade",14,69,47,53,4,4,191,312
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 195","Sainte-Anne-de-la-Pérade",14,68,58,38,6,4,188,334
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 196","Sainte-Anne-de-la-Pérade",22,73,52,49,8,3,207,375
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 197","Batiscan",35,95,57,58,7,6,258,440
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 198","Sainte-Geneviève-de-Batiscan",25,83,96,38,10,3,255,466
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 199","Saint-Stanislas",9,39,30,15,3,2,98,172
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 200","Saint-Narcisse",12,117,57,43,5,9,243,387
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 201","Saint-Narcisse",20,74,35,34,18,2,183,308
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 202","Saint-Narcisse",14,100,69,42,5,4,234,415
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 203","Saint-Narcisse",14,92,72,46,6,9,239,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 204","Sainte-Geneviève-de-Batiscan",22,94,54,38,15,7,230,393
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 205","Batiscan",13,107,47,40,9,6,222,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 206","Champlain",28,86,55,45,17,3,234,408
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 207","Champlain",25,109,59,51,15,3,262,423
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 208","Saint-Luc",14,52,27,17,15,2,127,204
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 209","Saint-Luc",9,56,37,19,14,0,135,257
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 210","Champlain",26,117,63,47,14,2,269,467
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 400","Shawinigan",0,58,47,55,2,0,162,215
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 500","Mobile poll/Bureau itinérant",2,15,7,9,0,4,37,190
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 501","Mobile poll/Bureau itinérant",1,17,5,14,1,4,42,116
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 502","Mobile poll/Bureau itinérant",3,6,5,10,1,2,27,66
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 503","Mobile poll/Bureau itinérant",2,4,3,11,1,0,21,74
