Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Bernier,Gilles Duguay,Monique Guay,Jocelyne Leduc,Joao Neves,René Piché,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",35,30,165,1,37,14,5,287,591
24059,"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",22,15,98,0,35,5,2,177,415
24059,"Rivière-du-Nord/Rivière-du-Nord"," 29","New Glasgow",Void/Supprimé,,,,,,,,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",34,20,120,1,25,5,5,210,437
24059,"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",22,25,136,1,23,10,0,217,499
24059,"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",25,19,149,0,16,2,0,211,449
24059,"Rivière-du-Nord/Rivière-du-Nord"," 33","Sainte-Sophie",35,24,178,0,35,15,6,293,560
24059,"Rivière-du-Nord/Rivière-du-Nord"," 34","Sainte-Sophie",40,13,143,3,26,15,0,240,580
24059,"Rivière-du-Nord/Rivière-du-Nord"," 35","Sainte-Sophie",44,26,138,0,38,10,2,258,481
24059,"Rivière-du-Nord/Rivière-du-Nord"," 36A","Sainte-Sophie",24,16,108,0,18,7,7,180,348
24059,"Rivière-du-Nord/Rivière-du-Nord"," 36B","Sainte-Sophie",23,13,105,1,10,8,0,160,317
24059,"Rivière-du-Nord/Rivière-du-Nord"," 37","Sainte-Sophie",26,24,138,1,24,10,2,225,507
24059,"Rivière-du-Nord/Rivière-du-Nord"," 38","Sainte-Sophie",16,14,131,0,9,7,0,177,375
24059,"Rivière-du-Nord/Rivière-du-Nord"," 39","Sainte-Sophie",28,28,126,1,11,10,2,206,453
24059,"Rivière-du-Nord/Rivière-du-Nord"," 40","Sainte-Sophie",36,26,167,0,15,9,0,253,592
24059,"Rivière-du-Nord/Rivière-du-Nord"," 41A","Sainte-Sophie",31,22,84,0,16,3,1,157,300
24059,"Rivière-du-Nord/Rivière-du-Nord"," 41B","Sainte-Sophie",17,22,103,0,24,8,5,179,347
24059,"Rivière-du-Nord/Rivière-du-Nord"," 42A","Sainte-Sophie",21,19,92,0,6,8,2,148,317
24059,"Rivière-du-Nord/Rivière-du-Nord"," 42B","Sainte-Sophie",15,14,97,0,11,4,1,142,311
24059,"Rivière-du-Nord/Rivière-du-Nord"," 43","Sainte-Sophie",34,29,111,2,25,11,4,216,527
24059,"Rivière-du-Nord/Rivière-du-Nord"," 44","Sainte-Sophie",23,28,131,1,23,11,6,223,470
24059,"Rivière-du-Nord/Rivière-du-Nord"," 45","Lafontaine",28,24,100,0,22,3,5,182,391
24059,"Rivière-du-Nord/Rivière-du-Nord"," 46","Lafontaine",19,21,56,1,37,5,0,139,241
24059,"Rivière-du-Nord/Rivière-du-Nord"," 46-1","Lafontaine",28,45,128,1,25,5,3,235,480
24059,"Rivière-du-Nord/Rivière-du-Nord"," 47","Lafontaine",38,35,141,4,30,6,5,259,458
24059,"Rivière-du-Nord/Rivière-du-Nord"," 48","Lafontaine",43,27,134,0,31,4,7,246,462
24059,"Rivière-du-Nord/Rivière-du-Nord"," 49","Lafontaine",28,14,108,0,23,3,4,180,323
24059,"Rivière-du-Nord/Rivière-du-Nord"," 49-1","Lafontaine",19,15,90,2,13,4,4,147,303
24059,"Rivière-du-Nord/Rivière-du-Nord"," 50","Lafontaine",24,28,91,1,22,1,3,170,381
24059,"Rivière-du-Nord/Rivière-du-Nord"," 51A","Lafontaine",29,9,102,1,13,9,5,168,398
24059,"Rivière-du-Nord/Rivière-du-Nord"," 51B","Lafontaine",17,31,107,3,18,5,1,182,402
24059,"Rivière-du-Nord/Rivière-du-Nord"," 52","Lafontaine",44,37,147,0,30,10,3,271,572
24059,"Rivière-du-Nord/Rivière-du-Nord"," 52-1","Saint-Jérôme",33,22,74,2,12,4,3,150,288
24059,"Rivière-du-Nord/Rivière-du-Nord"," 53","Lafontaine",51,34,115,0,33,5,9,247,443
24059,"Rivière-du-Nord/Rivière-du-Nord"," 54A","Lafontaine",36,31,115,1,34,9,7,233,387
24059,"Rivière-du-Nord/Rivière-du-Nord"," 54B","Lafontaine",26,23,85,0,26,9,4,173,372
24059,"Rivière-du-Nord/Rivière-du-Nord"," 55","Lafontaine",42,35,112,1,21,10,11,232,472
24059,"Rivière-du-Nord/Rivière-du-Nord"," 56","Lafontaine",44,31,83,2,18,7,4,189,371
24059,"Rivière-du-Nord/Rivière-du-Nord"," 57","Lafontaine",22,16,92,1,25,5,12,173,401
24059,"Rivière-du-Nord/Rivière-du-Nord"," 58","Lafontaine",28,30,87,2,21,7,5,180,589
24059,"Rivière-du-Nord/Rivière-du-Nord"," 59","Lafontaine",28,33,82,0,26,3,2,174,357
24059,"Rivière-du-Nord/Rivière-du-Nord"," 60","Lafontaine",35,15,117,3,33,8,6,217,513
24059,"Rivière-du-Nord/Rivière-du-Nord"," 61","Lafontaine",25,32,89,1,21,8,5,181,394
24059,"Rivière-du-Nord/Rivière-du-Nord"," 62","Lafontaine",26,34,82,1,18,6,6,173,352
24059,"Rivière-du-Nord/Rivière-du-Nord"," 63","Saint-Jérôme",8,12,51,1,14,7,2,95,249
24059,"Rivière-du-Nord/Rivière-du-Nord"," 64","Saint-Jérôme",23,18,71,1,15,2,1,131,339
24059,"Rivière-du-Nord/Rivière-du-Nord"," 65","Saint-Jérôme",20,28,61,1,22,2,3,137,301
24059,"Rivière-du-Nord/Rivière-du-Nord"," 66","Saint-Jérôme",26,15,77,1,16,7,1,143,308
24059,"Rivière-du-Nord/Rivière-du-Nord"," 67","Saint-Jérôme",9,19,60,0,25,3,4,120,304
24059,"Rivière-du-Nord/Rivière-du-Nord"," 67-1","Saint-Jérôme",19,24,100,1,41,4,5,194,642
24059,"Rivière-du-Nord/Rivière-du-Nord"," 68","Saint-Jérôme",36,30,104,0,19,3,3,195,391
24059,"Rivière-du-Nord/Rivière-du-Nord"," 69","Saint-Jérôme",22,14,77,1,15,6,1,136,279
24059,"Rivière-du-Nord/Rivière-du-Nord"," 70","Saint-Jérôme",31,28,127,1,18,4,4,213,454
24059,"Rivière-du-Nord/Rivière-du-Nord"," 71A","Saint-Jérôme",44,28,120,1,33,7,10,243,461
24059,"Rivière-du-Nord/Rivière-du-Nord"," 71B","Saint-Jérôme",26,30,120,1,22,8,3,210,400
24059,"Rivière-du-Nord/Rivière-du-Nord"," 72","Saint-Antoine",29,27,103,1,24,2,5,191,405
24059,"Rivière-du-Nord/Rivière-du-Nord"," 73","Saint-Antoine",28,30,90,0,25,4,3,180,308
24059,"Rivière-du-Nord/Rivière-du-Nord"," 73-1","Saint-Jérôme",44,36,156,2,24,7,3,272,535
24059,"Rivière-du-Nord/Rivière-du-Nord"," 74","Saint-Antoine",20,23,126,1,22,4,5,201,471
24059,"Rivière-du-Nord/Rivière-du-Nord"," 75","Saint-Antoine",51,47,140,1,25,7,2,273,564
24059,"Rivière-du-Nord/Rivière-du-Nord"," 76","Saint-Antoine",31,29,120,0,22,6,2,210,338
24059,"Rivière-du-Nord/Rivière-du-Nord"," 77A","Saint-Antoine",29,33,80,2,22,4,4,174,341
24059,"Rivière-du-Nord/Rivière-du-Nord"," 77B","Saint-Antoine",27,16,93,1,15,3,3,158,333
24059,"Rivière-du-Nord/Rivière-du-Nord"," 78","Saint-Antoine",47,18,127,1,21,3,4,221,371
24059,"Rivière-du-Nord/Rivière-du-Nord"," 79","Saint-Antoine",31,29,141,1,28,7,6,243,453
24059,"Rivière-du-Nord/Rivière-du-Nord"," 80","Saint-Antoine",30,24,113,2,20,4,6,199,359
24059,"Rivière-du-Nord/Rivière-du-Nord"," 81","Saint-Jérôme",16,20,70,0,16,3,4,129,312
24059,"Rivière-du-Nord/Rivière-du-Nord"," 82","Saint-Jérôme",24,26,82,2,32,3,2,171,421
24059,"Rivière-du-Nord/Rivière-du-Nord"," 83","Saint-Jérôme",9,19,89,1,14,1,2,135,336
24059,"Rivière-du-Nord/Rivière-du-Nord"," 84","Saint-Jérôme",26,19,96,1,18,9,2,171,384
24059,"Rivière-du-Nord/Rivière-du-Nord"," 85","Saint-Jérôme",22,11,82,1,21,5,3,145,309
24059,"Rivière-du-Nord/Rivière-du-Nord"," 86","Saint-Jérôme",41,49,117,2,52,12,2,275,474
24059,"Rivière-du-Nord/Rivière-du-Nord"," 87","Saint-Jérôme",22,21,65,2,25,2,2,139,284
24059,"Rivière-du-Nord/Rivière-du-Nord"," 88","Saint-Jérôme",16,22,84,1,15,4,3,145,384
24059,"Rivière-du-Nord/Rivière-du-Nord"," 89","Saint-Jérôme",19,12,59,0,17,5,0,112,380
24059,"Rivière-du-Nord/Rivière-du-Nord"," 90","Saint-Jérôme",12,6,41,2,14,2,2,79,280
24059,"Rivière-du-Nord/Rivière-du-Nord"," 91","Saint-Jérôme",11,15,45,2,14,6,3,96,322
24059,"Rivière-du-Nord/Rivière-du-Nord"," 92","Saint-Jérôme",24,17,55,1,11,4,4,116,331
24059,"Rivière-du-Nord/Rivière-du-Nord"," 93","Saint-Jérôme",24,23,53,0,12,5,2,119,310
24059,"Rivière-du-Nord/Rivière-du-Nord"," 94","Saint-Jérôme",12,8,63,0,12,8,5,108,254
24059,"Rivière-du-Nord/Rivière-du-Nord"," 95","Saint-Jérôme",22,18,62,2,19,4,6,133,289
24059,"Rivière-du-Nord/Rivière-du-Nord"," 96","Saint-Jérôme",25,34,115,2,50,7,1,234,387
24059,"Rivière-du-Nord/Rivière-du-Nord"," 97","Saint-Jérôme",24,9,71,1,7,6,4,122,276
24059,"Rivière-du-Nord/Rivière-du-Nord"," 98","Saint-Jérôme",33,25,66,0,37,7,4,172,317
24059,"Rivière-du-Nord/Rivière-du-Nord"," 99","Saint-Antoine",34,25,136,0,18,8,1,222,396
24059,"Rivière-du-Nord/Rivière-du-Nord"," 100","Saint-Antoine",32,25,94,0,19,2,4,176,338
24059,"Rivière-du-Nord/Rivière-du-Nord"," 101","Saint-Antoine",26,18,83,2,15,4,3,151,245
24059,"Rivière-du-Nord/Rivière-du-Nord"," 102","Saint-Jérôme",21,23,124,0,31,10,3,212,392
24059,"Rivière-du-Nord/Rivière-du-Nord"," 103","Saint-Antoine",45,36,169,1,43,13,5,312,538
24059,"Rivière-du-Nord/Rivière-du-Nord"," 104","Saint-Antoine",48,36,146,0,28,7,7,272,463
24059,"Rivière-du-Nord/Rivière-du-Nord"," 105","Saint-Antoine",33,33,93,2,16,2,3,182,366
24059,"Rivière-du-Nord/Rivière-du-Nord"," 106","Saint-Antoine",21,25,82,3,24,3,1,159,297
24059,"Rivière-du-Nord/Rivière-du-Nord"," 107","Saint-Antoine",21,12,65,1,20,4,7,130,272
24059,"Rivière-du-Nord/Rivière-du-Nord"," 108","Saint-Jérôme",30,74,143,0,60,10,4,321,516
24059,"Rivière-du-Nord/Rivière-du-Nord"," 109A","Saint-Jérôme",29,83,94,3,93,2,7,311,407
24059,"Rivière-du-Nord/Rivière-du-Nord"," 109B","Saint-Jérôme",24,82,106,1,65,6,7,291,396
24059,"Rivière-du-Nord/Rivière-du-Nord"," 110","Saint-Jérôme",35,33,130,0,37,8,2,245,460
24059,"Rivière-du-Nord/Rivière-du-Nord"," 111","Saint-Jérôme",34,36,169,3,27,9,4,282,493
24059,"Rivière-du-Nord/Rivière-du-Nord"," 112","Saint-Jérôme",19,13,103,0,22,9,4,170,361
24059,"Rivière-du-Nord/Rivière-du-Nord"," 113","Saint-Jérôme",21,27,95,1,31,5,3,183,378
24059,"Rivière-du-Nord/Rivière-du-Nord"," 114","Saint-Antoine",26,24,86,2,26,3,4,171,347
24059,"Rivière-du-Nord/Rivière-du-Nord"," 115","Saint-Antoine",14,17,46,0,12,5,1,95,242
24059,"Rivière-du-Nord/Rivière-du-Nord"," 116","Saint-Antoine",24,13,92,1,19,12,4,165,463
24059,"Rivière-du-Nord/Rivière-du-Nord"," 117","Saint-Antoine",56,23,130,3,30,8,2,252,461
24059,"Rivière-du-Nord/Rivière-du-Nord"," 118","Saint-Jérôme",26,31,84,2,26,7,4,180,428
24059,"Rivière-du-Nord/Rivière-du-Nord"," 119","Saint-Jérôme",16,30,108,4,37,4,3,202,520
24059,"Rivière-du-Nord/Rivière-du-Nord"," 120","Saint-Jérôme",35,28,112,0,42,7,2,226,502
24059,"Rivière-du-Nord/Rivière-du-Nord"," 121","Saint-Jérôme",8,26,76,0,22,5,2,139,388
24059,"Rivière-du-Nord/Rivière-du-Nord"," 122","Saint-Jérôme",26,25,64,0,21,4,1,141,376
24059,"Rivière-du-Nord/Rivière-du-Nord"," 123","Saint-Jérôme",14,10,63,1,20,0,3,111,262
24059,"Rivière-du-Nord/Rivière-du-Nord"," 124","Saint-Jérôme",30,33,106,2,33,2,2,208,424
24059,"Rivière-du-Nord/Rivière-du-Nord"," 125","Saint-Jérôme",22,20,77,1,15,12,3,150,333
24059,"Rivière-du-Nord/Rivière-du-Nord"," 126","Saint-Jérôme",26,16,102,1,18,5,2,170,352
24059,"Rivière-du-Nord/Rivière-du-Nord"," 127","Saint-Jérôme",28,9,112,2,21,9,7,188,420
24059,"Rivière-du-Nord/Rivière-du-Nord"," 128","Saint-Jérôme",17,18,76,1,19,3,3,137,302
24059,"Rivière-du-Nord/Rivière-du-Nord"," 129","Saint-Jérôme",26,37,96,4,29,4,2,198,356
24059,"Rivière-du-Nord/Rivière-du-Nord"," 130","Saint-Jérôme",22,20,72,3,22,5,3,147,312
24059,"Rivière-du-Nord/Rivière-du-Nord"," 131","Saint-Jérôme",31,40,131,2,45,9,4,262,458
24059,"Rivière-du-Nord/Rivière-du-Nord"," 132","Saint-Jérôme",30,18,81,1,31,2,7,170,401
24059,"Rivière-du-Nord/Rivière-du-Nord"," 133","Saint-Jérôme",18,16,72,0,22,4,2,134,392
24059,"Rivière-du-Nord/Rivière-du-Nord"," 134","Bellefeuille",35,12,94,2,20,6,4,173,376
24059,"Rivière-du-Nord/Rivière-du-Nord"," 134-1","Bellefeuille",25,18,79,0,20,6,5,153,318
24059,"Rivière-du-Nord/Rivière-du-Nord"," 135","Bellefeuille",41,20,130,2,30,10,5,238,461
24059,"Rivière-du-Nord/Rivière-du-Nord"," 136","Bellefeuille",65,42,206,2,33,12,12,372,670
24059,"Rivière-du-Nord/Rivière-du-Nord"," 137","Saint-Jérôme",45,45,147,1,40,7,3,288,554
24059,"Rivière-du-Nord/Rivière-du-Nord"," 138","Bellefeuille",37,42,113,2,34,7,3,238,597
24059,"Rivière-du-Nord/Rivière-du-Nord"," 139","Bellefeuille",43,37,143,1,28,9,6,267,449
24059,"Rivière-du-Nord/Rivière-du-Nord"," 139-1","Bellefeuille",13,17,93,1,18,1,1,144,244
24059,"Rivière-du-Nord/Rivière-du-Nord"," 140","Bellefeuille",45,44,126,1,42,11,9,278,558
24059,"Rivière-du-Nord/Rivière-du-Nord"," 141A","Saint-Jérôme",19,33,90,1,41,3,2,189,394
24059,"Rivière-du-Nord/Rivière-du-Nord"," 141B","Saint-Jérôme",22,33,86,0,30,2,2,175,364
24059,"Rivière-du-Nord/Rivière-du-Nord"," 142","Bellefeuille",29,20,98,3,11,3,3,167,417
24059,"Rivière-du-Nord/Rivière-du-Nord"," 143A","Bellefeuille",21,19,88,0,18,1,5,152,382
24059,"Rivière-du-Nord/Rivière-du-Nord"," 143B","Bellefeuille",29,24,101,0,27,9,3,193,388
24059,"Rivière-du-Nord/Rivière-du-Nord"," 144","Bellefeuille",38,37,103,1,38,14,4,235,373
24059,"Rivière-du-Nord/Rivière-du-Nord"," 145","Bellefeuille",29,21,113,0,25,11,3,202,362
24059,"Rivière-du-Nord/Rivière-du-Nord"," 146","Bellefeuille",38,27,102,2,20,5,1,195,362
24059,"Rivière-du-Nord/Rivière-du-Nord"," 147","Bellefeuille",51,59,154,0,34,10,0,308,563
24059,"Rivière-du-Nord/Rivière-du-Nord"," 147-1","Bellefeuille",19,26,63,0,25,4,1,138,282
24059,"Rivière-du-Nord/Rivière-du-Nord"," 147-2","Bellefeuille",11,19,66,0,10,1,1,108,275
24059,"Rivière-du-Nord/Rivière-du-Nord"," 148","Bellefeuille",71,41,194,0,38,5,2,351,605
24059,"Rivière-du-Nord/Rivière-du-Nord"," 148-1","Saint-Jérôme",36,27,154,0,37,9,10,273,441
24059,"Rivière-du-Nord/Rivière-du-Nord"," 149A","Bellefeuille",31,22,71,0,25,3,4,156,323
24059,"Rivière-du-Nord/Rivière-du-Nord"," 149B","Bellefeuille",43,16,86,0,14,4,3,166,401
24059,"Rivière-du-Nord/Rivière-du-Nord"," 150","Bellefeuille",43,32,131,1,31,4,5,247,386
24059,"Rivière-du-Nord/Rivière-du-Nord"," 151","Bellefeuille",65,44,166,2,36,7,2,322,496
24059,"Rivière-du-Nord/Rivière-du-Nord"," 152","Bellefeuille",51,23,143,0,33,11,6,267,436
24059,"Rivière-du-Nord/Rivière-du-Nord"," 153","Bellefeuille",49,29,126,0,34,13,6,257,609
24059,"Rivière-du-Nord/Rivière-du-Nord"," 154","Bellefeuille",46,29,173,1,24,11,5,289,523
24059,"Rivière-du-Nord/Rivière-du-Nord"," 155","Bellefeuille",28,23,96,1,20,7,3,178,338
24059,"Rivière-du-Nord/Rivière-du-Nord"," 156","Bellefeuille",42,24,156,2,27,10,4,265,465
24059,"Rivière-du-Nord/Rivière-du-Nord"," 157","Bellefeuille",41,38,141,2,25,11,0,258,517
24059,"Rivière-du-Nord/Rivière-du-Nord"," 158","Bellefeuille",55,41,158,0,38,7,0,299,554
24059,"Rivière-du-Nord/Rivière-du-Nord"," 159","Saint-Colomban",42,37,195,1,41,10,9,335,681
24059,"Rivière-du-Nord/Rivière-du-Nord"," 160A","Saint-Colomban",37,27,105,1,25,16,5,216,412
24059,"Rivière-du-Nord/Rivière-du-Nord"," 160B","Saint-Colomban",31,30,120,0,26,8,3,218,403
24059,"Rivière-du-Nord/Rivière-du-Nord"," 161A","Saint-Colomban",39,20,103,1,24,6,0,193,319
24059,"Rivière-du-Nord/Rivière-du-Nord"," 161B","Saint-Colomban",37,33,78,0,22,7,2,179,310
24059,"Rivière-du-Nord/Rivière-du-Nord"," 162","Saint-Colomban",13,12,91,1,17,5,5,144,279
24059,"Rivière-du-Nord/Rivière-du-Nord"," 162-1A","Saint-Colomban",39,22,141,2,27,10,2,243,362
24059,"Rivière-du-Nord/Rivière-du-Nord"," 162-1B","Saint-Colomban",37,19,106,0,24,4,1,191,358
24059,"Rivière-du-Nord/Rivière-du-Nord"," 163","Saint-Colomban",65,32,161,1,27,9,1,296,526
24059,"Rivière-du-Nord/Rivière-du-Nord"," 164","Saint-Colomban",49,28,159,3,39,21,6,305,485
24059,"Rivière-du-Nord/Rivière-du-Nord"," 165","Saint-Colomban",29,27,123,0,15,10,6,210,350
24059,"Rivière-du-Nord/Rivière-du-Nord"," 166","Saint-Colomban",32,28,125,2,23,12,6,228,368
24059,"Rivière-du-Nord/Rivière-du-Nord"," 167","Saint-Colomban",17,19,99,2,19,4,3,163,324
24059,"Rivière-du-Nord/Rivière-du-Nord"," 168","Saint-Colomban",31,40,137,2,31,7,9,257,509
24059,"Rivière-du-Nord/Rivière-du-Nord"," 169","Saint-Colomban",40,19,113,2,26,9,3,212,388
24059,"Rivière-du-Nord/Rivière-du-Nord"," 170","Saint-Colomban",48,49,155,2,29,13,2,298,656
24059,"Rivière-du-Nord/Rivière-du-Nord"," 171","Saint-Colomban",21,20,72,2,16,4,3,138,273
24059,"Rivière-du-Nord/Rivière-du-Nord"," 172","Saint-Colomban",49,32,150,1,43,9,7,291,572
24059,"Rivière-du-Nord/Rivière-du-Nord"," 173","Saint-Colomban",23,29,97,1,22,5,5,182,352
24059,"Rivière-du-Nord/Rivière-du-Nord"," 173-1","Saint-Colomban",56,29,161,1,33,15,3,298,594
24059,"Rivière-du-Nord/Rivière-du-Nord"," 500","Mobile poll/Bureau itinérant",6,10,22,1,17,5,2,63,175
24059,"Rivière-du-Nord/Rivière-du-Nord"," 501","Mobile poll/Bureau itinérant",3,15,28,1,18,3,1,69,252
24059,"Rivière-du-Nord/Rivière-du-Nord"," 502","Mobile poll/Bureau itinérant",5,19,25,2,21,3,5,80,159
24059,"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Hippolyte",56,100,275,6,104,23,10,574,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 601","Prévost",75,121,359,4,81,14,6,660,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 602","Sainte-Sophie",41,90,359,3,77,24,7,601,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 603","Lafontaine",67,217,424,4,143,13,10,878,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 604","Saint-Jérôme--Saint-Antoine",79,205,341,10,165,16,25,841,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 605","Saint-Jérôme",35,80,218,2,67,14,2,418,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 606","Saint-Jérôme--Saint-Antoine",53,119,249,3,86,9,5,524,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 607","Saint-Jérôme--Bellefeuille",38,129,249,5,94,12,5,532,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 608","Saint-Jérôme--Bellefeuille",71,123,336,2,85,13,5,635,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 609","Saint-Colomban",54,109,237,2,80,14,10,506,
24059,"Rivière-du-Nord/Rivière-du-Nord"," 610","Bellefeuille",56,100,234,1,52,14,7,464,
24059,"Rivière-du-Nord/Rivière-du-Nord",,Group 1/Groupe 1,7,22,46,0,24,4,3,106,171
24059,"Rivière-du-Nord/Rivière-du-Nord",,Group 2/Groupe 2,78,178,499,2,116,19,13,905,

