Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Bissett,Rebecca Finch,David Tilson,Ard Van Leeuwen,Dean Woods,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Dufferin--Caledon/Dufferin--Caledon"," 33","Mono",13,28,107,58,1,0,207,369
35018,"Dufferin--Caledon/Dufferin--Caledon"," 34","Mono",11,38,88,68,0,1,206,414
35018,"Dufferin--Caledon/Dufferin--Caledon"," 35","Mono",11,48,137,67,3,1,267,534
35018,"Dufferin--Caledon/Dufferin--Caledon"," 36","Mono",21,42,139,57,0,0,259,463
35018,"Dufferin--Caledon/Dufferin--Caledon"," 37","Mono",11,31,191,26,2,0,261,424
35018,"Dufferin--Caledon/Dufferin--Caledon"," 38","Mono",12,20,98,27,2,2,161,265
35018,"Dufferin--Caledon/Dufferin--Caledon"," 39","Mono",21,42,97,47,1,2,210,360
35018,"Dufferin--Caledon/Dufferin--Caledon"," 40","Mono",17,33,85,23,0,0,158,305
35018,"Dufferin--Caledon/Dufferin--Caledon"," 40-1","Mono",17,43,123,55,0,0,238,400
35018,"Dufferin--Caledon/Dufferin--Caledon"," 41","Mono",10,57,160,56,2,1,286,486
35018,"Dufferin--Caledon/Dufferin--Caledon"," 42","Mono",17,42,120,47,0,0,226,395
35018,"Dufferin--Caledon/Dufferin--Caledon"," 43","Orangeville",23,31,104,32,2,1,193,366
35018,"Dufferin--Caledon/Dufferin--Caledon"," 44","Orangeville",41,41,139,43,0,0,264,472
35018,"Dufferin--Caledon/Dufferin--Caledon"," 45","Orangeville",32,26,114,52,1,0,225,483
35018,"Dufferin--Caledon/Dufferin--Caledon"," 46","Orangeville",23,47,148,50,1,1,270,464
35018,"Dufferin--Caledon/Dufferin--Caledon"," 47","Orangeville",21,14,80,29,5,0,149,418
35018,"Dufferin--Caledon/Dufferin--Caledon"," 48","Orangeville",21,21,73,39,2,0,156,443
35018,"Dufferin--Caledon/Dufferin--Caledon"," 49","Orangeville",25,10,77,31,4,3,150,409
35018,"Dufferin--Caledon/Dufferin--Caledon"," 50","Orangeville",12,33,58,53,3,0,159,403
35018,"Dufferin--Caledon/Dufferin--Caledon"," 51","Orangeville",8,24,74,36,2,0,144,315
35018,"Dufferin--Caledon/Dufferin--Caledon"," 52","Orangeville",21,42,80,36,0,1,180,399
35018,"Dufferin--Caledon/Dufferin--Caledon"," 53","Orangeville",15,25,92,44,3,1,180,355
35018,"Dufferin--Caledon/Dufferin--Caledon"," 54","Orangeville",9,23,93,33,1,0,159,352
35018,"Dufferin--Caledon/Dufferin--Caledon"," 55","Orangeville",14,19,78,37,0,1,149,306
35018,"Dufferin--Caledon/Dufferin--Caledon"," 56","Orangeville",26,32,147,39,0,2,246,495
35018,"Dufferin--Caledon/Dufferin--Caledon"," 57","Orangeville",26,46,177,61,1,0,311,545
35018,"Dufferin--Caledon/Dufferin--Caledon"," 58","Orangeville",11,27,93,28,0,1,160,297
35018,"Dufferin--Caledon/Dufferin--Caledon"," 59","Orangeville",23,29,117,49,1,1,220,416
35018,"Dufferin--Caledon/Dufferin--Caledon"," 60","Orangeville",30,28,128,28,1,0,215,489
35018,"Dufferin--Caledon/Dufferin--Caledon"," 60-1","Orangeville",14,21,66,20,1,0,122,204
35018,"Dufferin--Caledon/Dufferin--Caledon"," 61","Orangeville",18,28,115,29,2,0,192,407
35018,"Dufferin--Caledon/Dufferin--Caledon"," 62","Orangeville",38,36,161,50,6,1,292,559
35018,"Dufferin--Caledon/Dufferin--Caledon"," 63","Orangeville",20,17,69,22,2,1,131,243
35018,"Dufferin--Caledon/Dufferin--Caledon"," 64","Orangeville",29,23,100,43,3,0,198,419
35018,"Dufferin--Caledon/Dufferin--Caledon"," 65","Orangeville",33,27,103,37,4,2,206,453
35018,"Dufferin--Caledon/Dufferin--Caledon"," 66A","Orangeville",22,21,59,31,0,0,133,284
35018,"Dufferin--Caledon/Dufferin--Caledon"," 66B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,86
35018,"Dufferin--Caledon/Dufferin--Caledon"," 67","Orangeville",23,31,108,91,2,1,256,513
35018,"Dufferin--Caledon/Dufferin--Caledon"," 68","Orangeville",18,27,67,37,2,0,151,375
35018,"Dufferin--Caledon/Dufferin--Caledon"," 69","Orangeville",33,31,80,41,5,2,192,428
35018,"Dufferin--Caledon/Dufferin--Caledon"," 70","Orangeville",25,32,58,43,4,0,162,375
35018,"Dufferin--Caledon/Dufferin--Caledon"," 71","Orangeville",39,16,65,34,0,1,155,377
35018,"Dufferin--Caledon/Dufferin--Caledon"," 72","Orangeville",23,26,77,31,4,0,161,416
35018,"Dufferin--Caledon/Dufferin--Caledon"," 73","Orangeville",29,22,69,26,2,1,149,346
35018,"Dufferin--Caledon/Dufferin--Caledon"," 74","Orangeville",24,28,78,33,4,0,167,384
35018,"Dufferin--Caledon/Dufferin--Caledon"," 75","Orangeville",38,15,70,47,0,0,170,423
35018,"Dufferin--Caledon/Dufferin--Caledon"," 76","Orangeville",36,37,131,33,2,0,239,484
35018,"Dufferin--Caledon/Dufferin--Caledon"," 77","Orangeville",16,17,109,29,2,0,173,356
35018,"Dufferin--Caledon/Dufferin--Caledon"," 78","Orangeville",31,34,157,49,3,1,275,557
35018,"Dufferin--Caledon/Dufferin--Caledon"," 79","Orangeville",27,19,69,35,2,1,153,340
35018,"Dufferin--Caledon/Dufferin--Caledon"," 80","Orangeville",34,27,98,29,3,1,192,387
35018,"Dufferin--Caledon/Dufferin--Caledon"," 81","Orangeville",45,31,77,42,1,0,196,464
35018,"Dufferin--Caledon/Dufferin--Caledon"," 82","Orangeville",24,15,67,24,0,2,132,328
35018,"Dufferin--Caledon/Dufferin--Caledon"," 83","Orangeville",11,19,68,34,4,0,136,351
35018,"Dufferin--Caledon/Dufferin--Caledon"," 84","Orangeville",13,30,91,42,1,1,178,380
35018,"Dufferin--Caledon/Dufferin--Caledon"," 85","Orangeville",35,31,110,26,5,1,208,531
35018,"Dufferin--Caledon/Dufferin--Caledon"," 86","Orangeville",35,36,112,27,2,2,214,476
35018,"Dufferin--Caledon/Dufferin--Caledon"," 87","Caledon",17,38,114,47,0,1,217,417
35018,"Dufferin--Caledon/Dufferin--Caledon"," 88","Caledon",44,33,164,54,1,0,296,500
35018,"Dufferin--Caledon/Dufferin--Caledon"," 89","Caledon",10,25,61,39,0,0,135,239
35018,"Dufferin--Caledon/Dufferin--Caledon"," 89-1","Caledon",21,41,94,24,0,1,181,370
35018,"Dufferin--Caledon/Dufferin--Caledon"," 90","Caledon",11,29,96,44,1,2,183,404
35018,"Dufferin--Caledon/Dufferin--Caledon"," 91","Caledon",5,37,36,16,0,0,94,195
35018,"Dufferin--Caledon/Dufferin--Caledon"," 92","Caledon",17,67,127,32,1,0,244,492
35018,"Dufferin--Caledon/Dufferin--Caledon"," 93","Caledon",17,25,112,42,0,0,196,362
35018,"Dufferin--Caledon/Dufferin--Caledon"," 93-1","Caledon",16,30,62,25,7,1,141,290
35018,"Dufferin--Caledon/Dufferin--Caledon"," 94","Caledon",20,43,159,44,2,2,270,518
35018,"Dufferin--Caledon/Dufferin--Caledon"," 95","Caledon",11,37,112,52,1,0,213,389
35018,"Dufferin--Caledon/Dufferin--Caledon"," 96","Caledon",17,55,127,42,0,0,241,435
35018,"Dufferin--Caledon/Dufferin--Caledon"," 97","Caledon",7,36,90,25,1,0,159,352
35018,"Dufferin--Caledon/Dufferin--Caledon"," 98","Caledon",2,35,82,39,0,0,158,297
35018,"Dufferin--Caledon/Dufferin--Caledon"," 99","Caledon",13,25,63,32,1,0,134,273
35018,"Dufferin--Caledon/Dufferin--Caledon"," 100","Caledon",22,59,140,67,2,1,291,466
35018,"Dufferin--Caledon/Dufferin--Caledon"," 101","Caledon",9,43,116,42,0,0,210,372
35018,"Dufferin--Caledon/Dufferin--Caledon"," 101-1","Caledon",5,24,74,25,2,0,130,237
35018,"Dufferin--Caledon/Dufferin--Caledon"," 102","Caledon",25,54,123,68,0,1,271,503
35018,"Dufferin--Caledon/Dufferin--Caledon"," 103","Caledon",25,53,133,60,1,1,273,470
35018,"Dufferin--Caledon/Dufferin--Caledon"," 104","Caledon",15,72,185,58,0,0,330,595
35018,"Dufferin--Caledon/Dufferin--Caledon"," 105","Caledon",22,43,124,30,3,2,224,444
35018,"Dufferin--Caledon/Dufferin--Caledon"," 106","Caledon",18,62,139,16,2,3,240,458
35018,"Dufferin--Caledon/Dufferin--Caledon"," 107","Caledon",20,61,122,17,0,0,220,415
35018,"Dufferin--Caledon/Dufferin--Caledon"," 107-1","Caledon",25,49,87,6,0,1,168,372
35018,"Dufferin--Caledon/Dufferin--Caledon"," 108","Caledon",42,52,117,28,0,0,239,440
35018,"Dufferin--Caledon/Dufferin--Caledon"," 109","Caledon",27,103,155,34,1,0,320,490
35018,"Dufferin--Caledon/Dufferin--Caledon"," 110","Caledon",40,65,121,22,0,0,248,452
35018,"Dufferin--Caledon/Dufferin--Caledon"," 111","Caledon",11,38,135,11,2,2,199,376
35018,"Dufferin--Caledon/Dufferin--Caledon"," 112","Caledon",40,55,149,35,1,0,280,513
35018,"Dufferin--Caledon/Dufferin--Caledon"," 113","Caledon",14,39,101,28,2,1,185,365
35018,"Dufferin--Caledon/Dufferin--Caledon"," 114","Caledon",17,51,104,18,0,0,190,438
35018,"Dufferin--Caledon/Dufferin--Caledon"," 115","Caledon",25,52,131,49,0,1,258,463
35018,"Dufferin--Caledon/Dufferin--Caledon"," 116","Caledon",11,48,126,50,2,0,237,448
35018,"Dufferin--Caledon/Dufferin--Caledon"," 117","Caledon",12,59,148,45,1,1,266,491
35018,"Dufferin--Caledon/Dufferin--Caledon"," 118","Caledon",20,35,154,29,0,1,239,435
35018,"Dufferin--Caledon/Dufferin--Caledon"," 119","Caledon",17,59,124,85,2,1,288,538
35018,"Dufferin--Caledon/Dufferin--Caledon"," 120","Caledon",13,96,144,53,1,0,307,512
35018,"Dufferin--Caledon/Dufferin--Caledon"," 121","Caledon",8,34,115,32,0,0,189,367
35018,"Dufferin--Caledon/Dufferin--Caledon"," 122","Caledon",14,40,77,35,1,0,167,328
35018,"Dufferin--Caledon/Dufferin--Caledon"," 123","Caledon",14,45,112,27,0,0,198,369
35018,"Dufferin--Caledon/Dufferin--Caledon"," 124","Caledon",14,61,145,33,0,0,253,547
35018,"Dufferin--Caledon/Dufferin--Caledon"," 125","Caledon",23,59,114,35,0,0,231,500
35018,"Dufferin--Caledon/Dufferin--Caledon"," 126","Caledon",10,37,105,44,0,1,197,427
35018,"Dufferin--Caledon/Dufferin--Caledon"," 127","Caledon",16,49,123,40,0,1,229,436
35018,"Dufferin--Caledon/Dufferin--Caledon"," 128","Caledon",9,34,99,11,0,0,153,301
35018,"Dufferin--Caledon/Dufferin--Caledon"," 129","Caledon",28,43,129,35,0,2,237,460
35018,"Dufferin--Caledon/Dufferin--Caledon"," 130","Caledon",24,57,157,58,0,4,300,522
35018,"Dufferin--Caledon/Dufferin--Caledon"," 131","Caledon",26,37,153,56,1,1,274,475
35018,"Dufferin--Caledon/Dufferin--Caledon"," 132","Caledon",15,28,86,20,1,1,151,290
35018,"Dufferin--Caledon/Dufferin--Caledon"," 133","Caledon",16,28,53,15,0,0,112,211
35018,"Dufferin--Caledon/Dufferin--Caledon"," 134","Caledon",16,61,83,21,3,0,184,363
35018,"Dufferin--Caledon/Dufferin--Caledon"," 135","Caledon",20,69,68,15,1,2,175,365
35018,"Dufferin--Caledon/Dufferin--Caledon"," 136","Caledon",26,59,90,13,1,0,189,466
35018,"Dufferin--Caledon/Dufferin--Caledon"," 137","Caledon",19,40,90,29,0,0,178,366
35018,"Dufferin--Caledon/Dufferin--Caledon"," 138","Caledon",26,28,57,15,0,0,126,294
35018,"Dufferin--Caledon/Dufferin--Caledon"," 139","Caledon",11,38,56,16,1,0,122,311
35018,"Dufferin--Caledon/Dufferin--Caledon"," 140","Caledon",17,44,73,14,0,0,148,326
35018,"Dufferin--Caledon/Dufferin--Caledon"," 141","Caledon",17,50,121,19,0,3,210,446
35018,"Dufferin--Caledon/Dufferin--Caledon"," 142","Caledon",17,60,130,22,0,1,230,409
35018,"Dufferin--Caledon/Dufferin--Caledon"," 143","Caledon",19,55,92,33,1,0,200,425
35018,"Dufferin--Caledon/Dufferin--Caledon"," 144","Caledon",13,54,122,23,2,0,214,418
35018,"Dufferin--Caledon/Dufferin--Caledon"," 145","Caledon",25,69,136,31,0,0,261,447
35018,"Dufferin--Caledon/Dufferin--Caledon"," 146","Caledon",30,62,128,36,1,1,258,513
35018,"Dufferin--Caledon/Dufferin--Caledon"," 147","Caledon",17,41,84,29,0,1,172,373
35018,"Dufferin--Caledon/Dufferin--Caledon"," 148","Caledon",30,40,98,16,0,1,185,422
35018,"Dufferin--Caledon/Dufferin--Caledon"," 148-1","Caledon",8,51,97,37,0,1,194,312
35018,"Dufferin--Caledon/Dufferin--Caledon"," 149","Caledon",26,71,111,25,1,1,235,469
35018,"Dufferin--Caledon/Dufferin--Caledon"," 149-1","Caledon",24,44,62,28,3,1,162,336
35018,"Dufferin--Caledon/Dufferin--Caledon"," 150","Caledon",20,43,109,31,1,2,206,417
35018,"Dufferin--Caledon/Dufferin--Caledon"," 151","Caledon",22,70,124,28,0,0,244,472
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152","Caledon",43,58,110,36,1,1,249,487
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-1","Caledon",42,74,158,20,2,2,298,652
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-2","Caledon",13,27,56,12,0,0,108,258
35018,"Dufferin--Caledon/Dufferin--Caledon"," 152-3","Caledon",45,64,147,41,3,1,301,558
35018,"Dufferin--Caledon/Dufferin--Caledon"," 153","Caledon",31,38,82,16,0,0,167,412
35018,"Dufferin--Caledon/Dufferin--Caledon"," 153-1","Caledon",14,50,71,17,0,0,152,307
35018,"Dufferin--Caledon/Dufferin--Caledon"," 154","Caledon",20,30,86,27,2,0,165,401
35018,"Dufferin--Caledon/Dufferin--Caledon"," 155","Caledon",22,34,78,25,2,0,161,322
35018,"Dufferin--Caledon/Dufferin--Caledon"," 156","Caledon",13,37,75,30,2,1,158,310
35018,"Dufferin--Caledon/Dufferin--Caledon"," 157","Caledon",34,29,38,18,1,2,122,298
35018,"Dufferin--Caledon/Dufferin--Caledon"," 158","Caledon",25,55,155,39,0,2,276,561
35018,"Dufferin--Caledon/Dufferin--Caledon"," 159","Caledon",15,67,150,32,3,3,270,467
35018,"Dufferin--Caledon/Dufferin--Caledon"," 160","Caledon",29,57,130,37,0,1,254,531
35018,"Dufferin--Caledon/Dufferin--Caledon"," 161","Caledon",16,41,84,22,0,2,165,377
35018,"Dufferin--Caledon/Dufferin--Caledon"," 162","Caledon",32,31,79,34,3,0,179,389
35018,"Dufferin--Caledon/Dufferin--Caledon"," 163","Caledon",30,54,98,25,1,1,209,435
35018,"Dufferin--Caledon/Dufferin--Caledon"," 164","Caledon",26,85,130,15,1,2,259,511
35018,"Dufferin--Caledon/Dufferin--Caledon"," 165","Caledon",19,64,134,25,1,1,244,524
35018,"Dufferin--Caledon/Dufferin--Caledon"," 166","Caledon",37,79,119,22,1,1,259,542
35018,"Dufferin--Caledon/Dufferin--Caledon"," 167","Caledon",28,90,111,24,1,3,257,598
35018,"Dufferin--Caledon/Dufferin--Caledon"," 168","Caledon",21,46,111,11,0,2,191,414
35018,"Dufferin--Caledon/Dufferin--Caledon"," 169","Caledon",14,41,106,25,0,1,187,457
35018,"Dufferin--Caledon/Dufferin--Caledon"," 170","Caledon",31,55,73,12,3,4,178,382
35018,"Dufferin--Caledon/Dufferin--Caledon"," 171","Caledon",33,50,91,16,1,0,191,461
35018,"Dufferin--Caledon/Dufferin--Caledon"," 500","Mobile poll/Bureau itinérant",8,12,30,6,2,0,58,104
35018,"Dufferin--Caledon/Dufferin--Caledon"," 501","Mobile poll/Bureau itinérant",3,7,23,1,0,2,36,114
35018,"Dufferin--Caledon/Dufferin--Caledon"," 502","Mobile poll/Bureau itinérant",4,15,54,6,1,0,80,251
35018,"Dufferin--Caledon/Dufferin--Caledon"," 503","Mobile poll/Bureau itinérant",6,18,53,8,4,5,94,253
35018,"Dufferin--Caledon/Dufferin--Caledon"," 504","Mobile poll/Bureau itinérant",19,27,50,14,3,0,113,99
35018,"Dufferin--Caledon/Dufferin--Caledon"," 600","Shelburne District",50,75,314,98,3,2,542,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 601","Mulmur",7,41,76,47,0,1,172,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 602","Amaranth--East Luther Grand Valley",17,26,165,38,0,1,247,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 603","Mono",16,57,194,61,2,1,331,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 604","Orangeville North--Mono",38,130,355,103,8,3,637,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 605","Orangeville West--Gara Woods",27,41,265,66,1,1,401,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 606","Orangeville East",31,51,188,42,6,2,320,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 607","Caledon--Caledon Village",15,62,210,64,0,1,352,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 608","Caledon--Inglewood",25,91,304,55,2,0,477,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 609","Caledon--Palgrave",14,58,192,47,0,0,311,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 610","Caledon--Caledon East",16,102,227,74,0,0,419,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 611","Caledon--Bolton West",42,90,299,50,0,0,481,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 612","Caledon--Bolton East",24,87,257,75,1,0,444,
35018,"Dufferin--Caledon/Dufferin--Caledon",,Group 1/Groupe 1,2,13,36,6,0,0,57,128
35018,"Dufferin--Caledon/Dufferin--Caledon",,Group 2/Groupe 2,40,106,329,102,1,6,584,

