Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maurizio Bevilacqua,Richard Lorello,Adrian Visentin,Vicky Wilkin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 14","Vaughan",95,91,23,27,0,236,464
35096,"Vaughan/Vaughan"," 15","Vaughan",87,64,11,26,1,189,385
35096,"Vaughan/Vaughan"," 16A","Vaughan",64,47,4,25,2,142,349
35096,"Vaughan/Vaughan"," 16B","Vaughan",97,53,7,35,1,193,417
35096,"Vaughan/Vaughan"," 16-1","Vaughan",76,46,13,36,1,172,469
35096,"Vaughan/Vaughan"," 16-2","Vaughan",83,42,14,26,0,165,328
35096,"Vaughan/Vaughan"," 17A","Vaughan",62,38,11,19,0,130,312
35096,"Vaughan/Vaughan"," 17B","Vaughan",81,46,13,22,1,163,383
35096,"Vaughan/Vaughan"," 18","Vaughan",105,59,11,13,2,190,361
35096,"Vaughan/Vaughan"," 19A","Vaughan",68,58,7,19,1,153,307
35096,"Vaughan/Vaughan"," 19B","Vaughan",75,49,10,16,2,152,316
35096,"Vaughan/Vaughan"," 20","Vaughan",117,110,36,34,1,298,531
35096,"Vaughan/Vaughan"," 21","Vaughan",120,92,14,19,0,245,502
35096,"Vaughan/Vaughan"," 22","Vaughan",143,13,2,11,0,169,385
35096,"Vaughan/Vaughan"," 22-1","Vaughan",184,15,5,9,2,215,479
35096,"Vaughan/Vaughan"," 23A","Vaughan",80,28,15,25,1,149,330
35096,"Vaughan/Vaughan"," 23B","Vaughan",90,42,5,17,0,154,374
35096,"Vaughan/Vaughan"," 24","Vaughan",98,66,11,22,2,199,417
35096,"Vaughan/Vaughan"," 25","Vaughan",102,71,5,27,1,206,451
35096,"Vaughan/Vaughan"," 26","Vaughan",143,95,15,38,3,294,527
35096,"Vaughan/Vaughan"," 27","Vaughan",79,76,16,22,3,196,413
35096,"Vaughan/Vaughan"," 28A","Vaughan",92,63,11,18,2,186,321
35096,"Vaughan/Vaughan"," 28B","Vaughan",73,43,9,15,5,145,301
35096,"Vaughan/Vaughan"," 29","Vaughan",98,73,33,31,0,235,497
35096,"Vaughan/Vaughan"," 30","Vaughan",90,53,13,23,1,180,382
35096,"Vaughan/Vaughan"," 31","Vaughan",101,65,11,27,2,206,529
35096,"Vaughan/Vaughan"," 32","Vaughan",102,47,2,14,3,168,365
35096,"Vaughan/Vaughan"," 33","Vaughan",85,67,13,27,0,192,444
35096,"Vaughan/Vaughan"," 33-1","Vaughan",99,62,6,46,5,218,521
35096,"Vaughan/Vaughan"," 34","Vaughan",70,43,6,17,0,136,336
35096,"Vaughan/Vaughan"," 34-1","Vaughan",93,40,17,31,1,182,424
35096,"Vaughan/Vaughan"," 35A","Vaughan",51,36,8,30,2,127,284
35096,"Vaughan/Vaughan"," 35B","Vaughan",59,55,7,19,1,141,313
35096,"Vaughan/Vaughan"," 36A","Vaughan",57,44,19,22,0,142,280
35096,"Vaughan/Vaughan"," 36B","Vaughan",54,41,10,26,0,131,315
35096,"Vaughan/Vaughan"," 37","Vaughan",136,74,25,28,2,265,515
35096,"Vaughan/Vaughan"," 38","Vaughan",122,87,13,34,5,261,472
35096,"Vaughan/Vaughan"," 39","Vaughan",126,60,23,19,4,232,423
35096,"Vaughan/Vaughan"," 40","Vaughan",117,70,16,22,0,225,450
35096,"Vaughan/Vaughan"," 41A","Vaughan",71,43,15,12,2,143,270
35096,"Vaughan/Vaughan"," 41B","Vaughan",79,74,15,19,3,190,327
35096,"Vaughan/Vaughan"," 42","Vaughan",127,82,9,16,2,236,397
35096,"Vaughan/Vaughan"," 43","Vaughan",117,79,12,13,0,221,432
35096,"Vaughan/Vaughan"," 44","Vaughan",77,37,10,28,1,153,361
35096,"Vaughan/Vaughan"," 44-1","Vaughan",75,59,7,39,3,183,410
35096,"Vaughan/Vaughan"," 44-2","Vaughan",90,40,9,19,0,158,387
35096,"Vaughan/Vaughan"," 45","Vaughan",140,88,10,16,1,255,461
35096,"Vaughan/Vaughan"," 46A","Vaughan",77,51,12,18,1,159,279
35096,"Vaughan/Vaughan"," 46B","Vaughan",78,62,10,18,3,171,302
35096,"Vaughan/Vaughan"," 47","Vaughan",72,74,20,23,0,189,334
35096,"Vaughan/Vaughan"," 48","Vaughan",127,60,20,21,2,230,501
35096,"Vaughan/Vaughan"," 49","Vaughan",151,67,25,37,2,282,526
35096,"Vaughan/Vaughan"," 50","Vaughan",145,88,20,25,0,278,482
35096,"Vaughan/Vaughan"," 51","Vaughan",126,83,36,30,0,275,491
35096,"Vaughan/Vaughan"," 52","Vaughan",123,75,21,27,2,248,393
35096,"Vaughan/Vaughan"," 53A","Vaughan",78,43,11,12,2,146,284
35096,"Vaughan/Vaughan"," 53B","Vaughan",80,36,10,13,0,139,284
35096,"Vaughan/Vaughan"," 54A","Vaughan",85,55,9,15,2,166,279
35096,"Vaughan/Vaughan"," 54B","Vaughan",101,49,18,12,1,181,307
35096,"Vaughan/Vaughan"," 55","Vaughan",111,61,23,17,0,212,388
35096,"Vaughan/Vaughan"," 56","Vaughan",99,50,12,24,1,186,372
35096,"Vaughan/Vaughan"," 57","Vaughan",104,57,23,11,2,197,351
35096,"Vaughan/Vaughan"," 58","Vaughan",144,96,21,29,3,293,531
35096,"Vaughan/Vaughan"," 59","Vaughan",142,82,23,31,4,282,515
35096,"Vaughan/Vaughan"," 60A","Vaughan",91,46,14,9,0,160,289
35096,"Vaughan/Vaughan"," 60B","Vaughan",90,40,8,9,3,150,277
35096,"Vaughan/Vaughan"," 61","Vaughan",109,83,22,35,0,249,524
35096,"Vaughan/Vaughan"," 61-1","Vaughan",215,65,13,18,15,326,506
35096,"Vaughan/Vaughan"," 62","Vaughan",112,85,15,40,2,254,515
35096,"Vaughan/Vaughan"," 63A","Vaughan",63,50,9,21,2,145,306
35096,"Vaughan/Vaughan"," 63B","Vaughan",67,48,11,28,0,154,320
35096,"Vaughan/Vaughan"," 64","Vaughan",Void/Supprimé,,,,,,
35096,"Vaughan/Vaughan"," 65","Vaughan",76,50,4,17,0,147,331
35096,"Vaughan/Vaughan"," 65-1","Vaughan",85,69,24,29,0,207,441
35096,"Vaughan/Vaughan"," 65-2","Vaughan",107,82,5,29,1,224,535
35096,"Vaughan/Vaughan"," 66","Vaughan",101,62,12,31,0,206,505
35096,"Vaughan/Vaughan"," 66-1","Vaughan",83,74,15,15,0,187,449
35096,"Vaughan/Vaughan"," 66-2","Vaughan",76,79,4,18,2,179,349
35096,"Vaughan/Vaughan"," 66-3","Vaughan",122,72,8,18,3,223,433
35096,"Vaughan/Vaughan"," 66-4","Vaughan",107,91,5,25,2,230,527
35096,"Vaughan/Vaughan"," 66-5A","Vaughan",65,49,10,13,1,138,323
35096,"Vaughan/Vaughan"," 66-5B","Vaughan",66,57,10,14,0,147,335
35096,"Vaughan/Vaughan"," 66-6A","Vaughan",97,74,10,24,1,206,492
35096,"Vaughan/Vaughan"," 66-6B","Vaughan",120,104,6,19,1,250,526
35096,"Vaughan/Vaughan"," 66-6C","Vaughan",100,67,13,23,0,203,475
35096,"Vaughan/Vaughan"," 66-6D","Vaughan",91,87,11,25,0,214,506
35096,"Vaughan/Vaughan"," 66-6E","Vaughan",102,77,11,13,0,203,482
35096,"Vaughan/Vaughan"," 66-6F","Vaughan",109,89,9,6,2,215,473
35096,"Vaughan/Vaughan"," 66-6G","Vaughan",73,84,10,28,0,195,483
35096,"Vaughan/Vaughan"," 67","Vaughan",80,75,6,20,3,184,336
35096,"Vaughan/Vaughan"," 68","Vaughan",80,55,7,20,2,164,355
35096,"Vaughan/Vaughan"," 69","Vaughan",102,69,9,24,2,206,445
35096,"Vaughan/Vaughan"," 69-1","Vaughan",102,68,18,35,2,225,473
35096,"Vaughan/Vaughan"," 70","Vaughan",63,47,4,21,1,136,360
35096,"Vaughan/Vaughan"," 70-1","Vaughan",65,48,5,14,3,135,341
35096,"Vaughan/Vaughan"," 70-2","Vaughan",53,59,11,39,1,163,356
35096,"Vaughan/Vaughan"," 71A","Vaughan",63,49,3,15,0,130,296
35096,"Vaughan/Vaughan"," 71B","Vaughan",50,56,10,9,1,126,291
35096,"Vaughan/Vaughan"," 72","Vaughan",81,91,17,26,0,215,474
35096,"Vaughan/Vaughan"," 73","Vaughan",108,98,17,32,1,256,526
35096,"Vaughan/Vaughan"," 74A","Vaughan",54,49,12,20,0,135,287
35096,"Vaughan/Vaughan"," 74B","Vaughan",60,36,13,26,0,135,272
35096,"Vaughan/Vaughan"," 75","Vaughan",107,53,14,34,1,209,433
35096,"Vaughan/Vaughan"," 76","Vaughan",126,83,20,37,8,274,552
35096,"Vaughan/Vaughan"," 76-1","Vaughan",112,57,14,41,2,226,544
35096,"Vaughan/Vaughan"," 76-2","Vaughan",62,49,6,20,0,137,353
35096,"Vaughan/Vaughan"," 77","Vaughan",64,37,10,18,1,130,338
35096,"Vaughan/Vaughan"," 77-1","Vaughan",91,61,14,22,3,191,394
35096,"Vaughan/Vaughan"," 78","Vaughan",124,68,17,31,0,240,512
35096,"Vaughan/Vaughan"," 79","Vaughan",79,71,8,26,2,186,377
35096,"Vaughan/Vaughan"," 80","Vaughan",87,103,16,18,0,224,477
35096,"Vaughan/Vaughan"," 81","Vaughan",75,88,11,10,2,186,393
35096,"Vaughan/Vaughan"," 82","Vaughan",98,106,20,33,0,257,520
35096,"Vaughan/Vaughan"," 83","Vaughan",114,108,11,27,0,260,546
35096,"Vaughan/Vaughan"," 84","Vaughan",81,60,8,20,0,169,358
35096,"Vaughan/Vaughan"," 84-1","Vaughan",66,50,16,31,4,167,313
35096,"Vaughan/Vaughan"," 85","Vaughan",111,79,19,25,0,234,510
35096,"Vaughan/Vaughan"," 86A","Vaughan",27,58,9,17,0,111,291
35096,"Vaughan/Vaughan"," 86B","Vaughan",46,37,6,17,0,106,283
35096,"Vaughan/Vaughan"," 87","Vaughan",82,86,21,19,2,210,433
35096,"Vaughan/Vaughan"," 88","Vaughan",118,72,15,25,4,234,535
35096,"Vaughan/Vaughan"," 89A","Vaughan",65,60,11,9,1,146,285
35096,"Vaughan/Vaughan"," 89B","Vaughan",94,70,9,16,3,192,314
35096,"Vaughan/Vaughan"," 90","Vaughan",83,96,15,27,0,221,418
35096,"Vaughan/Vaughan"," 91","Vaughan",95,87,15,21,3,221,429
35096,"Vaughan/Vaughan"," 92","Vaughan",116,81,11,42,1,251,534
35096,"Vaughan/Vaughan"," 93","Vaughan",105,58,11,23,0,197,434
35096,"Vaughan/Vaughan"," 94","Vaughan",115,79,26,18,0,238,434
35096,"Vaughan/Vaughan"," 95","Vaughan",136,93,17,16,1,263,506
35096,"Vaughan/Vaughan"," 96","Vaughan",93,99,11,15,1,219,451
35096,"Vaughan/Vaughan"," 97","Vaughan",126,80,22,27,1,256,476
35096,"Vaughan/Vaughan"," 98","Vaughan",52,51,7,11,1,122,250
35096,"Vaughan/Vaughan"," 99","Vaughan",92,41,17,12,0,162,331
35096,"Vaughan/Vaughan"," 100","Vaughan",71,46,8,12,1,138,275
35096,"Vaughan/Vaughan"," 101","Vaughan",87,64,14,24,2,191,451
35096,"Vaughan/Vaughan"," 102","Vaughan",94,79,20,19,1,213,417
35096,"Vaughan/Vaughan"," 103","Vaughan",105,44,8,19,1,177,347
35096,"Vaughan/Vaughan"," 104","Vaughan",103,34,4,14,1,156,318
35096,"Vaughan/Vaughan"," 105","Vaughan",141,79,7,22,1,250,428
35096,"Vaughan/Vaughan"," 106","Vaughan",125,63,15,22,1,226,506
35096,"Vaughan/Vaughan"," 107","Vaughan",94,40,4,14,4,156,345
35096,"Vaughan/Vaughan"," 108","Vaughan",114,49,8,28,1,200,376
35096,"Vaughan/Vaughan"," 109","Vaughan",126,75,9,17,3,230,431
35096,"Vaughan/Vaughan"," 110","Vaughan",147,61,16,30,1,255,484
35096,"Vaughan/Vaughan"," 111","Vaughan",146,61,13,20,2,242,495
35096,"Vaughan/Vaughan"," 112","Vaughan",83,39,10,16,0,148,302
35096,"Vaughan/Vaughan"," 113","Vaughan",95,27,9,3,2,136,259
35096,"Vaughan/Vaughan"," 114","Vaughan",84,44,10,15,2,155,309
35096,"Vaughan/Vaughan"," 115","Vaughan",101,39,6,12,1,159,359
35096,"Vaughan/Vaughan"," 116","Vaughan",85,48,8,17,7,165,345
35096,"Vaughan/Vaughan"," 117","Vaughan",89,45,12,21,2,169,429
35096,"Vaughan/Vaughan"," 118","Vaughan",134,47,7,14,1,203,385
35096,"Vaughan/Vaughan"," 119","Vaughan",128,60,14,16,4,222,471
35096,"Vaughan/Vaughan"," 120","Vaughan",92,76,11,23,0,202,406
35096,"Vaughan/Vaughan"," 121","Vaughan",132,95,22,22,4,275,500
35096,"Vaughan/Vaughan"," 122A","Vaughan",69,56,8,6,1,140,280
35096,"Vaughan/Vaughan"," 122B","Vaughan",61,67,9,4,1,142,288
35096,"Vaughan/Vaughan"," 123","Vaughan",163,88,9,17,5,282,471
35096,"Vaughan/Vaughan"," 124","Vaughan",122,96,14,13,0,245,489
35096,"Vaughan/Vaughan"," 125","Vaughan",85,101,11,15,0,212,404
35096,"Vaughan/Vaughan"," 126","Vaughan",109,88,17,16,2,232,471
35096,"Vaughan/Vaughan"," 127","Vaughan",103,114,29,6,2,254,417
35096,"Vaughan/Vaughan"," 128","Vaughan",104,103,31,13,0,251,496
35096,"Vaughan/Vaughan"," 129","Vaughan",84,64,14,2,2,166,313
35096,"Vaughan/Vaughan"," 129-1","Vaughan",67,96,18,11,1,193,359
35096,"Vaughan/Vaughan"," 130","Vaughan",86,91,19,27,2,225,536
35096,"Vaughan/Vaughan"," 131","Vaughan",79,64,23,20,0,186,384
35096,"Vaughan/Vaughan"," 132","Vaughan",82,79,10,22,0,193,386
35096,"Vaughan/Vaughan"," 133","Vaughan",123,98,19,26,1,267,473
35096,"Vaughan/Vaughan"," 134A","Vaughan",73,69,17,25,0,184,409
35096,"Vaughan/Vaughan"," 134B","Vaughan",85,60,12,19,2,178,419
35096,"Vaughan/Vaughan"," 135","Vaughan",88,81,12,10,3,194,387
35096,"Vaughan/Vaughan"," 136","Vaughan",124,52,12,14,1,203,359
35096,"Vaughan/Vaughan"," 137","Vaughan",112,60,10,12,0,194,420
35096,"Vaughan/Vaughan"," 138","Vaughan",105,104,23,10,0,242,419
35096,"Vaughan/Vaughan"," 139A","Vaughan",52,53,18,11,0,134,311
35096,"Vaughan/Vaughan"," 139B","Vaughan",52,45,18,12,0,127,306
35096,"Vaughan/Vaughan"," 140","Vaughan",119,59,28,9,7,222,426
35096,"Vaughan/Vaughan"," 141","Vaughan",72,56,20,15,0,163,338
35096,"Vaughan/Vaughan"," 142","Vaughan",47,73,30,4,2,156,279
35096,"Vaughan/Vaughan"," 143","Vaughan",78,85,20,19,1,203,390
35096,"Vaughan/Vaughan"," 144","Vaughan",58,67,14,15,0,154,360
35096,"Vaughan/Vaughan"," 145","Vaughan",88,69,30,19,1,207,408
35096,"Vaughan/Vaughan"," 146","Vaughan",121,76,16,12,5,230,475
35096,"Vaughan/Vaughan"," 147","Vaughan",106,58,14,10,5,193,336
35096,"Vaughan/Vaughan"," 148","Vaughan",138,74,12,10,2,236,412
35096,"Vaughan/Vaughan"," 149","Vaughan",87,77,6,10,2,182,341
35096,"Vaughan/Vaughan"," 150","Vaughan",131,67,10,23,0,231,416
35096,"Vaughan/Vaughan"," 151","Vaughan",99,87,8,12,0,206,416
35096,"Vaughan/Vaughan"," 152","Vaughan",112,107,15,12,3,249,507
35096,"Vaughan/Vaughan"," 153","Vaughan",112,136,14,18,0,280,491
35096,"Vaughan/Vaughan"," 153-1","Vaughan",108,113,9,15,0,245,483
35096,"Vaughan/Vaughan"," 154A","Vaughan",77,47,10,10,0,144,283
35096,"Vaughan/Vaughan"," 154B","Vaughan",84,40,7,7,1,139,283
35096,"Vaughan/Vaughan"," 155","Vaughan",120,90,19,19,2,250,491
35096,"Vaughan/Vaughan"," 156A","Vaughan",71,69,10,5,2,157,282
35096,"Vaughan/Vaughan"," 156B","Vaughan",75,60,15,11,1,162,279
35096,"Vaughan/Vaughan"," 157","Vaughan",87,104,13,3,1,208,428
35096,"Vaughan/Vaughan"," 158","Vaughan",124,103,15,12,2,256,495
35096,"Vaughan/Vaughan"," 159","Vaughan",106,50,8,18,0,182,350
35096,"Vaughan/Vaughan"," 160","Vaughan",104,46,13,21,2,186,368
35096,"Vaughan/Vaughan"," 161","Vaughan",93,66,8,13,2,182,345
35096,"Vaughan/Vaughan"," 162","Vaughan",109,75,9,15,4,212,376
35096,"Vaughan/Vaughan"," 163","Vaughan",153,53,18,19,6,249,502
35096,"Vaughan/Vaughan"," 164","Vaughan",154,71,11,17,3,256,453
35096,"Vaughan/Vaughan"," 165","Vaughan",66,34,16,17,1,134,256
35096,"Vaughan/Vaughan"," 166","Vaughan",115,49,11,23,1,199,418
35096,"Vaughan/Vaughan"," 167","Vaughan",100,67,13,14,4,198,360
35096,"Vaughan/Vaughan"," 168","Vaughan",93,55,20,34,3,205,469
35096,"Vaughan/Vaughan"," 169","Vaughan",132,62,13,9,4,220,397
35096,"Vaughan/Vaughan"," 170","Vaughan",98,50,12,18,0,178,331
35096,"Vaughan/Vaughan"," 171","Vaughan",155,56,13,24,3,251,444
35096,"Vaughan/Vaughan"," 172","Vaughan",116,80,12,21,0,229,512
35096,"Vaughan/Vaughan"," 173","Vaughan",155,48,23,32,2,260,473
35096,"Vaughan/Vaughan"," 174","Vaughan",117,62,10,22,2,213,411
35096,"Vaughan/Vaughan"," 175","Vaughan",Void/Supprimé,,,,,,
35096,"Vaughan/Vaughan"," 176A","Vaughan",89,33,7,15,1,145,299
35096,"Vaughan/Vaughan"," 176B","Vaughan",85,41,7,10,0,143,274
35096,"Vaughan/Vaughan"," 177","Vaughan",124,44,7,9,0,184,367
35096,"Vaughan/Vaughan"," 178","Vaughan",107,53,4,12,6,182,339
35096,"Vaughan/Vaughan"," 179","Vaughan",120,62,8,18,3,211,367
35096,"Vaughan/Vaughan"," 180","Vaughan",130,59,7,25,3,224,441
35096,"Vaughan/Vaughan"," 181","Vaughan",77,50,10,18,1,156,409
35096,"Vaughan/Vaughan"," 181-1","Vaughan",68,49,13,19,1,150,386
35096,"Vaughan/Vaughan"," 182","Vaughan",63,58,6,14,1,142,303
35096,"Vaughan/Vaughan"," 182-1","Vaughan",52,52,27,16,0,147,366
35096,"Vaughan/Vaughan"," 183","Vaughan",135,55,10,12,0,212,425
35096,"Vaughan/Vaughan"," 184","Vaughan",166,79,13,14,3,275,475
35096,"Vaughan/Vaughan"," 185","Vaughan",179,73,15,16,4,287,502
35096,"Vaughan/Vaughan"," 186","Vaughan",140,62,12,15,1,230,456
35096,"Vaughan/Vaughan"," 187","Vaughan",91,34,9,10,1,145,280
35096,"Vaughan/Vaughan"," 188","Vaughan",130,51,11,27,4,223,448
35096,"Vaughan/Vaughan"," 189","Vaughan",112,77,25,22,1,237,557
35096,"Vaughan/Vaughan"," 190A","Vaughan",82,33,8,17,0,140,280
35096,"Vaughan/Vaughan"," 190B","Vaughan",64,48,10,15,2,139,288
35096,"Vaughan/Vaughan"," 191","Vaughan",130,54,11,8,2,205,348
35096,"Vaughan/Vaughan"," 192","Vaughan",107,47,6,29,2,191,406
35096,"Vaughan/Vaughan"," 192-1","Vaughan",114,48,9,21,2,194,382
35096,"Vaughan/Vaughan"," 193","Vaughan",137,61,14,23,3,238,457
35096,"Vaughan/Vaughan"," 194","Vaughan",145,65,17,18,2,247,478
35096,"Vaughan/Vaughan"," 195","Vaughan",85,89,22,23,3,222,452
35096,"Vaughan/Vaughan"," 196","Vaughan",123,78,20,21,0,242,544
35096,"Vaughan/Vaughan"," 197","Vaughan",73,41,11,13,2,140,235
35096,"Vaughan/Vaughan"," 198","Vaughan",81,66,10,10,1,168,297
35096,"Vaughan/Vaughan"," 199","Vaughan",99,32,5,7,11,154,264
35096,"Vaughan/Vaughan"," 500","Mobile poll/Bureau itinérant",48,17,0,5,3,73,191
35096,"Vaughan/Vaughan"," 501","Mobile poll/Bureau itinérant",21,14,4,1,0,40,59
35096,"Vaughan/Vaughan"," 502","Mobile poll/Bureau itinérant",19,19,2,4,2,46,131
35096,"Vaughan/Vaughan"," 600","Vaughan",151,155,42,22,0,370,
35096,"Vaughan/Vaughan"," 601","Vaughan",255,290,38,56,4,643,
35096,"Vaughan/Vaughan"," 602","Vaughan",139,98,25,26,1,289,
35096,"Vaughan/Vaughan"," 603","Vaughan",110,88,20,18,0,236,
35096,"Vaughan/Vaughan"," 604","Vaughan",184,72,18,34,4,312,
35096,"Vaughan/Vaughan"," 605","Vaughan",210,217,48,26,0,501,
35096,"Vaughan/Vaughan"," 606","Vaughan",171,98,23,22,2,316,
35096,"Vaughan/Vaughan"," 607","Vaughan",145,85,16,26,0,272,
35096,"Vaughan/Vaughan"," 608","Vaughan",161,91,26,19,1,298,
35096,"Vaughan/Vaughan",,Group 1/Groupe 1,25,13,0,4,1,43,60
35096,"Vaughan/Vaughan",,Group 2/Groupe 2,149,87,22,18,2,278,

