Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George N. Addison,Rick Dykstra,Jim Fannon,Sam Hammond,Walt Lastewka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"St. Catharines/St. Catharines"," 76","St. Catharines",39,100,23,0,42,0,204,356
35076,"St. Catharines/St. Catharines"," 77","St. Catharines",21,26,6,0,20,0,73,220
35076,"St. Catharines/St. Catharines"," 78","St. Catharines",66,89,19,0,44,1,219,435
35076,"St. Catharines/St. Catharines"," 79","St. Catharines",59,100,16,0,65,0,240,332
35076,"St. Catharines/St. Catharines"," 80","St. Catharines",33,119,9,1,78,0,240,380
35076,"St. Catharines/St. Catharines"," 81","St. Catharines",40,94,20,2,56,1,213,387
35076,"St. Catharines/St. Catharines"," 82","St. Catharines",26,89,16,0,85,0,216,398
35076,"St. Catharines/St. Catharines"," 83","St. Catharines",34,96,13,0,72,1,216,379
35076,"St. Catharines/St. Catharines"," 84","St. Catharines",25,98,16,0,86,0,225,347
35076,"St. Catharines/St. Catharines"," 85","St. Catharines",40,134,15,0,68,0,257,415
35076,"St. Catharines/St. Catharines"," 86","St. Catharines",50,121,17,0,76,1,265,392
35076,"St. Catharines/St. Catharines"," 87","St. Catharines",35,89,5,0,61,1,191,349
35076,"St. Catharines/St. Catharines"," 88","St. Catharines",48,142,17,3,79,1,290,532
35076,"St. Catharines/St. Catharines"," 89","St. Catharines",34,112,11,1,51,0,209,342
35076,"St. Catharines/St. Catharines"," 90","St. Catharines",33,96,13,0,69,0,211,336
35076,"St. Catharines/St. Catharines"," 91","St. Catharines",26,72,3,0,51,0,152,285
35076,"St. Catharines/St. Catharines"," 92","St. Catharines",29,101,11,0,55,0,196,339
35076,"St. Catharines/St. Catharines"," 93","St. Catharines",35,83,28,0,56,1,203,322
35076,"St. Catharines/St. Catharines"," 94","St. Catharines",23,182,8,0,56,0,269,488
35076,"St. Catharines/St. Catharines"," 95A","St. Catharines",36,71,8,0,58,0,173,287
35076,"St. Catharines/St. Catharines"," 95B","St. Catharines",33,85,4,0,49,2,173,293
35076,"St. Catharines/St. Catharines"," 96","St. Catharines",Void/Supprimé,,,,,,,
35076,"St. Catharines/St. Catharines"," 97","St. Catharines",14,13,3,0,6,0,36,97
35076,"St. Catharines/St. Catharines"," 98","St. Catharines",19,21,3,0,20,1,64,188
35076,"St. Catharines/St. Catharines"," 99","St. Catharines",43,79,11,0,47,1,181,373
35076,"St. Catharines/St. Catharines"," 100","St. Catharines",33,141,14,0,47,0,235,402
35076,"St. Catharines/St. Catharines"," 101","St. Catharines",39,92,14,1,48,1,195,374
35076,"St. Catharines/St. Catharines"," 102","St. Catharines",32,112,11,0,106,3,264,454
35076,"St. Catharines/St. Catharines"," 103","St. Catharines",36,98,5,1,41,2,183,404
35076,"St. Catharines/St. Catharines"," 104","St. Catharines",38,104,15,0,37,0,194,387
35076,"St. Catharines/St. Catharines"," 105","St. Catharines",5,27,6,0,15,0,53,96
35076,"St. Catharines/St. Catharines"," 106","St. Catharines",43,98,9,1,59,1,211,466
35076,"St. Catharines/St. Catharines"," 107","St. Catharines",51,107,18,1,55,0,232,517
35076,"St. Catharines/St. Catharines"," 108","St. Catharines",22,42,8,1,19,1,93,247
35076,"St. Catharines/St. Catharines"," 109","St. Catharines",25,115,9,1,62,0,212,356
35076,"St. Catharines/St. Catharines"," 110","St. Catharines",42,83,17,0,77,1,220,422
35076,"St. Catharines/St. Catharines"," 111","St. Catharines",38,73,10,1,67,2,191,378
35076,"St. Catharines/St. Catharines"," 112","St. Catharines",73,95,19,1,79,1,268,486
35076,"St. Catharines/St. Catharines"," 113","St. Catharines",53,118,13,2,84,1,271,520
35076,"St. Catharines/St. Catharines"," 114","St. Catharines",26,104,12,3,55,1,201,306
35076,"St. Catharines/St. Catharines"," 115","St. Catharines",34,74,17,1,58,0,184,367
35076,"St. Catharines/St. Catharines"," 116","St. Catharines",54,153,11,0,91,2,311,430
35076,"St. Catharines/St. Catharines"," 117","St. Catharines",35,108,13,0,86,0,242,403
35076,"St. Catharines/St. Catharines"," 118","St. Catharines",38,91,15,1,68,0,213,360
35076,"St. Catharines/St. Catharines"," 119","St. Catharines",47,65,9,0,66,2,189,319
35076,"St. Catharines/St. Catharines"," 120","St. Catharines",54,77,9,0,54,0,194,391
35076,"St. Catharines/St. Catharines"," 121","St. Catharines",40,62,7,0,21,0,130,323
35076,"St. Catharines/St. Catharines"," 122","St. Catharines",30,97,16,0,56,0,199,315
35076,"St. Catharines/St. Catharines"," 123","St. Catharines",38,107,21,0,48,2,216,385
35076,"St. Catharines/St. Catharines"," 124","St. Catharines",44,59,14,0,24,0,141,283
35076,"St. Catharines/St. Catharines"," 125","St. Catharines",27,70,7,0,29,1,134,262
35076,"St. Catharines/St. Catharines"," 126","St. Catharines",82,109,15,0,66,1,273,482
35076,"St. Catharines/St. Catharines"," 127A","St. Catharines",32,46,2,0,27,0,107,275
35076,"St. Catharines/St. Catharines"," 127B","St. Catharines",46,51,6,0,16,1,120,288
35076,"St. Catharines/St. Catharines"," 128","St. Catharines",27,110,17,0,63,1,218,328
35076,"St. Catharines/St. Catharines"," 129","St. Catharines",35,55,8,1,70,2,171,309
35076,"St. Catharines/St. Catharines"," 130","St. Catharines",34,109,14,1,95,1,254,433
35076,"St. Catharines/St. Catharines"," 131","St. Catharines",36,41,5,0,39,2,123,353
35076,"St. Catharines/St. Catharines"," 132","St. Catharines",38,57,13,0,46,0,154,369
35076,"St. Catharines/St. Catharines"," 133","St. Catharines",41,64,5,2,54,2,168,379
35076,"St. Catharines/St. Catharines"," 134A","St. Catharines",23,64,9,0,26,0,122,299
35076,"St. Catharines/St. Catharines"," 134B","St. Catharines",32,52,6,0,24,0,114,291
35076,"St. Catharines/St. Catharines"," 135","St. Catharines",39,38,3,1,50,0,131,371
35076,"St. Catharines/St. Catharines"," 136","St. Catharines",46,64,4,1,34,2,151,408
35076,"St. Catharines/St. Catharines"," 137","St. Catharines",66,83,11,0,43,0,203,401
35076,"St. Catharines/St. Catharines"," 138","St. Catharines",54,65,17,0,22,0,158,351
35076,"St. Catharines/St. Catharines"," 139","St. Catharines",36,62,13,1,42,2,156,330
35076,"St. Catharines/St. Catharines"," 140","St. Catharines",47,55,14,2,38,2,158,379
35076,"St. Catharines/St. Catharines"," 141","St. Catharines",49,70,14,0,29,0,162,361
35076,"St. Catharines/St. Catharines"," 142","St. Catharines",30,65,24,0,43,0,162,305
35076,"St. Catharines/St. Catharines"," 143","St. Catharines",39,65,21,0,49,0,174,299
35076,"St. Catharines/St. Catharines"," 144","St. Catharines",34,38,10,0,28,0,110,224
35076,"St. Catharines/St. Catharines"," 145","St. Catharines",19,60,7,1,37,0,124,379
35076,"St. Catharines/St. Catharines"," 146","St. Catharines",45,58,16,0,55,2,176,371
35076,"St. Catharines/St. Catharines"," 147","St. Catharines",55,79,26,1,64,0,225,427
35076,"St. Catharines/St. Catharines"," 148","St. Catharines",46,55,12,1,32,2,148,347
35076,"St. Catharines/St. Catharines"," 149","St. Catharines",40,56,17,0,50,0,163,352
35076,"St. Catharines/St. Catharines"," 150","St. Catharines",22,47,18,0,20,0,107,295
35076,"St. Catharines/St. Catharines"," 151","St. Catharines",43,67,18,0,45,0,173,360
35076,"St. Catharines/St. Catharines"," 152","St. Catharines",37,50,17,0,36,0,140,349
35076,"St. Catharines/St. Catharines"," 153","St. Catharines",62,34,18,1,32,0,147,371
35076,"St. Catharines/St. Catharines"," 154","St. Catharines",54,69,28,0,47,0,198,389
35076,"St. Catharines/St. Catharines"," 155","St. Catharines",65,67,30,1,57,1,221,421
35076,"St. Catharines/St. Catharines"," 156","St. Catharines",56,64,23,0,48,0,191,367
35076,"St. Catharines/St. Catharines"," 157","St. Catharines",53,83,30,0,58,0,224,366
35076,"St. Catharines/St. Catharines"," 158","St. Catharines",22,49,14,0,32,0,117,271
35076,"St. Catharines/St. Catharines"," 159","St. Catharines",50,38,28,1,57,0,174,295
35076,"St. Catharines/St. Catharines"," 160","St. Catharines",23,56,11,0,57,0,147,280
35076,"St. Catharines/St. Catharines"," 161","St. Catharines",67,75,23,1,43,1,210,393
35076,"St. Catharines/St. Catharines"," 162","St. Catharines",62,66,15,1,60,2,206,392
35076,"St. Catharines/St. Catharines"," 163","St. Catharines",50,76,8,1,70,1,206,418
35076,"St. Catharines/St. Catharines"," 164","St. Catharines",55,63,10,0,66,1,195,421
35076,"St. Catharines/St. Catharines"," 165","St. Catharines",48,59,29,2,53,2,193,370
35076,"St. Catharines/St. Catharines"," 166","St. Catharines",35,64,18,1,41,0,159,352
35076,"St. Catharines/St. Catharines"," 167","St. Catharines",56,62,5,0,25,1,149,368
35076,"St. Catharines/St. Catharines"," 168","St. Catharines",36,53,6,0,18,0,113,255
35076,"St. Catharines/St. Catharines"," 169","St. Catharines",65,39,10,0,30,0,144,350
35076,"St. Catharines/St. Catharines"," 170","St. Catharines",67,49,13,1,35,2,167,444
35076,"St. Catharines/St. Catharines"," 171","St. Catharines",37,46,19,0,33,0,135,375
35076,"St. Catharines/St. Catharines"," 172","St. Catharines",34,59,19,0,60,1,173,378
35076,"St. Catharines/St. Catharines"," 173","St. Catharines",47,37,20,1,46,0,151,337
35076,"St. Catharines/St. Catharines"," 174","St. Catharines",37,24,11,1,40,0,113,272
35076,"St. Catharines/St. Catharines"," 175","St. Catharines",34,74,24,1,62,3,198,455
35076,"St. Catharines/St. Catharines"," 176","St. Catharines",20,57,26,0,70,0,173,301
35076,"St. Catharines/St. Catharines"," 177","St. Catharines",27,36,29,2,60,1,155,337
35076,"St. Catharines/St. Catharines"," 178","St. Catharines",36,36,15,1,30,2,120,287
35076,"St. Catharines/St. Catharines"," 179","St. Catharines",66,45,13,1,37,0,162,407
35076,"St. Catharines/St. Catharines"," 180","St. Catharines",55,132,14,0,93,1,295,440
35076,"St. Catharines/St. Catharines"," 181","St. Catharines",Void/Supprimé,,,,,,,
35076,"St. Catharines/St. Catharines"," 182","St. Catharines",58,47,20,0,32,3,160,310
35076,"St. Catharines/St. Catharines"," 183","St. Catharines",32,53,8,0,35,1,129,298
35076,"St. Catharines/St. Catharines"," 184","St. Catharines",44,86,11,1,73,1,216,312
35076,"St. Catharines/St. Catharines"," 185","St. Catharines",37,123,8,0,81,0,249,453
35076,"St. Catharines/St. Catharines"," 186","St. Catharines",46,56,17,1,40,1,161,324
35076,"St. Catharines/St. Catharines"," 187","St. Catharines",57,93,8,1,55,0,214,407
35076,"St. Catharines/St. Catharines"," 188","St. Catharines",31,94,7,2,49,0,183,324
35076,"St. Catharines/St. Catharines"," 189","St. Catharines",56,64,6,0,29,0,155,340
35076,"St. Catharines/St. Catharines"," 190","St. Catharines",53,131,33,0,73,1,291,517
35076,"St. Catharines/St. Catharines"," 191","St. Catharines",58,116,16,2,50,0,242,469
35076,"St. Catharines/St. Catharines"," 192","St. Catharines",50,56,10,0,47,0,163,280
35076,"St. Catharines/St. Catharines"," 193","St. Catharines",68,65,6,0,47,0,186,350
35076,"St. Catharines/St. Catharines"," 194","St. Catharines",64,73,28,0,56,1,222,373
35076,"St. Catharines/St. Catharines"," 195","St. Catharines",46,96,18,0,51,0,211,428
35076,"St. Catharines/St. Catharines"," 196","St. Catharines",56,71,19,0,61,1,208,370
35076,"St. Catharines/St. Catharines"," 197","St. Catharines",51,49,18,0,34,0,152,345
35076,"St. Catharines/St. Catharines"," 198","St. Catharines",57,54,13,0,27,0,151,337
35076,"St. Catharines/St. Catharines"," 199","St. Catharines",77,78,15,1,42,0,213,393
35076,"St. Catharines/St. Catharines"," 200","St. Catharines",54,98,10,0,53,0,215,383
35076,"St. Catharines/St. Catharines"," 201A","St. Catharines",32,67,9,2,29,2,141,274
35076,"St. Catharines/St. Catharines"," 201B","St. Catharines",42,74,12,0,24,2,154,281
35076,"St. Catharines/St. Catharines"," 201-1","St. Catharines",44,48,4,0,23,1,120,303
35076,"St. Catharines/St. Catharines"," 202","St. Catharines",59,61,12,0,31,0,163,349
35076,"St. Catharines/St. Catharines"," 203","St. Catharines",61,46,19,0,49,0,175,300
35076,"St. Catharines/St. Catharines"," 204","St. Catharines",27,53,7,0,34,0,121,289
35076,"St. Catharines/St. Catharines"," 205","St. Catharines",38,48,13,0,38,1,138,332
35076,"St. Catharines/St. Catharines"," 206","St. Catharines",29,120,27,0,102,0,278,430
35076,"St. Catharines/St. Catharines"," 207","St. Catharines",21,103,27,0,115,0,266,397
35076,"St. Catharines/St. Catharines"," 208","St. Catharines",22,104,25,1,90,0,242,341
35076,"St. Catharines/St. Catharines"," 209","St. Catharines",24,96,14,0,54,0,188,363
35076,"St. Catharines/St. Catharines"," 210","St. Catharines",30,40,10,1,13,0,94,230
35076,"St. Catharines/St. Catharines"," 211","St. Catharines",48,65,18,0,26,0,157,365
35076,"St. Catharines/St. Catharines"," 212","St. Catharines",34,81,18,0,76,0,209,345
35076,"St. Catharines/St. Catharines"," 213","St. Catharines",32,71,14,0,66,0,183,366
35076,"St. Catharines/St. Catharines"," 214","St. Catharines",Void/Supprimé,,,,,,,
35076,"St. Catharines/St. Catharines"," 215","St. Catharines",17,79,8,0,59,2,165,283
35076,"St. Catharines/St. Catharines"," 216","St. Catharines",25,79,8,0,60,0,172,306
35076,"St. Catharines/St. Catharines"," 217","St. Catharines",21,74,10,2,32,1,140,251
35076,"St. Catharines/St. Catharines"," 218","St. Catharines",33,88,27,0,67,0,215,332
35076,"St. Catharines/St. Catharines"," 219","St. Catharines",27,85,15,0,75,1,203,345
35076,"St. Catharines/St. Catharines"," 220","St. Catharines",33,44,8,0,48,0,133,307
35076,"St. Catharines/St. Catharines"," 221","St. Catharines",48,54,15,0,39,0,156,324
35076,"St. Catharines/St. Catharines"," 400","St. Catharines",38,58,4,1,39,2,142,222
35076,"St. Catharines/St. Catharines"," 401","St. Catharines",34,153,9,0,76,1,273,374
35076,"St. Catharines/St. Catharines"," 402","St. Catharines",4,24,1,1,15,0,45,170
35076,"St. Catharines/St. Catharines"," 403","St. Catharines",6,22,1,0,34,2,65,155
35076,"St. Catharines/St. Catharines"," 404","St. Catharines",9,21,1,0,13,2,46,108
35076,"St. Catharines/St. Catharines"," 405","St. Catharines",10,24,5,0,20,1,60,154
35076,"St. Catharines/St. Catharines"," 500","Mobile poll/Bureau itinérant",12,47,4,2,35,3,103,149
35076,"St. Catharines/St. Catharines"," 501","Mobile poll/Bureau itinérant",7,45,2,0,17,0,71,152
35076,"St. Catharines/St. Catharines"," 600","St. Catharines",69,449,30,0,253,0,801,
35076,"St. Catharines/St. Catharines"," 601","St. Catharines",34,262,23,0,113,0,432,
35076,"St. Catharines/St. Catharines"," 602","St. Catharines",56,369,29,1,217,2,674,
35076,"St. Catharines/St. Catharines"," 603","St. Catharines",64,356,24,0,155,1,600,
35076,"St. Catharines/St. Catharines"," 604","St. Catharines",64,305,23,0,151,5,548,
35076,"St. Catharines/St. Catharines"," 605","St. Catharines",74,297,24,1,138,0,534,
35076,"St. Catharines/St. Catharines"," 606","St. Catharines",111,247,51,3,177,0,589,
35076,"St. Catharines/St. Catharines"," 607","St. Catharines",31,100,18,2,68,0,219,
35076,"St. Catharines/St. Catharines"," 608","St. Catharines",37,131,4,1,71,2,246,
35076,"St. Catharines/St. Catharines"," 609","St. Catharines",65,263,18,0,167,3,516,
35076,"St. Catharines/St. Catharines",,Group 1/Groupe 1,23,76,12,0,56,1,168,325
35076,"St. Catharines/St. Catharines",,Group 2/Groupe 2,59,338,25,1,236,2,661,

