Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Abrams,Rick Downes,Peter Milliken,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",51,30,111,32,0,224,346
35036,"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",78,13,106,20,1,218,335
35036,"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",59,24,83,26,0,192,344
35036,"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",68,40,106,42,1,257,413
35036,"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",73,32,90,18,2,215,454
35036,"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",17,29,31,19,1,97,311
35036,"Kingston and the Islands/Kingston et les Îles"," 133","Kingston",39,23,32,11,0,105,309
35036,"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",40,39,59,11,1,150,424
35036,"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",19,67,41,13,0,140,426
35036,"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",27,51,35,10,0,123,347
35036,"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",41,33,49,6,0,129,346
35036,"Kingston and the Islands/Kingston et les Îles"," 138A","Kingston",33,26,55,16,0,130,303
35036,"Kingston and the Islands/Kingston et les Îles"," 138B","Kingston",38,31,55,13,0,137,315
35036,"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",20,23,62,15,0,120,297
35036,"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",51,42,96,20,2,211,313
35036,"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",60,37,115,24,0,236,381
35036,"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",50,31,111,15,1,208,332
35036,"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",71,27,101,18,3,220,364
35036,"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",37,26,81,22,0,166,273
35036,"Kingston and the Islands/Kingston et les Îles"," 145A","Kingston",73,35,70,19,1,198,307
35036,"Kingston and the Islands/Kingston et les Îles"," 145B","Kingston",39,37,22,22,1,121,310
35036,"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",22,42,24,8,0,96,354
35036,"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",41,46,107,22,1,217,407
35036,"Kingston and the Islands/Kingston et les Îles"," 148A","Kingston",31,34,56,17,1,139,389
35036,"Kingston and the Islands/Kingston et les Îles"," 148B","Kingston",59,36,69,44,1,209,154
35036,"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",36,45,60,25,0,166,376
35036,"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",20,36,42,27,1,126,294
35036,"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",26,24,56,20,1,127,262
35036,"Kingston and the Islands/Kingston et les Îles"," 152","Kingston",104,16,115,19,2,256,509
35036,"Kingston and the Islands/Kingston et les Îles"," 152-1","Kingston",29,7,23,8,0,67,137
35036,"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",55,27,122,41,2,247,390
35036,"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",73,29,97,21,1,221,405
35036,"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",33,45,48,25,1,152,347
35036,"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",22,22,57,12,0,113,291
35036,"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",22,46,43,20,0,131,332
35036,"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",38,36,67,50,0,191,370
35036,"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",25,55,61,27,2,170,400
35036,"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",14,34,55,24,1,128,266
35036,"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",16,22,49,29,0,116,251
35036,"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",31,33,43,37,2,146,281
35036,"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",36,15,55,41,0,147,251
35036,"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",20,38,47,30,0,135,308
35036,"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",34,30,52,25,0,141,312
35036,"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",38,43,53,17,0,151,356
35036,"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",33,25,77,35,0,170,317
35036,"Kingston and the Islands/Kingston et les Îles"," 168","Kingston",39,37,72,26,0,174,339
35036,"Kingston and the Islands/Kingston et les Îles"," 169","Kingston",29,27,88,34,0,178,328
35036,"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",28,21,75,24,0,148,290
35036,"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",60,52,83,45,0,240,417
35036,"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",78,49,112,62,2,303,535
35036,"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",76,49,128,75,0,328,643
35036,"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",34,46,47,9,3,139,540
35036,"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",22,39,36,17,0,114,350
35036,"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",26,50,43,25,0,144,380
35036,"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",15,70,68,28,1,182,398
35036,"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",51,66,54,40,0,211,432
35036,"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",24,51,69,31,1,176,326
35036,"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",27,70,60,57,3,217,456
35036,"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",11,79,60,33,0,183,359
35036,"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",26,33,49,43,0,151,253
35036,"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",18,32,60,33,1,144,299
35036,"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",20,42,65,38,0,165,281
35036,"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",48,56,104,39,3,250,466
35036,"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",37,28,75,37,0,177,327
35036,"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",29,48,82,30,0,189,380
35036,"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",60,40,110,66,1,277,530
