Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janice Bernier,Greg Chatterson,Rod Flaman,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52","Piapot 75",28,2,20,2,1,53,127
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Muscowpetung 80",Void/Supprimé,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54","Edenwold",49,19,40,176,0,284,563
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Edgeley",22,10,12,102,1,147,160
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55-1","Pasqua 79",42,8,23,5,2,80,92
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Pilot Butte",69,24,43,210,1,347,627
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57","Pilot Butte",58,8,11,127,0,204,322
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58","Pilot Butte",102,24,37,186,0,349,645
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59A","Pilot Butte",45,14,18,68,0,145,290
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59B","Mobile poll/Bureau itinérant",Merged with No. 60B/Fusionné avec le nº 60B,,,,,,2
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60A","White City",91,15,57,387,1,551,859
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60B","Mobile poll/Bureau itinérant",9,1,8,15,0,33,59
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61","White City",55,22,42,263,0,382,581
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","White City",64,8,28,176,0,276,457
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","White City",50,13,31,103,0,197,336
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Balgonie",66,30,30,245,1,372,558
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65A","Balgonie",41,12,19,144,1,217,372
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65B","Balgonie",49,20,14,169,0,252,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Balgonie",51,12,16,125,0,204,347
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","McLean",56,17,17,166,0,256,407
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",81,17,17,80,0,195,387
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",84,23,16,118,0,241,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",72,10,17,123,1,223,422
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",66,16,15,48,0,145,318
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Regina",71,16,19,70,0,176,337
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73","Regina",88,23,29,107,0,247,434
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Regina",77,10,21,61,4,173,356
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Regina",71,8,23,66,1,169,300
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Regina",79,10,28,67,0,184,323
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 77","Regina",100,9,16,70,0,195,332
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 78","Regina",69,10,16,106,0,201,333
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 79","Regina",55,11,22,68,0,156,297
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 80","Regina",50,12,21,47,0,130,270
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 81","Regina",60,14,14,80,0,168,306
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 82","Regina",62,6,18,85,1,172,316
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 83","Regina",59,3,21,47,0,130,270
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 84","Regina",49,7,16,41,0,113,305
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 85","Regina",62,7,19,54,0,142,349
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 86","Regina",39,4,14,23,0,80,254
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 87","Regina",79,22,22,69,0,192,363
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 88","Regina",105,6,17,52,1,181,415
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 89","Regina",55,6,10,57,2,130,309
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 90","Regina",86,17,23,148,0,274,440
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 91","Regina",91,11,16,130,0,248,385
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 92","Regina",76,7,23,128,1,235,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 93","Regina",85,9,32,127,0,253,434
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94","Regina",60,2,13,55,0,130,305
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 95","Regina",78,8,11,95,0,192,329
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 96","Regina",70,16,29,105,1,221,378
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 97","Regina",70,9,22,69,0,170,267
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 98","Regina",46,5,10,57,1,119,257
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 99","Regina",68,12,14,83,0,177,361
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 100","Regina",71,11,18,84,0,184,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 101","Regina",64,8,31,87,3,193,360
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 102","Regina",71,5,21,68,1,166,260
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 103","Regina",79,9,39,88,0,215,430
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 104","Regina",63,4,19,80,0,166,308
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 105","Regina",77,5,11,92,0,185,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 106","Regina",96,4,16,79,0,195,354
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 107","Regina",65,9,19,76,0,169,312
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 108","Regina",43,5,19,62,0,129,298
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 109","Regina",82,9,11,67,0,169,349
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",75,9,11,43,0,138,307
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",52,6,9,50,0,117,304
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",52,8,12,36,0,108,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",53,13,16,59,0,141,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",99,8,12,35,1,155,376
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115","Regina",69,5,12,39,0,125,365
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",61,18,11,48,0,138,320
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",51,6,9,34,1,101,310
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",54,8,13,38,4,117,301
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Regina",56,7,17,36,2,118,329
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Regina",58,10,10,39,0,117,352
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Regina",38,7,7,18,0,70,252
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Regina",53,9,8,45,3,118,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Regina",71,7,6,25,0,109,291
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Regina",50,6,12,27,2,97,304
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Regina",72,7,13,20,0,112,260
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Regina",63,9,15,34,0,121,344
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127","Regina",70,15,15,62,1,163,405
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","Regina",73,3,28,90,0,194,415
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","Regina",67,9,20,54,1,151,393
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","Regina",80,14,12,75,1,182,448
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","Regina",61,11,14,50,0,136,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","Regina",36,6,11,37,0,90,254
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","Regina",50,9,18,40,1,118,370
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","Regina",40,8,20,33,0,101,370
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","Regina",86,13,20,59,0,178,405
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","Regina",80,14,18,60,0,172,367
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","Qu'Appelle",17,7,9,74,0,107,171
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Qu'Appelle",29,3,7,63,0,102,164
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Qu'Appelle",44,6,18,85,0,153,328
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Indian Head",24,6,11,97,0,138,213
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Indian Head",50,10,24,119,0,203,309
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Indian Head",73,17,20,169,1,280,592
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 143","Indian Head",49,13,21,100,0,183,309
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 144","Indian Head",26,3,6,61,0,96,178
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 145","Sintaluta",24,9,11,92,0,136,263
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 146","Wolseley",40,23,33,154,1,251,405
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 147","Wolseley",17,16,14,82,0,129,177
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Mobile poll/Bureau itinérant",16,0,8,15,0,39,55
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",3,2,5,18,0,28,63
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",14,5,12,26,3,60,85
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",38,4,24,27,3,96,143
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504","Mobile poll/Bureau itinérant",13,7,5,20,0,45,69
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Wynyard",59,3,7,112,0,181,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Ituna",27,1,15,107,0,150,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Fort Qu'Appelle",105,24,41,314,1,485,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Pilot Butte",72,21,35,256,1,385,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Regina",159,17,25,215,0,416,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Regina",108,12,35,222,0,377,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Regina",65,6,11,61,0,143,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","Regina",38,2,12,57,0,109,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Qu'Appelle",32,14,14,76,0,136,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1,47,14,67,22,13,163,222
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2,75,8,33,144,3,263,

