Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Beauchamp,Claude Marc Boudreau,Roger Gaudet,David Grégoire,Michel Paulette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Montcalm/Montcalm"," 20","Saint-Calixte",23,28,104,16,8,2,181,400
24043,"Montcalm/Montcalm"," 21","Saint-Calixte",26,22,86,20,5,2,161,405
24043,"Montcalm/Montcalm"," 22","Saint-Calixte",21,31,111,21,4,3,191,398
24043,"Montcalm/Montcalm"," 22-1","Saint-Calixte",25,14,60,9,5,1,114,328
24043,"Montcalm/Montcalm"," 23","Sainte-Julienne",Void/Supprimé,,,,,,,
24043,"Montcalm/Montcalm"," 24","Sainte-Julienne",13,21,152,22,8,7,223,517
24043,"Montcalm/Montcalm"," 25","Saint-Liguori",44,34,213,28,13,2,334,507
24043,"Montcalm/Montcalm"," 26","Saint-Liguori",32,25,169,23,7,4,260,405
24043,"Montcalm/Montcalm"," 27","Saint-Liguori",27,37,234,47,9,3,357,525
24043,"Montcalm/Montcalm"," 28","Saint-Jacques",16,26,114,29,12,0,197,353
24043,"Montcalm/Montcalm"," 29","Sainte-Marie-Salomé",22,20,116,17,9,5,189,290
24043,"Montcalm/Montcalm"," 30","Sainte-Marie-Salomé",21,22,129,31,15,7,225,331
24043,"Montcalm/Montcalm"," 31","Sainte-Marie-Salomé",24,41,111,21,8,3,208,352
24043,"Montcalm/Montcalm"," 32","Saint-Jacques",37,33,101,27,10,2,210,361
24043,"Montcalm/Montcalm"," 33","Saint-Jacques",38,50,124,44,12,9,277,509
24043,"Montcalm/Montcalm"," 34","Saint-Jacques",Void/Supprimé,,,,,,,
24043,"Montcalm/Montcalm"," 35","Saint-Jacques",35,19,137,43,9,6,249,477
24043,"Montcalm/Montcalm"," 36","Saint-Jacques",44,38,109,36,6,0,233,396
24043,"Montcalm/Montcalm"," 37","Saint-Jacques",18,24,145,17,8,6,218,402
24043,"Montcalm/Montcalm"," 38","Saint-Jacques",29,37,179,28,6,5,284,474
24043,"Montcalm/Montcalm"," 39","Saint-Alexis",46,53,201,40,13,9,362,544
24043,"Montcalm/Montcalm"," 40","Saint-Alexis",38,39,132,24,5,2,240,453
24043,"Montcalm/Montcalm"," 41","Saint-Esprit",24,48,146,54,9,3,284,442
24043,"Montcalm/Montcalm"," 42","Saint-Esprit",22,21,122,43,7,11,226,412
24043,"Montcalm/Montcalm"," 43","Saint-Esprit",22,30,91,45,6,6,200,296
24043,"Montcalm/Montcalm"," 44","Saint-Esprit",32,24,112,55,4,2,229,358
24043,"Montcalm/Montcalm"," 45","Saint-Lin",23,31,98,18,7,8,185,484
24043,"Montcalm/Montcalm"," 46","Saint-Lin",39,25,121,28,8,6,227,542
24043,"Montcalm/Montcalm"," 47","Saint-Lin",15,15,92,9,6,2,139,302
24043,"Montcalm/Montcalm"," 47-1","Saint-Lin",39,34,116,24,7,2,222,562
24043,"Montcalm/Montcalm"," 48","Saint-Lin",24,22,97,21,4,6,174,467
24043,"Montcalm/Montcalm"," 49","Saint-Lin",18,13,122,26,6,5,190,445
24043,"Montcalm/Montcalm"," 50","Saint-Lin",22,38,136,25,6,7,234,494
24043,"Montcalm/Montcalm"," 51","Saint-Lin",35,43,117,12,11,3,221,447
24043,"Montcalm/Montcalm"," 52","Laurentides",30,33,111,30,9,6,219,447
24043,"Montcalm/Montcalm"," 53","Laurentides",15,23,96,29,11,0,174,391
24043,"Montcalm/Montcalm"," 53-1","Saint-Lin--Laurentides",28,31,115,24,1,9,208,371
24043,"Montcalm/Montcalm"," 54","Laurentides",29,31,121,35,7,1,224,522
24043,"Montcalm/Montcalm"," 55","Laurentides",14,28,85,26,6,8,167,373
24043,"Montcalm/Montcalm"," 56","Laurentides",54,25,156,37,8,6,286,569
24043,"Montcalm/Montcalm"," 57","Saint-Lin",25,22,130,19,6,9,211,461
24043,"Montcalm/Montcalm"," 58","Saint-Lin",30,28,143,34,6,6,247,489
24043,"Montcalm/Montcalm"," 59","Saint-Lin",42,16,158,30,5,6,257,521
24043,"Montcalm/Montcalm"," 59-1","Saint-Lin",23,14,135,21,13,5,211,479
24043,"Montcalm/Montcalm"," 60","Saint-Lin",23,33,102,20,6,12,196,406
24043,"Montcalm/Montcalm"," 61","Saint-Lin",38,28,179,22,6,8,281,616
24043,"Montcalm/Montcalm"," 61-1","Saint-Lin",22,23,110,24,1,7,187,435
24043,"Montcalm/Montcalm"," 61-2","Saint-Lin--Laurentides",38,19,144,15,4,3,223,457
24043,"Montcalm/Montcalm"," 62","Saint-Lin",33,12,130,13,3,4,195,428
24043,"Montcalm/Montcalm"," 62-1","Saint-Lin--Laurentides",30,18,122,18,4,4,196,464
24043,"Montcalm/Montcalm"," 63","Saint-Lin",33,14,114,15,5,5,186,418
24043,"Montcalm/Montcalm"," 64","Saint-Roch-Ouest",39,33,130,34,7,1,244,439
24043,"Montcalm/Montcalm"," 65","Saint-Roch-de-l'Achigan",31,25,139,35,10,4,244,481
24043,"Montcalm/Montcalm"," 66","Saint-Roch-de-l'Achigan",26,19,126,26,7,2,206,443
24043,"Montcalm/Montcalm"," 67","Saint-Roch-de-l'Achigan",38,27,161,24,7,6,263,489
24043,"Montcalm/Montcalm"," 68","Saint-Roch-de-l'Achigan",32,43,128,41,3,3,250,437
24043,"Montcalm/Montcalm"," 69","Saint-Roch-de-l'Achigan",30,33,165,37,13,1,279,496
24043,"Montcalm/Montcalm"," 70","Saint-Roch-de-l'Achigan",15,15,106,17,2,3,158,297
24043,"Montcalm/Montcalm"," 71","Saint-Roch-de-l'Achigan",22,35,116,41,6,4,224,388
24043,"Montcalm/Montcalm"," 72","Saint-Roch-de-l'Achigan",19,12,97,26,1,2,157,302
24043,"Montcalm/Montcalm"," 73","Mascouche",34,22,143,28,10,3,240,459
24043,"Montcalm/Montcalm"," 74","Mascouche",49,59,130,29,5,7,279,521
24043,"Montcalm/Montcalm"," 75","La Plaine",35,46,156,27,16,6,286,558
24043,"Montcalm/Montcalm"," 76","La Plaine",22,28,124,25,9,8,216,384
24043,"Montcalm/Montcalm"," 77","La Plaine",35,26,122,28,4,3,218,420
24043,"Montcalm/Montcalm"," 78","La Plaine",17,23,135,13,7,8,203,433
24043,"Montcalm/Montcalm"," 79","La Plaine",29,44,157,33,9,8,280,492
24043,"Montcalm/Montcalm"," 80","La Plaine",31,24,168,37,8,11,279,468
24043,"Montcalm/Montcalm"," 80-1","La Plaine",50,30,153,46,6,7,292,551
24043,"Montcalm/Montcalm"," 81","La Plaine",39,18,126,32,6,10,231,380
24043,"Montcalm/Montcalm"," 81-1","La Plaine",34,20,129,31,3,0,217,400
24043,"Montcalm/Montcalm"," 82","La Plaine",39,20,143,25,5,3,235,389
24043,"Montcalm/Montcalm"," 83","La Plaine",36,26,129,33,14,12,250,421
24043,"Montcalm/Montcalm"," 84","La Plaine",37,35,135,18,8,7,240,452
24043,"Montcalm/Montcalm"," 85","La Plaine",32,32,110,23,3,5,205,332
24043,"Montcalm/Montcalm"," 86","La Plaine",59,43,171,57,8,3,341,597
24043,"Montcalm/Montcalm"," 87","La Plaine",27,27,187,20,4,9,274,487
24043,"Montcalm/Montcalm"," 88","La Plaine",61,22,147,46,6,13,295,502
24043,"Montcalm/Montcalm"," 88-1","La Plaine",37,45,132,22,6,6,248,445
24043,"Montcalm/Montcalm"," 89","La Plaine",39,32,163,36,6,5,281,514
24043,"Montcalm/Montcalm"," 90","La Plaine",26,18,123,20,7,2,196,395
24043,"Montcalm/Montcalm"," 91","La Plaine",30,28,147,25,1,4,235,431
24043,"Montcalm/Montcalm"," 91-1","La Plaine",32,31,99,33,5,9,209,385
24043,"Montcalm/Montcalm"," 92","La Plaine",36,30,118,23,6,4,217,433
24043,"Montcalm/Montcalm"," 92-1","La Plaine",38,28,140,27,6,4,243,512
24043,"Montcalm/Montcalm"," 93","La Plaine",43,24,168,26,8,4,273,554
24043,"Montcalm/Montcalm"," 93-1A","Terrebonne",22,16,85,37,2,4,166,375
24043,"Montcalm/Montcalm"," 93-1B","Terrebonne",24,24,117,20,0,6,191,376
24043,"Montcalm/Montcalm"," 94","La Plaine",36,33,152,31,9,4,265,520
24043,"Montcalm/Montcalm"," 95","La Plaine",48,24,140,23,6,8,249,474
24043,"Montcalm/Montcalm"," 95-1","Terrebonne",41,30,164,26,11,6,278,465
24043,"Montcalm/Montcalm"," 96","La Plaine",28,25,159,28,7,4,251,446
24043,"Montcalm/Montcalm"," 96-1","La Plaine",31,18,127,27,13,3,219,349
24043,"Montcalm/Montcalm"," 97","La Plaine",47,24,152,33,11,6,273,534
24043,"Montcalm/Montcalm"," 98","La Plaine",56,28,145,26,5,7,267,490
24043,"Montcalm/Montcalm"," 99","La Plaine",31,33,116,17,13,13,223,425
24043,"Montcalm/Montcalm"," 100","Mascouche",25,26,118,29,8,2,208,403
24043,"Montcalm/Montcalm"," 101","Mascouche",11,20,104,7,2,4,148,303
24043,"Montcalm/Montcalm"," 102","Mascouche",10,42,103,21,8,11,195,369
24043,"Montcalm/Montcalm"," 103","Mascouche",29,32,144,35,8,8,256,452
24043,"Montcalm/Montcalm"," 104","Mascouche",32,32,161,39,9,7,280,451
24043,"Montcalm/Montcalm"," 105","Mascouche",38,50,108,38,13,10,257,433
24043,"Montcalm/Montcalm"," 105-1","Mascouche",31,42,132,37,15,5,262,420
24043,"Montcalm/Montcalm"," 106","Mascouche",43,53,164,36,8,5,309,518
24043,"Montcalm/Montcalm"," 107","Mascouche",25,32,131,22,9,7,226,422
24043,"Montcalm/Montcalm"," 108","Mascouche",51,26,159,31,6,4,277,482
24043,"Montcalm/Montcalm"," 109A","Mascouche",32,29,99,21,5,3,189,303
24043,"Montcalm/Montcalm"," 109B","Mascouche",27,13,118,20,3,7,188,336
24043,"Montcalm/Montcalm"," 110","Mascouche",35,32,145,30,10,3,255,440
24043,"Montcalm/Montcalm"," 111","Mascouche",35,53,133,35,20,6,282,477
24043,"Montcalm/Montcalm"," 112","Mascouche",29,46,152,54,16,5,302,528
24043,"Montcalm/Montcalm"," 113","Mascouche",34,40,139,25,3,6,247,364
24043,"Montcalm/Montcalm"," 114","Mascouche",46,29,129,48,13,4,269,442
24043,"Montcalm/Montcalm"," 115","Mascouche",66,37,164,29,5,9,310,511
24043,"Montcalm/Montcalm"," 116","Mascouche",32,47,129,30,13,9,260,440
24043,"Montcalm/Montcalm"," 117","Mascouche",50,51,136,34,9,4,284,495
24043,"Montcalm/Montcalm"," 118","Mascouche",39,37,147,34,20,6,283,468
24043,"Montcalm/Montcalm"," 119","Mascouche",46,35,176,28,8,8,301,491
24043,"Montcalm/Montcalm"," 120","Mascouche",49,33,163,41,16,4,306,417
24043,"Montcalm/Montcalm"," 120-1","Mascouche",60,27,171,34,13,8,313,521
24043,"Montcalm/Montcalm"," 121","Mascouche",36,22,142,19,5,2,226,377
24043,"Montcalm/Montcalm"," 121-1","Mascouche",66,47,197,55,7,6,378,637
24043,"Montcalm/Montcalm"," 122","Mascouche",33,35,145,47,7,5,272,504
24043,"Montcalm/Montcalm"," 123","Mascouche",45,43,145,39,10,4,286,491
24043,"Montcalm/Montcalm"," 124","Mascouche",41,27,113,42,10,5,238,449
24043,"Montcalm/Montcalm"," 125","Mascouche",33,21,114,32,8,3,211,421
24043,"Montcalm/Montcalm"," 126","Mascouche",43,28,150,22,11,6,260,433
24043,"Montcalm/Montcalm"," 127","Mascouche",41,34,111,46,5,5,242,370
24043,"Montcalm/Montcalm"," 128","Mascouche",31,28,153,34,8,8,262,406
24043,"Montcalm/Montcalm"," 129","Mascouche",27,29,165,28,9,9,267,387
24043,"Montcalm/Montcalm"," 130","Mascouche",32,28,180,32,11,5,288,465
24043,"Montcalm/Montcalm"," 131","Mascouche",52,44,216,47,9,9,377,602
24043,"Montcalm/Montcalm"," 132","Mascouche",40,37,152,35,15,4,283,460
24043,"Montcalm/Montcalm"," 132-1","Mascouche",34,33,140,45,14,3,269,458
24043,"Montcalm/Montcalm"," 133A","Mascouche",35,12,100,43,4,5,199,306
24043,"Montcalm/Montcalm"," 133B","Mascouche",29,52,94,45,4,5,229,439
24043,"Montcalm/Montcalm"," 133-1","Mascouche",61,50,175,59,10,3,358,617
24043,"Montcalm/Montcalm"," 133-2","Mascouche",47,30,122,35,6,6,246,457
24043,"Montcalm/Montcalm"," 133-3A","Mascouche",55,39,145,64,9,3,315,477
24043,"Montcalm/Montcalm"," 133-3B","Mascouche",40,42,151,48,5,2,288,512
24043,"Montcalm/Montcalm"," 133-3C","Mascouche",45,45,119,44,8,2,263,546
24043,"Montcalm/Montcalm"," 133-3D","Mascouche",50,41,126,56,5,3,281,547
24043,"Montcalm/Montcalm"," 134A","Mascouche",33,28,97,31,5,4,198,370
24043,"Montcalm/Montcalm"," 134B","Mascouche",52,32,148,44,6,6,288,525
24043,"Montcalm/Montcalm"," 135","Mascouche",32,20,141,46,5,9,253,459
24043,"Montcalm/Montcalm"," 136","Mascouche",19,40,106,39,7,6,217,431
24043,"Montcalm/Montcalm"," 137","Mascouche",30,41,129,40,8,7,255,462
24043,"Montcalm/Montcalm"," 138","Mascouche",44,43,146,37,10,5,285,453
24043,"Montcalm/Montcalm"," 139","Mascouche",42,29,198,34,7,5,315,481
24043,"Montcalm/Montcalm"," 140","Mascouche",43,22,170,46,8,5,294,429
24043,"Montcalm/Montcalm"," 141","Mascouche",39,27,195,38,19,5,323,475
24043,"Montcalm/Montcalm"," 142","Mascouche",54,31,139,39,7,5,275,443
24043,"Montcalm/Montcalm"," 143","Mascouche",49,22,100,27,5,2,205,346
24043,"Montcalm/Montcalm"," 144","Lachenaie",39,23,139,29,11,12,253,400
24043,"Montcalm/Montcalm"," 145","Lachenaie",35,17,149,26,3,4,234,387
24043,"Montcalm/Montcalm"," 146","Lachenaie",30,17,119,29,4,6,205,375
24043,"Montcalm/Montcalm"," 147","Lachenaie",60,49,154,86,15,8,372,506
24043,"Montcalm/Montcalm"," 148","Lachenaie",44,51,82,58,4,1,240,359
24043,"Montcalm/Montcalm"," 148-1","Lachenaie",35,43,97,65,6,5,251,368
24043,"Montcalm/Montcalm"," 149","Lachenaie",42,55,104,96,10,1,308,445
24043,"Montcalm/Montcalm"," 150","Lachenaie",30,54,145,75,12,5,321,548
24043,"Montcalm/Montcalm"," 151","Lachenaie",28,27,120,32,2,6,215,343
24043,"Montcalm/Montcalm"," 152","Lachenaie",28,36,96,34,7,2,203,383
24043,"Montcalm/Montcalm"," 153","Lachenaie",44,48,135,45,8,7,287,478
24043,"Montcalm/Montcalm"," 153-1A","Lachenaie",37,35,91,35,4,7,209,354
24043,"Montcalm/Montcalm"," 153-1B","Lachenaie",40,28,130,44,7,8,257,371
24043,"Montcalm/Montcalm"," 153-2","Terrebonne",36,31,153,41,8,18,287,295
24043,"Montcalm/Montcalm"," 154","Lachenaie",18,8,55,24,6,1,112,482
24043,"Montcalm/Montcalm"," 155","Lachenaie",30,47,161,51,8,3,300,462
24043,"Montcalm/Montcalm"," 156","Lachenaie",32,26,118,32,10,3,221,396
24043,"Montcalm/Montcalm"," 157","Lachenaie",32,30,122,36,7,5,232,419
24043,"Montcalm/Montcalm"," 158","Lachenaie",39,48,170,37,9,11,314,462
24043,"Montcalm/Montcalm"," 159","Lachenaie",41,26,146,35,13,9,270,409
24043,"Montcalm/Montcalm"," 160","Lachenaie",54,36,155,30,11,9,295,421
24043,"Montcalm/Montcalm"," 161","Lachenaie",45,32,144,33,7,8,269,407
24043,"Montcalm/Montcalm"," 162","Lachenaie",30,39,163,43,7,6,288,558
24043,"Montcalm/Montcalm"," 163","Lachenaie",43,23,130,23,8,8,235,423
24043,"Montcalm/Montcalm"," 163-1","Lachenaie",54,36,135,49,8,3,285,520
24043,"Montcalm/Montcalm"," 164","Lachenaie",51,29,134,45,8,5,272,476
24043,"Montcalm/Montcalm"," 165","Lachenaie",43,41,141,51,10,5,291,477
24043,"Montcalm/Montcalm"," 165-1","Lachenaie",44,30,129,32,3,3,241,388
24043,"Montcalm/Montcalm"," 165-2","Terrebonne",39,46,146,34,10,3,278,463
24043,"Montcalm/Montcalm"," 166","Lachenaie",43,27,165,38,5,5,283,503
24043,"Montcalm/Montcalm"," 167","Lachenaie",34,23,162,44,10,2,275,461
24043,"Montcalm/Montcalm"," 168","Mascouche",35,39,91,31,3,0,199,380
24043,"Montcalm/Montcalm"," 169","Mascouche",43,34,173,30,4,13,297,427
24043,"Montcalm/Montcalm"," 170","Mascouche",18,34,132,30,6,8,228,378
24043,"Montcalm/Montcalm"," 171","Mascouche",30,25,138,48,3,3,247,370
24043,"Montcalm/Montcalm"," 172","Mascouche",30,40,141,37,9,2,259,424
24043,"Montcalm/Montcalm"," 173","Lachenaie",35,23,142,30,7,6,243,447
24043,"Montcalm/Montcalm"," 174","Lachenaie",23,26,134,28,7,6,224,355
24043,"Montcalm/Montcalm"," 174-1","Lachenaie",46,37,167,51,6,3,310,499
24043,"Montcalm/Montcalm"," 175","Lachenaie",40,38,117,38,7,3,243,428
24043,"Montcalm/Montcalm"," 176A","Lachenaie",36,31,74,39,6,4,190,333
24043,"Montcalm/Montcalm"," 176B","Lachenaie",30,30,80,43,2,2,187,315
24043,"Montcalm/Montcalm"," 176-1","Lachenaie",31,50,89,75,3,5,253,430
24043,"Montcalm/Montcalm"," 176-2","Terrebonne",44,55,109,51,8,2,269,440
24043,"Montcalm/Montcalm"," 176-3","Terrebonne",36,59,118,92,9,6,320,568
24043,"Montcalm/Montcalm"," 177","Lachenaie",43,51,170,54,6,2,326,499
24043,"Montcalm/Montcalm"," 178","Lachenaie",52,34,160,52,7,4,309,469
24043,"Montcalm/Montcalm"," 179","Lachenaie",61,37,143,62,4,11,318,502
24043,"Montcalm/Montcalm"," 180","Lachenaie",32,14,152,38,3,8,247,348
24043,"Montcalm/Montcalm"," 181","Lachenaie",54,26,163,35,11,7,296,420
24043,"Montcalm/Montcalm"," 182","Lachenaie",50,53,215,46,12,12,388,556
24043,"Montcalm/Montcalm"," 183","Lachenaie",34,54,114,31,5,8,246,397
24043,"Montcalm/Montcalm"," 500","Mobile poll/Bureau itinérant",5,6,22,12,2,5,52,210
24043,"Montcalm/Montcalm"," 501","Mobile poll/Bureau itinérant",1,19,46,26,0,3,95,217
24043,"Montcalm/Montcalm"," 600","Saint-Calixte",30,64,247,31,9,8,389,
24043,"Montcalm/Montcalm"," 601","Sainte-Julienne",60,123,372,110,13,10,688,
24043,"Montcalm/Montcalm"," 602","Saint-Jacques",39,90,212,79,8,5,433,
24043,"Montcalm/Montcalm"," 603","Saint-Roch-de-l'Achigan--Saint-Esprit",41,45,144,26,9,5,270,
24043,"Montcalm/Montcalm"," 604","Saint-Lin--Laurentides",65,136,473,91,20,11,796,
24043,"Montcalm/Montcalm"," 605","La Plaine",64,124,375,74,23,9,669,
24043,"Montcalm/Montcalm"," 606","Mascouche",53,101,256,62,14,11,497,
24043,"Montcalm/Montcalm"," 607","Mascouche",70,163,493,128,25,14,893,
24043,"Montcalm/Montcalm"," 608","Lachenaie",43,110,320,93,12,8,586,
24043,"Montcalm/Montcalm"," 609","Lachenaie",84,99,322,98,23,4,630,
24043,"Montcalm/Montcalm",,Group 1/Groupe 1,3,16,29,24,2,4,78,153
24043,"Montcalm/Montcalm",,Group 2/Groupe 2,48,82,248,76,12,15,481,

