Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,David Gershuny,Sean Godfrey,Pat Gostlin,Alex Kreider,Mike Shields,Peter Vogel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Oshawa/Oshawa"," 113","Oshawa",44,0,18,5,0,75,0,1,143,371
35061,"Oshawa/Oshawa"," 114","Oshawa",85,0,28,21,0,86,0,2,222,440
35061,"Oshawa/Oshawa"," 115","Oshawa",65,1,47,16,1,100,1,2,233,397
35061,"Oshawa/Oshawa"," 116","Oshawa",53,0,12,13,0,62,1,0,141,364
35061,"Oshawa/Oshawa"," 117","Oshawa",36,0,35,9,1,53,0,1,135,316
35061,"Oshawa/Oshawa"," 118","Oshawa",45,0,5,9,0,66,0,0,125,243
35061,"Oshawa/Oshawa"," 119","Oshawa",48,0,12,16,0,85,1,0,162,336
35061,"Oshawa/Oshawa"," 120","Oshawa",52,1,16,12,0,53,0,1,135,327
35061,"Oshawa/Oshawa"," 121","Oshawa",73,0,41,13,0,96,1,0,224,448
35061,"Oshawa/Oshawa"," 122","Oshawa",74,0,52,22,0,78,0,0,226,523
35061,"Oshawa/Oshawa"," 123","Oshawa",Void/Supprimé,,,,,,,,,
35061,"Oshawa/Oshawa"," 124","Oshawa",50,0,21,12,0,38,0,1,122,364
35061,"Oshawa/Oshawa"," 125","Oshawa",55,3,17,17,3,59,2,1,157,404
35061,"Oshawa/Oshawa"," 126","Oshawa",61,1,17,14,0,67,0,0,160,401
35061,"Oshawa/Oshawa"," 127","Oshawa",56,0,24,18,0,79,3,1,181,444
35061,"Oshawa/Oshawa"," 128","Oshawa",62,0,21,10,0,68,1,0,162,400
35061,"Oshawa/Oshawa"," 129","Oshawa",55,1,14,13,1,79,0,0,163,352
35061,"Oshawa/Oshawa"," 130","Oshawa",67,0,19,24,0,91,1,0,202,403
35061,"Oshawa/Oshawa"," 131","Oshawa",58,2,53,12,0,69,2,0,196,385
35061,"Oshawa/Oshawa"," 132","Oshawa",55,0,16,13,0,66,0,0,150,321
35061,"Oshawa/Oshawa"," 133","Oshawa",58,0,25,13,0,54,1,0,151,336
35061,"Oshawa/Oshawa"," 134","Oshawa",53,0,24,17,0,85,2,3,184,340
35061,"Oshawa/Oshawa"," 135","Oshawa",60,1,22,18,0,79,1,0,181,398
35061,"Oshawa/Oshawa"," 136","Oshawa",64,3,12,16,0,70,1,0,166,376
35061,"Oshawa/Oshawa"," 137","Oshawa",88,1,44,14,0,79,1,1,228,438
35061,"Oshawa/Oshawa"," 138","Oshawa",33,1,26,7,0,78,0,0,145,345
35061,"Oshawa/Oshawa"," 139","Oshawa",53,0,17,8,1,79,1,0,159,395
35061,"Oshawa/Oshawa"," 140","Oshawa",71,1,20,13,0,77,2,0,184,343
35061,"Oshawa/Oshawa"," 141","Oshawa",64,2,21,20,0,98,0,1,206,388
35061,"Oshawa/Oshawa"," 142","Oshawa",63,0,27,25,0,79,0,0,194,370
35061,"Oshawa/Oshawa"," 143","Oshawa",54,0,21,5,0,73,1,0,154,281
35061,"Oshawa/Oshawa"," 144","Oshawa",107,0,33,8,0,101,2,1,252,429
35061,"Oshawa/Oshawa"," 145","Oshawa",85,1,24,20,0,95,1,0,226,357
35061,"Oshawa/Oshawa"," 146","Oshawa",64,0,20,11,0,79,0,0,174,373
35061,"Oshawa/Oshawa"," 147","Oshawa",88,0,32,8,0,72,3,0,203,407
35061,"Oshawa/Oshawa"," 148","Oshawa",95,1,30,13,0,86,0,2,227,375
35061,"Oshawa/Oshawa"," 149","Oshawa",107,1,23,19,0,69,0,1,220,399
35061,"Oshawa/Oshawa"," 150","Oshawa",101,0,26,19,0,69,0,1,216,393
35061,"Oshawa/Oshawa"," 151","Oshawa",113,1,41,11,0,85,2,0,253,388
35061,"Oshawa/Oshawa"," 152","Oshawa",64,1,21,21,0,76,1,2,186,398
35061,"Oshawa/Oshawa"," 153","Oshawa",91,0,33,13,0,72,4,0,213,415
35061,"Oshawa/Oshawa"," 154","Oshawa",79,0,29,17,0,85,1,0,211,353
35061,"Oshawa/Oshawa"," 155","Oshawa",92,2,32,17,2,79,1,1,226,415
35061,"Oshawa/Oshawa"," 156","Oshawa",79,1,25,10,1,97,3,3,219,349
35061,"Oshawa/Oshawa"," 157","Oshawa",86,0,27,4,0,70,0,0,187,316
35061,"Oshawa/Oshawa"," 158","Oshawa",117,2,49,6,0,72,0,0,246,416
35061,"Oshawa/Oshawa"," 159","Oshawa",121,0,32,23,0,84,0,2,262,424
35061,"Oshawa/Oshawa"," 160","Oshawa",98,0,30,25,0,102,0,0,255,457
35061,"Oshawa/Oshawa"," 161","Oshawa",108,1,24,16,0,104,3,1,257,514
35061,"Oshawa/Oshawa"," 162","Oshawa",81,0,29,14,2,66,3,1,196,410
35061,"Oshawa/Oshawa"," 163","Oshawa",110,0,27,14,0,97,1,1,250,575
35061,"Oshawa/Oshawa"," 164","Oshawa",98,0,21,13,0,71,1,0,204,462
35061,"Oshawa/Oshawa"," 165","Oshawa",91,0,36,8,0,70,0,1,206,367
35061,"Oshawa/Oshawa"," 166","Oshawa",75,0,19,7,0,69,2,0,172,353
35061,"Oshawa/Oshawa"," 167","Oshawa",79,0,40,5,0,67,2,0,193,357
35061,"Oshawa/Oshawa"," 168","Oshawa",38,1,10,10,0,47,0,1,107,346
35061,"Oshawa/Oshawa"," 169","Oshawa",38,1,18,7,0,58,2,0,124,334
35061,"Oshawa/Oshawa"," 170","Oshawa",99,2,30,12,1,111,8,0,263,480
35061,"Oshawa/Oshawa"," 171","Oshawa",57,0,14,10,1,57,0,1,140,317
35061,"Oshawa/Oshawa"," 172","Oshawa",69,1,24,10,0,84,2,2,192,483
35061,"Oshawa/Oshawa"," 173","Oshawa",41,0,10,4,0,52,0,0,107,295
35061,"Oshawa/Oshawa"," 174","Oshawa",46,1,24,21,0,95,2,0,189,494
35061,"Oshawa/Oshawa"," 175","Oshawa",62,2,23,14,0,107,0,1,209,508
35061,"Oshawa/Oshawa"," 176","Oshawa",33,2,11,4,0,68,2,2,122,430
35061,"Oshawa/Oshawa"," 177","Oshawa",37,0,13,8,0,66,1,0,125,399
35061,"Oshawa/Oshawa"," 178","Oshawa",34,0,14,13,0,81,2,0,144,416
35061,"Oshawa/Oshawa"," 179","Oshawa",42,0,20,11,0,72,0,0,145,365
35061,"Oshawa/Oshawa"," 180","Oshawa",53,0,19,5,0,47,1,0,125,266
35061,"Oshawa/Oshawa"," 181","Oshawa",54,0,23,11,1,57,0,1,147,305
35061,"Oshawa/Oshawa"," 182","Oshawa",86,0,21,9,0,87,0,0,203,424
35061,"Oshawa/Oshawa"," 183","Oshawa",47,0,15,10,0,73,2,0,147,313
35061,"Oshawa/Oshawa"," 184","Oshawa",48,1,22,13,0,79,1,0,164,352
35061,"Oshawa/Oshawa"," 185","Oshawa",49,0,14,8,0,58,0,1,130,373
35061,"Oshawa/Oshawa"," 186","Oshawa",41,0,11,8,0,78,1,0,139,368
35061,"Oshawa/Oshawa"," 187","Oshawa",18,0,19,9,1,52,0,1,100,427
35061,"Oshawa/Oshawa"," 188","Oshawa",44,0,14,7,1,79,0,0,145,401
35061,"Oshawa/Oshawa"," 189","Oshawa",57,0,26,17,0,88,0,0,188,455
35061,"Oshawa/Oshawa"," 190","Oshawa",83,1,19,12,0,85,2,0,202,399
35061,"Oshawa/Oshawa"," 191","Oshawa",48,1,17,8,0,80,0,2,156,320
35061,"Oshawa/Oshawa"," 192","Oshawa",90,0,31,29,1,77,1,2,231,440
35061,"Oshawa/Oshawa"," 193","Oshawa",50,0,11,10,0,85,1,18,175,297
35061,"Oshawa/Oshawa"," 194","Oshawa",50,0,20,14,0,80,0,4,168,325
35061,"Oshawa/Oshawa"," 195","Oshawa",63,0,16,11,0,90,3,2,185,357
35061,"Oshawa/Oshawa"," 196","Oshawa",68,1,27,11,1,81,0,0,189,380
35061,"Oshawa/Oshawa"," 197","Oshawa",71,1,34,15,0,78,0,0,199,379
35061,"Oshawa/Oshawa"," 198","Oshawa",19,1,9,10,0,61,2,1,103,278
35061,"Oshawa/Oshawa"," 199","Oshawa",28,1,20,10,0,65,0,0,124,346
35061,"Oshawa/Oshawa"," 200","Oshawa",91,0,30,21,1,109,0,2,254,477
35061,"Oshawa/Oshawa"," 400","Oshawa",53,0,20,11,1,65,1,0,151,347
35061,"Oshawa/Oshawa"," 401","Oshawa",40,0,11,9,0,54,1,0,115,313
35061,"Oshawa/Oshawa"," 402","Oshawa",29,1,25,2,0,22,0,3,82,167
35061,"Oshawa/Oshawa"," 403","Oshawa",23,0,16,2,0,19,0,2,62,141
35061,"Oshawa/Oshawa"," 404","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,90
35061,"Oshawa/Oshawa"," 405","Oshawa",28,0,14,1,1,10,0,0,54,170
35061,"Oshawa/Oshawa"," 500","Mobile poll/Bureau itinérant",55,4,51,7,1,32,3,0,153,127
35061,"Oshawa/Oshawa"," 600","Oshawa",353,0,98,34,2,105,2,0,594,
35061,"Oshawa/Oshawa"," 601","Oshawa",555,1,178,35,0,153,3,2,927,
35061,"Oshawa/Oshawa"," 602","Oshawa",244,2,91,27,0,136,1,1,502,
35061,"Oshawa/Oshawa"," 603","Oshawa",295,4,102,29,0,182,0,2,614,
35061,"Oshawa/Oshawa"," 604","Oshawa",195,0,56,31,0,114,2,1,399,
35061,"Oshawa/Oshawa"," 605","Oshawa",139,0,38,22,1,95,0,0,295,
35061,"Oshawa/Oshawa"," 606","Oshawa",113,0,35,13,0,74,0,0,235,
35061,"Oshawa/Oshawa"," 607","Oshawa",263,1,88,27,1,101,3,0,484,
35061,"Oshawa/Oshawa"," 608","Oshawa",135,2,29,15,0,82,0,1,264,
35061,"Oshawa/Oshawa"," 609","Oshawa",143,0,23,16,0,132,1,0,315,
35061,"Oshawa/Oshawa",,Group 1/Groupe 1,59,1,60,18,1,22,0,5,166,245
35061,"Oshawa/Oshawa",,Group 2/Groupe 2,197,1,102,26,3,114,2,3,448,

