Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Patrick Berthiaume,Bernard Bigras,Alexandre Boulerice,Sylvie Boulianne,Stéphane Chénier,Michel Dugré,Vincent Larochelle,Marjorie Théodore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",0,98,31,17,1,0,9,45,9,210,397
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",2,90,20,7,2,1,9,33,0,164,293
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",3,120,30,16,0,1,20,40,3,233,407
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",1,134,28,5,1,0,8,43,1,221,331
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",2,93,36,17,0,1,6,29,0,184,312
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",1,107,23,10,1,0,9,20,1,172,263
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",0,137,35,22,0,2,8,30,4,238,366
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",1,113,33,10,0,0,7,19,2,185,333
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48","Montréal",2,83,26,11,0,0,10,15,1,148,291
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",0,90,30,2,0,0,8,23,1,154,321
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",3,119,22,17,2,0,10,25,0,198,313
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",3,85,38,15,2,0,9,20,0,172,286
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",2,139,28,14,0,0,8,36,9,236,370
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",1,150,45,15,2,0,4,26,1,244,409
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",0,93,18,12,0,1,7,25,4,160,307
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",Void/Supprimé,,,,,,,,,,
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",0,120,27,17,1,0,13,34,2,214,335
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",1,127,49,13,0,2,7,39,2,240,438
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58A","Montréal",1,80,29,9,1,0,9,26,2,157,267
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58B","Montréal",3,58,18,8,0,0,6,20,0,113,199
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",0,80,22,12,1,0,7,37,3,162,335
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60","Montréal",1,71,24,17,0,1,2,42,4,162,296
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",1,100,25,23,0,0,4,32,4,189,382
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",1,98,17,18,0,0,6,34,5,179,359
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",2,87,38,18,3,4,7,64,2,225,396
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",0,142,49,31,0,1,8,49,2,282,458
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65A","Montréal",0,77,34,16,0,0,7,27,2,163,267
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65B","Montréal",0,74,25,20,0,1,5,41,1,167,261
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66","Montréal",0,114,40,26,1,0,5,29,3,218,410
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",0,81,22,9,1,0,5,19,0,137,304
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68","Montréal",1,86,32,19,0,0,11,44,0,193,387
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",1,101,39,16,1,1,9,33,0,201,349
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",0,122,39,8,0,0,4,31,2,206,334
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",1,172,39,10,0,0,23,21,2,268,445
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72A","Montréal",2,89,23,12,1,0,7,23,2,159,255
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72B","Montréal",1,66,20,8,0,0,2,21,1,119,225
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73A","Montréal",2,117,37,16,1,0,14,41,1,229,357
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73B","Montréal",0,91,35,17,0,1,8,47,1,200,311
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",5,102,29,19,0,0,7,40,5,207,340
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",2,112,32,6,0,0,14,22,1,189,327
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76","Montréal",5,140,42,19,0,1,9,26,8,250,425
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 77","Montréal",1,101,53,9,0,0,12,27,0,203,334
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 78","Montréal",1,58,12,13,0,0,4,33,0,121,388
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 79","Montréal",0,146,50,20,2,0,7,59,4,288,474
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 80","Montréal",0,89,29,10,0,0,8,25,3,164,353
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 81","Montréal",1,107,37,17,0,0,4,51,5,222,393
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82A","Montréal",1,77,28,4,1,0,5,26,5,147,257
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82B","Montréal",1,55,29,4,0,0,2,22,1,114,220
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83A","Montréal",0,54,18,11,1,0,2,24,1,111,234
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83B","Montréal",1,72,27,24,0,0,4,25,0,153,251
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 84","Montréal",3,85,39,17,1,1,8,33,2,189,367
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85A","Montréal",1,70,25,10,0,0,4,19,3,132,246
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85B","Montréal",0,55,18,12,0,0,3,17,1,106,209
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 86","Montréal",0,99,37,15,0,0,4,37,3,195,381
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87","Montréal",1,117,37,22,1,0,9,34,2,223,399
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 88","Montréal",3,120,47,27,2,2,13,62,3,279,450
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 89","Montréal",1,82,14,13,0,0,10,49,1,170,362
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 90","Montréal",1,102,24,16,0,0,9,50,2,204,364
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 91","Montréal",1,109,30,12,0,0,11,53,3,219,348
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 92","Montréal",3,94,35,19,1,0,6,49,3,210,436
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93","Montréal",2,99,34,13,2,0,9,43,0,202,373
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 94","Montréal",1,111,27,15,0,0,8,52,1,215,404
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95","Montréal",2,113,33,12,0,0,12,31,2,205,432
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96A","Montréal",2,67,22,13,0,0,3,19,2,128,256
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96B","Montréal",0,70,34,5,0,0,6,19,1,135,260
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97A","Montréal",0,80,41,9,0,0,6,40,0,176,257
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97B","Montréal",0,87,31,14,1,0,6,37,1,177,268
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98A","Montréal",1,77,22,13,0,0,4,37,2,156,258
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98B","Montréal",0,63,19,10,1,0,3,21,5,122,228
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99","Montréal",2,139,36,33,0,0,7,63,1,281,463
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99-1","Montréal",2,61,10,17,0,1,6,33,0,130,301
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100","Montréal",0,119,46,14,0,0,8,30,5,222,395
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 101","Montréal",1,121,28,6,0,0,6,25,2,189,311
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 102A","Montréal",2,68,21,18,1,0,12,19,5,146,290
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 102B","Montréal",1,50,17,10,0,1,7,19,3,108,262
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103","Montréal",0,57,24,4,0,0,8,26,2,121,311
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103-1","Montréal",1,66,12,2,1,0,2,12,1,97,173
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 104","Montréal",1,140,36,21,1,1,11,52,0,263,451
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 105","Montréal",1,131,44,18,0,0,0,37,3,234,395
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 106","Montréal",1,139,43,15,1,0,10,59,4,272,443
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 107","Montréal",1,147,42,10,1,1,5,38,1,246,394
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 108","Montréal",3,133,30,12,0,0,10,24,1,213,314
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 109","Montréal",1,123,35,7,0,0,8,38,1,213,413
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 110","Montréal",4,125,22,13,0,0,9,49,0,222,462
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 111","Montréal",1,115,40,10,0,0,6,36,4,212,382
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 112","Montréal",1,97,40,9,2,0,15,26,3,193,357
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 113A","Montréal",1,69,29,4,0,0,8,28,1,140,258
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 113B","Montréal",3,64,27,9,0,0,9,18,2,132,224
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 114","Montréal",1,151,49,14,0,0,15,25,1,256,446
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 115A","Montréal",0,83,29,10,0,0,12,9,1,144,252
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 115B","Montréal",0,70,32,5,0,0,11,13,4,135,210
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 116A","Montréal",0,52,26,8,0,0,6,16,2,110,222
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 116B","Montréal",0,56,33,8,0,0,10,15,1,123,265
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 117","Montréal",0,115,36,11,0,0,9,42,3,216,362
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 118","Montréal",0,90,28,8,1,0,8,39,2,176,336
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 119","Montréal",2,116,46,17,1,0,11,25,0,218,363
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 120","Montréal",2,136,35,8,0,0,6,28,2,217,341
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 121","Montréal",2,117,40,10,1,0,16,33,1,220,329
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 122","Montréal",3,167,47,7,1,0,10,35,1,271,405
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 123","Montréal",0,130,43,13,0,0,8,26,0,220,357
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 124","Montréal",2,104,24,9,0,1,11,17,3,171,302
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 125","Montréal",0,104,27,8,0,1,2,36,0,178,278
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 126","Montréal",6,162,36,8,1,0,11,37,3,264,418
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 127","Montréal",0,169,40,10,0,0,12,25,0,256,366
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 128","Montréal",2,110,31,10,1,1,7,24,1,187,277
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 129","Montréal",0,154,34,12,1,0,13,30,3,247,377
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 130","Montréal",0,95,31,20,0,1,10,40,1,198,298
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 131","Montréal",3,122,38,12,0,0,12,46,3,236,370
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 132","Montréal",2,106,50,24,0,1,11,55,1,250,446
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 133","Montréal",1,151,51,7,0,0,17,36,3,266,407
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 134","Montréal",2,158,32,19,2,0,12,39,5,269,432
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 135","Montréal",2,143,58,16,1,0,14,46,4,284,444
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 136","Montréal",3,101,50,21,1,0,13,46,4,239,423
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 137","Montréal",2,100,18,16,1,1,6,62,0,206,326
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 138","Montréal",0,83,28,18,1,1,10,38,4,183,292
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 139","Montréal",0,141,29,17,1,0,7,36,1,232,410
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 140","Montréal",1,42,25,19,0,0,4,31,2,124,258
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 141","Montréal",2,56,29,30,1,0,6,51,1,176,354
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 142","Montréal",0,115,32,16,1,0,9,71,1,245,429
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 143","Montréal",1,88,27,30,3,0,5,52,0,206,362
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 144","Montréal",0,90,24,6,1,0,7,35,3,166,304
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 145","Montréal",0,92,24,12,0,2,9,32,4,175,315
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 146","Montréal",5,138,45,10,3,0,8,22,2,233,372
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 147","Montréal",0,71,17,9,0,1,4,38,2,142,253
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 148","Montréal",2,133,38,10,0,0,19,43,1,246,396
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 149","Montréal",2,91,44,12,0,0,15,31,3,198,322
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 150","Montréal",1,143,53,12,1,0,8,29,4,251,408
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 151","Montréal",1,134,56,19,1,0,11,36,3,261,424
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 152","Montréal",1,108,42,11,1,1,17,34,1,216,365
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 153","Montréal",1,102,47,17,0,0,9,36,1,213,383
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 154","Montréal",0,106,49,7,3,0,14,36,2,217,345
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 155","Montréal",1,137,53,8,0,1,14,45,1,260,422
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156A","Montréal",0,66,13,4,2,0,7,18,0,110,231
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156B","Montréal",1,54,25,4,0,0,8,13,0,105,233
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 157","Montréal",2,92,29,16,1,0,8,61,5,214,446
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 158","Montréal",1,97,32,19,1,0,8,73,1,232,454
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 159","Montréal",1,120,33,15,3,0,14,46,3,235,431
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 160","Montréal",0,77,29,10,1,0,8,28,5,158,422
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 161","Montréal",0,104,26,11,1,0,9,43,0,194,322
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 162","Montréal",0,97,31,13,1,0,8,50,3,203,393
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 163","Montréal",1,122,33,9,0,0,13,24,1,203,354
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 164","Montréal",1,67,39,6,0,0,3,26,0,142,278
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 165","Montréal",0,90,23,5,1,1,7,39,1,167,283
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 166","Montréal",2,128,46,13,1,0,19,57,0,266,446
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 167","Montréal",1,106,38,6,0,0,9,31,0,191,353
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 168","Montréal",0,86,44,11,1,0,13,38,3,196,346
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 169","Montréal",1,123,45,14,0,0,9,31,1,224,389
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 170","Montréal",0,75,31,7,0,0,4,21,3,141,291
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 171","Montréal",1,131,40,6,0,0,8,31,1,218,376
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 172","Montréal",0,129,41,16,2,2,15,38,3,246,445
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173A","Montréal",0,105,17,6,0,0,8,27,3,166,294
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173B","Montréal",1,91,37,8,0,0,6,25,2,170,249
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 174","Montréal",0,139,42,28,0,0,8,63,6,286,456
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 175","Montréal",1,142,38,15,2,0,13,50,3,264,428
