Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Meili Faille,Michael M. Fortier,Maxime Héroux-Legault,Brigitte Legault,Jean-Yves Massenet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 37-1","Vaudreuil-Dorion",71,36,26,48,3,0,184,296
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 38","Vaudreuil-Dorion",84,52,30,60,10,1,237,392
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 38-1","Vaudreuil-Dorion",62,65,23,87,18,1,256,425
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 39","Vaudreuil-Dorion",117,46,26,28,7,3,227,428
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 40","Vaudreuil-Dorion",105,41,13,31,12,4,206,338
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 41","Vaudreuil-Dorion",161,48,37,38,5,3,292,514
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 42","Vaudreuil-Dorion",96,62,34,68,11,2,273,496
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 42-1","Vaudreuil-Dorion",74,49,34,52,13,1,223,482
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43A","Vaudreuil-Dorion",66,44,34,57,7,4,212,421
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43B","Vaudreuil-Dorion",91,66,23,65,10,1,256,524
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43-1","Vaudreuil-Dorion",47,20,12,21,1,1,102,293
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43-2A","Vaudreuil-Dorion",86,61,29,65,9,3,253,431
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43-2B","Vaudreuil-Dorion",76,69,22,76,7,6,256,479
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 43-2C","Vaudreuil-Dorion",66,65,21,70,7,1,230,421
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 44","Vaudreuil-Dorion",154,36,19,36,4,1,250,437
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 45","Vaudreuil-Dorion",141,46,32,32,10,6,267,500
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 46A","Vaudreuil-Dorion",92,24,17,30,3,1,167,350
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 46B","Vaudreuil-Dorion",88,23,20,31,4,3,169,315
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 47A","Vaudreuil-Dorion",108,30,23,40,5,3,209,386
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 47B","Vaudreuil-Dorion",62,26,13,21,10,2,134,225
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 48","Vaudreuil-Dorion",119,36,17,48,8,2,230,364
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 49A","Vaudreuil-Dorion",77,39,16,23,5,2,162,328
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 49B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,167
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 50","Vaudreuil-Dorion",86,43,21,38,3,2,193,319
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 51","Vaudreuil-Dorion",134,41,11,32,17,2,237,418
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 52","Vaudreuil-Dorion",86,31,15,24,10,3,169,295
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 53","Vaudreuil-Dorion",95,28,10,24,5,4,166,299
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 54","Vaudreuil-Dorion",70,18,10,18,3,1,120,296
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 55","Vaudreuil-Dorion",64,27,9,14,7,2,123,274
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 56","Vaudreuil-Dorion",92,45,20,36,11,3,207,378
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 57","Vaudreuil-Dorion",166,77,39,57,12,3,354,589
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 58A","Vaudreuil-Dorion",110,31,22,34,2,4,203,354
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 58B","Vaudreuil-Dorion",80,29,29,38,12,0,188,370
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 59","Vaudreuil-Dorion",114,35,28,35,4,1,217,424
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 60","Vaudreuil-Dorion",130,37,16,47,11,3,244,413
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 61","Vaudreuil-Dorion",152,35,12,38,3,1,241,421
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 62","Vaudreuil-Dorion",103,43,11,18,4,3,182,335
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 63A","Vaudreuil-Dorion",62,57,12,40,6,4,181,324
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 63B","Vaudreuil-Dorion",81,56,12,39,5,2,195,365
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 64","Terrasse-Vaudreuil",89,52,11,57,10,0,219,325
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 65","Terrasse-Vaudreuil",111,59,24,58,18,5,275,381
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 66","Terrasse-Vaudreuil",105,48,26,33,11,8,231,337
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 67","Terrasse-Vaudreuil",120,70,36,45,18,5,294,478
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 68","Pincourt",94,60,43,71,10,2,280,466
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 69A","Pincourt",69,85,32,74,6,1,267,453
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 69B","Pincourt",61,56,25,67,6,1,216,384
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 69C","Pincourt",61,91,42,62,11,3,270,489
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 70","Pincourt",55,69,40,51,12,3,230,360
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 71","Pincourt",59,74,44,57,8,1,243,366
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 72","Pincourt",90,56,17,45,21,2,231,411
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 73","Pincourt",75,49,19,48,4,0,195,403
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 74","Pincourt",60,34,35,37,11,2,179,282
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 75","Pincourt",61,62,38,57,17,4,239,365
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 76","Pincourt",76,90,47,85,13,2,313,516
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 77","Pincourt",45,68,36,88,10,4,251,375
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 78","Pincourt",86,40,22,58,14,3,223,366
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 79","Pincourt",54,65,35,70,12,1,237,400
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 80A","Pincourt",45,53,27,74,9,1,209,351
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 80B","Pincourt",40,78,19,89,15,1,242,401
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 81","Pincourt",60,48,31,56,12,2,209,372
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 82","Pincourt",89,55,16,39,5,1,205,357
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 83","Pincourt",79,44,24,34,12,2,195,296
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 84","Pincourt",93,41,39,52,7,4,236,383
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 85","Pincourt",79,28,32,31,11,7,188,348
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 86","Pincourt",130,53,30,65,12,6,296,500
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 87","Pincourt",120,48,44,71,23,0,306,515
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 87-1","Pincourt",63,80,43,113,15,3,317,595
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 88","L'Île-Perrot",83,39,16,23,11,2,174,330
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 89","L'Île-Perrot",85,36,26,36,11,7,201,405
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 90","L'Île-Perrot",81,23,20,29,8,6,167,345
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 91","L'Île-Perrot",109,19,21,27,7,1,184,373
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 92","L'Île-Perrot",108,42,23,64,10,4,251,457
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 93","L'Île-Perrot",105,36,16,39,10,2,208,415
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 94","L'Île-Perrot",152,62,41,57,13,3,328,526
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 95","L'Île-Perrot",102,34,27,37,8,3,211,362
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 96","L'Île-Perrot",83,60,32,61,9,5,250,409
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 97","L'Île-Perrot",132,54,39,66,18,2,311,526
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 98","L'Île-Perrot",102,23,25,44,13,6,213,406
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 99","L'Île-Perrot",138,67,30,71,6,6,318,530
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 100","L'Île-Perrot",118,81,35,102,26,3,365,608
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 100-1","L'Île-Perrot",43,13,10,22,1,0,89,171
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 101","L'Île-Perrot",105,18,23,28,10,3,187,328
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 102","L'Île-Perrot",86,28,22,43,9,4,192,398
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 103","L'Île-Perrot",94,32,24,28,6,4,188,365
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 104","L'Île-Perrot",71,38,33,44,15,5,206,363
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 105","L'Île-Perrot",84,69,36,73,11,2,275,463
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 106","Notre-Dame-de-l'Île-Perrot",144,84,29,78,11,7,353,578
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 107","Notre-Dame-de-l'Île-Perrot",35,36,13,26,6,1,117,223
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 108","Notre-Dame-de-l'Île-Perrot",122,54,33,70,8,6,293,512
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 109","Notre-Dame-de-l'Île-Perrot",75,43,13,26,4,2,163,282
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 109-1","Notre-Dame-de-l'Île-Perrot",92,42,25,43,11,1,214,350
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 110","Notre-Dame-de-l'Île-Perrot",100,36,34,48,11,4,233,354
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 110-1","Notre-Dame-de-l'Île-Perrot",87,47,28,43,9,3,217,318
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 111","Notre-Dame-de-l'Île-Perrot",117,60,28,60,5,0,270,416
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 112","Notre-Dame-de-l'Île-Perrot",82,48,30,50,10,1,221,373
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 113","Notre-Dame-de-l'Île-Perrot",70,34,20,71,16,6,217,377
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 114","Notre-Dame-de-l'Île-Perrot",98,48,48,56,14,3,267,427
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 115","Notre-Dame-de-l'Île-Perrot",95,61,30,78,9,0,273,479
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 116","Notre-Dame-de-l'Île-Perrot",122,102,28,99,8,5,364,588
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 117","Notre-Dame-de-l'Île-Perrot",114,61,26,60,10,2,273,471
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 118","Notre-Dame-de-l'Île-Perrot",106,64,22,39,10,4,245,417
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 119","Notre-Dame-de-l'Île-Perrot",121,45,25,52,12,3,258,473
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 120","Notre-Dame-de-l'Île-Perrot",54,54,7,44,4,0,163,302
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 120-1","Notre-Dame-de-l'Île-Perrot",109,44,32,46,8,2,241,401
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 121","Les Cèdres",116,40,25,41,10,2,234,443
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 122","Les Cèdres",116,50,23,35,8,2,234,437
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 123","Les Cèdres",155,42,28,49,8,2,284,473
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 124","Les Cèdres",119,45,17,38,7,3,229,346
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 124-1","Les Cèdres",123,54,16,22,9,4,228,353
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 125","Les Cèdres",157,46,36,35,11,8,293,563
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 126","Pointe-des-Cascades",154,58,27,45,11,3,298,458
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 127","Pointe-des-Cascades",132,77,27,55,11,4,306,483
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 128","Les Cèdres",116,45,16,48,13,1,239,403
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 129","Les Cèdres",130,32,16,37,9,0,224,404
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 130","Les Cèdres",166,37,32,35,10,5,285,438
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 131","Les Cèdres",192,44,26,39,11,4,316,517
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 132","Saint-Lazare",67,109,45,56,20,1,298,515
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 133","Saint-Lazare",15,43,29,60,10,0,157,266
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 134","Saint-Lazare",13,124,21,90,13,2,263,430
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 135","Saint-Lazare",52,118,17,94,22,1,304,558
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 136","Saint-Lazare",121,44,20,30,10,4,229,422
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 137","Saint-Lazare",95,81,43,64,8,0,291,445
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 138","Saint-Lazare",136,46,25,58,6,4,275,432
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 139","Saint-Lazare",153,80,40,79,8,2,362,576
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 140","Saint-Lazare",122,82,54,71,17,0,346,573
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 141","Saint-Lazare",105,97,42,66,17,0,327,535
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 142","Saint-Lazare",48,142,22,114,10,0,336,503
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 142-1","Saint-Lazare",63,92,25,57,13,2,252,421
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 143","Saint-Lazare",13,77,24,60,15,0,189,320
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 144","Saint-Lazare",24,108,27,85,15,0,259,426
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 145","Saint-Lazare",18,114,33,91,17,0,273,470
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 146","Saint-Lazare",28,48,22,32,9,1,140,262
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 146-1","Saint-Lazare",31,99,17,64,16,0,227,372
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 147","Saint-Lazare",48,93,28,75,25,1,270,407
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 148","Saint-Lazare",79,93,31,93,14,1,311,469
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 149","Saint-Lazare",124,57,34,57,21,4,297,465
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 150","Saint-Lazare",115,67,30,48,8,1,269,449
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 151","Saint-Lazare",75,41,18,26,8,2,170,302
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 152","Saint-Lazare",114,28,12,38,13,1,206,403
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 153","Saint-Lazare",76,67,23,67,14,1,248,402
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 153-1","Saint-Lazare",66,38,28,37,12,3,184,324
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 154","Saint-Lazare",131,95,28,68,13,0,335,587
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 155","Saint-Lazare",56,73,21,61,10,0,221,385
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 156","Saint-Lazare",88,122,27,86,14,2,339,524
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 156-1","Saint-Lazare",95,91,40,67,30,2,325,562
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 157","Saint-Clet",163,50,18,46,12,2,291,448
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 158","Saint-Clet",197,65,29,43,7,4,345,510
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 159","Saint-Clet",148,35,27,22,5,4,241,357
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 160","Coteau-du-Lac",108,50,14,20,4,1,197,359
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 161","Coteau-du-Lac",110,64,23,31,3,1,232,402
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 162","Coteau-du-Lac",152,49,22,59,6,4,292,482
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 163","Coteau-du-Lac",153,43,33,32,7,4,272,442
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 164","Coteau-du-Lac",110,36,16,23,4,0,189,317
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 165","Coteau-du-Lac",123,56,22,26,10,5,242,442
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 166","Coteau-du-Lac",135,40,25,39,7,3,249,446
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 167","Coteau-du-Lac",41,25,3,8,0,1,78,152
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 168","Coteau-du-Lac",184,62,28,45,8,1,328,500
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 169A","Coteau-du-Lac",131,51,8,51,4,2,247,380
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 169B","Coteau-du-Lac",Merged with No. 502/Fusionné avec le nº 502,,,,,,,55
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 170","Coteau-du-Lac",133,44,14,37,7,6,241,474
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 171","Coteau-du-Lac",155,82,25,53,4,4,323,520
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 172","Les Coteaux",104,26,26,24,4,4,188,308
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 172-1","Les Coteaux",114,33,15,44,5,3,214,397
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 173","Les Coteaux",82,31,21,34,4,3,175,313
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 173-1","Les Coteaux",101,39,22,31,4,2,199,331
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 174","Les Coteaux",118,29,23,38,6,4,218,397
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 174-1","Les Coteaux",135,34,23,20,3,4,219,389
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 175","Les Coteaux",146,43,26,27,1,2,245,373
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 176","Les Coteaux",195,44,41,36,14,10,340,589
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 177","Très-Saint-Rédempteur",104,31,16,28,7,4,190,295
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 177-1","Très-Saint-Rédempteur",106,34,21,24,12,1,198,307
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 178","Sainte-Marthe",69,54,18,36,7,2,186,282
