Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Szilvia Barna,John Cummins,Matthew Laine,Dana L. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 33","Richmond",31,140,15,60,0,246,403
59006,"Delta--Richmond East/Delta--Richmond-Est"," 34","Richmond",55,130,27,65,0,277,531
59006,"Delta--Richmond East/Delta--Richmond-Est"," 35","Richmond",37,93,20,66,2,218,436
59006,"Delta--Richmond East/Delta--Richmond-Est"," 36","Richmond",41,115,24,52,1,233,438
59006,"Delta--Richmond East/Delta--Richmond-Est"," 37","Richmond",47,86,11,62,3,209,446
59006,"Delta--Richmond East/Delta--Richmond-Est"," 38","Richmond",43,113,18,57,1,232,461
59006,"Delta--Richmond East/Delta--Richmond-Est"," 39","Richmond",42,78,10,40,3,173,462
59006,"Delta--Richmond East/Delta--Richmond-Est"," 40","Richmond",32,108,14,64,0,218,449
59006,"Delta--Richmond East/Delta--Richmond-Est"," 41","Richmond",23,96,5,40,2,166,304
59006,"Delta--Richmond East/Delta--Richmond-Est"," 42","Richmond",32,124,15,57,0,228,563
59006,"Delta--Richmond East/Delta--Richmond-Est"," 43","Richmond",32,168,11,76,1,288,493
59006,"Delta--Richmond East/Delta--Richmond-Est"," 44","Richmond",35,117,15,50,1,218,402
59006,"Delta--Richmond East/Delta--Richmond-Est"," 45","Richmond",19,103,13,42,0,177,313
59006,"Delta--Richmond East/Delta--Richmond-Est"," 46","Richmond",27,79,11,44,1,162,323
59006,"Delta--Richmond East/Delta--Richmond-Est"," 47","Richmond",28,113,13,58,3,215,406
59006,"Delta--Richmond East/Delta--Richmond-Est"," 48","Richmond",30,70,11,52,0,163,403
59006,"Delta--Richmond East/Delta--Richmond-Est"," 49","Richmond",26,87,11,69,3,196,479
59006,"Delta--Richmond East/Delta--Richmond-Est"," 50","Richmond",25,64,10,60,0,159,343
59006,"Delta--Richmond East/Delta--Richmond-Est"," 51","Richmond",34,96,22,78,0,230,464
59006,"Delta--Richmond East/Delta--Richmond-Est"," 52","Richmond",37,138,18,74,0,267,562
59006,"Delta--Richmond East/Delta--Richmond-Est"," 53","Richmond",33,96,13,67,0,209,436
59006,"Delta--Richmond East/Delta--Richmond-Est"," 54","Richmond",39,138,24,80,1,282,492
59006,"Delta--Richmond East/Delta--Richmond-Est"," 55","Richmond",31,71,13,47,1,163,276
59006,"Delta--Richmond East/Delta--Richmond-Est"," 56","Richmond",22,58,14,59,1,154,297
59006,"Delta--Richmond East/Delta--Richmond-Est"," 57","Richmond",44,108,18,72,1,243,479
59006,"Delta--Richmond East/Delta--Richmond-Est"," 58","Richmond",44,90,16,71,1,222,454
59006,"Delta--Richmond East/Delta--Richmond-Est"," 59","Richmond",33,95,13,73,0,214,408
59006,"Delta--Richmond East/Delta--Richmond-Est"," 60","Richmond",48,102,16,57,1,224,413
59006,"Delta--Richmond East/Delta--Richmond-Est"," 61","Richmond",49,120,17,57,1,244,495
59006,"Delta--Richmond East/Delta--Richmond-Est"," 62","Richmond",47,107,13,59,0,226,416
59006,"Delta--Richmond East/Delta--Richmond-Est"," 63A","Richmond",40,66,13,40,1,160,305
59006,"Delta--Richmond East/Delta--Richmond-Est"," 63B","Richmond",24,67,6,45,0,142,279
59006,"Delta--Richmond East/Delta--Richmond-Est"," 64","Richmond",40,108,23,52,1,224,425
59006,"Delta--Richmond East/Delta--Richmond-Est"," 65","Richmond",40,130,22,59,1,252,478
59006,"Delta--Richmond East/Delta--Richmond-Est"," 66","Richmond",30,118,31,69,1,249,394
59006,"Delta--Richmond East/Delta--Richmond-Est"," 67","Richmond",43,171,29,71,2,316,516
59006,"Delta--Richmond East/Delta--Richmond-Est"," 68","Richmond",57,163,26,49,1,296,549
59006,"Delta--Richmond East/Delta--Richmond-Est"," 69A","Richmond",31,69,27,39,0,166,294
59006,"Delta--Richmond East/Delta--Richmond-Est"," 69B","Richmond",43,105,15,51,0,214,321
59006,"Delta--Richmond East/Delta--Richmond-Est"," 70A","Richmond",31,89,12,29,0,161,287
59006,"Delta--Richmond East/Delta--Richmond-Est"," 70B","Richmond",38,76,20,25,1,160,307
59006,"Delta--Richmond East/Delta--Richmond-Est"," 71","Richmond",27,109,20,39,0,195,330
59006,"Delta--Richmond East/Delta--Richmond-Est"," 72","Richmond",35,93,15,50,0,193,374
59006,"Delta--Richmond East/Delta--Richmond-Est"," 73","Richmond",39,118,25,91,0,273,472
59006,"Delta--Richmond East/Delta--Richmond-Est"," 74","Richmond",46,151,28,56,2,283,494
59006,"Delta--Richmond East/Delta--Richmond-Est"," 75","Richmond",49,116,21,42,3,231,472
59006,"Delta--Richmond East/Delta--Richmond-Est"," 76A","Richmond",30,117,15,59,1,222,349
59006,"Delta--Richmond East/Delta--Richmond-Est"," 76B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,123
59006,"Delta--Richmond East/Delta--Richmond-Est"," 77","Richmond",13,195,18,84,3,313,502
59006,"Delta--Richmond East/Delta--Richmond-Est"," 78","Richmond",23,127,17,57,1,225,349
59006,"Delta--Richmond East/Delta--Richmond-Est"," 79","Richmond",28,149,27,60,3,267,412
59006,"Delta--Richmond East/Delta--Richmond-Est"," 80","Richmond",27,157,21,57,0,262,404
59006,"Delta--Richmond East/Delta--Richmond-Est"," 81","Richmond",30,150,15,64,1,260,409
59006,"Delta--Richmond East/Delta--Richmond-Est"," 82A","Richmond",21,94,20,53,0,188,327
59006,"Delta--Richmond East/Delta--Richmond-Est"," 82B","Richmond",10,85,13,54,0,162,284
59006,"Delta--Richmond East/Delta--Richmond-Est"," 83","Richmond",26,206,30,68,0,330,556
59006,"Delta--Richmond East/Delta--Richmond-Est"," 84","Richmond",31,158,21,55,1,266,442
59006,"Delta--Richmond East/Delta--Richmond-Est"," 85A","Richmond",29,132,22,60,0,243,414
59006,"Delta--Richmond East/Delta--Richmond-Est"," 85B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,39
59006,"Delta--Richmond East/Delta--Richmond-Est"," 85-1","Richmond",24,136,16,59,1,236,402
59006,"Delta--Richmond East/Delta--Richmond-Est"," 86","Richmond",47,76,23,41,0,187,350
59006,"Delta--Richmond East/Delta--Richmond-Est"," 87","Richmond",Merged with No. 88A/Fusionné avec le nº 88A,,,,,,165
59006,"Delta--Richmond East/Delta--Richmond-Est"," 88A","Richmond",29,104,21,68,0,222,239
59006,"Delta--Richmond East/Delta--Richmond-Est"," 88B","Richmond",28,111,26,56,0,221,393
59006,"Delta--Richmond East/Delta--Richmond-Est"," 89","Richmond",17,94,12,36,1,160,384
59006,"Delta--Richmond East/Delta--Richmond-Est"," 89-1","Richmond",25,123,11,69,0,228,408
59006,"Delta--Richmond East/Delta--Richmond-Est"," 90","Delta",Void/Supprimé,,,,,,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 91","Delta",41,208,27,56,0,332,542
59006,"Delta--Richmond East/Delta--Richmond-Est"," 92A","Delta",26,198,13,48,0,285,399
59006,"Delta--Richmond East/Delta--Richmond-Est"," 92B","Delta",16,167,14,44,0,241,192
59006,"Delta--Richmond East/Delta--Richmond-Est"," 92-1","Delta",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,190
59006,"Delta--Richmond East/Delta--Richmond-Est"," 93","Delta",25,191,15,51,0,282,433
59006,"Delta--Richmond East/Delta--Richmond-Est"," 94","Delta",31,147,21,28,0,227,345
59006,"Delta--Richmond East/Delta--Richmond-Est"," 95","Delta",51,164,24,69,0,308,480
59006,"Delta--Richmond East/Delta--Richmond-Est"," 96","Delta",44,111,25,50,0,230,439
59006,"Delta--Richmond East/Delta--Richmond-Est"," 97","Delta",38,172,20,69,0,299,492
59006,"Delta--Richmond East/Delta--Richmond-Est"," 98","Delta",28,190,24,51,0,293,475
59006,"Delta--Richmond East/Delta--Richmond-Est"," 99","Delta",36,132,21,29,0,218,392
59006,"Delta--Richmond East/Delta--Richmond-Est"," 100","Delta",32,114,19,28,0,193,327
59006,"Delta--Richmond East/Delta--Richmond-Est"," 101","Delta",45,145,19,42,1,252,420
59006,"Delta--Richmond East/Delta--Richmond-Est"," 102","Delta",50,131,23,44,0,248,439
59006,"Delta--Richmond East/Delta--Richmond-Est"," 103","Delta",56,142,22,43,1,264,426
59006,"Delta--Richmond East/Delta--Richmond-Est"," 104","Delta",44,141,19,50,0,254,449
59006,"Delta--Richmond East/Delta--Richmond-Est"," 105","Delta",24,90,16,39,0,169,355
59006,"Delta--Richmond East/Delta--Richmond-Est"," 106","Delta",27,84,21,31,0,163,272
59006,"Delta--Richmond East/Delta--Richmond-Est"," 107","Delta",19,136,17,30,0,202,338
59006,"Delta--Richmond East/Delta--Richmond-Est"," 108","Delta",51,125,28,30,0,234,369
59006,"Delta--Richmond East/Delta--Richmond-Est"," 109","Delta",52,95,21,32,1,201,337
59006,"Delta--Richmond East/Delta--Richmond-Est"," 110","Delta",64,129,15,33,0,241,403
59006,"Delta--Richmond East/Delta--Richmond-Est"," 111","Delta",36,73,18,22,1,150,292
59006,"Delta--Richmond East/Delta--Richmond-Est"," 112","Delta",54,119,14,33,0,220,328
59006,"Delta--Richmond East/Delta--Richmond-Est"," 113","Delta",57,95,32,43,0,227,363
59006,"Delta--Richmond East/Delta--Richmond-Est"," 114","Delta",45,112,19,30,1,207,306
59006,"Delta--Richmond East/Delta--Richmond-Est"," 115","Delta",10,108,7,28,1,154,300
59006,"Delta--Richmond East/Delta--Richmond-Est"," 116","Delta",21,108,22,20,0,171,317
59006,"Delta--Richmond East/Delta--Richmond-Est"," 117","Delta",42,111,22,20,0,195,393
59006,"Delta--Richmond East/Delta--Richmond-Est"," 118","Delta",39,141,16,33,0,229,226
59006,"Delta--Richmond East/Delta--Richmond-Est"," 119A","Delta",38,122,17,35,0,212,351
59006,"Delta--Richmond East/Delta--Richmond-Est"," 119B","Delta",Merged with No. 118/Fusionné avec le nº 118,,,,,,185
59006,"Delta--Richmond East/Delta--Richmond-Est"," 120","Delta",38,180,22,49,0,289,474
59006,"Delta--Richmond East/Delta--Richmond-Est"," 121","Delta",54,168,37,58,0,317,502
59006,"Delta--Richmond East/Delta--Richmond-Est"," 122","Delta",37,142,15,34,0,228,389
