Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dawn Black,Lewis C. Dahlby,Michelle Hassen,Yonah Martin,Marshall Smith,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 48","Coquitlam",94,0,21,137,16,0,0,268,495
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 49","Coquitlam",82,1,30,76,16,0,1,206,327
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 50","Coquitlam",133,1,26,116,27,1,2,306,459
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 51","Coquitlam",100,3,35,71,9,1,0,219,413
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 52A","Coquitlam",97,1,30,118,11,0,0,257,423
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 52B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,28
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 53","Coquitlam",94,1,18,69,18,1,0,201,340
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 54","Coquitlam",74,0,15,101,14,0,0,204,334
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 55","Coquitlam",78,4,34,105,11,1,1,234,396
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 56","Coquitlam",93,3,29,103,29,0,0,257,379
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 57","Coquitlam",95,0,24,95,14,0,0,228,416
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 58","Coquitlam",84,4,19,143,20,1,1,272,410
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 59","Coquitlam",99,0,21,135,14,0,0,269,439
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 60","Coquitlam",88,0,53,111,16,0,0,268,406
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 61","Coquitlam",106,1,34,117,14,1,1,274,449
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 62","Coquitlam",77,2,25,93,15,1,0,213,342
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 63","Coquitlam",96,1,33,128,22,2,2,284,495
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 64","Coquitlam",117,0,19,133,16,0,2,287,445
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 65","Coquitlam",83,1,11,110,12,0,0,217,346
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 66","Coquitlam",80,5,25,156,15,1,0,282,456
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 67","Coquitlam",134,1,26,120,23,0,1,305,492
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 68","Coquitlam",71,0,28,117,5,0,0,221,445
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 69","Coquitlam",128,0,33,100,25,0,1,287,518
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 70","Coquitlam",96,0,32,127,13,0,0,268,558
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 71","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 72","Coquitlam",137,1,42,113,20,1,0,314,595
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 73","Coquitlam",141,2,32,86,28,0,1,290,504
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 74","Coquitlam",72,2,23,110,9,0,0,216,336
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 75","Coquitlam",95,1,31,157,15,1,2,302,486
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 76","Coquitlam",87,1,36,114,14,2,1,255,440
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 77","Coquitlam",106,5,32,119,17,0,1,280,450
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 78","Coquitlam",110,2,34,77,10,1,1,235,469
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 79","Coquitlam",108,5,29,96,20,0,0,258,508
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 80","Coquitlam",45,2,12,58,5,4,0,126,337
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 81","Coquitlam",102,0,33,105,15,0,1,256,565
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 82","Coquitlam",65,0,17,59,17,0,0,158,366
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 83","Coquitlam",78,1,39,73,8,1,0,200,376
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 84","Coquitlam",101,1,32,120,25,1,0,280,487
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 85","Coquitlam",78,1,13,106,18,0,1,217,376
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 86","Coquitlam",86,1,27,74,13,0,0,201,334
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 87","Coquitlam",84,0,29,120,14,0,0,247,407
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 88","Coquitlam",85,2,12,58,15,2,0,174,471
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 89","Coquitlam",66,1,17,26,6,0,1,117,368
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 90","Coquitlam",83,1,21,43,14,1,0,163,438
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 91","Coquitlam",87,2,26,85,17,0,2,219,375
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 92","Coquitlam",80,1,22,105,16,0,0,224,407
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 93","Coquitlam",82,1,35,153,19,1,1,292,476
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 94","Coquitlam",81,0,30,129,11,0,0,251,443
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 95","Coquitlam",76,0,14,85,12,1,0,188,350
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 96","Coquitlam",68,0,23,102,11,0,0,204,314
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 97","Coquitlam",70,1,16,52,13,0,0,152,379
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 98","Coquitlam",73,2,20,102,16,0,2,215,376
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 99","Coquitlam",68,2,11,35,13,0,1,130,311
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 100","Coquitlam",84,0,19,41,15,0,1,160,338
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 101","Coquitlam",53,0,14,44,16,0,0,127,323
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 102","Coquitlam",90,1,15,83,13,0,0,202,437
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 103","Coquitlam",115,1,37,106,24,0,0,283,547
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 104","Coquitlam",92,4,34,116,10,0,3,259,444
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 105","Coquitlam",95,0,15,99,10,0,0,219,367
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 106","Coquitlam",110,1,33,87,12,0,1,244,423
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 107","Coquitlam",107,1,27,115,23,1,0,274,473
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 108","Coquitlam",104,7,21,80,17,0,1,230,503
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 109","Coquitlam",84,1,20,43,10,0,0,158,398
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 110","Coquitlam",71,0,18,82,10,0,0,181,303
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 111","Coquitlam",127,1,27,96,15,0,1,267,510
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 112","Coquitlam",108,2,32,87,29,0,0,258,546
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 113","Coquitlam",124,2,14,70,21,0,0,231,501
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 114","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 115","Coquitlam",98,2,19,116,15,0,0,250,423
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 116","Coquitlam",114,0,25,89,24,0,0,252,372
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 117","Coquitlam",61,1,20,64,11,1,0,158,253
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 118","Coquitlam",67,1,22,88,11,0,1,190,406
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 119","Coquitlam",35,0,14,63,5,0,1,118,271
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 120","Coquitlam",60,2,22,106,19,0,1,210,390
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 121","Coquitlam",52,2,18,36,15,0,0,123,354
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 122","Coquitlam",63,1,6,38,6,0,1,115,256
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 123","Coquitlam",72,2,21,52,13,1,1,162,390
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 124","Coquitlam",48,1,11,54,6,1,0,121,241
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 125","Coquitlam",49,1,36,105,11,0,0,202,345
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 126","Coquitlam",150,3,51,95,20,1,1,321,570
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 127","Coquitlam",113,1,43,120,15,0,1,293,563
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 128","Coquitlam",103,0,38,127,16,0,0,284,480
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 129","Coquitlam",84,1,22,117,11,1,0,236,393
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 130","Coquitlam",89,4,29,81,9,1,0,213,384
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 131","Coquitlam",98,3,23,76,15,0,2,217,407
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 132","Coquitlam",106,1,26,79,16,0,2,230,436
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 133","Coquitlam",122,4,28,81,25,1,1,262,433
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 134","Coquitlam",86,4,22,67,16,0,1,196,590
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 135","Coquitlam",110,2,28,66,25,0,4,235,426
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 135-1","Coquitlam",51,1,13,32,9,0,0,106,116
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 136A","Coquitlam",55,2,20,43,6,0,0,126,278
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 136B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,115
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 137","Coquitlam",106,1,36,107,12,0,2,264,469
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 138","Coquitlam",137,0,31,101,22,1,3,295,503
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 139","Coquitlam",71,1,21,57,10,0,0,160,377
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 140","Coquitlam",99,4,34,74,33,0,0,244,552
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 141","New Westminster",165,0,43,157,34,1,0,400,554
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 142","New Westminster",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 143","New Westminster",139,1,23,106,26,1,2,298,453
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 144","New Westminster",130,2,36,86,24,0,1,279,524
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 145","New Westminster",104,0,23,76,21,0,1,225,413
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 146","New Westminster",114,2,38,135,20,1,1,311,543
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 146-1","New Westminster",59,0,10,38,8,0,0,115,228
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 147","New Westminster",104,0,39,116,12,1,0,272,416
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 148","New Westminster",88,0,17,78,14,0,0,197,294
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 149","New Westminster",94,0,16,28,18,1,0,157,303
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 150","New Westminster",102,2,15,57,23,1,0,200,368
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 151","New Westminster",119,1,17,44,16,0,0,197,380
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 152","New Westminster",147,2,22,65,19,0,0,255,427
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 153","New Westminster",194,1,15,68,14,1,2,295,594
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 154","New Westminster",38,0,5,31,4,0,0,78,109
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 155","New Westminster",128,1,22,86,18,1,0,256,355
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 156","New Westminster",145,0,24,64,14,0,1,248,411
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 157","New Westminster",116,0,13,51,21,0,0,201,353
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 157-1","New Westminster",27,1,9,28,13,0,0,78,132
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 158","New Westminster",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 159","New Westminster",44,0,12,29,7,0,0,92,154
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 160","New Westminster",132,3,47,194,28,0,0,404,582
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 161","New Westminster",87,2,21,104,12,1,0,227,348
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 162","New Westminster",102,1,27,99,20,0,1,250,356
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 163","New Westminster",149,3,39,130,22,0,3,346,576
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 164","New Westminster",122,1,34,92,18,0,0,267,441
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 165","New Westminster",185,3,31,78,23,1,3,324,534
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 166","New Westminster",161,2,55,107,35,0,0,360,575
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 167","New Westminster",195,2,27,80,31,1,1,337,486
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 168","New Westminster",174,0,30,99,21,2,0,326,440
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 169","New Westminster",124,2,24,84,19,1,0,254,443
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 170","New Westminster",131,1,35,110,22,1,1,301,532
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 171","New Westminster",88,5,32,89,13,1,0,228,443
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 172","New Westminster",77,0,14,46,6,2,0,145,337
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 173","New Westminster",182,0,40,171,17,1,4,415,696
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 174","New Westminster",76,0,26,65,10,0,1,178,272
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 175","New Westminster",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 176","New Westminster",124,5,30,74,25,0,3,261,490
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 177","New Westminster",63,1,8,25,4,0,0,101,222
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 178","New Westminster",125,0,14,37,19,1,0,196,470
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 179","New Westminster",76,2,11,36,12,2,1,140,344
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 180","New Westminster",102,4,23,98,16,0,2,245,403
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 181","New Westminster",125,1,19,87,20,0,1,253,423
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 182","New Westminster",137,2,17,46,18,1,0,221,497
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 183","New Westminster",105,2,23,58,28,0,1,217,406
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 184","New Westminster",91,0,23,44,17,2,1,178,354
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 185","New Westminster",132,2,18,104,21,0,0,277,427
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 186","New Westminster",110,1,33,110,31,0,0,285,423
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187","New Westminster",23,1,7,14,8,0,0,53,93
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-1A","New Westminster",81,2,41,98,24,0,0,246,451
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-1B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,32
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-2","New Westminster",96,1,16,54,17,1,1,186,415
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 188","New Westminster",92,2,24,28,18,1,2,167,337
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 189","New Westminster",55,0,17,39,14,0,1,126,329
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190","New Westminster",60,1,11,39,11,0,0,122,250
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190-1","New Westminster",87,2,25,71,16,0,0,201,384
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 191","New Westminster",108,1,36,62,25,0,3,235,410
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 192","New Westminster",69,1,14,30,15,1,0,130,278
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 193","New Westminster",96,4,15,58,29,0,0,202,395
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 194","New Westminster",94,0,12,41,21,0,1,169,355
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 195","New Westminster",106,2,14,38,15,0,0,175,359
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 500","Mobile poll/Bureau itinérant",28,5,16,22,5,2,2,80,155
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 501","Mobile poll/Bureau itinérant",42,0,19,26,9,0,3,99,265
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 502","Mobile poll/Bureau itinérant",57,2,10,17,4,0,1,91,104
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 503","Mobile poll/Bureau itinérant",46,0,14,42,3,1,2,108,160
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 504","Mobile poll/Bureau itinérant",45,6,34,37,8,0,4,134,91
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 505","Mobile poll/Bureau itinérant",17,4,6,10,5,3,2,47,133
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 506","Mobile poll/Bureau itinérant",10,0,2,5,2,0,0,19,34
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 600","Port Moody",121,1,16,120,17,1,0,276,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 601","Coquitlam",151,2,40,201,13,2,3,412,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 602","Coquitlam",107,2,37,197,14,1,0,358,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 603","Coquitlam",175,0,36,196,20,0,2,429,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 604","Coquitlam",144,0,37,160,15,0,2,358,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 605","Coquitlam",185,4,31,137,24,0,0,381,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 606","New Westminster",175,4,21,121,25,1,0,347,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 607","New Westminster",336,3,70,210,33,1,1,654,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 608","New Westminster",177,1,31,118,29,2,0,358,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 609","Port Moody",124,3,31,109,23,1,4,295,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 610","Coquitlam",114,1,39,156,12,0,0,322,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 611","Coquitlam",149,3,38,182,13,0,1,386,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 1/Groupe 1,41,3,25,44,8,0,5,126,183
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 2/Groupe 2,255,3,59,244,25,1,12,599,

