Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trevor Ennis,Rakesh Khosla,Tamara Lorincz,Michael Munday,Geoff Regan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax West/Halifax-Ouest"," 20B","Halifax",1,39,24,15,103,1,183,285
12005,"Halifax West/Halifax-Ouest"," 21","Halifax",1,40,72,13,73,0,199,372
12005,"Halifax West/Halifax-Ouest"," 22","Halifax",0,52,16,7,168,0,243,396
12005,"Halifax West/Halifax-Ouest"," 23","Halifax",2,57,39,17,147,1,263,485
12005,"Halifax West/Halifax-Ouest"," 24A","Halifax",1,21,27,8,95,0,152,261
12005,"Halifax West/Halifax-Ouest"," 24B","Halifax",1,31,22,7,112,0,173,244
12005,"Halifax West/Halifax-Ouest"," 25A","Halifax",0,25,33,14,72,0,144,272
12005,"Halifax West/Halifax-Ouest"," 25B","Halifax",1,27,37,11,84,1,161,276
12005,"Halifax West/Halifax-Ouest"," 26","Halifax",0,58,21,13,127,0,219,394
12005,"Halifax West/Halifax-Ouest"," 27","Halifax",0,66,12,16,136,2,232,427
12005,"Halifax West/Halifax-Ouest"," 28","Halifax",2,55,39,11,130,0,237,398
12005,"Halifax West/Halifax-Ouest"," 29","Halifax",1,37,66,32,102,0,238,452
12005,"Halifax West/Halifax-Ouest"," 30","Halifax",1,35,44,9,151,5,245,385
12005,"Halifax West/Halifax-Ouest"," 31","Halifax",1,27,41,17,83,1,170,352
12005,"Halifax West/Halifax-Ouest"," 32","Halifax",0,56,45,16,125,1,243,367
12005,"Halifax West/Halifax-Ouest"," 33","Halifax",0,38,35,20,114,0,207,369
12005,"Halifax West/Halifax-Ouest"," 34","Halifax",1,58,16,17,101,1,194,421
12005,"Halifax West/Halifax-Ouest"," 35A","Halifax",0,24,28,10,54,0,116,249
12005,"Halifax West/Halifax-Ouest"," 35B","Halifax",0,25,30,9,72,1,137,267
12005,"Halifax West/Halifax-Ouest"," 36","Halifax",1,42,41,26,133,0,243,374
12005,"Halifax West/Halifax-Ouest"," 37","Halifax",0,21,25,6,59,1,112,240
12005,"Halifax West/Halifax-Ouest"," 38","Halifax",0,49,29,10,97,1,186,364
12005,"Halifax West/Halifax-Ouest"," 39","Halifax",0,33,61,14,105,0,213,412
12005,"Halifax West/Halifax-Ouest"," 40A","Halifax",1,41,28,14,38,0,122,285
12005,"Halifax West/Halifax-Ouest"," 40B","Halifax",1,24,24,11,65,0,125,273
12005,"Halifax West/Halifax-Ouest"," 41A","Halifax",1,55,30,18,121,1,226,423
12005,"Halifax West/Halifax-Ouest"," 41B","Halifax",2,61,44,17,94,0,218,409
12005,"Halifax West/Halifax-Ouest"," 42","Halifax",1,83,23,11,121,0,239,438
12005,"Halifax West/Halifax-Ouest"," 43A","Halifax",0,33,19,10,79,0,141,301
12005,"Halifax West/Halifax-Ouest"," 43B","Halifax",2,25,28,13,76,0,144,277
12005,"Halifax West/Halifax-Ouest"," 44A","Halifax",0,49,33,9,81,0,172,317
12005,"Halifax West/Halifax-Ouest"," 44B","Halifax",1,59,36,10,83,0,189,311
12005,"Halifax West/Halifax-Ouest"," 45","Halifax",1,24,41,21,91,0,178,431
12005,"Halifax West/Halifax-Ouest"," 46A","Halifax",0,33,53,15,70,0,171,343
12005,"Halifax West/Halifax-Ouest"," 46B","Halifax",0,32,36,11,46,0,125,317
12005,"Halifax West/Halifax-Ouest"," 46-1A","Halifax",1,54,46,9,100,1,211,403
12005,"Halifax West/Halifax-Ouest"," 46-1B","Halifax",2,51,53,17,109,0,232,431
12005,"Halifax West/Halifax-Ouest"," 46-2","Halifax",0,78,78,18,151,0,325,584
12005,"Halifax West/Halifax-Ouest"," 46-3","Halifax",0,11,24,3,32,0,70,143
12005,"Halifax West/Halifax-Ouest"," 47","Halifax",0,37,47,15,49,0,148,385
12005,"Halifax West/Halifax-Ouest"," 48A","Halifax",0,53,27,7,68,2,157,256
12005,"Halifax West/Halifax-Ouest"," 48B","Halifax",0,31,28,5,92,0,156,258
12005,"Halifax West/Halifax-Ouest"," 49","Halifax",2,59,66,24,126,0,277,439
12005,"Halifax West/Halifax-Ouest"," 49-1","Halifax",2,39,83,18,75,0,217,523
12005,"Halifax West/Halifax-Ouest"," 50","Halifax",Void/Supprimé,,,,,,,
12005,"Halifax West/Halifax-Ouest"," 51","Halifax",Void/Supprimé,,,,,,,
12005,"Halifax West/Halifax-Ouest"," 52","Halifax",1,42,26,9,107,0,185,327
12005,"Halifax West/Halifax-Ouest"," 53A","Halifax",3,30,35,9,44,0,121,274
12005,"Halifax West/Halifax-Ouest"," 53B","Halifax",1,28,25,9,48,0,111,240
12005,"Halifax West/Halifax-Ouest"," 53-1A","Halifax",0,33,35,13,102,2,185,261
12005,"Halifax West/Halifax-Ouest"," 53-1B","Halifax",0,46,27,6,89,3,171,275
12005,"Halifax West/Halifax-Ouest"," 54","Halifax",2,59,81,20,129,1,292,434
12005,"Halifax West/Halifax-Ouest"," 55","Halifax",0,36,45,13,57,0,151,346
12005,"Halifax West/Halifax-Ouest"," 56","Halifax",1,36,65,11,97,1,211,434
12005,"Halifax West/Halifax-Ouest"," 56-1","Halifax",2,15,30,4,18,0,69,217
12005,"Halifax West/Halifax-Ouest"," 57","Halifax",0,11,43,9,52,1,116,284
12005,"Halifax West/Halifax-Ouest"," 58","Halifax",0,25,52,11,57,0,145,375
12005,"Halifax West/Halifax-Ouest"," 59","Halifax",0,5,9,2,20,0,36,109
12005,"Halifax West/Halifax-Ouest"," 60","Halifax",1,33,14,5,80,0,133,261
12005,"Halifax West/Halifax-Ouest"," 61","Halifax",0,48,65,19,125,1,258,556
12005,"Halifax West/Halifax-Ouest"," 62","Halifax",0,16,50,8,49,1,124,326
12005,"Halifax West/Halifax-Ouest"," 62-1","Halifax",0,45,47,7,56,2,157,330
12005,"Halifax West/Halifax-Ouest"," 62-2","Halifax",1,28,64,11,71,2,177,378
12005,"Halifax West/Halifax-Ouest"," 63","Halifax",5,53,46,29,115,0,248,402
12005,"Halifax West/Halifax-Ouest"," 64","Halifax",0,27,90,17,71,0,205,439
12005,"Halifax West/Halifax-Ouest"," 64-1","Halifax",0,34,83,16,57,1,191,324
12005,"Halifax West/Halifax-Ouest"," 65","Halifax",1,15,44,15,80,2,157,205
12005,"Halifax West/Halifax-Ouest"," 65-1","Halifax",0,28,29,16,75,2,150,316
12005,"Halifax West/Halifax-Ouest"," 66","Halifax",2,52,58,13,112,1,238,412
12005,"Halifax West/Halifax-Ouest"," 67","Halifax",0,38,27,16,110,0,191,316
12005,"Halifax West/Halifax-Ouest"," 68","Halifax",2,28,66,5,53,0,154,372
12005,"Halifax West/Halifax-Ouest"," 69","Halifax",1,17,50,11,44,1,124,319
12005,"Halifax West/Halifax-Ouest"," 70","Halifax",1,36,56,17,57,0,167,300
12005,"Halifax West/Halifax-Ouest"," 71","Halifax",2,33,45,15,84,1,180,322
12005,"Halifax West/Halifax-Ouest"," 72","Halifax",0,39,79,11,109,1,239,421
12005,"Halifax West/Halifax-Ouest"," 73","Halifax",3,51,67,16,118,0,255,397
12005,"Halifax West/Halifax-Ouest"," 74","Halifax",2,39,74,7,70,0,192,317
12005,"Halifax West/Halifax-Ouest"," 75A","Halifax",1,31,45,16,53,2,148,262
12005,"Halifax West/Halifax-Ouest"," 75B","Halifax",1,34,55,6,55,1,152,272
12005,"Halifax West/Halifax-Ouest"," 76","Halifax",4,37,60,19,97,2,219,461
12005,"Halifax West/Halifax-Ouest"," 77","Halifax",3,46,62,15,137,1,264,431
12005,"Halifax West/Halifax-Ouest"," 78","Halifax",0,67,71,23,125,0,286,498
12005,"Halifax West/Halifax-Ouest"," 79","Halifax",4,18,35,15,50,0,122,388
12005,"Halifax West/Halifax-Ouest"," 80","Halifax",1,37,64,15,75,1,193,486
12005,"Halifax West/Halifax-Ouest"," 81","Halifax",1,15,66,19,43,1,145,381
12005,"Halifax West/Halifax-Ouest"," 82","Halifax",0,5,54,8,19,0,86,274
12005,"Halifax West/Halifax-Ouest"," 83","Halifax",0,23,31,12,28,0,94,277
12005,"Halifax West/Halifax-Ouest"," 84","Halifax",0,27,71,8,35,4,145,282
12005,"Halifax West/Halifax-Ouest"," 85","Halifax",0,13,48,6,26,2,95,236
12005,"Halifax West/Halifax-Ouest"," 86","Halifax",3,34,111,17,74,0,239,489
12005,"Halifax West/Halifax-Ouest"," 87","Halifax",1,16,87,11,43,0,158,471
12005,"Halifax West/Halifax-Ouest"," 88","Halifax",0,29,65,13,36,2,145,318
12005,"Halifax West/Halifax-Ouest"," 89","Halifax",0,26,71,12,71,1,181,369
12005,"Halifax West/Halifax-Ouest"," 90","Halifax",1,27,80,13,67,0,188,321
12005,"Halifax West/Halifax-Ouest"," 91","Halifax",2,11,58,19,36,0,126,341
12005,"Halifax West/Halifax-Ouest"," 92","Halifax",2,17,91,11,39,2,162,311
12005,"Halifax West/Halifax-Ouest"," 93","Halifax",0,35,95,16,52,1,199,454
12005,"Halifax West/Halifax-Ouest"," 94","Halifax",0,16,68,12,49,0,145,323
12005,"Halifax West/Halifax-Ouest"," 95","Halifax",2,29,68,26,69,0,194,408
12005,"Halifax West/Halifax-Ouest"," 96","Halifax",1,45,118,16,72,0,252,450
12005,"Halifax West/Halifax-Ouest"," 97","Halifax",1,27,71,13,68,0,180,334
12005,"Halifax West/Halifax-Ouest"," 98","Halifax",3,36,87,14,64,0,204,376
12005,"Halifax West/Halifax-Ouest"," 99","Halifax",1,44,90,13,82,0,230,368
12005,"Halifax West/Halifax-Ouest"," 100","Halifax",2,46,38,12,83,1,182,357
12005,"Halifax West/Halifax-Ouest"," 101","Halifax",2,24,43,4,81,0,154,344
12005,"Halifax West/Halifax-Ouest"," 102","Halifax",0,55,69,13,102,2,241,471
12005,"Halifax West/Halifax-Ouest"," 102-1","Halifax",0,36,60,5,89,1,191,350
12005,"Halifax West/Halifax-Ouest"," 102-2","Halifax",2,40,63,11,62,0,178,346
12005,"Halifax West/Halifax-Ouest"," 102-3","Halifax",2,50,56,15,55,2,180,381
12005,"Halifax West/Halifax-Ouest"," 103","Halifax",3,73,68,16,126,3,289,572
12005,"Halifax West/Halifax-Ouest"," 103-1A","Halifax",0,33,28,4,72,0,137,290
12005,"Halifax West/Halifax-Ouest"," 103-1B","Halifax",3,41,27,9,57,0,137,287
12005,"Halifax West/Halifax-Ouest"," 103-2","Halifax",0,15,41,8,34,1,99,267
12005,"Halifax West/Halifax-Ouest"," 103-3","Halifax",0,40,27,7,84,0,158,283
12005,"Halifax West/Halifax-Ouest"," 103-4A","Halifax",2,28,35,11,69,0,145,259
12005,"Halifax West/Halifax-Ouest"," 103-4B","Halifax",0,32,50,6,73,0,161,294
12005,"Halifax West/Halifax-Ouest"," 104","Halifax",0,12,21,8,25,2,68,185
12005,"Halifax West/Halifax-Ouest"," 105","Halifax",1,8,17,2,17,0,45,159
12005,"Halifax West/Halifax-Ouest"," 105-1","Halifax",2,21,75,16,41,1,156,457
12005,"Halifax West/Halifax-Ouest"," 106","Halifax",2,26,44,8,45,0,125,307
12005,"Halifax West/Halifax-Ouest"," 107A","Halifax",0,29,53,9,63,1,155,283
12005,"Halifax West/Halifax-Ouest"," 107B","Halifax",2,36,38,10,72,0,158,283
12005,"Halifax West/Halifax-Ouest"," 108","Halifax",0,5,47,6,26,0,84,329
12005,"Halifax West/Halifax-Ouest"," 109","Halifax",0,24,21,15,55,0,115,278
12005,"Halifax West/Halifax-Ouest"," 110","Halifax",0,33,72,23,91,0,219,417
12005,"Halifax West/Halifax-Ouest"," 111","Halifax",3,38,82,9,42,0,174,464
12005,"Halifax West/Halifax-Ouest"," 112A","Halifax",0,22,63,8,44,1,138,332
12005,"Halifax West/Halifax-Ouest"," 112B","Halifax",0,23,48,14,40,2,127,349
12005,"Halifax West/Halifax-Ouest"," 113","Halifax",7,50,87,18,85,0,247,434
12005,"Halifax West/Halifax-Ouest"," 113-1","Halifax, Subd. C",3,24,91,14,62,2,196,370
12005,"Halifax West/Halifax-Ouest"," 114","Halifax",4,56,135,18,97,2,312,502
12005,"Halifax West/Halifax-Ouest"," 115","Halifax",2,41,149,6,77,0,275,504
12005,"Halifax West/Halifax-Ouest"," 116A","Halifax",0,39,75,6,40,0,160,265
12005,"Halifax West/Halifax-Ouest"," 116B","Halifax",0,14,46,10,59,0,129,259
12005,"Halifax West/Halifax-Ouest"," 116-1","Halifax, Subd. A",0,38,70,8,39,1,156,296
12005,"Halifax West/Halifax-Ouest"," 117","Halifax",1,48,109,13,73,0,244,482
12005,"Halifax West/Halifax-Ouest"," 118","Halifax",0,19,45,8,35,2,109,195
12005,"Halifax West/Halifax-Ouest"," 119","Halifax",2,37,63,19,72,1,194,356
12005,"Halifax West/Halifax-Ouest"," 119-1","Halifax, Subd. B",0,47,71,8,65,0,191,306
12005,"Halifax West/Halifax-Ouest"," 120A","Halifax",0,20,71,12,55,1,159,280
12005,"Halifax West/Halifax-Ouest"," 120B","Halifax",0,20,61,13,60,1,155,290
12005,"Halifax West/Halifax-Ouest"," 121","Halifax",2,38,54,9,52,0,155,262
12005,"Halifax West/Halifax-Ouest"," 122A","Halifax",2,21,60,19,33,0,135,285
12005,"Halifax West/Halifax-Ouest"," 122B","Halifax",3,25,59,4,35,1,127,261
12005,"Halifax West/Halifax-Ouest"," 123","Halifax",0,24,89,2,26,0,141,296
12005,"Halifax West/Halifax-Ouest"," 124A","Halifax",1,27,56,9,54,1,148,269
12005,"Halifax West/Halifax-Ouest"," 124B","Halifax",3,24,49,8,47,1,132,273
12005,"Halifax West/Halifax-Ouest"," 124-1","Halifax, Subd. B",1,9,30,4,13,0,57,140
12005,"Halifax West/Halifax-Ouest"," 124-2","Halifax, Subd. B",0,38,71,10,87,0,206,361
12005,"Halifax West/Halifax-Ouest"," 125","Halifax",4,50,52,13,83,0,202,318
12005,"Halifax West/Halifax-Ouest"," 125-1","Halifax",0,38,61,16,63,0,178,311
12005,"Halifax West/Halifax-Ouest"," 126","Five Island Lake",1,40,126,24,73,0,264,445
12005,"Halifax West/Halifax-Ouest"," 127","Halifax",1,56,70,16,120,0,263,428
12005,"Halifax West/Halifax-Ouest"," 128","Lewis Lake",1,32,65,21,76,1,196,312
12005,"Halifax West/Halifax-Ouest"," 129","Hubley",0,75,128,33,117,1,354,537
12005,"Halifax West/Halifax-Ouest"," 130","Goodwood",2,45,65,6,52,0,170,374
12005,"Halifax West/Halifax-Ouest"," 131","Harrietsfield",Void/Supprimé,,,,,,,
12005,"Halifax West/Halifax-Ouest"," 132","Hatchet Lake",0,40,68,20,64,0,192,327
12005,"Halifax West/Halifax-Ouest"," 133","Goodwood",1,28,68,15,59,2,173,316
12005,"Halifax West/Halifax-Ouest"," 134","Halifax",0,49,116,29,83,0,277,460
12005,"Halifax West/Halifax-Ouest"," 135","Halifax",1,41,58,17,71,2,190,319
12005,"Halifax West/Halifax-Ouest"," 136","Whites Lake",2,28,93,14,66,2,205,404
12005,"Halifax West/Halifax-Ouest"," 137","Brookside",1,65,96,30,80,0,272,493
12005,"Halifax West/Halifax-Ouest"," 137-1","Halifax",2,41,74,11,68,0,196,373
12005,"Halifax West/Halifax-Ouest"," 138","Brookside",Void/Supprimé,,,,,,,
12005,"Halifax West/Halifax-Ouest"," 139","Shad Bay",0,42,128,25,93,1,289,505
12005,"Halifax West/Halifax-Ouest"," 140A","Whites Lake",4,36,68,20,64,1,193,289
12005,"Halifax West/Halifax-Ouest"," 140B","Whites Lake",0,24,55,10,53,2,144,253
12005,"Halifax West/Halifax-Ouest"," 141","Whites Lake",0,27,94,24,87,0,232,415
12005,"Halifax West/Halifax-Ouest"," 142","Prospect",2,47,94,32,112,1,288,504
12005,"Halifax West/Halifax-Ouest"," 143","Lower Prospect",2,43,104,14,90,0,253,423
12005,"Halifax West/Halifax-Ouest"," 400","Halifax",0,21,9,1,33,0,64,64
12005,"Halifax West/Halifax-Ouest"," 401","Halifax",1,13,9,5,53,4,85,207
12005,"Halifax West/Halifax-Ouest"," 500","Mobile poll/Bureau itinérant",0,11,15,0,21,0,47,122
12005,"Halifax West/Halifax-Ouest"," 501","Mobile poll/Bureau itinérant",1,22,34,2,39,1,99,141
12005,"Halifax West/Halifax-Ouest"," 502","Mobile poll/Bureau itinérant",2,7,10,1,7,0,27,37
12005,"Halifax West/Halifax-Ouest"," 600","Halifax",2,127,79,31,206,0,445,
12005,"Halifax West/Halifax-Ouest"," 601","Halifax",1,136,89,28,310,2,566,
12005,"Halifax West/Halifax-Ouest"," 602","Halifax",2,90,35,22,205,1,355,
12005,"Halifax West/Halifax-Ouest"," 603","Halifax",3,180,142,18,323,0,666,
12005,"Halifax West/Halifax-Ouest"," 604","Halifax",5,89,98,31,272,0,495,
12005,"Halifax West/Halifax-Ouest"," 605","Halifax",1,53,113,10,101,0,278,
12005,"Halifax West/Halifax-Ouest"," 606","Halifax",1,107,109,24,228,1,470,
12005,"Halifax West/Halifax-Ouest"," 607","Halifax",8,64,183,26,165,0,446,
12005,"Halifax West/Halifax-Ouest"," 608","Halifax",0,43,78,18,95,0,234,
12005,"Halifax West/Halifax-Ouest",,Group 1/Groupe 1,7,155,32,20,80,12,306,801
12005,"Halifax West/Halifax-Ouest",,Group 2/Groupe 2,4,167,166,55,350,11,753,

