Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bachynsky,Taras Natyshak,Jeff Watson,Susan Whelan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Essex/Essex"," 60","LaSalle",15,54,49,33,1,152,315
35021,"Essex/Essex"," 61","LaSalle",9,64,57,39,1,170,302
35021,"Essex/Essex"," 62","LaSalle",9,65,85,77,0,236,429
35021,"Essex/Essex"," 63","LaSalle",13,70,115,71,4,273,561
35021,"Essex/Essex"," 64","LaSalle",7,60,56,47,0,170,353
35021,"Essex/Essex"," 65","LaSalle",8,70,72,44,0,194,346
35021,"Essex/Essex"," 66A","LaSalle",6,45,48,36,0,135,269
35021,"Essex/Essex"," 66B","LaSalle",11,59,58,41,0,169,314
35021,"Essex/Essex"," 67","LaSalle",5,53,53,33,0,144,403
35021,"Essex/Essex"," 67-1","LaSalle",8,37,94,55,0,194,400
35021,"Essex/Essex"," 68","LaSalle",5,33,67,43,1,149,291
35021,"Essex/Essex"," 69","LaSalle",3,39,53,64,0,159,320
35021,"Essex/Essex"," 70","LaSalle",12,56,81,80,1,230,472
35021,"Essex/Essex"," 71","LaSalle",11,54,95,53,0,213,376
35021,"Essex/Essex"," 72","LaSalle",10,49,62,47,0,168,308
35021,"Essex/Essex"," 73","LaSalle",7,47,70,47,1,172,351
35021,"Essex/Essex"," 73-1","LaSalle",10,51,84,53,0,198,382
35021,"Essex/Essex"," 74","LaSalle",6,39,105,36,1,187,344
35021,"Essex/Essex"," 75","LaSalle",7,50,83,55,1,196,456
35021,"Essex/Essex"," 76","LaSalle",13,61,62,36,3,175,393
35021,"Essex/Essex"," 76-1","LaSalle",13,25,59,42,0,139,312
35021,"Essex/Essex"," 77","LaSalle",6,44,77,74,1,202,391
35021,"Essex/Essex"," 77-1","LaSalle",4,35,59,49,0,147,283
35021,"Essex/Essex"," 78","LaSalle",4,51,85,64,1,205,425
35021,"Essex/Essex"," 78-1A","LaSalle",6,39,71,48,0,164,351
35021,"Essex/Essex"," 78-1B","LaSalle",7,29,50,40,2,128,300
35021,"Essex/Essex"," 79A","LaSalle",4,23,58,52,1,138,256
35021,"Essex/Essex"," 79B","LaSalle",4,24,76,55,0,159,288
35021,"Essex/Essex"," 80","LaSalle",3,36,98,63,0,200,434
35021,"Essex/Essex"," 80-1","LaSalle",3,6,67,25,0,101,222
35021,"Essex/Essex"," 81","LaSalle",10,45,80,43,1,179,470
35021,"Essex/Essex"," 81-1","LaSalle",8,45,56,67,2,178,410
35021,"Essex/Essex"," 82","LaSalle",7,59,60,32,0,158,305
35021,"Essex/Essex"," 83","LaSalle",6,61,58,85,0,210,421
35021,"Essex/Essex"," 84","LaSalle",9,58,111,91,0,269,494
35021,"Essex/Essex"," 85","LaSalle",11,86,95,60,0,252,443
35021,"Essex/Essex"," 86","LaSalle",10,33,43,44,0,130,244
35021,"Essex/Essex"," 87","LaSalle",10,43,71,53,2,179,419
35021,"Essex/Essex"," 88","LaSalle",9,46,84,80,3,222,401
35021,"Essex/Essex"," 89","Amherstburg",5,20,33,39,1,98,241
35021,"Essex/Essex"," 90","Amherstburg",11,26,52,56,1,146,335
35021,"Essex/Essex"," 90-1","Amherstburg",9,42,81,57,0,189,420
35021,"Essex/Essex"," 91","Amherstburg",12,39,121,98,1,271,522
35021,"Essex/Essex"," 92","Amherstburg",12,48,49,61,1,171,350
35021,"Essex/Essex"," 93","Amherstburg",15,42,82,58,0,197,415
35021,"Essex/Essex"," 94","Amherstburg",4,77,97,115,0,293,486
35021,"Essex/Essex"," 95","Amherstburg",5,69,85,60,3,222,418
35021,"Essex/Essex"," 96","Amherstburg",6,26,50,45,1,128,218
35021,"Essex/Essex"," 97","Amherstburg",8,61,94,75,0,238,525
35021,"Essex/Essex"," 97-1A","Amherstburg",3,27,77,57,0,164,292
35021,"Essex/Essex"," 97-1B","Amherstburg",6,25,87,87,0,205,335
35021,"Essex/Essex"," 98","Amherstburg",5,44,76,112,0,237,475
35021,"Essex/Essex"," 99","Amherstburg",4,33,57,96,10,200,366
35021,"Essex/Essex"," 100A","Amherstburg",13,34,66,47,0,160,402
35021,"Essex/Essex"," 100B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,29
35021,"Essex/Essex"," 101","Amherstburg",9,29,53,35,0,126,244
35021,"Essex/Essex"," 102","Amherstburg",5,30,47,62,1,145,249
35021,"Essex/Essex"," 103","Amherstburg",4,26,65,54,1,150,244
35021,"Essex/Essex"," 104","Amherstburg",1,40,32,23,1,97,174
35021,"Essex/Essex"," 105","Amherstburg",9,29,89,54,1,182,403
35021,"Essex/Essex"," 106A","Amherstburg",15,44,75,34,1,169,352
35021,"Essex/Essex"," 106B","Amherstburg",7,44,67,60,0,178,359
35021,"Essex/Essex"," 107","Amherstburg",6,45,42,33,1,127,300
35021,"Essex/Essex"," 108","Amherstburg",8,55,61,50,2,176,378
35021,"Essex/Essex"," 109","Amherstburg",14,67,60,85,0,226,454
35021,"Essex/Essex"," 110","Amherstburg",7,52,55,39,0,153,297
35021,"Essex/Essex"," 110-1","Amherstburg",5,39,81,46,0,171,342
35021,"Essex/Essex"," 111","Amherstburg",16,80,87,67,1,251,465
35021,"Essex/Essex"," 112","Amherstburg",9,35,70,65,3,182,349
35021,"Essex/Essex"," 113","Amherstburg",5,41,31,60,0,137,372
35021,"Essex/Essex"," 114","Amherstburg",4,66,49,43,0,162,393
35021,"Essex/Essex"," 115","Amherstburg",3,51,60,32,0,146,362
35021,"Essex/Essex"," 116","Amherstburg",4,26,24,26,0,80,203
35021,"Essex/Essex"," 117","Amherstburg",7,94,92,73,1,267,485
35021,"Essex/Essex"," 118","Amherstburg",3,61,96,69,2,231,459
35021,"Essex/Essex"," 119","Amherstburg",6,59,58,59,0,182,384
35021,"Essex/Essex"," 120A","Amherstburg",7,35,44,64,1,151,300
35021,"Essex/Essex"," 120B","Amherstburg",5,38,55,49,1,148,268
35021,"Essex/Essex"," 121","Amherstburg",10,60,78,40,1,189,370
35021,"Essex/Essex"," 122","Amherstburg",4,53,67,48,0,172,340
35021,"Essex/Essex"," 123","Amherstburg",3,45,93,131,1,273,505
35021,"Essex/Essex"," 124","Amherstburg",10,63,101,79,0,253,462
35021,"Essex/Essex"," 125","Essex",13,90,100,62,0,265,529
35021,"Essex/Essex"," 126","Essex",2,58,59,30,0,149,314
35021,"Essex/Essex"," 127","Essex",17,118,77,51,0,263,451
35021,"Essex/Essex"," 128","Essex",6,76,92,93,1,268,479
35021,"Essex/Essex"," 129A","Essex",6,28,60,26,2,122,259
35021,"Essex/Essex"," 129B","Essex",10,44,69,26,0,149,273
35021,"Essex/Essex"," 130","Essex",14,49,106,69,1,239,447
35021,"Essex/Essex"," 131","Essex",13,57,94,59,3,226,443
35021,"Essex/Essex"," 132","Essex",11,42,112,83,0,248,487
35021,"Essex/Essex"," 133","Essex",6,35,44,83,2,170,338
35021,"Essex/Essex"," 134","Essex",17,66,87,58,0,228,487
35021,"Essex/Essex"," 135","Essex",5,50,44,44,3,146,292
35021,"Essex/Essex"," 136","Essex",12,33,45,41,1,132,279
35021,"Essex/Essex"," 137","Essex",9,43,46,53,0,151,318
35021,"Essex/Essex"," 138","Essex",11,67,99,107,0,284,521
35021,"Essex/Essex"," 139","Essex",8,70,102,104,3,287,607
35021,"Essex/Essex"," 140","Essex",6,31,79,63,0,179,354
35021,"Essex/Essex"," 141A","Essex",10,42,49,35,0,136,302
35021,"Essex/Essex"," 141B","Essex",6,31,32,22,0,91,238
35021,"Essex/Essex"," 142A","Essex",2,29,56,47,0,134,296
35021,"Essex/Essex"," 142B","Essex",4,22,59,47,0,132,266
35021,"Essex/Essex"," 143A","Essex",15,40,48,41,1,145,330
35021,"Essex/Essex"," 143B","Essex",6,43,48,28,2,127,319
35021,"Essex/Essex"," 144","Essex",6,53,117,54,1,231,468
35021,"Essex/Essex"," 145","Essex",21,46,138,69,0,274,528
35021,"Essex/Essex"," 146","Essex",13,50,61,25,1,150,350
35021,"Essex/Essex"," 147","Essex",16,92,100,61,0,269,458
35021,"Essex/Essex"," 148A","Essex",2,43,41,24,0,110,289
35021,"Essex/Essex"," 148B","Essex",6,44,44,45,1,140,275
35021,"Essex/Essex"," 149","Essex",8,70,71,29,1,179,377
35021,"Essex/Essex"," 150","Essex",5,77,62,43,2,189,373
35021,"Essex/Essex"," 151","Essex",5,86,69,70,0,230,365
35021,"Essex/Essex"," 152","Essex",2,55,59,43,0,159,352
35021,"Essex/Essex"," 153","Essex",5,94,69,46,0,214,446
35021,"Essex/Essex"," 154","Essex",11,74,97,50,0,232,437
35021,"Essex/Essex"," 155","Essex",8,57,67,55,1,188,357
35021,"Essex/Essex"," 156","Essex",9,57,77,66,1,210,412
35021,"Essex/Essex"," 157","Essex",14,61,101,72,0,248,448
35021,"Essex/Essex"," 158","Essex",8,37,85,62,0,192,381
35021,"Essex/Essex"," 159","Kingsville",6,32,45,37,0,120,234
35021,"Essex/Essex"," 160","Kingsville",4,19,46,32,0,101,192
35021,"Essex/Essex"," 161","Kingsville",9,42,84,45,1,181,318
35021,"Essex/Essex"," 162","Kingsville",5,28,87,47,0,167,333
35021,"Essex/Essex"," 163","Kingsville",13,81,142,48,0,284,506
35021,"Essex/Essex"," 164","Kingsville",12,55,107,62,1,237,432
35021,"Essex/Essex"," 164-1","Kingsville",6,41,70,56,0,173,311
35021,"Essex/Essex"," 165","Kingsville",4,25,72,40,0,141,268
35021,"Essex/Essex"," 166","Kingsville",8,93,109,69,0,279,478
35021,"Essex/Essex"," 167","Kingsville/Gosfield",Void/Supprimé,,,,,,
35021,"Essex/Essex"," 168","Kingsville",3,36,67,44,2,152,305
35021,"Essex/Essex"," 169","Kingsville",5,24,59,40,1,129,256
35021,"Essex/Essex"," 170","Kingsville",1,19,74,28,1,123,230
35021,"Essex/Essex"," 171","Kingsville",6,6,54,36,0,102,226
35021,"Essex/Essex"," 172","Kingsville",7,21,92,82,1,203,362
35021,"Essex/Essex"," 173","Kingsville",14,34,104,69,2,223,390
35021,"Essex/Essex"," 174","Kingsville",10,27,82,48,1,168,350
35021,"Essex/Essex"," 174-1A","Gosfield South",9,27,94,57,0,187,315
35021,"Essex/Essex"," 174-1B","Gosfield South",9,50,102,57,1,219,336
35021,"Essex/Essex"," 175A","Kingsville",5,27,80,34,0,146,292
35021,"Essex/Essex"," 175B","Kingsville",4,25,56,27,1,113,260
35021,"Essex/Essex"," 176","Kingsville",8,33,71,40,0,152,333
35021,"Essex/Essex"," 177","Kingsville",0,27,41,27,0,95,253
35021,"Essex/Essex"," 178","Kingsville",12,46,95,52,2,207,436
35021,"Essex/Essex"," 178-1","Kingsville",11,43,53,45,0,152,341
35021,"Essex/Essex"," 179A","Kingsville",6,39,50,47,0,142,292
35021,"Essex/Essex"," 179B","Kingsville",4,31,58,27,0,120,261
35021,"Essex/Essex"," 180","Kingsville",21,34,105,75,0,235,466
35021,"Essex/Essex"," 181","Kingsville",19,36,105,110,2,272,499
35021,"Essex/Essex"," 182","Kingsville",11,27,109,105,1,253,462
35021,"Essex/Essex"," 183","Pelee Island",5,5,23,47,0,80,163
35021,"Essex/Essex"," 184","Kingsville",9,62,97,62,0,230,447
35021,"Essex/Essex"," 185","Kingsville",15,59,72,75,1,222,419
35021,"Essex/Essex"," 186","Kingsville",8,32,64,48,1,153,325
35021,"Essex/Essex"," 187","Kingsville",14,42,82,78,2,218,452
35021,"Essex/Essex"," 188","Kingsville",17,63,101,68,2,251,512
35021,"Essex/Essex"," 189","Kingsville",12,39,70,64,1,186,417
35021,"Essex/Essex"," 190","Kingsville",9,52,67,55,1,184,372
35021,"Essex/Essex"," 191","Kingsville",9,40,67,36,1,153,317
35021,"Essex/Essex"," 192","Kingsville",6,33,75,56,1,171,356
35021,"Essex/Essex"," 193","Kingsville",20,57,86,42,1,206,403
35021,"Essex/Essex"," 194","Kingsville",11,44,65,51,0,171,374
35021,"Essex/Essex"," 400","Kingsville",2,13,20,26,2,63,129
35021,"Essex/Essex"," 401","LaSalle",1,13,16,10,0,40,49
35021,"Essex/Essex"," 500","Mobile poll/Bureau itinérant",4,32,20,34,5,95,156
35021,"Essex/Essex"," 501","Mobile poll/Bureau itinérant",3,13,42,41,1,100,226
35021,"Essex/Essex"," 502","Mobile poll/Bureau itinérant",3,19,26,37,0,85,180
35021,"Essex/Essex"," 503","Mobile poll/Bureau itinérant",7,16,39,70,4,136,208
35021,"Essex/Essex"," 600","Lakeshore",22,116,202,114,1,455,
35021,"Essex/Essex"," 601","Lakeshore",21,287,371,231,0,910,
35021,"Essex/Essex"," 602","Lakeshore",5,91,139,106,2,343,
35021,"Essex/Essex"," 603","LaSalle",13,153,293,155,0,614,
35021,"Essex/Essex"," 604","LaSalle",25,123,260,141,0,549,
35021,"Essex/Essex"," 605","Amherstburg",21,104,274,196,0,595,
35021,"Essex/Essex"," 606","Amherstburg",17,151,244,205,2,619,
35021,"Essex/Essex"," 607","Essex",25,155,271,155,1,607,
35021,"Essex/Essex"," 608","Essex",26,120,231,207,0,584,
35021,"Essex/Essex"," 609","Kingsville",8,52,220,118,0,398,
35021,"Essex/Essex"," 610","Kingsville",30,111,378,200,3,722,
35021,"Essex/Essex",,Group 1/Groupe 1,3,9,51,22,0,85,167
35021,"Essex/Essex",,Group 2/Groupe 2,29,128,396,261,10,824,

