Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nancy Charest,Julie Demers,Louis Drainville,Jérôme Landry,Liliane Potvin,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 33","Métis-sur-Mer",35,8,9,37,4,33,0,126,216
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 34","Métis-sur-Mer",49,9,12,28,3,73,1,175,300
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 35","Padoue",28,5,8,24,3,38,1,107,225
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 36","Baie-des-Sables",80,3,3,22,2,58,1,169,263
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 37","Baie-des-Sables",60,11,5,21,1,51,1,150,266
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 38","Saint-Ulric",109,2,10,27,2,86,2,238,451
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 39","Saint-Ulric",54,4,3,11,0,37,1,110,218
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 40","Saint-Ulric",56,6,1,32,0,51,0,146,286
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 41","Saint-Ulric",57,6,3,34,0,51,1,152,360
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 42","Saint-Léandre",78,7,12,26,0,69,3,195,323
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 43","Sainte-Paule",55,7,2,11,0,51,2,128,174
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 44A","Matane",78,2,5,38,1,36,2,162,279
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 44B","Matane",75,7,1,24,0,31,0,138,246
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 45","Matane",82,6,3,34,0,67,0,192,369
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 46","Matane",74,5,5,27,0,44,0,155,375
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 47","Matane",101,8,4,29,0,62,1,205,386
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 48","Matane",44,3,3,10,0,31,3,94,289
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 49","Matane",67,4,3,31,0,50,0,155,371
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 50","Matane",87,5,4,27,1,53,0,177,360
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 51","Matane",112,7,2,31,0,79,2,233,420
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 52","Matane",95,8,3,23,2,37,2,170,320
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 53","Matane",124,4,11,38,0,58,1,236,419
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 54","Matane",89,3,3,36,1,39,0,171,336
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 55","Matane",72,1,4,20,0,39,1,137,335
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 56","Matane",55,2,2,18,0,33,2,112,284
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 57","Matane",43,1,0,29,0,31,0,104,259
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 58","Matane",158,6,9,44,0,61,2,280,455
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 59","Matane",76,5,0,34,2,43,0,160,324
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 60","Matane",43,6,4,25,0,68,4,150,335
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 61","Matane",101,7,2,35,1,49,1,196,413
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 62","Matane",75,3,1,21,0,56,1,157,323
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 63","Matane",80,3,10,33,3,44,5,178,353
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 64","Matane",43,11,1,13,0,40,2,110,290
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 65","Matane",85,7,2,30,0,72,0,196,391
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 66","Matane",111,5,7,39,0,77,1,240,484
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 67","Matane",94,12,1,18,0,46,1,172,321
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 68","Matane",83,9,4,20,1,45,3,165,257
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 69","Matane",78,2,2,35,0,54,0,171,306
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 70","Matane",11,1,2,4,0,5,0,23,51
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 71","Matane",121,6,6,33,0,58,1,225,437
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 72","Petit-Matane",70,6,6,44,0,69,1,196,353
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 73","Petit-Matane",70,6,1,25,0,55,2,159,296
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 74A","Matane",75,5,2,19,1,54,1,157,288
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 74B","Matane",42,3,2,15,0,37,1,100,190
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 75","Saint-Luc-de-Matane",81,7,2,22,0,60,0,172,283
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 76","Saint-Luc-de-Matane",97,3,4,35,0,51,2,192,364
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 77A","Petit-Matane",58,9,2,25,0,34,2,130,254
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 77B","Petit-Matane",42,3,1,7,0,48,2,103,231
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 78","Sainte-Félicité",71,5,5,29,0,76,1,187,358
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 79","Sainte-Félicité",79,5,7,25,2,57,5,180,348
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 80","Sainte-Félicité",55,5,0,29,0,33,1,123,272
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 81","Saint-Jean-de-Cherbourg",15,3,0,3,0,40,0,61,163
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 82","Saint-Adelme",78,12,12,27,0,67,1,197,393
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 83","Saint-René-de-Matane",51,6,2,31,1,50,0,141,265
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 84","Saint-René-de-Matane",60,7,7,31,3,86,1,195,429
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 85","Saint-René-de-Matane",15,1,2,17,3,46,0,84,169
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 86","Grosses-Roches",37,5,6,42,2,70,3,165,354
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 87","Les Méchins",36,2,1,31,0,52,2,124,323
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 88","Les Méchins",45,4,3,20,3,57,1,133,317
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 89","Les Méchins",35,5,3,28,1,70,4,146,351
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 90","Cap-Chat",37,3,0,12,0,38,1,91,183
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 91","Cap-Chat",38,5,4,13,1,34,3,98,278
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 92","Cap-Chat",49,3,1,13,0,34,2,102,285
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 93","Cap-Chat",36,5,4,20,0,42,4,111,322
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 94A","Cap-Chat",57,8,0,20,0,31,1,117,266
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 94B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,22
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 95","Cap-Chat",88,9,6,39,0,52,6,200,461
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 96","Cap-Chat",68,5,1,27,0,57,0,158,370
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 97","Sainte-Anne-des-Monts",49,6,8,24,1,59,0,147,412
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 98","Sainte-Anne-des-Monts",83,9,3,24,3,56,2,180,376
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 99","Sainte-Anne-des-Monts",77,2,3,14,1,32,2,131,421
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 100","Sainte-Anne-des-Monts",46,5,3,15,0,41,1,111,342
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 101","Sainte-Anne-des-Monts",84,4,5,21,0,45,2,161,437
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 102A","Sainte-Anne-des-Monts",29,4,2,21,0,30,0,86,202
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 102B","Sainte-Anne-des-Monts",32,5,3,24,0,35,3,102,315
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 103A","Sainte-Anne-des-Monts",31,5,2,11,1,29,0,79,206
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 103B","Sainte-Anne-des-Monts",56,7,2,14,0,40,0,119,334
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 104","Sainte-Anne-des-Monts",63,11,5,23,0,34,3,139,313
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 105","Sainte-Anne-des-Monts",59,4,1,8,0,41,2,115,307
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 106","Sainte-Anne-des-Monts",85,9,4,15,0,52,2,167,418
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 107","Sainte-Anne-des-Monts",59,2,7,10,2,23,6,109,254
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 108","Cap-Seize",32,0,1,10,1,25,0,69,128
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 109","Sainte-Anne-des-Monts",45,5,3,26,0,60,1,140,400
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 110","Sainte-Anne-des-Monts",66,5,3,15,0,33,1,123,304
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 111","Sainte-Anne-des-Monts",73,10,5,30,0,63,1,182,500
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 112","Cap-au-Renard",33,3,9,8,0,27,1,81,210
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 113","Marsoui",57,8,4,18,1,43,1,132,269
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 114","Rivière-à-Claude",55,4,4,9,0,21,0,93,130
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 115","Mont-Saint-Pierre",69,3,5,14,0,30,1,122,184
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 116","Saint-Maxime-du-Mont-Louis",72,9,9,22,2,58,0,172,379
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 117","Saint-Maxime-du-Mont-Louis",53,2,4,11,1,48,2,121,216
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 118","Sainte-Madeleine-de-la-Rivière-Madeleine",68,8,6,54,0,38,2,176,340
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 119","Saint-Maxime-du-Mont-Louis",63,2,2,15,0,53,1,136,369
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 120","Lac-au-Saumon",29,2,3,17,0,28,0,79,141
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 121","Lac-au-Saumon",30,8,4,28,2,65,2,139,296
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 122","Lac-au-Saumon",35,8,2,37,3,29,1,115,249
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 123","Lac-au-Saumon",61,15,6,39,0,64,0,185,351
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 124","Saint-Alexandre-des-Lacs",31,19,6,36,1,42,1,136,219
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 125","Causapscal",44,13,4,28,0,53,4,146,316
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 126","Sainte-Marguerite-Marie",23,1,3,19,1,40,4,91,172
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 127","Causapscal",35,5,7,21,2,45,0,115,290
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 128A","Causapscal",32,10,4,13,1,48,5,113,282
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 128B","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,,,29
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 129A","Causapscal",25,5,4,17,1,50,2,104,300
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 129B","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,,,14
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 130","Causapscal",48,4,5,12,1,47,2,119,316
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 131","Causapscal",20,5,4,24,1,47,3,104,281
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 132","Causapscal",28,4,4,10,0,16,2,64,154
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 133","Albertville",44,18,9,23,1,37,3,135,239
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 134","Sainte-Florence",14,0,2,10,0,33,1,60,165
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 135","Sainte-Florence",27,6,1,17,0,52,0,103,233
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 136","Saint-Moïse",32,7,7,18,1,55,0,120,229
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 137","Saint-Moïse",36,14,4,16,1,53,1,125,244
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 138","Saint-Noël",55,3,7,31,0,76,0,172,343
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 139","Saint-Damase",58,8,10,42,0,62,2,182,321
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 140","Sayabec",44,8,7,19,1,69,1,149,336
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 141","Sayabec",34,5,5,32,0,73,0,149,385
