Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Dianne Musgrove,Lorraine Rekmans,Brent St. Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 42","Kapuskasing",42,10,5,37,0,94,260
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 43","Kapuskasing",78,24,4,56,1,163,312
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 44","Kapuskasing",67,21,1,46,1,136,285
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 45","Kapuskasing",88,27,2,41,3,161,285
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 46","Kapuskasing",86,14,2,46,1,149,344
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 47","Kapuskasing",30,4,3,38,2,77,211
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 48","Kapuskasing",56,10,1,41,0,108,297
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 49","Kapuskasing",49,17,1,16,1,84,225
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 50","Kapuskasing",77,7,3,49,0,136,291
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 51","Kapuskasing",96,13,3,49,0,161,357
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 52","Kapuskasing",78,11,5,50,1,145,329
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 53","Kapuskasing",66,12,5,55,1,139,320
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 54","Kapuskasing",80,7,2,49,0,138,305
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 55","Kapuskasing",83,9,0,60,0,152,325
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 56","Kitigan--Kapuskasing",91,21,8,55,0,175,331
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 57","Kapuskasing",130,13,5,59,0,207,466
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 58","Kapuskasing",83,13,6,52,1,155,344
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 59","Moonbeam",65,11,1,55,0,132,266
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 60A","Moonbeam",73,12,4,77,1,167,307
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 60B","Moonbeam",97,8,5,48,1,159,291
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 61","Val Rita",44,8,4,11,0,67,140
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 62","Smooth Rock Falls",49,17,2,45,2,115,283
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 63","Smooth Rock Falls",71,20,3,45,0,139,359
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 64","Smooth Rock Falls",68,25,4,27,0,124,284
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 65","Fauquier",125,21,4,51,2,203,390
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 66","Strickland",18,4,1,11,1,35,109
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 67A","Smooth Rock Falls",56,12,2,40,1,111,221
