Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tunya Audain,Don Bell,Michael Charrois,Andrew Saxton,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"North Vancouver/North Vancouver"," 54","North Vancouver",1,92,23,96,36,0,248,379
59019,"North Vancouver/North Vancouver"," 55","North Vancouver",0,112,19,105,28,0,264,437
59019,"North Vancouver/North Vancouver"," 56","North Vancouver",1,139,35,92,22,0,289,442
59019,"North Vancouver/North Vancouver"," 57","North Vancouver",1,90,40,98,37,0,266,409
59019,"North Vancouver/North Vancouver"," 58","North Vancouver",0,106,35,118,26,1,286,472
59019,"North Vancouver/North Vancouver"," 59","North Vancouver",1,115,28,92,39,3,278,472
59019,"North Vancouver/North Vancouver"," 60","North Vancouver",0,123,37,100,29,3,292,509
59019,"North Vancouver/North Vancouver"," 61","North Vancouver",3,111,20,67,27,1,229,379
59019,"North Vancouver/North Vancouver"," 62","North Vancouver",0,88,21,106,22,1,238,410
59019,"North Vancouver/North Vancouver"," 63","North Vancouver",0,82,26,124,28,0,260,421
59019,"North Vancouver/North Vancouver"," 64","North Vancouver",1,87,27,99,11,0,225,397
59019,"North Vancouver/North Vancouver"," 65","North Vancouver",1,68,19,93,24,0,205,346
59019,"North Vancouver/North Vancouver"," 66","North Vancouver",0,59,40,88,20,0,207,378
59019,"North Vancouver/North Vancouver"," 67","North Vancouver",4,65,36,113,12,2,232,368
59019,"North Vancouver/North Vancouver"," 68","North Vancouver",1,67,38,70,40,2,218,482
59019,"North Vancouver/North Vancouver"," 69","North Vancouver",1,117,33,101,23,3,278,470
59019,"North Vancouver/North Vancouver"," 70","North Vancouver",0,108,38,81,20,1,248,396
59019,"North Vancouver/North Vancouver"," 71","North Vancouver",1,111,30,121,38,0,301,473
59019,"North Vancouver/North Vancouver"," 72","North Vancouver",0,87,21,114,31,1,254,400
59019,"North Vancouver/North Vancouver"," 73","North Vancouver",3,89,22,106,31,1,252,382
59019,"North Vancouver/North Vancouver"," 74","North Vancouver",0,98,25,102,42,0,267,381
59019,"North Vancouver/North Vancouver"," 75","North Vancouver",0,96,26,91,18,5,236,351
59019,"North Vancouver/North Vancouver"," 76","North Vancouver",1,83,15,118,24,0,241,363
59019,"North Vancouver/North Vancouver"," 77","North Vancouver",0,89,24,122,25,0,260,426
59019,"North Vancouver/North Vancouver"," 78","North Vancouver",0,124,22,99,23,2,270,416
59019,"North Vancouver/North Vancouver"," 79","North Vancouver",1,70,37,108,19,1,236,408
59019,"North Vancouver/North Vancouver"," 80","North Vancouver",0,91,31,94,29,0,245,407
59019,"North Vancouver/North Vancouver"," 81","North Vancouver",0,95,36,108,36,0,275,426
59019,"North Vancouver/North Vancouver"," 82","North Vancouver",1,84,33,111,29,0,258,385
59019,"North Vancouver/North Vancouver"," 83","North Vancouver",0,97,31,83,24,2,237,367
59019,"North Vancouver/North Vancouver"," 84","North Vancouver",0,120,39,102,31,3,295,404
59019,"North Vancouver/North Vancouver"," 85","North Vancouver",0,80,30,90,19,0,219,453
59019,"North Vancouver/North Vancouver"," 86","North Vancouver",0,68,36,61,20,0,185,453
59019,"North Vancouver/North Vancouver"," 87","North Vancouver",1,47,50,49,51,2,200,366
59019,"North Vancouver/North Vancouver"," 88","North Vancouver",0,111,24,124,39,0,298,507
59019,"North Vancouver/North Vancouver"," 89","North Vancouver",1,115,24,136,41,1,318,496
59019,"North Vancouver/North Vancouver"," 90","North Vancouver",0,87,26,54,34,0,201,337
59019,"North Vancouver/North Vancouver"," 91A","North Vancouver",0,76,30,81,34,1,222,439
59019,"North Vancouver/North Vancouver"," 91B","North Vancouver",Merged with No. 92/Fusionné avec le nº 92,,,,,,,143
59019,"North Vancouver/North Vancouver"," 92","North Vancouver",1,87,33,68,32,1,222,241
59019,"North Vancouver/North Vancouver"," 93","North Vancouver",1,93,30,73,31,0,228,386
59019,"North Vancouver/North Vancouver"," 94","North Vancouver",0,111,16,96,34,0,257,390
59019,"North Vancouver/North Vancouver"," 95","North Vancouver",0,75,20,134,16,1,246,380
59019,"North Vancouver/North Vancouver"," 96","North Vancouver",0,60,18,88,12,0,178,386
59019,"North Vancouver/North Vancouver"," 97","North Vancouver",0,86,31,72,24,1,214,391
59019,"North Vancouver/North Vancouver"," 98","North Vancouver",0,98,34,98,18,0,248,406
59019,"North Vancouver/North Vancouver"," 99","North Vancouver",0,75,29,153,18,0,275,450
59019,"North Vancouver/North Vancouver"," 100","North Vancouver",2,118,12,175,33,1,341,504
59019,"North Vancouver/North Vancouver"," 101","North Vancouver",0,78,14,135,25,0,252,357
59019,"North Vancouver/North Vancouver"," 102","North Vancouver",0,89,7,169,24,0,289,433
59019,"North Vancouver/North Vancouver"," 103","North Vancouver",1,74,13,143,14,0,245,433
59019,"North Vancouver/North Vancouver"," 104","North Vancouver",3,91,12,174,23,2,305,460
59019,"North Vancouver/North Vancouver"," 105","North Vancouver",0,75,27,96,28,1,227,384
59019,"North Vancouver/North Vancouver"," 106","North Vancouver",0,66,16,93,16,1,192,321
59019,"North Vancouver/North Vancouver"," 107","North Vancouver",0,86,9,143,14,1,253,433
59019,"North Vancouver/North Vancouver"," 108","North Vancouver",1,76,34,55,18,0,184,358
59019,"North Vancouver/North Vancouver"," 108-1","Burrard Inlet 3",0,81,25,67,21,0,194,321
59019,"North Vancouver/North Vancouver"," 108-2","Burrard Inlet 3",0,79,30,70,25,0,204,351
59019,"North Vancouver/North Vancouver"," 109","North Vancouver",0,80,12,107,13,1,213,352
59019,"North Vancouver/North Vancouver"," 110","North Vancouver",1,82,16,106,24,1,230,383
59019,"North Vancouver/North Vancouver"," 111A","North Vancouver",2,60,11,113,14,0,200,362
59019,"North Vancouver/North Vancouver"," 111B","North Vancouver",0,81,13,97,13,0,204,341
59019,"North Vancouver/North Vancouver"," 112","North Vancouver",1,49,14,78,22,0,164,276
59019,"North Vancouver/North Vancouver"," 113","North Vancouver",0,54,14,85,5,0,158,336
59019,"North Vancouver/North Vancouver"," 114","North Vancouver",1,87,21,114,43,0,266,465
59019,"North Vancouver/North Vancouver"," 115","North Vancouver",0,96,18,102,14,0,230,338
59019,"North Vancouver/North Vancouver"," 116","North Vancouver",0,91,17,115,40,0,263,435
59019,"North Vancouver/North Vancouver"," 117","North Vancouver",1,107,27,112,32,0,279,419
59019,"North Vancouver/North Vancouver"," 118","North Vancouver",0,76,10,171,16,1,274,420
59019,"North Vancouver/North Vancouver"," 119","North Vancouver",0,95,23,120,39,0,277,402
59019,"North Vancouver/North Vancouver"," 120","North Vancouver",0,60,8,69,27,0,164,270
59019,"North Vancouver/North Vancouver"," 121","North Vancouver",1,84,26,139,24,1,275,352
59019,"North Vancouver/North Vancouver"," 122","North Vancouver",1,94,17,131,24,1,268,399
59019,"North Vancouver/North Vancouver"," 123","North Vancouver",1,70,5,97,16,1,190,299
59019,"North Vancouver/North Vancouver"," 124","North Vancouver",1,126,33,78,49,1,288,472
59019,"North Vancouver/North Vancouver"," 125","North Vancouver",0,143,13,129,43,0,328,479
59019,"North Vancouver/North Vancouver"," 126","North Vancouver",0,116,22,130,43,2,313,468
59019,"North Vancouver/North Vancouver"," 127","North Vancouver",0,101,29,83,41,0,254,447
59019,"North Vancouver/North Vancouver"," 128","North Vancouver",2,121,16,100,32,1,272,410
59019,"North Vancouver/North Vancouver"," 129A","North Vancouver",Merged with No. 121/Fusionné avec le nº 121,,,,,,,97
59019,"North Vancouver/North Vancouver"," 129B","North Vancouver",0,124,10,172,22,0,328,473
59019,"North Vancouver/North Vancouver"," 130","North Vancouver",0,119,19,80,26,1,245,406
59019,"North Vancouver/North Vancouver"," 131","North Vancouver",1,63,9,67,25,1,166,285
59019,"North Vancouver/North Vancouver"," 132","North Vancouver",0,76,7,77,20,0,180,282
59019,"North Vancouver/North Vancouver"," 133","North Vancouver",1,82,22,75,40,4,224,344
59019,"North Vancouver/North Vancouver"," 134","North Vancouver",0,104,25,78,29,0,236,451
59019,"North Vancouver/North Vancouver"," 135","North Vancouver",1,85,29,63,21,0,199,386
59019,"North Vancouver/North Vancouver"," 135-1","North Vancouver",0,85,32,92,16,2,227,430
59019,"North Vancouver/North Vancouver"," 136","North Vancouver",1,73,24,94,34,0,226,373
59019,"North Vancouver/North Vancouver"," 137","North Vancouver",2,73,25,78,25,0,203,343
59019,"North Vancouver/North Vancouver"," 138","North Vancouver",2,93,34,78,36,1,244,495
59019,"North Vancouver/North Vancouver"," 139","North Vancouver",1,90,23,92,24,0,230,360
59019,"North Vancouver/North Vancouver"," 140","North Vancouver",2,118,24,116,30,2,292,453
59019,"North Vancouver/North Vancouver"," 141","North Vancouver",0,85,29,118,26,3,261,425
59019,"North Vancouver/North Vancouver"," 142","North Vancouver",2,94,16,94,21,2,229,398
59019,"North Vancouver/North Vancouver"," 143","North Vancouver",0,88,20,105,27,1,241,381
59019,"North Vancouver/North Vancouver"," 144","North Vancouver",1,113,20,66,37,1,238,405
59019,"North Vancouver/North Vancouver"," 145","North Vancouver",1,80,33,59,24,0,197,362
59019,"North Vancouver/North Vancouver"," 146","North Vancouver",1,60,66,39,38,0,204,555
59019,"North Vancouver/North Vancouver"," 147","North Vancouver",0,61,36,66,17,0,180,365
59019,"North Vancouver/North Vancouver"," 148","North Vancouver",2,82,38,61,25,0,208,428
59019,"North Vancouver/North Vancouver"," 149","North Vancouver",0,111,28,137,27,0,303,487
59019,"North Vancouver/North Vancouver"," 150","North Vancouver",1,88,30,64,36,0,219,404
59019,"North Vancouver/North Vancouver"," 150-1","North Vancouver",2,76,34,123,25,1,261,464
59019,"North Vancouver/North Vancouver"," 151","North Vancouver",0,70,48,67,35,0,220,438
59019,"North Vancouver/North Vancouver"," 152","North Vancouver",3,75,24,56,25,0,183,305
59019,"North Vancouver/North Vancouver"," 153","North Vancouver",3,80,37,48,43,1,212,459
59019,"North Vancouver/North Vancouver"," 154","North Vancouver",1,82,29,84,36,0,232,437
59019,"North Vancouver/North Vancouver"," 155","North Vancouver",1,95,33,80,17,0,226,394
59019,"North Vancouver/North Vancouver"," 156","North Vancouver",0,92,36,96,28,1,253,407
59019,"North Vancouver/North Vancouver"," 157","North Vancouver",0,53,17,58,27,0,155,299
59019,"North Vancouver/North Vancouver"," 158","North Vancouver",Merged with No. 159B/Fusionné avec le nº 159B,,,,,,,17
59019,"North Vancouver/North Vancouver"," 159A","North Vancouver",1,57,17,71,17,1,164,322
59019,"North Vancouver/North Vancouver"," 159B","North Vancouver",1,62,29,71,17,0,180,316
59019,"North Vancouver/North Vancouver"," 160","North Vancouver",0,84,29,60,29,0,202,423
59019,"North Vancouver/North Vancouver"," 161","North Vancouver",0,53,30,70,32,2,187,333
59019,"North Vancouver/North Vancouver"," 162","North Vancouver",1,80,21,99,19,0,220,351
59019,"North Vancouver/North Vancouver"," 163","North Vancouver",0,57,38,57,27,0,179,374
59019,"North Vancouver/North Vancouver"," 164","North Vancouver",0,74,35,100,17,0,226,461
59019,"North Vancouver/North Vancouver"," 165","North Vancouver",0,80,30,81,27,1,219,470
59019,"North Vancouver/North Vancouver"," 166","North Vancouver",1,94,24,53,22,3,197,372
59019,"North Vancouver/North Vancouver"," 167","North Vancouver",0,66,25,46,23,0,160,361
59019,"North Vancouver/North Vancouver"," 168","North Vancouver",4,97,24,63,16,0,204,434
59019,"North Vancouver/North Vancouver"," 169","North Vancouver",1,97,27,87,12,0,224,414
59019,"North Vancouver/North Vancouver"," 170","North Vancouver",0,113,23,97,36,0,269,470
59019,"North Vancouver/North Vancouver"," 171","North Vancouver",1,105,33,70,25,2,236,446
59019,"North Vancouver/North Vancouver"," 172","North Vancouver",2,91,44,91,25,2,255,455
59019,"North Vancouver/North Vancouver"," 173","North Vancouver",1,83,26,71,31,1,213,407
59019,"North Vancouver/North Vancouver"," 174","North Vancouver",Void/Supprimé,,,,,,,
59019,"North Vancouver/North Vancouver"," 175","North Vancouver",0,48,27,68,14,1,158,345
59019,"North Vancouver/North Vancouver"," 176","North Vancouver",2,76,25,55,25,1,184,428
59019,"North Vancouver/North Vancouver"," 177A","North Vancouver",0,28,10,21,6,1,66,102
59019,"North Vancouver/North Vancouver"," 177B","North Vancouver",0,27,7,26,7,2,69,93
59019,"North Vancouver/North Vancouver"," 178","North Vancouver",2,87,44,79,36,1,249,434
59019,"North Vancouver/North Vancouver"," 179","North Vancouver",0,112,40,90,34,3,279,449
59019,"North Vancouver/North Vancouver"," 180","North Vancouver",0,117,27,116,28,1,289,439
59019,"North Vancouver/North Vancouver"," 181","North Vancouver",3,99,24,100,24,0,250,417
59019,"North Vancouver/North Vancouver"," 182","North Vancouver",0,81,31,80,22,1,215,427
59019,"North Vancouver/North Vancouver"," 183","North Vancouver",2,89,45,79,26,0,241,442
59019,"North Vancouver/North Vancouver"," 184","North Vancouver",0,96,28,65,42,0,231,431
59019,"North Vancouver/North Vancouver"," 185A","North Vancouver",1,56,18,48,21,1,145,318
59019,"North Vancouver/North Vancouver"," 185B","North Vancouver",Merged with No. 186-1/Fusionné avec le nº 186-1,,,,,,,174
59019,"North Vancouver/North Vancouver"," 186","North Vancouver",0,97,33,116,34,0,280,440
59019,"North Vancouver/North Vancouver"," 186-1","North Vancouver",1,58,19,64,16,3,161,192
59019,"North Vancouver/North Vancouver"," 186-2","North Vancouver",1,60,32,47,31,1,172,391
59019,"North Vancouver/North Vancouver"," 187","North Vancouver",1,115,47,81,39,0,283,488
59019,"North Vancouver/North Vancouver"," 188","North Vancouver",0,96,33,63,42,0,234,435
59019,"North Vancouver/North Vancouver"," 189","North Vancouver",0,88,25,66,15,0,194,356
59019,"North Vancouver/North Vancouver"," 190","North Vancouver",1,84,33,72,38,2,230,419
59019,"North Vancouver/North Vancouver"," 191","North Vancouver",3,125,24,94,39,3,288,438
59019,"North Vancouver/North Vancouver"," 192","North Vancouver",1,91,44,79,44,2,261,422
59019,"North Vancouver/North Vancouver"," 193","North Vancouver",2,107,32,108,25,0,274,434
59019,"North Vancouver/North Vancouver"," 194","North Vancouver",0,106,22,89,28,0,245,431
59019,"North Vancouver/North Vancouver"," 195","North Vancouver",0,111,19,93,25,3,251,384
59019,"North Vancouver/North Vancouver"," 196","North Vancouver",0,78,25,78,36,2,219,360
59019,"North Vancouver/North Vancouver"," 197","North Vancouver",0,85,14,92,42,1,234,418
59019,"North Vancouver/North Vancouver"," 198","North Vancouver",0,112,9,151,8,1,281,486
59019,"North Vancouver/North Vancouver"," 199","North Vancouver",0,144,21,97,34,0,296,469
59019,"North Vancouver/North Vancouver"," 200","North Vancouver",0,91,26,86,31,1,235,398
59019,"North Vancouver/North Vancouver"," 201","North Vancouver",1,87,25,153,26,0,292,445
59019,"North Vancouver/North Vancouver"," 202","North Vancouver",0,110,32,91,33,1,267,399
59019,"North Vancouver/North Vancouver"," 203","North Vancouver",0,105,18,99,43,0,265,415
59019,"North Vancouver/North Vancouver"," 204","North Vancouver",1,74,31,56,38,1,201,418
59019,"North Vancouver/North Vancouver"," 205","North Vancouver",1,90,40,78,42,0,251,409
59019,"North Vancouver/North Vancouver"," 206","North Vancouver",2,106,31,110,34,0,283,452
59019,"North Vancouver/North Vancouver"," 207","North Vancouver",0,61,23,90,25,0,199,352
59019,"North Vancouver/North Vancouver"," 500","Mobile poll/Bureau itinérant",0,40,10,37,5,4,96,144
59019,"North Vancouver/North Vancouver"," 501","Mobile poll/Bureau itinérant",0,22,18,16,4,3,63,134
59019,"North Vancouver/North Vancouver"," 600","North Vancouver",0,164,17,258,24,0,463,
59019,"North Vancouver/North Vancouver"," 601","North Vancouver",0,175,35,290,35,1,536,
59019,"North Vancouver/North Vancouver"," 602","North Vancouver",3,137,17,255,41,1,454,
59019,"North Vancouver/North Vancouver"," 603","North Vancouver",1,172,24,260,57,1,515,
59019,"North Vancouver/North Vancouver"," 604","North Vancouver",2,156,47,211,30,0,446,
59019,"North Vancouver/North Vancouver"," 605","North Vancouver",0,115,25,238,35,2,415,
59019,"North Vancouver/North Vancouver"," 606","North Vancouver",1,153,57,181,46,1,439,
59019,"North Vancouver/North Vancouver"," 607","North Vancouver",3,175,63,229,69,2,541,
59019,"North Vancouver/North Vancouver"," 608","North Vancouver",0,116,39,187,40,0,382,
59019,"North Vancouver/North Vancouver"," 609","North Vancouver",3,182,51,328,43,0,607,
59019,"North Vancouver/North Vancouver"," 610","North Vancouver",2,260,50,374,63,1,750,
59019,"North Vancouver/North Vancouver",,Group 1/Groupe 1,2,34,3,38,5,3,85,153
59019,"North Vancouver/North Vancouver",,Group 2/Groupe 2,1,242,33,371,64,7,718,

