Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 58","Parry Sound",14,62,21,54,0,0,151,288
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 59A","Parry Sound",14,42,14,34,2,0,106,249
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 59B","Parry Sound",11,39,16,36,1,3,106,260
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 60","Parry Sound",17,68,28,47,1,2,163,347
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 61","Parry Sound",18,66,44,90,0,1,219,460
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 62","Parry Sound",7,49,14,46,0,1,117,310
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 63A","Parry Sound",17,42,27,30,0,0,116,345
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 63B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,88
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 64","Parry Sound",21,45,26,38,2,0,132,409
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 65","The Archipelago",1,31,5,11,0,0,48,119
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 66","Parry Island",35,14,18,45,1,0,113,244
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 67","Seguin",17,82,14,56,1,0,170,382
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 68","Seguin",33,93,30,59,3,0,218,442
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 69","Seguin",34,104,30,44,11,0,223,391
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 70","Christie",27,137,30,107,2,1,304,454
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 71","Seguin",21,110,27,67,2,0,227,342
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 72","Humphrey",27,103,22,42,2,1,197,345
