Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Tony Hajj,Anoush Newman,Stephanie Sundberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 68","Calgary",162,9,30,16,0,217,329
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 69","Calgary",161,15,31,20,0,227,424
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 70","Calgary",139,30,35,14,2,220,414
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 71","Calgary",178,22,22,15,0,237,359
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 72","Calgary",218,49,41,23,3,334,526
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 73","Calgary",142,36,35,17,0,230,418
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 74","Calgary",143,23,31,9,0,206,369
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 75","Calgary",137,33,16,10,0,196,349
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 76","Calgary",183,17,25,13,2,240,371
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 77","Calgary",138,28,18,14,0,198,325
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 78","Calgary",157,13,23,6,0,199,388
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 79","Calgary",165,19,38,25,3,250,445
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 80","Calgary",137,42,40,26,3,248,488
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 81","Calgary",93,24,28,16,3,164,330
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 82","Calgary",133,34,26,29,1,223,449
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 83","Calgary",75,23,9,23,0,130,293
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 84","Calgary",91,35,20,16,1,163,337
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 85","Calgary",153,27,21,28,0,229,465
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 86","Calgary",125,33,16,25,3,202,401
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 87","Calgary",70,25,19,8,0,122,216
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 88","Calgary",131,33,34,35,1,234,469
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 89","Calgary",101,32,30,23,0,186,347
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 90","Calgary",144,25,18,23,0,210,385
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 91","Calgary",175,28,32,21,0,256,417
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 92","Calgary",62,31,16,27,0,136,299
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 93","Calgary",63,13,20,14,2,112,274
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 94","Calgary",117,20,32,19,1,189,291
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 95","Calgary",100,13,11,17,0,141,253
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 96","Calgary",154,31,45,17,0,247,369
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 97","Calgary",180,35,50,16,0,281,439
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 98","Calgary",136,24,42,19,0,221,383
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 99","Calgary",126,44,37,19,0,226,409
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 100","Calgary",149,19,46,21,0,235,376
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 101","Calgary",107,35,40,25,3,210,351
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 102","Calgary",140,33,30,14,2,219,330
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 103","Calgary",106,51,22,14,0,193,340
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 104","Calgary",129,21,27,11,1,189,346
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 105","Calgary",32,9,16,7,1,65,181
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 106","Calgary",123,33,27,20,1,204,304
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 107","Calgary",68,19,18,15,0,120,245
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 108","Calgary",53,15,29,18,0,115,271
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 109","Calgary",116,48,32,29,1,226,668
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 110","Calgary",127,24,31,10,0,192,347
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 111","Calgary",43,14,15,15,1,88,251
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 112","Calgary",153,42,23,21,1,240,390
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 113","Calgary",156,27,30,29,0,242,341
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 114","Calgary",147,23,36,11,0,217,375
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 115","Calgary",215,26,41,11,1,294,499
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 116","Calgary",189,16,44,12,0,261,472
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 117","Calgary",175,39,20,13,0,247,416
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 118","Calgary",74,21,33,17,0,145,323
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 119","Calgary",110,24,36,13,0,183,392
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 120","Calgary",136,20,35,12,2,205,405
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 121","Calgary",132,18,39,6,2,197,381
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 122","Calgary",81,19,23,8,2,133,293
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 123","Calgary",178,26,30,22,1,257,520
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 124","Calgary",183,20,31,6,0,240,475
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 125","Calgary",151,21,38,13,1,224,415
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 126","Calgary",155,26,34,9,2,226,407
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 127","Calgary",149,16,36,18,0,219,371
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 128","Calgary",47,9,17,10,0,83,231
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 129","Calgary",126,14,45,18,2,205,430
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 130","Calgary",161,29,61,22,0,273,531
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 131","Calgary",142,9,36,10,0,197,417
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 132","Calgary",155,18,18,13,1,205,389
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 133","Calgary",111,13,20,7,1,152,282
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 134","Calgary",71,9,16,15,0,111,302
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 135","Calgary",173,34,31,10,3,251,474
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 136","Calgary",175,20,45,24,2,266,603
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 137","Calgary",106,11,24,12,0,153,326
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 138","Calgary",70,18,23,2,1,114,264
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 139","Calgary",148,12,36,7,0,203,461
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 140","Calgary",140,18,38,11,0,207,519
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 141","Calgary",167,18,20,20,1,226,455
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 142","Calgary",107,13,23,12,0,155,359
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 143","Calgary",187,22,30,23,0,262,462
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 144","Calgary",143,29,27,14,0,213,397
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 145","Calgary",186,23,24,14,0,247,411
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 146","Calgary",159,29,29,19,0,236,416
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 147","Calgary",101,14,18,14,0,147,319
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 148","Calgary",145,28,27,17,1,218,407
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 149","Calgary",69,11,8,12,0,100,271
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 150","Calgary",176,24,40,13,1,254,528
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 151","Calgary",173,32,21,23,0,249,493
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 152","Calgary",147,25,16,18,1,207,473
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 153","Calgary",135,20,34,27,2,218,546
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 154","Calgary",94,10,28,21,2,155,316
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 155","Calgary",126,11,24,21,0,182,380
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 156","Calgary",151,16,31,29,0,227,524
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 157","Calgary",115,21,27,12,1,176,386
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 158","Calgary",154,16,32,19,0,221,506
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 159","Calgary",137,26,29,28,1,221,543
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 160","Calgary",161,18,35,21,1,236,510
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 161","Calgary",178,28,38,11,1,256,516
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 162","Calgary",162,15,29,16,1,223,473
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 163","Calgary",178,15,25,13,0,231,476
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 164","Calgary",138,29,26,33,0,226,517
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 165","Calgary",198,22,25,39,2,286,536
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 166","Calgary",199,16,27,25,5,272,487
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 167","Calgary",151,11,27,9,0,198,539
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 168","Calgary",137,7,33,27,0,204,470
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 169","Calgary",163,10,31,6,2,212,498
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 170","Calgary",138,7,36,15,1,197,531
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 171","Calgary",150,6,31,15,2,204,514
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 172","Calgary",143,21,33,20,0,217,507
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 173","Calgary",190,8,30,16,0,244,543
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 174","Calgary",128,10,9,8,0,155,367
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 175","Calgary",112,24,12,16,0,164,377
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 176","Calgary",102,16,15,9,2,144,313
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 177","Calgary",165,22,23,30,0,240,523
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 178","Calgary",142,24,15,20,1,202,411
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 179","Calgary",204,12,23,25,1,265,518
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 180","Calgary",196,22,27,31,0,276,526
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 181","Calgary",190,28,27,12,1,258,529
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 182","Calgary",158,13,25,19,0,215,456
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 183","Calgary",170,35,33,32,0,270,533
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 184","Calgary",169,23,25,32,1,250,577
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 185","Calgary",115,15,41,11,1,183,523
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 186","Calgary",165,21,35,18,0,239,546
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 187","Calgary",154,14,43,15,0,226,581
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 188","Calgary",117,23,22,24,1,187,465
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 189","Calgary",192,16,33,18,0,259,594
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 190","Calgary",185,9,44,17,2,257,600
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 191A","Calgary",86,9,23,3,0,121,358
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 191B","Calgary",69,6,15,6,0,96,368
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192A","Calgary",129,19,27,25,0,200,510
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192B","Calgary",133,13,26,23,0,195,499
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192C","Calgary",127,14,26,20,1,188,524
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 193","Calgary",128,11,41,24,1,205,608
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 194","Calgary",173,17,13,11,1,215,392
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 195","Calgary",163,22,22,17,0,224,479
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 196","Calgary",172,26,21,16,3,238,531
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 197","Calgary",185,30,23,38,0,276,666
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 198","Calgary",166,10,26,16,0,218,621
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 199","Calgary",183,19,35,25,0,262,605
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 200","Calgary",167,13,23,20,0,223,477
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 201","Calgary",167,18,21,24,0,230,657
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 202","Calgary",172,12,33,12,3,232,607
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 203A","Calgary",103,10,15,10,0,138,393
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 203B","Calgary",75,7,13,7,0,102,318
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 204A","Calgary",63,9,16,6,0,94,435
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 204B","Calgary",56,0,19,14,0,89,366
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 500","Mobile poll/Bureau itinérant",202,14,29,22,2,269,364
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 600","Calgary",318,24,64,27,2,435,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 601","Calgary",524,39,65,39,4,671,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 602","Calgary",650,53,91,28,0,822,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 603","Calgary",329,49,55,29,2,464,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 604","Calgary",530,52,104,32,3,721,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 605","Calgary",444,41,70,40,0,595,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 606","Calgary",424,37,50,25,0,536,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 607","Calgary",208,25,27,16,1,277,
48005,"Calgary--Nose Hill/Calgary--Nose Hill",,Group 1/Groupe 1,60,13,12,5,5,95,151
48005,"Calgary--Nose Hill/Calgary--Nose Hill",,Group 2/Groupe 2,638,91,106,35,13,883,

