Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carroll,Margaret Chandler,Jason Kenney,Chris Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Southeast/Calgary-Sud-Est"," 56","Calgary",15,30,148,12,0,205,332
48007,"Calgary Southeast/Calgary-Sud-Est"," 57","Calgary",11,31,140,16,0,198,402
48007,"Calgary Southeast/Calgary-Sud-Est"," 58","Calgary",9,23,203,18,0,253,467
48007,"Calgary Southeast/Calgary-Sud-Est"," 59","Calgary",28,30,151,13,1,223,343
48007,"Calgary Southeast/Calgary-Sud-Est"," 60","Calgary",21,26,140,8,1,196,295
48007,"Calgary Southeast/Calgary-Sud-Est"," 61","Calgary",21,19,159,3,1,203,353
48007,"Calgary Southeast/Calgary-Sud-Est"," 62","Calgary",21,19,169,9,1,219,329
48007,"Calgary Southeast/Calgary-Sud-Est"," 63","Calgary",23,31,180,9,1,244,344
48007,"Calgary Southeast/Calgary-Sud-Est"," 64","Calgary",36,35,205,14,0,290,465
48007,"Calgary Southeast/Calgary-Sud-Est"," 65","Calgary",24,21,151,8,1,205,334
48007,"Calgary Southeast/Calgary-Sud-Est"," 66","Calgary",27,22,176,7,0,232,357
48007,"Calgary Southeast/Calgary-Sud-Est"," 67","Calgary",28,13,179,5,0,225,391
48007,"Calgary Southeast/Calgary-Sud-Est"," 68","Calgary",29,20,177,13,0,239,370
48007,"Calgary Southeast/Calgary-Sud-Est"," 69","Calgary",20,39,175,13,0,247,375
48007,"Calgary Southeast/Calgary-Sud-Est"," 70","Calgary",31,28,172,12,1,244,372
48007,"Calgary Southeast/Calgary-Sud-Est"," 71","Calgary",33,33,170,19,2,257,403
48007,"Calgary Southeast/Calgary-Sud-Est"," 72","Calgary",23,27,161,19,1,231,336
48007,"Calgary Southeast/Calgary-Sud-Est"," 73","Calgary",22,36,186,23,0,267,386
48007,"Calgary Southeast/Calgary-Sud-Est"," 74","Calgary",32,36,205,20,1,294,458
48007,"Calgary Southeast/Calgary-Sud-Est"," 75","Calgary",12,18,124,7,1,162,324
48007,"Calgary Southeast/Calgary-Sud-Est"," 76","Calgary",16,15,118,6,1,156,304
48007,"Calgary Southeast/Calgary-Sud-Est"," 77","Calgary",5,25,163,20,2,215,434
48007,"Calgary Southeast/Calgary-Sud-Est"," 78","Calgary",23,21,139,10,2,195,406
48007,"Calgary Southeast/Calgary-Sud-Est"," 79","Calgary",15,24,138,23,0,200,383
48007,"Calgary Southeast/Calgary-Sud-Est"," 80","Calgary",8,31,102,37,1,179,405
48007,"Calgary Southeast/Calgary-Sud-Est"," 81","Calgary",23,19,165,20,0,227,440
48007,"Calgary Southeast/Calgary-Sud-Est"," 82","Calgary",19,21,195,19,0,254,464
48007,"Calgary Southeast/Calgary-Sud-Est"," 83","Calgary",19,15,121,13,0,168,304
