Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Christopher Butler,Greg Byrne,Ryan Cleary,Siobhan Coady,Ted Warren,Merv Wiseman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",5,2,97,89,6,31,1,231,442
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",0,5,88,54,9,16,0,172,387
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",1,1,71,65,6,17,0,161,333
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",4,1,79,42,5,14,1,146,288
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 18","St. John's",0,0,60,43,5,16,1,125,338
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 19","St. John's",1,0,86,52,5,13,0,157,301
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20","St. John's",1,1,49,52,4,12,0,119,250
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 21","St. John's",0,8,66,63,4,10,0,151,293
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 22","St. John's",0,2,125,141,9,27,0,304,532
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 23","St. John's",Void/Supprimé,,,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 24","St. John's",0,1,57,71,2,19,1,151,348
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 25","St. John's",2,6,87,115,6,17,0,233,409
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 26","St. John's",0,1,93,68,3,24,1,190,397
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 27","St. John's",1,0,72,83,4,18,0,178,408
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 28","St. John's",1,0,46,53,2,19,0,121,281
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 29","St. John's",0,0,40,48,1,9,0,98,232
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 30","St. John's",1,1,54,59,0,19,0,134,316
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 31","St. John's",0,1,48,54,1,25,1,130,312
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 32","St. John's",1,2,57,46,2,21,0,129,304
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 33","St. John's",2,0,35,39,5,11,1,93,217
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34","St. John's",0,1,25,30,4,13,1,74,209
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34-1","St. John's",2,3,66,57,9,9,1,147,361
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 35","St. John's",2,1,34,25,2,8,0,72,301
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 36","St. John's",1,2,55,61,5,15,1,140,297
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 37","St. John's",1,1,75,50,2,10,0,139,326
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 38","St. John's",0,0,73,53,4,14,0,144,309
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 39","St. John's",0,0,64,58,3,17,0,142,304
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 40","St. John's",0,1,89,53,5,13,0,161,321
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 41","St. John's",0,0,63,60,2,8,0,133,410
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 42","St. John's",2,1,76,126,0,45,1,251,504
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 43","St. John's",0,3,75,69,3,22,0,172,364
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 44","St. John's",0,1,83,79,2,17,1,183,465
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 45","St. John's",0,0,25,31,3,5,0,64,128
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 45-1","St. John's",0,2,66,48,6,17,0,139,436
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 46","St. John's",Void/Supprimé,,,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 47","St. John's",5,5,146,84,2,34,0,276,563
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 48","St. John's",3,3,97,92,3,22,0,220,537
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 49","St. John's",0,3,77,71,2,6,0,159,416
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 50","St. John's",1,2,95,64,9,20,0,191,477
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 51","St. John's",Void/Supprimé,,,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 52","St. John's",3,6,67,63,2,20,0,161,374
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 53","St. John's",Void/Supprimé,,,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 54","St. John's",0,3,79,47,2,8,1,140,388
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 55","St. John's",0,3,69,46,2,15,0,135,446
