Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Durrant,Dominic LeBlanc,Omer Leger,Michael Milligan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 36A","Saint-Thomas",24,59,57,2,1,143,268
13002,"Beauséjour/Beauséjour"," 36B","Saint-Thomas",17,31,71,7,1,127,213
13002,"Beauséjour/Beauséjour"," 37","Cormierville",17,97,57,7,0,178,259
13002,"Beauséjour/Beauséjour"," 37-1","Cormierville",15,49,50,14,3,131,202
13002,"Beauséjour/Beauséjour"," 38","Saint-Joseph-de-Kent",21,43,79,3,5,151,258
13002,"Beauséjour/Beauséjour"," 39","McKees Mills",27,69,77,13,2,188,274
13002,"Beauséjour/Beauséjour"," 40","Sainte-Marie",28,109,77,10,1,225,374
13002,"Beauséjour/Beauséjour"," 41","Sainte-Marie",19,57,69,7,4,156,243
13002,"Beauséjour/Beauséjour"," 41-1","Sainte-Marie",31,88,87,6,5,217,318
13002,"Beauséjour/Beauséjour"," 42","Sainte-Marie",36,97,77,15,2,227,394
13002,"Beauséjour/Beauséjour"," 43A","Saint-Antoine",15,58,74,7,1,155,221
13002,"Beauséjour/Beauséjour"," 43B","Saint-Antoine",17,64,88,7,9,185,255
13002,"Beauséjour/Beauséjour"," 44","Saint-Antoine",49,68,129,9,2,257,372
13002,"Beauséjour/Beauséjour"," 45","Saint-Paul",28,78,77,15,6,204,346
13002,"Beauséjour/Beauséjour"," 45-1","Saint-Paul",20,48,20,3,3,94,133
13002,"Beauséjour/Beauséjour"," 46","Saint-Paul",31,83,67,8,1,190,277
13002,"Beauséjour/Beauséjour"," 47","Breau-Village--Côte d'Or",21,81,53,10,0,165,302
13002,"Beauséjour/Beauséjour"," 48","Breau-Village",41,126,74,8,4,253,388
13002,"Beauséjour/Beauséjour"," 49","Cocagne-Nord",36,90,51,12,4,193,340
13002,"Beauséjour/Beauséjour"," 49-1","Cocagne-Nord",20,59,36,3,0,118,219
13002,"Beauséjour/Beauséjour"," 50","Saint-Antoine",15,59,112,11,3,200,288
13002,"Beauséjour/Beauséjour"," 50-1","Saint-Antoine",21,63,113,10,0,207,354
13002,"Beauséjour/Beauséjour"," 51","Notre-Dame",29,82,85,12,3,211,362
13002,"Beauséjour/Beauséjour"," 52A","Saint-Antoine",25,84,100,11,4,224,333
13002,"Beauséjour/Beauséjour"," 52B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,48
13002,"Beauséjour/Beauséjour"," 53A","Notre-Dame",21,32,51,15,1,120,229
13002,"Beauséjour/Beauséjour"," 53B","Notre-Dame",31,50,57,10,0,148,249
13002,"Beauséjour/Beauséjour"," 54","Cap-de-Cocagne",19,79,29,17,3,147,271
13002,"Beauséjour/Beauséjour"," 54-1","Cap-de-Cocagne",10,106,22,8,0,146,223
13002,"Beauséjour/Beauséjour"," 55","Cap-des-Caissie",41,126,35,23,2,227,393
13002,"Beauséjour/Beauséjour"," 55-1","Grande-Digue",19,82,28,10,0,139,262
13002,"Beauséjour/Beauséjour"," 56","Grande-Digue",32,131,69,18,1,251,429
13002,"Beauséjour/Beauséjour"," 56-1","Grande-Digue",19,75,39,9,1,143,298
13002,"Beauséjour/Beauséjour"," 57","Cocagne-Sud",41,107,68,15,1,232,376
13002,"Beauséjour/Beauséjour"," 58","Notre-Dame",22,54,49,19,2,146,272
13002,"Beauséjour/Beauséjour"," 58-1","Notre-Dame",17,43,57,7,2,126,209
13002,"Beauséjour/Beauséjour"," 59","LeBlancville",64,64,92,30,5,255,395
13002,"Beauséjour/Beauséjour"," 60","LeBlancville",53,51,75,16,0,195,347
13002,"Beauséjour/Beauséjour"," 61","Shaw Brook",41,34,68,21,0,164,290
13002,"Beauséjour/Beauséjour"," 62","Gallagher Ridge",47,41,78,21,2,189,359
13002,"Beauséjour/Beauséjour"," 63A","Lakeville",40,49,46,16,2,153,291
13002,"Beauséjour/Beauséjour"," 63B","Lakeville",42,32,47,14,1,136,269
13002,"Beauséjour/Beauséjour"," 64","Lakeville",47,52,37,16,1,153,337
13002,"Beauséjour/Beauséjour"," 64-1","Lakeville",27,26,45,7,3,108,263
13002,"Beauséjour/Beauséjour"," 65A","Lakeville",31,28,38,15,0,112,243
13002,"Beauséjour/Beauséjour"," 65B","Lakeville",34,24,46,6,2,112,238
13002,"Beauséjour/Beauséjour"," 66A","Cap Breton & Scotch Settlement",41,28,43,12,2,126,236
13002,"Beauséjour/Beauséjour"," 66B","Cap Breton & Scotch Settlement",34,39,50,11,1,135,267
13002,"Beauséjour/Beauséjour"," 67","Irishtown",34,42,66,19,0,161,254
13002,"Beauséjour/Beauséjour"," 67-1","Irishtown",18,31,53,19,0,121,215
13002,"Beauséjour/Beauséjour"," 68","Ammon",30,39,75,17,0,161,316
13002,"Beauséjour/Beauséjour"," 69","Stonehurst",33,19,106,29,1,188,308
13002,"Beauséjour/Beauséjour"," 69-1","Briggs Cross Road",28,29,73,12,0,142,243
13002,"Beauséjour/Beauséjour"," 69-2","Indian Mountain",16,23,78,13,0,130,210
13002,"Beauséjour/Beauséjour"," 70","Pacific Junction",32,24,62,16,0,134,269
13002,"Beauséjour/Beauséjour"," 71","Lutes Mountain South",64,40,136,14,2,256,484
13002,"Beauséjour/Beauséjour"," 72","Berry Mills",17,26,72,21,3,139,327
13002,"Beauséjour/Beauséjour"," 73","Steeves Mountain East",60,45,106,20,3,234,403
13002,"Beauséjour/Beauséjour"," 74","Steeves Mountain West",40,17,89,27,0,173,384
13002,"Beauséjour/Beauséjour"," 75","Salisbury",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 76","Grand-Barachois",35,128,41,19,6,229,401
13002,"Beauséjour/Beauséjour"," 77","Grand-Barachois",41,155,43,17,1,257,400
13002,"Beauséjour/Beauséjour"," 78","Grand-Barachois",27,105,36,9,4,181,328
13002,"Beauséjour/Beauséjour"," 79","Grand-Barachois",59,124,26,13,1,223,407
13002,"Beauséjour/Beauséjour"," 80","Boudreau-Ouest",24,101,59,18,1,203,365
13002,"Beauséjour/Beauséjour"," 80-1","Boudreau-Ouest",26,89,17,11,5,148,235
13002,"Beauséjour/Beauséjour"," 81","Haute-Aboujagane",32,153,63,21,3,272,386
13002,"Beauséjour/Beauséjour"," 82","Pointe-du-Chêne",28,127,55,30,5,245,397
13002,"Beauséjour/Beauséjour"," 83","Shediac",33,90,44,18,3,188,389
13002,"Beauséjour/Beauséjour"," 84","Shediac",32,118,40,14,3,207,406
13002,"Beauséjour/Beauséjour"," 85A","Shediac",22,84,30,7,1,144,256
13002,"Beauséjour/Beauséjour"," 85B","Shediac",24,81,20,12,1,138,241
13002,"Beauséjour/Beauséjour"," 86","Shediac",34,141,44,21,5,245,438
13002,"Beauséjour/Beauséjour"," 87","Shediac",24,108,37,6,1,176,443
13002,"Beauséjour/Beauséjour"," 88","Shediac",30,121,50,8,1,210,443
13002,"Beauséjour/Beauséjour"," 89","Shediac",37,104,40,12,0,193,399
13002,"Beauséjour/Beauséjour"," 90","Shediac",21,67,25,8,1,122,246
13002,"Beauséjour/Beauséjour"," 91","Shediac",36,106,40,11,2,195,352
13002,"Beauséjour/Beauséjour"," 91-1","Shediac",26,139,41,17,1,224,389
13002,"Beauséjour/Beauséjour"," 92","Shediac",22,51,27,2,3,105,250
13002,"Beauséjour/Beauséjour"," 92-1","Shediac",24,96,21,14,1,156,306
13002,"Beauséjour/Beauséjour"," 93A","Shediac Bridge",23,60,27,2,1,113,230
13002,"Beauséjour/Beauséjour"," 93B","Shediac Bridge",16,62,33,9,3,123,243
13002,"Beauséjour/Beauséjour"," 94","Shediac River",32,86,41,14,5,178,307
13002,"Beauséjour/Beauséjour"," 94-1","Shediac River",28,70,49,25,0,172,285
13002,"Beauséjour/Beauséjour"," 95","Saint-Philippe",31,44,37,18,0,130,275
13002,"Beauséjour/Beauséjour"," 96A","Shediac Cape",22,50,52,13,0,137,215
13002,"Beauséjour/Beauséjour"," 96B","Shediac Cape",25,46,73,12,2,158,230
13002,"Beauséjour/Beauséjour"," 96-1","Shediac Cape",15,76,42,13,0,146,201
13002,"Beauséjour/Beauséjour"," 97","Scoudouc",34,92,47,19,2,194,306
13002,"Beauséjour/Beauséjour"," 98","Scoudouc",68,141,38,22,4,273,407
13002,"Beauséjour/Beauséjour"," 99","Barachois",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 100","Malakoff",15,57,21,9,0,102,185
13002,"Beauséjour/Beauséjour"," 101","Meadow Brook",57,83,59,12,2,213,358
13002,"Beauséjour/Beauséjour"," 102","Memramcook Est",20,61,44,14,0,139,280
13002,"Beauséjour/Beauséjour"," 103","Memramcook",35,66,24,14,0,139,249
13002,"Beauséjour/Beauséjour"," 103-1","Memramcook",32,57,20,7,2,118,235
13002,"Beauséjour/Beauséjour"," 104","Memramcook",27,66,26,5,0,124,220
13002,"Beauséjour/Beauséjour"," 105","College Bridge",28,79,44,11,0,162,325
13002,"Beauséjour/Beauséjour"," 105-1","College Bridge",17,58,16,11,1,103,177
13002,"Beauséjour/Beauséjour"," 106","Memramcook-Ouest",22,78,39,9,1,149,323
13002,"Beauséjour/Beauséjour"," 107A","Dieppe",27,82,39,6,5,159,273
13002,"Beauséjour/Beauséjour"," 107B","Dieppe",26,70,21,8,2,127,271
13002,"Beauséjour/Beauséjour"," 107-1","Dieppe",34,56,22,7,1,120,206
13002,"Beauséjour/Beauséjour"," 108A","Dieppe",17,83,37,10,0,147,249
13002,"Beauséjour/Beauséjour"," 108B","Dieppe",26,86,22,6,2,142,252
13002,"Beauséjour/Beauséjour"," 109A","Dieppe",26,74,33,12,1,146,244
13002,"Beauséjour/Beauséjour"," 109B","Dieppe",37,66,36,11,0,150,264
13002,"Beauséjour/Beauséjour"," 109-1","Dieppe",22,121,43,12,2,200,322
13002,"Beauséjour/Beauséjour"," 110","Dieppe",22,89,41,7,1,160,283
13002,"Beauséjour/Beauséjour"," 111","Dieppe",42,74,32,17,1,166,324
13002,"Beauséjour/Beauséjour"," 111-1","Dieppe",29,44,24,9,0,106,205
13002,"Beauséjour/Beauséjour"," 112","Pré-d'en-Haut",28,175,41,13,4,261,373
13002,"Beauséjour/Beauséjour"," 112-1","Pré-d'en-Haut",34,93,29,12,2,170,332
13002,"Beauséjour/Beauséjour"," 113","McGinleys Corner",27,121,38,20,0,206,384
13002,"Beauséjour/Beauséjour"," 113-1","McGinleys Corner",36,105,35,22,1,199,367
13002,"Beauséjour/Beauséjour"," 114","Memramcook",24,57,25,3,2,111,261
13002,"Beauséjour/Beauséjour"," 115","Cormier Cove",32,134,52,14,4,236,391
13002,"Beauséjour/Beauséjour"," 116","Upper Dorchester",40,54,58,29,2,183,360
13002,"Beauséjour/Beauséjour"," 117","Dorchester",48,49,88,22,2,209,377
13002,"Beauséjour/Beauséjour"," 118","Grand-Barachois",49,145,39,22,0,255,421
13002,"Beauséjour/Beauséjour"," 119","Cap-Pele",17,67,25,11,1,121,219
13002,"Beauséjour/Beauséjour"," 119-1","Cap-Pele",29,84,33,8,2,156,301
13002,"Beauséjour/Beauséjour"," 120","Cap-Pele",15,122,33,13,2,185,316
13002,"Beauséjour/Beauséjour"," 120-1","Cap-Pele",14,49,22,1,4,90,155
13002,"Beauséjour/Beauséjour"," 121","Cap-Pele",15,106,40,5,2,168,306
13002,"Beauséjour/Beauséjour"," 122","Cap-Pele",19,135,50,14,4,222,373
13002,"Beauséjour/Beauséjour"," 123","Cap-Pele",25,92,31,5,3,156,247
13002,"Beauséjour/Beauséjour"," 124","Trois-Ruisseaux",30,150,42,16,9,247,436
13002,"Beauséjour/Beauséjour"," 125","Petit-Cap",41,138,58,18,1,256,396
13002,"Beauséjour/Beauséjour"," 126","Haute-Aboujagane",41,166,54,12,3,276,404
13002,"Beauséjour/Beauséjour"," 127A","Cormier-Village",25,88,19,8,0,140,224
13002,"Beauséjour/Beauséjour"," 127B","Cormier-Village",18,87,37,12,0,154,231
13002,"Beauséjour/Beauséjour"," 128","Saint-André--LeBlanc",53,167,51,25,0,296,434
13002,"Beauséjour/Beauséjour"," 129","Shemogue",43,106,51,18,2,220,336
13002,"Beauséjour/Beauséjour"," 130","Murray Corner",17,33,20,6,0,76,137
13002,"Beauséjour/Beauséjour"," 131","Cape Tormentine",38,58,65,14,2,177,328
13002,"Beauséjour/Beauséjour"," 132","Bayside",45,46,62,14,0,167,323
13002,"Beauséjour/Beauséjour"," 133","Cape Tormentine",32,21,56,9,1,119,222
13002,"Beauséjour/Beauséjour"," 134","Port Elgin",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 135","Port Elgin",17,37,30,11,0,95,224
13002,"Beauséjour/Beauséjour"," 136","Midgic",36,47,77,26,1,187,377
13002,"Beauséjour/Beauséjour"," 137","Sackville",28,69,54,14,1,166,266
13002,"Beauséjour/Beauséjour"," 137-1","Sackville",22,57,41,17,1,138,270
13002,"Beauséjour/Beauséjour"," 138","Sackville",34,48,41,15,2,140,264
13002,"Beauséjour/Beauséjour"," 139A","Sackville",33,41,46,19,0,139,239
13002,"Beauséjour/Beauséjour"," 139B","Sackville",25,31,44,7,1,108,212
13002,"Beauséjour/Beauséjour"," 140","Sackville",59,85,41,13,0,198,342
13002,"Beauséjour/Beauséjour"," 141","Sackville",76,94,39,42,0,251,404
13002,"Beauséjour/Beauséjour"," 142","Sackville",39,58,57,19,0,173,346
13002,"Beauséjour/Beauséjour"," 143","Sackville",41,52,38,19,0,150,300
13002,"Beauséjour/Beauséjour"," 144A","Sackville",70,57,18,49,3,197,306
13002,"Beauséjour/Beauséjour"," 144B","Sackville",74,60,18,47,1,200,313
13002,"Beauséjour/Beauséjour"," 145","Sackville",38,99,40,29,0,206,323
13002,"Beauséjour/Beauséjour"," 146","Sackville",61,55,44,28,4,192,361
13002,"Beauséjour/Beauséjour"," 147","Sackville",60,67,60,19,2,208,395
13002,"Beauséjour/Beauséjour"," 148","Sackville",40,80,37,28,0,185,315
13002,"Beauséjour/Beauséjour"," 149","Sackville",59,32,72,20,1,184,396
13002,"Beauséjour/Beauséjour"," 150","British Settlement",40,55,89,22,2,208,324
13002,"Beauséjour/Beauséjour"," 150-1","British Settlement",20,16,54,7,0,97,175
13002,"Beauséjour/Beauséjour"," 151","Point de Bute",52,47,45,10,2,156,243
13002,"Beauséjour/Beauséjour"," 152A","Point de Bute",36,40,51,15,1,143,166
13002,"Beauséjour/Beauséjour"," 152B","Point de Bute",32,49,41,10,2,134,243
13002,"Beauséjour/Beauséjour"," 152-1","Point de Bute",Merged with No. 152A/Fusionné avec le nº 152A,,,,,,75
13002,"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",10,62,37,4,6,119,157
13002,"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",2,55,24,8,3,92,129
13002,"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",3,74,31,0,8,116,110
13002,"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",10,71,20,2,3,106,180
13002,"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",5,44,32,9,1,91,191
13002,"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",4,71,18,1,4,98,161
13002,"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",10,37,41,3,0,91,121
13002,"Beauséjour/Beauséjour"," 600","Saint-Louis",51,165,97,14,6,333,
13002,"Beauséjour/Beauséjour"," 601","Richibucto",29,97,37,7,3,173,
13002,"Beauséjour/Beauséjour"," 602","Rexton",31,145,104,9,3,292,
13002,"Beauséjour/Beauséjour"," 603","Bouctouche",72,308,278,22,8,688,
13002,"Beauséjour/Beauséjour"," 604","Sainte-Marie",15,77,53,9,3,157,
13002,"Beauséjour/Beauséjour"," 605","Saint-Antoine",24,128,170,19,6,347,
13002,"Beauséjour/Beauséjour"," 606","Cocagne",40,167,87,11,2,307,
13002,"Beauséjour/Beauséjour"," 607","Grande-Digue",61,271,129,25,4,490,
13002,"Beauséjour/Beauséjour"," 608","Magnetic Hill",30,42,114,17,0,203,
13002,"Beauséjour/Beauséjour"," 609","Irishtown",24,61,66,22,1,174,
13002,"Beauséjour/Beauséjour"," 610","Lakeville",25,49,54,6,3,137,
13002,"Beauséjour/Beauséjour"," 611","Shediac-Ouest",43,217,73,17,3,353,
13002,"Beauséjour/Beauséjour"," 612","Shediac-Est",63,399,118,29,12,621,
13002,"Beauséjour/Beauséjour"," 613","Dieppe",49,187,72,16,1,325,
13002,"Beauséjour/Beauséjour"," 614","Memramcook",81,488,133,35,12,749,
13002,"Beauséjour/Beauséjour"," 615","Sackville",54,139,92,18,2,305,
13002,"Beauséjour/Beauséjour"," 616","Sackville",42,151,84,20,4,301,
13002,"Beauséjour/Beauséjour"," 617","Port Elgin",15,51,26,8,1,101,
13002,"Beauséjour/Beauséjour"," 618","Cap-Pele",55,303,124,17,4,503,
13002,"Beauséjour/Beauséjour"," 619","Grand-Barachois",42,172,68,22,2,306,
13002,"Beauséjour/Beauséjour",,Group 1/Groupe 1,9,30,52,9,7,107,250
13002,"Beauséjour/Beauséjour",,Group 2/Groupe 2,31,268,132,14,12,457,

