Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivier Adam,Gabriel Arsenault,Suzanne Chartrand,Serge Gélinas,Yves Lessard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Chambly--Borduas/Chambly--Borduas"," 18","Beloeil",10,36,33,29,113,1,222,352
24012,"Chambly--Borduas/Chambly--Borduas"," 19","Beloeil",6,22,25,29,89,2,173,323
24012,"Chambly--Borduas/Chambly--Borduas"," 20","Beloeil",13,31,22,26,82,2,176,418
24012,"Chambly--Borduas/Chambly--Borduas"," 21","Beloeil",21,55,37,33,109,5,260,377
24012,"Chambly--Borduas/Chambly--Borduas"," 22","Beloeil",8,63,42,27,141,1,282,426
24012,"Chambly--Borduas/Chambly--Borduas"," 23","Beloeil",11,27,25,25,127,2,217,436
24012,"Chambly--Borduas/Chambly--Borduas"," 24A","Beloeil",15,60,37,76,230,7,425,618
24012,"Chambly--Borduas/Chambly--Borduas"," 24B","Beloeil",10,40,69,55,152,3,329,495
24012,"Chambly--Borduas/Chambly--Borduas"," 25","Beloeil",9,45,36,26,104,6,226,350
24012,"Chambly--Borduas/Chambly--Borduas"," 26","Beloeil",10,33,46,35,153,1,278,428
24012,"Chambly--Borduas/Chambly--Borduas"," 27","Beloeil",7,29,40,46,143,6,271,396
24012,"Chambly--Borduas/Chambly--Borduas"," 28","Beloeil",11,48,42,48,169,8,326,450
24012,"Chambly--Borduas/Chambly--Borduas"," 29","Beloeil",14,50,46,65,174,5,354,444
24012,"Chambly--Borduas/Chambly--Borduas"," 30","Beloeil",16,31,28,54,146,6,281,400
24012,"Chambly--Borduas/Chambly--Borduas"," 31","Beloeil",18,32,38,44,148,4,284,433
24012,"Chambly--Borduas/Chambly--Borduas"," 32","Beloeil",6,34,23,34,90,6,193,348
24012,"Chambly--Borduas/Chambly--Borduas"," 33","Beloeil",9,44,28,28,135,5,249,384
24012,"Chambly--Borduas/Chambly--Borduas"," 34","Beloeil",8,45,27,28,97,6,211,372
24012,"Chambly--Borduas/Chambly--Borduas"," 35","Beloeil",15,24,33,54,164,4,294,459
24012,"Chambly--Borduas/Chambly--Borduas"," 36","Beloeil",7,40,44,42,106,3,242,371
24012,"Chambly--Borduas/Chambly--Borduas"," 37","Beloeil",10,78,67,73,221,2,451,742
24012,"Chambly--Borduas/Chambly--Borduas"," 38","Beloeil",13,57,23,42,104,3,242,396
24012,"Chambly--Borduas/Chambly--Borduas"," 39","Beloeil",8,21,19,32,107,3,190,369
24012,"Chambly--Borduas/Chambly--Borduas"," 40","Beloeil",10,39,32,26,93,6,206,351
24012,"Chambly--Borduas/Chambly--Borduas"," 41","Beloeil",8,36,23,13,120,3,203,364
24012,"Chambly--Borduas/Chambly--Borduas"," 42","Beloeil",6,44,34,35,112,7,238,361
24012,"Chambly--Borduas/Chambly--Borduas"," 43","Beloeil",7,41,34,32,147,4,265,428
24012,"Chambly--Borduas/Chambly--Borduas"," 44","Beloeil",10,27,16,37,144,0,234,423
24012,"Chambly--Borduas/Chambly--Borduas"," 45","Beloeil",6,48,36,32,112,4,238,366
24012,"Chambly--Borduas/Chambly--Borduas"," 46","Beloeil",11,30,20,28,111,1,201,409
24012,"Chambly--Borduas/Chambly--Borduas"," 47","Beloeil",8,41,46,26,92,2,215,388
24012,"Chambly--Borduas/Chambly--Borduas"," 48","Mont-Saint-Hilaire",11,57,66,42,130,3,309,480
24012,"Chambly--Borduas/Chambly--Borduas"," 49","Mont-Saint-Hilaire",6,77,82,45,142,3,355,624
24012,"Chambly--Borduas/Chambly--Borduas"," 49-1","Mont-Saint-Hilaire",7,84,77,97,193,5,463,719
24012,"Chambly--Borduas/Chambly--Borduas"," 50","Mont-Saint-Hilaire",14,61,56,61,186,4,382,612
24012,"Chambly--Borduas/Chambly--Borduas"," 51","Mont-Saint-Hilaire",14,68,44,39,163,7,335,481
24012,"Chambly--Borduas/Chambly--Borduas"," 52","Mont-Saint-Hilaire",8,66,44,30,103,1,252,643
24012,"Chambly--Borduas/Chambly--Borduas"," 53A","Mont-Saint-Hilaire",12,48,30,46,143,1,280,451
24012,"Chambly--Borduas/Chambly--Borduas"," 53B","Mont-Saint-Hilaire",10,56,34,67,152,1,320,530
24012,"Chambly--Borduas/Chambly--Borduas"," 54","Mont-Saint-Hilaire",12,63,51,44,224,1,395,638
24012,"Chambly--Borduas/Chambly--Borduas"," 55","Mont-Saint-Hilaire",8,35,25,32,152,1,253,370
24012,"Chambly--Borduas/Chambly--Borduas"," 56","Mont-Saint-Hilaire",9,41,35,36,99,2,222,383
24012,"Chambly--Borduas/Chambly--Borduas"," 57","Mont-Saint-Hilaire",9,31,19,41,102,2,204,353
24012,"Chambly--Borduas/Chambly--Borduas"," 58","Mont-Saint-Hilaire",12,35,47,27,118,3,242,365
24012,"Chambly--Borduas/Chambly--Borduas"," 59","Mont-Saint-Hilaire",9,34,26,29,148,4,250,417
24012,"Chambly--Borduas/Chambly--Borduas"," 60","Mont-Saint-Hilaire",8,49,40,23,137,4,261,433
24012,"Chambly--Borduas/Chambly--Borduas"," 61","Mont-Saint-Hilaire",17,78,60,45,120,4,324,552
24012,"Chambly--Borduas/Chambly--Borduas"," 62","Mont-Saint-Hilaire",12,58,43,41,168,3,325,529
24012,"Chambly--Borduas/Chambly--Borduas"," 63","Mont-Saint-Hilaire",17,57,46,44,114,2,280,381
24012,"Chambly--Borduas/Chambly--Borduas"," 64","Mont-Saint-Hilaire",10,77,39,49,166,2,343,583
24012,"Chambly--Borduas/Chambly--Borduas"," 65","Mont-Saint-Hilaire",22,71,41,60,193,5,392,552
24012,"Chambly--Borduas/Chambly--Borduas"," 66","Mont-Saint-Hilaire",26,74,37,38,115,2,292,409
24012,"Chambly--Borduas/Chambly--Borduas"," 67","Mont-Saint-Hilaire",18,90,62,40,123,5,338,521
24012,"Chambly--Borduas/Chambly--Borduas"," 68","Mont-Saint-Hilaire",28,73,49,41,148,2,341,520
24012,"Chambly--Borduas/Chambly--Borduas"," 69","Mont-Saint-Hilaire",16,64,38,34,119,3,274,406
24012,"Chambly--Borduas/Chambly--Borduas"," 70","Mont-Saint-Hilaire",18,53,41,39,120,1,272,376
24012,"Chambly--Borduas/Chambly--Borduas"," 71","Mont-Saint-Hilaire",16,61,31,34,111,1,254,351
24012,"Chambly--Borduas/Chambly--Borduas"," 72","Mont-Saint-Hilaire",15,44,22,23,122,3,229,344
24012,"Chambly--Borduas/Chambly--Borduas"," 73","Mont-Saint-Hilaire",13,41,36,35,129,0,254,376
24012,"Chambly--Borduas/Chambly--Borduas"," 74","Saint-Jean-Baptiste",16,43,43,37,143,3,285,456
24012,"Chambly--Borduas/Chambly--Borduas"," 75","Saint-Jean-Baptiste",8,39,46,49,160,5,307,527
24012,"Chambly--Borduas/Chambly--Borduas"," 76","Saint-Jean-Baptiste",12,37,52,27,144,1,273,556
24012,"Chambly--Borduas/Chambly--Borduas"," 77","Saint-Jean-Baptiste",9,44,50,47,140,7,297,539
24012,"Chambly--Borduas/Chambly--Borduas"," 78","Saint-Jean-Baptiste",6,32,41,25,111,5,220,384
24012,"Chambly--Borduas/Chambly--Borduas"," 79","Otterburn Park",13,62,26,28,120,2,251,443
24012,"Chambly--Borduas/Chambly--Borduas"," 80","Otterburn Park",17,68,57,40,153,2,337,540
24012,"Chambly--Borduas/Chambly--Borduas"," 81","Otterburn Park",20,53,31,49,134,1,288,451
24012,"Chambly--Borduas/Chambly--Borduas"," 82","Otterburn Park",14,54,40,44,103,3,258,434
24012,"Chambly--Borduas/Chambly--Borduas"," 83","Otterburn Park",11,63,32,50,95,0,251,377
24012,"Chambly--Borduas/Chambly--Borduas"," 84","Otterburn Park",14,61,56,45,148,3,327,511
24012,"Chambly--Borduas/Chambly--Borduas"," 85","Otterburn Park",20,37,36,26,112,3,234,393
24012,"Chambly--Borduas/Chambly--Borduas"," 86","Otterburn Park",19,37,32,48,133,3,272,445
24012,"Chambly--Borduas/Chambly--Borduas"," 87","Otterburn Park",17,33,27,58,166,6,307,526
24012,"Chambly--Borduas/Chambly--Borduas"," 88","Otterburn Park",14,72,43,55,141,3,328,525
24012,"Chambly--Borduas/Chambly--Borduas"," 89","Otterburn Park",14,65,42,55,151,1,328,541
24012,"Chambly--Borduas/Chambly--Borduas"," 90","Otterburn Park",9,50,46,42,145,8,300,527
24012,"Chambly--Borduas/Chambly--Borduas"," 91","Otterburn Park",5,30,26,45,145,3,254,462
24012,"Chambly--Borduas/Chambly--Borduas"," 92","Saint-Basile-le-Grand",17,47,37,54,165,4,324,485
24012,"Chambly--Borduas/Chambly--Borduas"," 93","Saint-Basile-le-Grand",7,37,32,31,133,2,242,402
24012,"Chambly--Borduas/Chambly--Borduas"," 94","Saint-Basile-le-Grand",5,32,31,31,140,8,247,457
24012,"Chambly--Borduas/Chambly--Borduas"," 95","Saint-Basile-le-Grand",12,30,31,55,176,6,310,475
24012,"Chambly--Borduas/Chambly--Borduas"," 96","Saint-Basile-le-Grand",15,64,49,67,217,6,418,601
24012,"Chambly--Borduas/Chambly--Borduas"," 97A","Saint-Basile-le-Grand",13,58,53,38,150,2,314,429
24012,"Chambly--Borduas/Chambly--Borduas"," 97B","Saint-Basile-le-Grand",9,70,43,42,148,2,314,454
24012,"Chambly--Borduas/Chambly--Borduas"," 98","Saint-Basile-le-Grand",14,44,35,47,128,5,273,388
24012,"Chambly--Borduas/Chambly--Borduas"," 99","Saint-Basile-le-Grand",6,33,22,32,143,1,237,376
24012,"Chambly--Borduas/Chambly--Borduas"," 100","Saint-Basile-le-Grand",12,48,54,68,190,5,377,582
24012,"Chambly--Borduas/Chambly--Borduas"," 101","Saint-Basile-le-Grand",10,63,57,53,187,6,376,651
24012,"Chambly--Borduas/Chambly--Borduas"," 101-1","Saint-Basile-le-Grand",8,54,43,34,175,3,317,524
24012,"Chambly--Borduas/Chambly--Borduas"," 102","Saint-Basile-le-Grand",10,50,26,60,219,3,368,582
24012,"Chambly--Borduas/Chambly--Borduas"," 103","Saint-Basile-le-Grand",7,39,14,38,121,5,224,412
24012,"Chambly--Borduas/Chambly--Borduas"," 104","Saint-Basile-le-Grand",5,41,54,40,139,4,283,536
24012,"Chambly--Borduas/Chambly--Borduas"," 105","Saint-Basile-le-Grand",15,46,33,56,150,5,305,471
24012,"Chambly--Borduas/Chambly--Borduas"," 106","Saint-Basile-le-Grand",17,56,48,42,213,0,376,568
24012,"Chambly--Borduas/Chambly--Borduas"," 107","Saint-Basile-le-Grand",13,47,36,55,185,2,338,539
24012,"Chambly--Borduas/Chambly--Borduas"," 108","Saint-Basile-le-Grand",20,47,44,60,220,7,398,563
24012,"Chambly--Borduas/Chambly--Borduas"," 109","Saint-Basile-le-Grand",15,33,46,56,165,5,320,470
24012,"Chambly--Borduas/Chambly--Borduas"," 110","Saint-Basile-le-Grand",7,45,59,58,189,5,363,519
24012,"Chambly--Borduas/Chambly--Borduas"," 111","Saint-Basile-le-Grand",13,39,28,64,145,5,294,464
24012,"Chambly--Borduas/Chambly--Borduas"," 111-1","Saint-Basile-le-Grand",6,34,30,32,129,4,235,350
24012,"Chambly--Borduas/Chambly--Borduas"," 112","Saint-Basile-le-Grand",15,42,36,28,160,4,285,495
24012,"Chambly--Borduas/Chambly--Borduas"," 113","Carignan",5,77,68,26,132,4,312,617
24012,"Chambly--Borduas/Chambly--Borduas"," 114","Carignan",10,21,26,21,96,1,175,325
24012,"Chambly--Borduas/Chambly--Borduas"," 115","Carignan",6,32,38,25,129,5,235,491
24012,"Chambly--Borduas/Chambly--Borduas"," 116","Carignan",7,51,80,28,80,1,247,513
24012,"Chambly--Borduas/Chambly--Borduas"," 116-1","Carignan",10,22,19,31,102,2,186,321
24012,"Chambly--Borduas/Chambly--Borduas"," 117","Carignan",11,55,46,40,170,1,323,641
24012,"Chambly--Borduas/Chambly--Borduas"," 118","Carignan",17,42,51,36,152,2,300,565
24012,"Chambly--Borduas/Chambly--Borduas"," 118-1","Carignan",10,22,24,34,71,3,164,348
24012,"Chambly--Borduas/Chambly--Borduas"," 119","Carignan",41,64,59,43,157,4,368,625
24012,"Chambly--Borduas/Chambly--Borduas"," 120","Carignan",12,40,72,41,135,1,301,591
24012,"Chambly--Borduas/Chambly--Borduas"," 121","Carignan",10,38,34,25,110,1,218,398
24012,"Chambly--Borduas/Chambly--Borduas"," 122","Carignan",5,42,56,35,154,4,296,621
24012,"Chambly--Borduas/Chambly--Borduas"," 123","Chambly",12,65,43,56,187,3,366,552
24012,"Chambly--Borduas/Chambly--Borduas"," 124","Chambly",11,39,41,51,144,0,286,444
24012,"Chambly--Borduas/Chambly--Borduas"," 125","Chambly",10,40,50,61,156,2,319,581
24012,"Chambly--Borduas/Chambly--Borduas"," 126","Chambly",9,38,25,27,126,4,229,345
24012,"Chambly--Borduas/Chambly--Borduas"," 127","Chambly",4,38,34,28,121,1,226,442
24012,"Chambly--Borduas/Chambly--Borduas"," 128","Chambly",6,36,40,46,78,1,207,361
24012,"Chambly--Borduas/Chambly--Borduas"," 129","Chambly",11,22,26,34,108,2,203,408
24012,"Chambly--Borduas/Chambly--Borduas"," 130","Chambly",6,45,49,57,148,3,308,453
24012,"Chambly--Borduas/Chambly--Borduas"," 131","Chambly",9,25,15,32,137,4,222,372
24012,"Chambly--Borduas/Chambly--Borduas"," 132","Chambly",5,27,25,47,116,1,221,431
24012,"Chambly--Borduas/Chambly--Borduas"," 133A","Chambly",4,40,28,33,102,4,211,399
24012,"Chambly--Borduas/Chambly--Borduas"," 133B","Chambly",9,60,50,54,192,8,373,559
24012,"Chambly--Borduas/Chambly--Borduas"," 134","Chambly",10,34,40,47,136,1,268,436
24012,"Chambly--Borduas/Chambly--Borduas"," 135","Chambly",9,43,46,52,164,2,316,509
24012,"Chambly--Borduas/Chambly--Borduas"," 136","Chambly",15,82,57,68,235,4,461,769
24012,"Chambly--Borduas/Chambly--Borduas"," 137A","Chambly",16,54,35,51,166,1,323,484
24012,"Chambly--Borduas/Chambly--Borduas"," 137B","Chambly",7,40,39,24,110,0,220,373
24012,"Chambly--Borduas/Chambly--Borduas"," 138","Chambly",5,31,47,52,130,3,268,420
24012,"Chambly--Borduas/Chambly--Borduas"," 139","Chambly",8,48,36,57,117,3,269,452
24012,"Chambly--Borduas/Chambly--Borduas"," 140","Chambly",8,49,31,39,183,6,316,557
24012,"Chambly--Borduas/Chambly--Borduas"," 141","Chambly",10,30,29,41,164,4,278,436
24012,"Chambly--Borduas/Chambly--Borduas"," 142A","Chambly",5,43,26,38,153,1,266,430
24012,"Chambly--Borduas/Chambly--Borduas"," 142B","Chambly",12,52,65,74,155,2,360,582
24012,"Chambly--Borduas/Chambly--Borduas"," 143","Chambly",9,64,67,58,154,2,354,559
24012,"Chambly--Borduas/Chambly--Borduas"," 144","Chambly",10,50,46,47,117,4,274,443
24012,"Chambly--Borduas/Chambly--Borduas"," 145","Chambly",18,38,27,49,177,7,316,514
24012,"Chambly--Borduas/Chambly--Borduas"," 146","Chambly",5,42,26,22,124,2,221,370
24012,"Chambly--Borduas/Chambly--Borduas"," 147","Chambly",7,47,46,47,107,0,254,409
24012,"Chambly--Borduas/Chambly--Borduas"," 148","Chambly",9,38,14,29,100,2,192,331
24012,"Chambly--Borduas/Chambly--Borduas"," 149","Chambly",6,23,26,25,47,1,128,345
24012,"Chambly--Borduas/Chambly--Borduas"," 150","Chambly",13,47,39,32,95,1,227,392
24012,"Chambly--Borduas/Chambly--Borduas"," 151","Chambly",14,36,31,28,93,5,207,419
24012,"Chambly--Borduas/Chambly--Borduas"," 152","Chambly",12,42,25,24,133,3,239,392
24012,"Chambly--Borduas/Chambly--Borduas"," 153","Chambly",13,43,35,23,112,3,229,390
24012,"Chambly--Borduas/Chambly--Borduas"," 154","Chambly",7,39,36,44,150,2,278,454
24012,"Chambly--Borduas/Chambly--Borduas"," 155","Chambly",12,48,24,55,181,10,330,608
24012,"Chambly--Borduas/Chambly--Borduas"," 156","Chambly",10,32,31,66,147,3,289,581
24012,"Chambly--Borduas/Chambly--Borduas"," 157","Chambly",6,37,31,51,136,2,263,466
24012,"Chambly--Borduas/Chambly--Borduas"," 158","Saint-Mathias-sur-Richelieu",17,43,37,46,133,3,279,442
24012,"Chambly--Borduas/Chambly--Borduas"," 159","Saint-Mathias-sur-Richelieu",5,33,34,33,116,3,224,381
24012,"Chambly--Borduas/Chambly--Borduas"," 160","Saint-Mathias-sur-Richelieu",18,54,52,51,151,2,328,516
24012,"Chambly--Borduas/Chambly--Borduas"," 161","Saint-Mathias-sur-Richelieu",12,46,63,49,182,11,363,591
24012,"Chambly--Borduas/Chambly--Borduas"," 162","Saint-Mathias-sur-Richelieu",10,61,36,46,163,6,322,508
24012,"Chambly--Borduas/Chambly--Borduas"," 163","Saint-Mathias-sur-Richelieu",10,46,31,69,209,4,369,532
24012,"Chambly--Borduas/Chambly--Borduas"," 164","Saint-Mathias-sur-Richelieu",6,49,30,25,133,3,246,384
24012,"Chambly--Borduas/Chambly--Borduas"," 165","Saint-Mathias-sur-Richelieu",2,29,29,16,67,1,144,202
24012,"Chambly--Borduas/Chambly--Borduas"," 166","Richelieu",15,49,57,37,116,1,275,444
24012,"Chambly--Borduas/Chambly--Borduas"," 167","Richelieu",6,34,34,32,86,1,193,348
24012,"Chambly--Borduas/Chambly--Borduas"," 168","Richelieu",14,34,39,32,92,2,213,374
24012,"Chambly--Borduas/Chambly--Borduas"," 169","Richelieu",9,24,28,23,114,5,203,617
24012,"Chambly--Borduas/Chambly--Borduas"," 170","Richelieu",18,45,52,58,181,6,360,652
24012,"Chambly--Borduas/Chambly--Borduas"," 171","Richelieu",14,48,39,45,221,3,370,597
24012,"Chambly--Borduas/Chambly--Borduas"," 172","Richelieu",8,55,37,43,184,2,329,499
24012,"Chambly--Borduas/Chambly--Borduas"," 173","Richelieu",9,22,26,30,92,5,184,312
24012,"Chambly--Borduas/Chambly--Borduas"," 174","Richelieu",11,46,53,38,101,2,251,461
24012,"Chambly--Borduas/Chambly--Borduas"," 175","Marieville",8,31,44,31,118,0,232,460
24012,"Chambly--Borduas/Chambly--Borduas"," 176A","Marieville",5,35,30,33,141,6,250,462
24012,"Chambly--Borduas/Chambly--Borduas"," 176B","Marieville",5,36,42,34,130,4,251,466
24012,"Chambly--Borduas/Chambly--Borduas"," 177","Marieville",19,58,49,41,223,8,398,784
24012,"Chambly--Borduas/Chambly--Borduas"," 178","Marieville",6,42,36,31,88,1,204,411
24012,"Chambly--Borduas/Chambly--Borduas"," 179","Marieville",11,25,23,30,89,3,181,426
24012,"Chambly--Borduas/Chambly--Borduas"," 180","Marieville",6,29,36,38,160,4,273,521
24012,"Chambly--Borduas/Chambly--Borduas"," 181","Marieville",9,44,40,41,125,5,264,474
24012,"Chambly--Borduas/Chambly--Borduas"," 182","Marieville",3,43,34,18,104,1,203,326
24012,"Chambly--Borduas/Chambly--Borduas"," 183","Marieville",8,20,24,16,83,4,155,386
24012,"Chambly--Borduas/Chambly--Borduas"," 184","Marieville",10,27,29,24,110,3,203,471
24012,"Chambly--Borduas/Chambly--Borduas"," 185","Marieville",12,53,39,34,165,6,309,529
24012,"Chambly--Borduas/Chambly--Borduas"," 186","Marieville",9,21,20,21,90,4,165,330
24012,"Chambly--Borduas/Chambly--Borduas"," 187","Marieville",2,42,31,27,128,4,234,416
24012,"Chambly--Borduas/Chambly--Borduas"," 188","Marieville",9,26,39,33,80,1,188,332
24012,"Chambly--Borduas/Chambly--Borduas"," 600","McMasterville--Saint-Mathieu-de-Beausoleil",21,194,216,79,372,15,897,
24012,"Chambly--Borduas/Chambly--Borduas"," 601","Beloeil",31,131,168,75,275,2,682,
24012,"Chambly--Borduas/Chambly--Borduas"," 602","Mont-Saint-Hilaire",34,241,235,58,418,9,995,
24012,"Chambly--Borduas/Chambly--Borduas"," 603","Otterburn Park",37,139,90,43,245,7,561,
24012,"Chambly--Borduas/Chambly--Borduas"," 604","Saint-Basile-le-Grand",25,131,178,108,568,6,1016,
24012,"Chambly--Borduas/Chambly--Borduas"," 605","Carignan",12,64,107,38,215,10,446,
24012,"Chambly--Borduas/Chambly--Borduas"," 606","Chambly",19,150,181,90,414,9,863,
24012,"Chambly--Borduas/Chambly--Borduas"," 607","Chambly",19,91,105,40,176,10,441,
24012,"Chambly--Borduas/Chambly--Borduas"," 608","Richelieu--Saint-Mathias-sur-Richelieu",15,134,144,51,285,11,640,
24012,"Chambly--Borduas/Chambly--Borduas"," 609","Marieville",14,104,143,67,282,10,620,
24012,"Chambly--Borduas/Chambly--Borduas"," 610","Saint-Jean-Baptiste",12,39,45,23,127,0,246,
24012,"Chambly--Borduas/Chambly--Borduas",,Group 1/Groupe 1,7,19,36,4,20,8,94,202
24012,"Chambly--Borduas/Chambly--Borduas",,Group 2/Groupe 2,20,130,128,51,379,28,736,

