Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ralph Bunag,Otto Casanova,Bonnie Crombie,Wajid Khan,Keith Pinto,Viktor Spanovic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 15-1","Mississauga",1,8,118,54,25,1,0,207,414
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 16","Mississauga",2,12,122,70,13,0,0,219,418
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 16-1","Mississauga",6,14,132,89,24,2,6,273,502
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 16-2","Mississauga",0,11,119,80,27,1,4,242,519
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",0,19,92,64,13,1,0,189,323
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",2,12,68,57,16,0,0,155,323
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 18-1","Mississauga",1,10,74,34,15,0,1,135,251
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 19","Mississauga",0,13,87,65,19,2,0,186,309
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 19-1","Mississauga",1,14,92,61,19,1,0,188,331
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",5,10,88,82,23,0,1,209,476
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",0,19,104,67,19,1,2,212,459
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 22","Mississauga",0,12,92,86,18,0,1,209,332
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 22-1","Mississauga",1,10,64,40,8,0,1,124,287
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",0,20,79,70,20,0,0,189,360
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",3,9,89,73,15,2,1,192,397
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",1,18,108,53,23,0,0,203,406
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",3,18,81,74,21,1,0,198,383
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",4,28,135,86,13,2,0,268,519
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",1,19,103,88,30,3,1,245,465
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",2,11,80,69,31,0,0,193,376
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 30","Mississauga",0,11,74,46,7,1,0,139,290
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 30-1","Mississauga",0,15,90,87,7,0,3,202,352
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",1,10,84,77,13,7,2,194,361
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 31-1","Mississauga",0,12,54,47,9,1,3,126,216
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",0,18,131,96,12,2,0,259,489
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",1,19,107,103,27,0,1,258,556
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",1,16,124,93,32,2,1,269,562
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",3,9,97,83,21,0,2,215,390
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",1,27,136,91,21,0,0,276,472
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 37","Mississauga",0,7,58,54,9,2,3,133,295
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 37-1","Mississauga",0,8,88,65,15,1,0,177,327
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 38","Mississauga",1,10,72,64,22,1,1,171,344
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 38-1","Mississauga",4,6,87,49,13,1,2,162,307
