Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Ken Bolton,Darrell Pasloski,John Streicker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 603","Beaver Creek",4,1,4,1,0,10,
60001,"Yukon/Yukon"," 604","Burwash Landing",4,1,4,0,0,9,
60001,"Yukon/Yukon"," 605","Haines Junction",24,5,18,9,0,56,
60001,"Yukon/Yukon"," 606","Pelly Crossing",13,2,6,1,0,22,
60001,"Yukon/Yukon"," 607","Carmacks",19,2,7,1,0,29,
60001,"Yukon/Yukon"," 608","Faro",26,5,6,13,2,52,
60001,"Yukon/Yukon"," 609","Ross River",8,2,10,1,0,21,
60001,"Yukon/Yukon"," 610","Whitehorse",108,14,104,22,0,248,
60001,"Yukon/Yukon"," 611","Whitehorse",163,14,81,34,0,292,
60001,"Yukon/Yukon"," 612","Whitehorse",161,21,78,29,0,289,
60001,"Yukon/Yukon"," 613","MacRae",42,6,44,21,0,113,
60001,"Yukon/Yukon"," 614","Carcross",11,2,9,3,0,25,
60001,"Yukon/Yukon"," 615","Teslin",13,5,22,3,0,43,
60001,"Yukon/Yukon"," 616","Watson Lake",22,6,28,3,0,59,
60001,"Yukon/Yukon",,Group 1/Groupe 1,15,6,9,1,3,34,62
60001,"Yukon/Yukon",,Group 2/Groupe 2,725,113,548,162,13,1561,

