Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alina Abbott,Ron Cadotte,Matt Daudlin,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 72","Chatham",16,13,56,67,0,152,264
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 73A","Chatham",9,5,45,77,0,136,269
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 73B","Chatham",5,12,45,81,0,143,269
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 74","Merlin",9,30,90,87,0,216,372
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 75","North Buxton",12,28,55,72,0,167,267
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 76","Charing Cross",17,31,44,141,0,233,430
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 77","Merlin",18,39,56,112,2,227,436
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 78","Merlin",9,48,52,107,0,216,508
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 79","Cedar Springs",14,29,65,122,1,231,388
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 80A","Chatham",8,11,85,115,0,219,348
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 80B","Chatham",13,12,86,88,1,200,310
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 81","Chatham",9,26,36,75,0,146,247
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 82","Chatham",13,23,96,97,0,229,387
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 83","Chatham",12,23,60,59,0,154,263
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 84","Chatham",11,35,59,100,2,207,407
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 85","Chatham",17,18,56,114,4,209,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 86","Chatham",5,16,52,57,0,130,223
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 87","Chatham",13,35,36,65,0,149,377
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 88","Chatham",10,37,63,104,1,215,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 89","Chatham",13,24,89,118,0,244,413
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 90","Chatham",7,27,80,130,2,246,443
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 91A","Chatham",7,33,39,55,2,136,246
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 91B","Chatham",12,14,43,60,0,129,255
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 92","Chatham",16,17,40,99,0,172,328
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 93","Chatham",9,45,59,58,2,173,416
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 94","Chatham",4,25,29,37,2,97,259
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 95A","Chatham",5,31,40,88,0,164,284
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 95B","Chatham",6,19,40,78,2,145,264
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 96","Chatham",9,29,35,82,0,155,367
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 97","Chatham",15,29,59,133,1,237,425
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 98","Chatham",6,27,29,50,0,112,310
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 99","Chatham",17,38,76,156,1,288,481
