Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Bourgeois,M. Zamboni Cadieux,Martin Drapeau,Daniel Lebel,Michel Le Clair,Eva Nassif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 81","Terrebonne",115,0,11,18,30,26,8,208,347
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 82","Terrebonne",151,0,12,34,38,28,3,266,414
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 83A","Terrebonne",102,0,11,31,39,45,4,232,399
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 83B","Terrebonne",124,1,12,37,40,29,1,244,434
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 84","Terrebonne",139,1,11,27,24,19,5,226,367
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 85","Terrebonne",149,0,12,31,29,54,4,279,445
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 86","Terrebonne",181,4,9,40,41,48,4,327,542
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 87","Terrebonne",115,1,6,32,37,42,4,237,381
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 88A","Terrebonne",63,0,8,23,24,37,4,159,337
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 88B","Terrebonne",88,1,7,28,30,57,3,214,412
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 89","Terrebonne",142,1,7,46,21,32,2,251,373
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 90A","Terrebonne",142,0,4,24,30,50,4,254,385
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 90B","Terrebonne",121,0,5,30,39,51,5,251,380
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 91","Terrebonne",117,0,11,28,34,36,6,232,381
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 92A","Terrebonne",96,0,6,22,24,38,4,190,315
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 92B","Terrebonne",99,0,12,34,32,44,1,222,354
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 93A","Terrebonne",133,0,2,26,32,40,2,235,360
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 93B","Terrebonne",138,1,4,31,38,23,1,236,383
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 94A","Terrebonne",134,0,10,22,36,52,5,259,408
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 94B","Terrebonne",115,2,12,41,32,53,3,258,427
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 95","Terrebonne",105,0,13,29,27,35,10,219,412
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 96A","Terrebonne",84,0,10,20,21,42,5,182,301
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 96B","Terrebonne",89,1,7,26,29,51,2,205,337
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 97A","Terrebonne",149,2,10,32,31,39,5,268,462
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 97B","Terrebonne",148,0,11,22,29,38,3,251,459
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 98A","Terrebonne",144,0,5,42,31,48,2,272,424
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 98B","Terrebonne",139,2,9,36,37,49,6,278,482
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 99","Terrebonne",108,1,7,22,21,24,9,192,342
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 100","Terrebonne",146,1,9,24,43,39,3,265,484
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 101","Terrebonne",202,0,11,42,37,39,5,336,567
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 102","Terrebonne",153,0,8,27,26,30,6,250,444
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 103","Terrebonne",187,1,15,37,31,22,5,298,495
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 104","Blainville",135,1,11,42,31,34,5,259,497
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 105","Blainville",130,0,6,69,42,85,4,336,565
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 106","Blainville",138,0,15,69,48,80,3,353,541
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 107","Blainville",156,2,6,46,60,60,2,332,549
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 108","Blainville",99,2,9,36,32,53,1,232,395
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 109A","Blainville",116,1,9,40,30,46,6,248,376
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 109B","Blainville",108,2,11,28,35,47,1,232,370
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 110A","Blainville",145,1,10,39,64,81,3,343,545
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 110B","Blainville",145,6,9,51,59,93,8,371,581
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 111A","Blainville",104,1,8,23,27,35,1,199,361
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 111B","Blainville",124,2,5,32,37,45,3,248,420
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 111C","Blainville",132,1,8,34,48,50,7,280,504
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 112A","Blainville",109,2,8,33,31,32,3,218,348
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 112B","Blainville",90,4,4,29,26,34,2,189,328
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 113","Blainville",151,2,3,28,40,44,2,270,429
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 114A","Blainville",92,4,6,35,44,48,2,231,385
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 114B","Blainville",130,0,8,20,46,47,1,252,426
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 114C","Blainville",115,0,5,35,42,47,4,248,401
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 115","Blainville",159,1,8,30,54,32,3,287,484
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 116","Blainville",160,1,11,41,42,28,5,288,450
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 117","Blainville",117,0,12,20,45,31,4,229,385
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 118","Blainville",152,3,6,31,40,48,4,284,441
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 119","Blainville",164,4,9,44,43,47,4,315,513
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 120","Blainville",144,4,12,24,26,29,5,244,362
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 121","Blainville",119,2,5,19,41,25,4,215,413
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 122","Blainville",144,6,13,34,34,42,9,282,522
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 123A","Blainville",89,0,8,19,28,32,2,178,327
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 123B","Blainville",110,2,5,25,32,40,4,218,354
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 124","Blainville",100,0,6,27,30,54,2,219,357
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 125","Blainville",101,0,9,39,40,28,1,218,351
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 126","Blainville",112,1,7,31,33,31,3,218,379
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 127","Blainville",104,1,6,38,24,23,5,201,374
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 128","Blainville",76,0,4,16,18,17,6,137,263
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 129","Blainville",151,0,14,43,33,46,11,298,458
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 130","Blainville",117,1,8,27,29,38,2,222,329
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 131","Blainville",101,5,11,21,28,43,8,217,386
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 132","Blainville",118,2,12,51,49,42,2,276,397
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 133","Blainville",116,0,4,18,25,23,4,190,325
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 134A","Blainville",117,1,13,36,39,34,4,244,411
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 134B","Mobile poll/Bureau itinérant",8,1,1,3,0,7,0,20,19
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 135","Blainville",134,2,7,27,28,42,8,248,403
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 136","Blainville",150,4,10,28,44,51,2,289,536
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 137","Blainville",141,2,9,45,49,53,5,304,537
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 138","Blainville",152,0,14,41,44,54,4,309,582
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 139","Blainville",149,3,3,63,32,74,3,327,507
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 140","Blainville",107,2,9,24,38,31,6,217,403
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 141","Blainville",159,2,10,33,65,52,9,330,518
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 142","Blainville",170,1,10,23,34,38,5,281,440
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 143","Blainville",164,1,7,37,48,54,5,316,484
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 144A","Blainville",127,1,5,32,44,59,3,271,477
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 144B","Blainville",133,2,10,39,41,52,5,282,469
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 145","Blainville",98,0,6,27,26,22,3,182,319
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 146","Blainville",90,3,8,27,33,34,2,197,354
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 147A","Blainville",121,2,11,34,29,51,3,251,482
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 147B","Blainville",116,0,9,40,40,61,7,273,459
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 148","Blainville",111,0,9,28,28,14,7,197,364
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 149","Blainville",115,4,4,42,26,36,6,233,426
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 150A","Blainville",84,5,4,22,16,15,1,147,316
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 150B","Mobile poll/Bureau itinérant",Merged with No. 134B/Fusionné avec le nº 134B,,,,,,,,11
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 151","Blainville",88,5,1,16,26,27,1,164,293
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 152","Blainville",98,1,5,26,22,24,3,179,350
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 153","Blainville",73,2,0,13,23,26,4,141,281
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 154","Blainville",71,0,4,18,18,22,1,134,274
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 155A","Blainville",133,2,13,50,48,67,4,317,528
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 155B","Blainville",120,1,12,35,32,58,3,261,496
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 156A","Blainville",101,0,5,62,46,64,4,282,393
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 156B","Blainville",76,0,0,80,25,76,2,259,422
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 156C","Blainville",80,1,2,63,32,77,3,258,416
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 156D","Blainville",66,3,7,54,28,71,2,231,375
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 157","Blainville",158,3,14,73,26,94,4,372,615
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 158","Blainville",173,1,17,53,69,90,5,408,650
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 159A","Blainville",103,2,7,95,36,96,3,342,529
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 159B","Blainville",89,3,4,89,39,110,1,335,533
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 160","Blainville",145,3,19,73,49,111,3,403,598
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 161","Blainville",95,1,9,40,24,77,2,248,387
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 162","Blainville",139,0,7,50,24,51,4,275,444
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 163A","Blainville",85,0,5,31,19,55,0,195,302
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 163B","Blainville",58,0,6,48,30,71,0,213,313
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 164","Blainville",102,2,9,26,28,26,2,195,273
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 165A","Blainville",96,4,4,27,23,53,11,218,334
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 165B","Blainville",99,0,5,23,27,36,2,192,290
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 166","Blainville",119,2,5,19,33,36,7,221,345
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 167","Blainville",132,3,10,38,50,32,6,271,371
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 168","Blainville",166,1,12,25,37,36,1,278,410
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 169","Blainville",122,2,9,19,37,28,5,222,335
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 600","Sainte-Anne-des-Plaines",376,2,4,136,58,78,4,658,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 601","Terrebonne",344,3,11,109,77,77,5,626,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 602","Terrebonne",262,0,15,84,43,90,10,504,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 603","Terrebonne",262,0,13,98,37,80,11,501,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 604","Terrebonne",204,2,13,56,46,58,6,385,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 605","Blainville",486,10,32,135,100,111,10,884,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 606","Blainville",428,4,15,151,83,114,9,804,
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 607","Blainville",189,2,13,118,29,106,4,461,
24071,"Terrebonne--Blainville/Terrebonne--Blainville",,Group 1/Groupe 1,40,0,3,28,5,16,2,94,142
24071,"Terrebonne--Blainville/Terrebonne--Blainville",,Group 2/Groupe 2,186,2,9,82,28,38,6,351,

