Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoît Dussault,Raphaël Fortin,François Fournier,Luc Malo,Annie Morel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 60","Varennes",35,76,41,185,10,4,351,530
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 61","Varennes",30,54,35,161,13,0,293,464
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 62","Varennes",40,54,40,142,10,6,292,401
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 63","Varennes",41,87,49,163,20,4,364,526
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 64","Varennes",30,50,41,197,16,3,337,523
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 65","Varennes",25,45,38,150,7,4,269,412
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 66","Varennes",32,34,36,176,6,2,286,458
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 67","Varennes",24,31,46,148,9,9,267,458
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 68","Varennes",47,83,57,183,14,7,391,555
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 69","Varennes",27,41,37,122,6,0,233,341
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 70","Varennes",17,45,13,99,7,1,182,251
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71","Varennes",36,53,25,100,13,0,227,380
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71-1","Varennes",58,69,60,169,16,7,379,578
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 71-2","Varennes",33,34,50,114,6,5,242,372
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 72","Varennes",24,25,28,92,6,2,177,313
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 73","Saint-Amable",31,42,22,185,1,3,284,563
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 74","Saint-Amable",14,32,34,161,4,8,253,440
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 75","Saint-Amable",18,42,32,157,5,6,260,528
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 76","Saint-Amable",37,28,34,152,8,5,264,432
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 77","Saint-Amable",38,32,30,152,7,5,264,475
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 78","Saint-Amable",38,27,15,155,7,4,246,492
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 79","Saint-Amable",18,13,14,88,4,1,138,228
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 80","Saint-Amable",33,22,28,138,8,3,232,396
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 81","Saint-Amable",19,24,15,90,6,2,156,319
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 82","Saint-Amable",20,31,23,112,4,1,191,374
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 83A","Saint-Amable",15,28,13,118,5,2,181,340
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 83B","Saint-Amable",16,30,18,113,5,4,186,320
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 83-1","Saint-Amable",22,40,33,148,5,6,254,432
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 84A","Saint-Amable",8,47,32,118,5,5,215,403
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 84B","Saint-Amable",11,29,19,111,5,2,177,354
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 85A","Saint-Amable",34,37,27,150,11,5,264,492
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 85B","Saint-Amable",16,35,19,135,8,5,218,435
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 86","Sainte-Julie",38,25,41,107,1,5,217,396
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 87","Sainte-Julie",44,47,46,160,5,3,305,449
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 88","Sainte-Julie",26,45,39,119,7,2,238,328
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 89","Sainte-Julie",34,62,51,120,6,4,277,368
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 90","Sainte-Julie",21,42,28,126,9,7,233,353
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 91","Sainte-Julie",24,50,31,127,8,2,242,339
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 92","Sainte-Julie",28,42,27,133,7,6,243,401
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 93","Sainte-Julie",36,35,45,164,11,9,300,475
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 94","Sainte-Julie",12,43,31,128,9,6,229,338
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 95","Sainte-Julie",37,37,36,134,6,4,254,349
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 96","Sainte-Julie",49,63,25,139,7,3,286,466
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 97","Sainte-Julie",27,50,34,129,6,4,250,367
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 98","Sainte-Julie",19,36,31,123,6,6,221,389
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 99","Sainte-Julie",35,38,39,126,3,3,244,386
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 100","Sainte-Julie",25,60,29,153,4,2,273,403
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 101","Sainte-Julie",38,56,42,153,7,3,299,476
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 102","Sainte-Julie",45,54,43,133,9,10,294,441
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 103","Sainte-Julie",46,42,49,96,5,2,240,360
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 104","Sainte-Julie",48,27,41,95,9,3,223,332
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 104-1","Sainte-Julie",44,56,46,135,11,2,294,442
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 104-2","Sainte-Julie",51,54,49,124,6,1,285,428
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 105","Sainte-Julie",27,39,41,125,4,6,242,386
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 106","Sainte-Julie",15,24,27,91,5,9,171,255
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 107","Sainte-Julie",23,34,30,133,6,4,230,358
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 108","Sainte-Julie",31,50,41,149,1,5,277,390
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 109","Sainte-Julie",32,34,48,114,3,3,234,398
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 110","Sainte-Julie",40,34,38,171,6,5,294,452
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 111","Sainte-Julie",45,42,34,115,0,2,238,358
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 112","Sainte-Julie",23,35,32,134,7,3,234,355
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 113","Sainte-Julie",46,36,57,128,5,4,276,413
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 114","Sainte-Julie",41,35,33,113,6,6,234,378
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 115","Sainte-Julie",34,43,45,119,10,1,252,375
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 116","Sainte-Julie",41,49,35,126,7,6,264,372
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 117","Sainte-Julie",28,51,35,141,4,1,260,365
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 117-1","Sainte-Julie",15,31,25,72,4,1,148,237
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 118","Sainte-Julie",33,49,61,166,7,3,319,518
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 119","Sainte-Julie",45,63,60,171,10,7,356,539
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 120","Sainte-Julie",52,64,76,147,7,5,351,505
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 121","Sainte-Julie",41,73,50,151,7,7,329,569
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 121-1","Sainte-Julie",27,37,29,115,5,1,214,310
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 121-2","Sainte-Julie",30,24,32,69,5,1,161,285
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 122","Sainte-Julie",36,45,31,96,4,2,214,372
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 122-1","Sainte-Julie",39,29,29,107,4,3,211,351
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 123","Sainte-Julie",31,49,33,119,14,4,250,504
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 124","Sainte-Julie",33,45,30,88,4,5,205,461
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 125","Sainte-Julie",21,34,25,64,4,2,150,356
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 126","Sainte-Julie",15,24,25,80,6,2,152,299
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 127","Sainte-Julie",22,29,39,92,5,0,187,402
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 128","Sainte-Julie",38,50,53,124,6,2,273,499
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 129","Sainte-Julie",30,44,60,95,6,1,236,384
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 130","Sainte-Julie",45,28,49,72,5,0,199,364
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 131","Sainte-Julie",19,39,48,100,9,1,216,396
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 132","Sainte-Julie",22,36,46,74,5,0,183,337
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 133","Sainte-Julie",67,33,57,109,8,2,276,486
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 134","Boucherville",44,50,39,109,17,4,263,405
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 135","Boucherville",40,44,44,103,9,1,241,340
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 136","Boucherville",28,36,69,85,10,2,230,338
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 137","Boucherville",53,99,76,187,15,3,433,576
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 138","Boucherville",37,59,38,153,6,2,295,406
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 139","Boucherville",38,46,68,101,3,3,259,355
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 140","Boucherville",41,26,57,116,3,2,245,343
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 141","Boucherville",28,62,44,108,8,2,252,369
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 142","Boucherville",42,50,54,106,16,3,271,406
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 143","Boucherville",30,65,67,112,13,2,289,422
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 144","Boucherville",31,47,53,105,11,5,252,390
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 145","Boucherville",35,32,30,103,6,2,208,327
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 146","Boucherville",29,38,59,107,12,1,246,357
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 147","Boucherville",23,52,66,108,10,4,263,410
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 148","Boucherville",40,35,52,128,10,6,271,415
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 149","Boucherville",25,32,42,92,5,2,198,269
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 150","Boucherville",15,37,32,119,12,1,216,300
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 151","Boucherville",16,18,32,60,2,2,130,214
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 152","Boucherville",16,38,35,115,10,8,222,357
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 153","Boucherville",38,41,43,89,12,6,229,339
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 154","Boucherville",29,36,57,72,8,4,206,305
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 155","Boucherville",33,36,45,97,9,3,223,374
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 156","Boucherville",38,66,72,136,8,1,321,500
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 157","Boucherville",54,57,59,122,15,1,308,499
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 158","Boucherville",32,58,61,125,10,3,289,429
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 159","Boucherville",57,48,49,81,9,1,245,364
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 160","Boucherville",44,46,93,99,13,1,296,431
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 161","Boucherville",56,35,72,124,10,1,298,434
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 162","Boucherville",26,25,37,74,5,1,168,263
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 163","Boucherville",31,24,54,87,4,3,203,322
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 164","Boucherville",20,34,50,67,1,0,172,251
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 165","Boucherville",50,29,44,110,3,0,236,365
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 166","Boucherville",30,28,41,122,5,3,229,358
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 167","Boucherville",53,49,58,130,2,3,295,437
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168","Boucherville",58,29,85,118,8,0,298,467
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-1A","Boucherville",46,28,54,81,6,5,220,355
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-1B","Boucherville",45,28,58,102,5,1,239,371
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-2","Boucherville",53,39,69,125,6,8,300,420
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-3A","Boucherville",61,31,71,70,5,1,239,386
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-3B","Boucherville",54,18,84,70,0,3,229,385
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-4","Boucherville",49,36,89,84,7,0,265,385
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-5","Boucherville",24,25,24,60,5,4,142,230
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 168-6","Boucherville",60,54,78,69,5,2,268,428
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 400","Boucherville",17,11,47,26,3,13,117,170
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 401","Boucherville",19,5,67,42,6,5,144,206
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 500","Mobile poll/Bureau itinérant",7,0,25,30,0,2,64,113
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 501","Mobile poll/Bureau itinérant",2,2,13,6,0,2,25,116
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 502","Mobile poll/Bureau itinérant",6,10,21,9,0,4,50,69
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 503","Mobile poll/Bureau itinérant",15,3,23,35,1,8,85,127
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 504","Mobile poll/Bureau itinérant",13,2,5,14,0,4,38,106
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 505","Mobile poll/Bureau itinérant",33,7,55,57,3,12,167,214
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 506","Mobile poll/Bureau itinérant",16,3,27,12,1,1,60,141
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 600","Contrecoeur",104,30,51,291,16,5,497,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 601","Verchères--Calixa-Lavallée",73,21,37,190,6,3,330,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 602","Saint-Antoine-sur-Richelieu--Saint-Marc-sur-Richelieu",27,4,22,99,3,0,155,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 603","Saint-Denis-sur-Richelieu--Saint-Charles-sur-Richelieu",26,16,32,103,3,3,183,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 604","Varennes",137,73,110,371,26,6,723,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 605","Varennes",109,84,90,372,18,6,679,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 606","Saint-Amable",64,43,17,163,7,11,305,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 607","Sainte-Julie",111,68,76,299,15,5,574,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 608","Sainte-Julie",124,74,88,375,12,6,679,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 609","Sainte-Julie",134,92,140,434,35,10,845,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 610","Boucherville",123,86,108,256,19,1,593,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 611","Boucherville",102,63,125,223,18,4,535,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 612","Boucherville",160,59,149,240,19,4,631,
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes",,Group 1/Groupe 1,35,8,15,28,1,4,91,167
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes",,Group 2/Groupe 2,128,34,62,298,7,13,542,

