Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dominique Bellemare,Claude Debellefeuille,Maria Lopez,Anne Minh Thu Quach,David Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 61","Salaberry-de-Valleyfield",36,136,23,27,3,5,230,413
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 62","Salaberry-de-Valleyfield",29,119,18,17,1,4,188,359
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 63","Salaberry-de-Valleyfield",19,75,10,15,4,5,128,284
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 64","Salaberry-de-Valleyfield",27,87,20,19,0,2,155,333
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 65","Salaberry-de-Valleyfield",20,72,20,17,1,0,130,292
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 66","Salaberry-de-Valleyfield",10,74,20,18,3,3,128,387
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 67","Salaberry-de-Valleyfield",51,101,27,23,4,5,211,346
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 68","Salaberry-de-Valleyfield",32,122,26,24,6,2,212,353
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 69","Salaberry-de-Valleyfield",37,102,34,17,1,7,198,432
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 70","Salaberry-de-Valleyfield",33,51,38,8,2,6,138,280
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 71","Salaberry-de-Valleyfield",57,115,38,26,4,8,248,488
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 72","Salaberry-de-Valleyfield",48,130,17,31,6,5,237,466
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 73","Salaberry-de-Valleyfield",32,102,24,22,2,3,185,386
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 74","Salaberry-de-Valleyfield",21,109,34,24,3,5,196,375
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 75","Salaberry-de-Valleyfield",26,47,16,10,0,3,102,227
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 76","Salaberry-de-Valleyfield",16,80,21,15,6,2,140,363
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 77","Salaberry-de-Valleyfield",52,90,55,15,6,3,221,401
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 78","Salaberry-de-Valleyfield",16,79,17,22,2,5,141,381
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 79","Salaberry-de-Valleyfield",32,85,17,28,2,4,168,376
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 80","Salaberry-de-Valleyfield",36,71,17,10,2,3,139,406
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 81","Salaberry-de-Valleyfield",15,96,14,13,7,3,148,318
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 82","Salaberry-de-Valleyfield",21,110,24,22,6,4,187,319
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 83A","Salaberry-de-Valleyfield",38,108,29,22,4,1,202,378
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 83B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,35
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 84","Salaberry-de-Valleyfield",25,102,30,18,2,4,181,361
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 85","Salaberry-de-Valleyfield",42,182,31,44,0,2,301,539
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 86","Salaberry-de-Valleyfield",23,105,11,28,3,5,175,353
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 87","Salaberry-de-Valleyfield",21,113,12,17,2,5,170,388
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 88","Salaberry-de-Valleyfield",23,88,34,30,7,1,183,468
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 89","Salaberry-de-Valleyfield",22,57,5,10,4,5,103,272
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 90","Salaberry-de-Valleyfield",29,95,16,26,3,7,176,347
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 91","Salaberry-de-Valleyfield",25,78,14,17,7,4,145,303
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 92","Salaberry-de-Valleyfield",33,122,23,36,6,3,223,405
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 93","Salaberry-de-Valleyfield",25,143,20,38,1,4,231,403
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 94","Salaberry-de-Valleyfield",43,135,17,27,3,2,227,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 95","Salaberry-de-Valleyfield",33,117,27,19,1,2,199,401
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 96","Saint-Timothée",32,100,27,24,5,4,192,340
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 97","Saint-Timothée",53,106,35,27,4,3,228,444
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 98","Saint-Timothée",32,101,17,36,5,5,196,395
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 99","Saint-Timothée",38,184,31,42,0,1,296,524
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 100","Saint-Timothée",10,74,9,20,4,3,120,311
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 101","Saint-Timothée",10,91,20,22,5,1,149,327
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 102","Saint-Timothée",28,121,25,52,2,10,238,426
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 103A","Saint-Timothée",20,102,17,29,4,5,177,354
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 103B","Saint-Timothée",27,110,10,30,1,4,182,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 104","Saint-Timothée",32,111,11,27,3,4,188,318
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 105","Saint-Timothée",36,132,35,21,4,1,229,365
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 106","Saint-Timothée",51,178,32,53,7,4,325,481
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 107","Saint-Timothée",62,154,70,34,3,1,324,495
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 108","Saint-Timothée",15,89,11,21,1,3,140,326
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 109","Saint-Timothée",167,30,22,42,2,5,268,476
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 110","Saint-Timothée",46,124,26,20,5,5,226,385
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 111","Saint-Timothée",40,130,20,27,5,10,232,395
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 112","Melocheville",32,153,18,42,7,3,255,403
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 113","Melocheville",30,134,16,24,8,4,216,360
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 114","Melocheville",37,123,34,25,6,3,228,360
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 115","Melocheville",52,120,35,24,11,3,245,425
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 116","Melocheville",61,182,31,65,8,12,359,532
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 117","Beauharnois",19,69,21,17,4,4,134,322
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 118","Maple Grove",35,149,31,31,6,2,254,384
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 119","Maple Grove",31,132,36,31,17,3,250,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 120","Maple Grove",62,155,52,31,8,4,312,499
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 121","Maple Grove",54,124,44,44,13,5,284,499
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 122","Maple Grove",41,160,26,37,9,5,278,486
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 123","Beauharnois",34,139,21,15,3,2,214,380
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 124","Beauharnois",28,135,17,25,6,5,216,388
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 125","Beauharnois",37,108,32,16,6,4,203,439
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 126","Beauharnois",34,85,24,19,13,4,179,340
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 127","Beauharnois",37,100,28,21,5,3,194,349
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 128","Beauharnois",35,97,11,15,4,2,164,300
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 129","Beauharnois",25,108,22,22,3,6,186,302
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 130","Beauharnois",21,114,17,11,5,6,174,339
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 131","Beauharnois",20,112,7,25,4,6,174,299
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 132","Beauharnois",18,150,32,25,6,4,235,395
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 133","Beauharnois",12,125,12,19,7,4,179,305
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 134","Beauharnois",33,147,22,39,5,5,251,392
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 135","Beauharnois",43,174,24,39,12,9,301,450
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 136","Sainte-Martine",37,127,24,24,5,8,225,354
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 137","Sainte-Martine",50,202,46,46,4,1,349,529
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138A","Sainte-Martine",43,244,51,59,12,7,416,517
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 138B","Sainte-Martine",Merged with No. 138-1/Fusionné avec le nº 138-1,,,,,,,168
