Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leonard Aitken,Duncan Fletcher,Nadine Hawkins,John McCallum,Allen Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Markham--Unionville/Markham--Unionville"," 57","Markham",16,106,12,118,0,0,252,430
35045,"Markham--Unionville/Markham--Unionville"," 58","Markham",21,86,21,143,3,3,277,586
35045,"Markham--Unionville/Markham--Unionville"," 58-1","Markham",4,99,12,64,0,1,180,413
35045,"Markham--Unionville/Markham--Unionville"," 59","Markham",4,54,22,118,1,1,200,422
35045,"Markham--Unionville/Markham--Unionville"," 59-1","Markham",1,33,17,96,0,4,151,338
35045,"Markham--Unionville/Markham--Unionville"," 60","Markham",9,59,34,84,1,0,187,385
35045,"Markham--Unionville/Markham--Unionville"," 60-1","Markham",5,56,17,73,1,0,152,333
35045,"Markham--Unionville/Markham--Unionville"," 60-2","Markham",3,66,43,140,1,2,255,564
35045,"Markham--Unionville/Markham--Unionville"," 61","Markham",11,70,27,90,1,2,201,558
35045,"Markham--Unionville/Markham--Unionville"," 61-1","Markham",7,70,26,97,2,1,203,522
35045,"Markham--Unionville/Markham--Unionville"," 61-2","Markham",5,69,33,83,2,0,192,437
35045,"Markham--Unionville/Markham--Unionville"," 62","Markham",7,41,11,83,0,2,144,325
35045,"Markham--Unionville/Markham--Unionville"," 63","Markham",5,30,3,37,0,0,75,197
35045,"Markham--Unionville/Markham--Unionville"," 64","Markham",4,16,11,32,0,0,63,220
35045,"Markham--Unionville/Markham--Unionville"," 64-1","Markham",2,43,27,73,0,1,146,423
35045,"Markham--Unionville/Markham--Unionville"," 65","Markham",6,58,15,115,1,1,196,460
35045,"Markham--Unionville/Markham--Unionville"," 66","Markham",10,67,16,137,0,3,233,561
35045,"Markham--Unionville/Markham--Unionville"," 67","Markham",10,48,27,148,2,1,236,536
35045,"Markham--Unionville/Markham--Unionville"," 68","Markham",10,53,17,142,2,1,225,575
35045,"Markham--Unionville/Markham--Unionville"," 69","Markham",7,78,40,127,0,6,258,581
35045,"Markham--Unionville/Markham--Unionville"," 70","Markham",10,52,29,92,3,1,187,427
35045,"Markham--Unionville/Markham--Unionville"," 71","Markham",3,40,25,52,3,1,124,405
35045,"Markham--Unionville/Markham--Unionville"," 71-1","Markham",1,51,27,76,0,1,156,466
35045,"Markham--Unionville/Markham--Unionville"," 72","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 73","Markham",15,71,31,165,2,2,286,546
35045,"Markham--Unionville/Markham--Unionville"," 74A","Markham",3,18,9,71,0,0,101,295
35045,"Markham--Unionville/Markham--Unionville"," 74B","Markham",2,32,15,68,0,1,118,382
35045,"Markham--Unionville/Markham--Unionville"," 74-1","Markham",4,55,15,96,1,2,173,399
35045,"Markham--Unionville/Markham--Unionville"," 75","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 76A","Markham",10,37,22,95,0,0,164,400
35045,"Markham--Unionville/Markham--Unionville"," 76B","Markham",5,34,18,76,1,0,134,322
35045,"Markham--Unionville/Markham--Unionville"," 77","Markham",16,49,30,143,2,0,240,530
35045,"Markham--Unionville/Markham--Unionville"," 78A","Markham",3,53,14,75,0,5,150,343
35045,"Markham--Unionville/Markham--Unionville"," 78B","Markham",3,44,20,66,1,1,135,275
35045,"Markham--Unionville/Markham--Unionville"," 79","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 80","Markham",9,67,43,136,1,0,256,485
35045,"Markham--Unionville/Markham--Unionville"," 81","Markham",3,67,30,131,0,4,235,491
35045,"Markham--Unionville/Markham--Unionville"," 82","Markham",8,64,26,168,3,7,276,568
35045,"Markham--Unionville/Markham--Unionville"," 83","Markham",13,59,52,152,0,2,278,563
35045,"Markham--Unionville/Markham--Unionville"," 84","Markham",4,49,25,130,4,2,214,496
35045,"Markham--Unionville/Markham--Unionville"," 85","Markham",2,51,27,130,1,0,211,436
35045,"Markham--Unionville/Markham--Unionville"," 86","Markham",6,69,35,154,1,1,266,617
35045,"Markham--Unionville/Markham--Unionville"," 87A","Markham",3,33,15,96,1,1,149,326
35045,"Markham--Unionville/Markham--Unionville"," 87B","Markham",0,36,12,116,2,0,166,333
35045,"Markham--Unionville/Markham--Unionville"," 88","Markham",11,67,38,162,2,1,281,577
35045,"Markham--Unionville/Markham--Unionville"," 89","Markham",6,74,32,138,3,1,254,555
35045,"Markham--Unionville/Markham--Unionville"," 90","Markham",5,55,15,130,3,3,211,479
35045,"Markham--Unionville/Markham--Unionville"," 91","Markham",15,36,27,146,0,3,227,502
35045,"Markham--Unionville/Markham--Unionville"," 92","Markham",8,60,24,155,0,3,250,542
35045,"Markham--Unionville/Markham--Unionville"," 93","Markham",6,31,23,153,0,0,213,532
35045,"Markham--Unionville/Markham--Unionville"," 94","Markham",7,49,26,176,1,4,263,547
35045,"Markham--Unionville/Markham--Unionville"," 95","Markham",6,34,36,143,0,1,220,456
35045,"Markham--Unionville/Markham--Unionville"," 96","Markham",12,54,35,120,0,4,225,499
35045,"Markham--Unionville/Markham--Unionville"," 97A","Markham",2,38,18,73,0,6,137,344
35045,"Markham--Unionville/Markham--Unionville"," 97B","Markham",1,27,10,67,0,0,105,282
35045,"Markham--Unionville/Markham--Unionville"," 98","Markham",6,46,7,91,0,2,152,449
35045,"Markham--Unionville/Markham--Unionville"," 99","Markham",3,40,19,94,0,2,158,405
35045,"Markham--Unionville/Markham--Unionville"," 100","Markham",8,49,32,111,0,2,202,488
35045,"Markham--Unionville/Markham--Unionville"," 100-1","Markham",3,28,23,103,1,1,159,405
35045,"Markham--Unionville/Markham--Unionville"," 101","Markham",4,44,30,129,1,1,209,517
35045,"Markham--Unionville/Markham--Unionville"," 102","Markham",7,61,35,167,4,2,276,599
35045,"Markham--Unionville/Markham--Unionville"," 103","Markham",10,45,30,80,0,3,168,310
35045,"Markham--Unionville/Markham--Unionville"," 104","Markham",12,39,29,94,0,4,178,370
35045,"Markham--Unionville/Markham--Unionville"," 105","Markham",5,62,44,143,3,3,260,552
35045,"Markham--Unionville/Markham--Unionville"," 106","Markham",10,42,24,141,0,2,219,534
35045,"Markham--Unionville/Markham--Unionville"," 107","Markham",4,28,30,102,0,0,164,373
35045,"Markham--Unionville/Markham--Unionville"," 108","Markham",6,43,21,71,3,3,147,312
35045,"Markham--Unionville/Markham--Unionville"," 109","Markham",8,69,47,148,0,0,272,572
35045,"Markham--Unionville/Markham--Unionville"," 110","Markham",3,77,35,174,2,2,293,587
35045,"Markham--Unionville/Markham--Unionville"," 111","Markham",5,47,54,170,1,2,279,595
35045,"Markham--Unionville/Markham--Unionville"," 112","Markham",14,50,26,126,2,0,218,464
35045,"Markham--Unionville/Markham--Unionville"," 113","Markham",8,28,40,171,2,3,252,507
35045,"Markham--Unionville/Markham--Unionville"," 114","Markham",5,30,21,157,3,0,216,461
35045,"Markham--Unionville/Markham--Unionville"," 114-1","Markham",6,56,19,141,1,0,223,435
35045,"Markham--Unionville/Markham--Unionville"," 114-2","Markham",5,56,19,106,0,0,186,393
35045,"Markham--Unionville/Markham--Unionville"," 115","Markham",8,46,28,140,1,0,223,437
35045,"Markham--Unionville/Markham--Unionville"," 115-1","Markham",2,37,25,141,0,0,205,416
35045,"Markham--Unionville/Markham--Unionville"," 115-2A","Markham",3,19,21,64,1,0,108,305
35045,"Markham--Unionville/Markham--Unionville"," 115-2B","Markham",4,23,27,93,3,3,153,365
35045,"Markham--Unionville/Markham--Unionville"," 116","Markham",3,27,25,132,1,0,188,401
35045,"Markham--Unionville/Markham--Unionville"," 116-1","Markham",4,19,22,102,0,1,148,327
35045,"Markham--Unionville/Markham--Unionville"," 117A","Markham",2,37,11,118,2,0,170,346
35045,"Markham--Unionville/Markham--Unionville"," 117B","Markham",3,25,19,113,2,5,167,333
35045,"Markham--Unionville/Markham--Unionville"," 118A","Markham",7,31,15,84,0,1,138,311
35045,"Markham--Unionville/Markham--Unionville"," 118B","Markham",7,26,17,110,0,2,162,332
35045,"Markham--Unionville/Markham--Unionville"," 119","Markham",2,39,31,150,2,2,226,499
35045,"Markham--Unionville/Markham--Unionville"," 120","Markham",7,45,22,162,3,2,241,540
35045,"Markham--Unionville/Markham--Unionville"," 121","Markham",5,19,25,142,1,0,192,485
35045,"Markham--Unionville/Markham--Unionville"," 122","Markham",0,27,12,110,2,0,151,336
35045,"Markham--Unionville/Markham--Unionville"," 122-1","Markham",7,21,27,131,0,3,189,426
35045,"Markham--Unionville/Markham--Unionville"," 123","Markham",2,33,27,137,0,3,202,475
35045,"Markham--Unionville/Markham--Unionville"," 124","Markham",7,46,20,159,0,4,236,587
35045,"Markham--Unionville/Markham--Unionville"," 125","Markham",5,31,31,163,2,1,233,513
35045,"Markham--Unionville/Markham--Unionville"," 126","Markham",1,23,26,124,0,1,175,389
35045,"Markham--Unionville/Markham--Unionville"," 127","Markham",7,44,26,149,0,1,227,495
35045,"Markham--Unionville/Markham--Unionville"," 128","Markham",9,27,21,130,3,0,190,395
35045,"Markham--Unionville/Markham--Unionville"," 129","Markham",6,31,10,146,0,2,195,460
35045,"Markham--Unionville/Markham--Unionville"," 130","Markham",8,17,19,92,1,1,138,302
35045,"Markham--Unionville/Markham--Unionville"," 131","Markham",2,33,25,145,0,1,206,463
35045,"Markham--Unionville/Markham--Unionville"," 132","Markham",7,34,21,162,2,2,228,486
35045,"Markham--Unionville/Markham--Unionville"," 133","Markham",2,34,33,152,2,1,224,519
35045,"Markham--Unionville/Markham--Unionville"," 134","Markham",2,18,12,64,1,0,97,209
35045,"Markham--Unionville/Markham--Unionville"," 135","Markham",7,48,37,157,2,2,253,561
35045,"Markham--Unionville/Markham--Unionville"," 136","Markham",6,46,29,154,3,2,240,553
35045,"Markham--Unionville/Markham--Unionville"," 137A","Markham",10,39,16,104,0,2,171,340
35045,"Markham--Unionville/Markham--Unionville"," 137B","Markham",4,19,10,61,3,3,100,268
35045,"Markham--Unionville/Markham--Unionville"," 138","Markham",9,66,23,139,0,2,239,561
35045,"Markham--Unionville/Markham--Unionville"," 139","Markham",7,41,22,168,3,1,242,588
35045,"Markham--Unionville/Markham--Unionville"," 140","Markham",2,56,34,169,0,5,266,578
35045,"Markham--Unionville/Markham--Unionville"," 141A","Markham",1,23,31,102,3,0,160,372
35045,"Markham--Unionville/Markham--Unionville"," 141B","Markham",1,38,7,20,2,0,68,132
35045,"Markham--Unionville/Markham--Unionville"," 142","Markham",17,86,19,60,0,1,183,290
35045,"Markham--Unionville/Markham--Unionville"," 143","Markham",22,152,33,127,1,0,335,522
35045,"Markham--Unionville/Markham--Unionville"," 144","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 145","Markham",16,59,21,74,0,2,172,361
35045,"Markham--Unionville/Markham--Unionville"," 146","Markham",12,95,14,45,1,0,167,292
35045,"Markham--Unionville/Markham--Unionville"," 147","Markham",15,106,8,79,1,0,209,440
35045,"Markham--Unionville/Markham--Unionville"," 148","Markham",10,109,20,106,3,0,248,602
35045,"Markham--Unionville/Markham--Unionville"," 149","Markham",12,87,11,87,0,1,198,342
35045,"Markham--Unionville/Markham--Unionville"," 150","Markham",24,126,15,98,0,0,263,412
35045,"Markham--Unionville/Markham--Unionville"," 151","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 152","Markham",19,95,18,89,0,2,223,397
35045,"Markham--Unionville/Markham--Unionville"," 153","Markham",25,83,33,93,1,0,235,395
35045,"Markham--Unionville/Markham--Unionville"," 154","Markham",18,106,22,131,1,1,279,401
35045,"Markham--Unionville/Markham--Unionville"," 155","Markham",22,91,20,126,3,3,265,484
35045,"Markham--Unionville/Markham--Unionville"," 156","Markham",15,88,22,142,1,0,268,486
35045,"Markham--Unionville/Markham--Unionville"," 157","Markham",7,74,24,125,0,0,230,438
35045,"Markham--Unionville/Markham--Unionville"," 158","Markham",15,93,38,165,1,0,312,533
35045,"Markham--Unionville/Markham--Unionville"," 159","Markham",8,102,23,140,0,0,273,566
35045,"Markham--Unionville/Markham--Unionville"," 160","Markham",8,80,33,155,1,2,279,561
35045,"Markham--Unionville/Markham--Unionville"," 161A","Markham",6,59,13,89,0,0,167,321
35045,"Markham--Unionville/Markham--Unionville"," 161B","Markham",4,34,12,94,0,3,147,288
35045,"Markham--Unionville/Markham--Unionville"," 162","Markham",2,43,9,118,0,0,172,360
35045,"Markham--Unionville/Markham--Unionville"," 163","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 164","Markham",15,83,33,140,1,4,276,505
35045,"Markham--Unionville/Markham--Unionville"," 165A","Markham",4,46,15,95,4,1,165,330
35045,"Markham--Unionville/Markham--Unionville"," 165B","Markham",6,47,17,77,0,0,147,284
35045,"Markham--Unionville/Markham--Unionville"," 166","Markham",5,70,41,140,0,1,257,546
35045,"Markham--Unionville/Markham--Unionville"," 167","Markham",14,75,20,124,1,0,234,461
35045,"Markham--Unionville/Markham--Unionville"," 167-1","Markham",6,30,24,112,1,1,174,331
35045,"Markham--Unionville/Markham--Unionville"," 167-2","Markham",3,32,21,108,1,1,166,367
35045,"Markham--Unionville/Markham--Unionville"," 167-3","Markham",2,45,41,220,2,6,316,565
35045,"Markham--Unionville/Markham--Unionville"," 167-4A","Markham",3,24,20,153,0,0,200,401
35045,"Markham--Unionville/Markham--Unionville"," 167-4B","Markham",8,20,31,148,0,3,210,406
35045,"Markham--Unionville/Markham--Unionville"," 167-5","Markham",6,23,26,164,2,2,223,432
35045,"Markham--Unionville/Markham--Unionville"," 400","Markham",3,72,18,92,3,0,188,496
35045,"Markham--Unionville/Markham--Unionville"," 500","Mobile poll/Bureau itinérant",4,44,4,21,1,2,76,176
35045,"Markham--Unionville/Markham--Unionville"," 600","Markham",34,257,52,362,7,2,714,
35045,"Markham--Unionville/Markham--Unionville"," 601","Markham",31,265,26,210,0,0,532,
35045,"Markham--Unionville/Markham--Unionville"," 602","Markham",15,163,55,330,3,0,566,
35045,"Markham--Unionville/Markham--Unionville"," 603","Markham",21,108,44,326,0,0,499,
35045,"Markham--Unionville/Markham--Unionville"," 604","Markham",13,74,30,244,3,1,365,
35045,"Markham--Unionville/Markham--Unionville"," 605","Markham",22,244,44,234,3,2,549,
35045,"Markham--Unionville/Markham--Unionville"," 606","Unionville",12,75,49,331,4,1,472,
35045,"Markham--Unionville/Markham--Unionville"," 607","Unionville",22,171,18,193,1,3,408,
35045,"Markham--Unionville/Markham--Unionville",,Group 1/Groupe 1,1,19,2,34,1,3,60,94
35045,"Markham--Unionville/Markham--Unionville",,Group 2/Groupe 2,9,75,19,163,0,6,272,

