Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Christian-Simon Ferlatte,Mario Laframboise,Scott Pearce,André Robert,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 22","Boileau",4,0,60,24,26,17,0,131,266
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 23","Namur",1,1,108,59,41,14,3,227,484
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 24","Saint-Émile-de-Suffolk",5,1,125,17,39,17,2,206,411
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 25","Chénéville",3,1,124,28,39,19,6,220,377
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 26","Chénéville",3,1,93,35,32,18,1,183,358
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 27","Lac-Simon",4,0,61,34,29,32,4,164,242
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 28","Lac-Simon",6,0,123,39,44,17,1,230,372
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 29","Notre-Dame-de-la-Paix",10,0,92,17,14,5,2,140,238
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 30","Notre-Dame-de-la-Paix",3,2,136,19,16,9,1,186,318
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 31","Saint-André-Avellin",6,4,113,26,34,23,1,207,382
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 32A","Saint-André-Avellin",3,0,77,34,24,12,2,152,263
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 32B","Saint-André-Avellin",4,0,74,32,32,15,4,161,305
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 33","Saint-André-Avellin",6,1,87,21,17,6,0,138,292
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 34","Saint-André-Avellin",3,0,34,3,5,4,0,49,120
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 35","Saint-André-Avellin",5,0,111,18,14,23,5,176,391
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 36","Saint-André-Avellin",5,0,121,32,32,11,4,205,408
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 37","Saint-André-Avellin",2,1,62,14,9,13,3,104,190
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 38","Saint-André-Avellin",8,0,114,22,34,30,2,210,411
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 39","Plaisance",4,0,153,34,36,36,3,266,474
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 40","Plaisance",6,1,117,28,44,21,4,221,361
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 41","Sainte-Angélique",1,0,83,24,13,12,0,133,244
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 42","Papineauville",3,0,65,11,12,5,2,98,195
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 42-1A","Papineauville",3,0,70,25,28,21,1,148,275
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 42-1B","Papineauville",2,0,83,23,32,21,2,163,300
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 43","Papineauville",10,2,107,33,38,31,5,226,425
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 44","Papineauville",4,0,157,26,49,21,3,260,453
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 45","Montebello",3,2,61,22,38,18,0,144,260
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 46","Montebello",3,0,80,21,25,19,2,150,266
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 47","Montebello",7,2,96,26,38,21,0,190,352
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 48","Notre-Dame-de-Bon-Secours-Partie-Nord",7,0,44,17,34,11,0,113,210
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 49","Fassett",12,0,104,52,42,24,1,235,397
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 50","Avoca",7,0,10,34,21,7,0,79,157
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 51","Grenville-sur-la-Rouge--Pointe-au-Chêne",6,0,80,46,53,40,0,225,466
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 51-1","Grenville sur la Rouge",4,0,24,28,32,6,0,94,209
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 52","Kilmar",2,0,9,47,25,10,0,93,275
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 53","Grenville-sur-la-Rouge",5,0,26,31,37,15,2,116,240
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 54","Grenville-sur-la-Rouge",8,0,32,35,32,23,0,130,235
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 55","Grenville-sur-la-Rouge",9,0,49,40,41,20,0,159,345
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 56","Grenville",8,0,76,38,53,33,1,209,461
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 57","Grenville",5,0,53,39,58,22,1,178,429
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 58","Grenville",8,0,51,40,54,25,5,183,349
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 59","Grenville-sur-la-Rouge",6,0,81,50,49,15,5,206,422
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 60","Harrington",10,0,12,44,16,12,2,96,185
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 61","Harrington--Lost River",10,0,48,80,124,24,7,293,530
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 62","Lac-des-Seize-Îles",5,0,38,21,25,6,4,99,146
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 63","Lac-des-Seize-Îles",7,0,141,42,60,39,10,299,533
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 64","Wentworth-Nord--Laurel",Void/Supprimé,,,,,,,,
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 65","Montfort",5,0,43,37,49,20,1,155,250
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 66","Saint-Michel-de-Wentworth",3,0,58,37,34,14,1,147,372
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 67","Brownsburg-Chatham (Brownsburg)",11,0,64,70,69,38,1,253,524
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 68","Brownsburg-Chatham (Saint-Philippe)",2,0,60,44,38,22,1,167,372
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 69","Brownsburg-Chatham (Saint-Philippe)",4,0,42,55,48,17,2,168,379
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 70","Brownsburg-Chatham (Saint-Philippe)",10,2,75,72,42,31,3,235,492
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 71","Brownsburg-Chatham (Saint-Philippe)",6,0,96,43,48,23,0,216,374
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 72","Brownsburg-Chatham (Saint-Philippe)",5,1,61,36,32,25,2,162,413
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 73","Brownsburg-Chatham (Brownsburg)",7,0,59,48,38,31,0,183,444
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 74","Brownsburg-Chatham (Brownsburg)",10,1,80,16,25,19,1,152,413
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 75","Brownsburg-Chatham (Brownsburg)",3,0,59,18,19,17,1,117,275
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 76","Brownsburg-Chatham (Brownsburg)",8,0,87,31,34,20,0,180,445
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 77","Brownsburg-Chatham (Brownsburg)",11,0,79,42,23,23,6,184,446
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 78","Brownsburg-Chatham (Brownsburg)",5,1,45,76,46,27,1,201,488
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 79","Brownsburg-Chatham (Brownsburg)",7,0,68,39,21,16,2,153,326
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 79-1","Brownsburg-Chatham",4,0,76,17,10,23,2,132,334
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 80","Louisa",19,0,46,118,59,9,1,252,420
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 81","Saint-Adolphe-d'Howard",14,0,115,24,47,36,7,243,427
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 82A","Saint-Adolphe-d'Howard",6,0,71,23,48,14,3,165,281
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 82B","Saint-Adolphe-d'Howard",4,0,72,29,41,21,3,170,286
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 83","Saint-Adolphe-d'Howard",2,1,129,29,74,27,3,265,442
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 84","Saint-Adolphe-d'Howard",11,0,69,7,28,16,4,135,261
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 85A","Saint-Adolphe-d'Howard",12,0,45,24,19,11,0,111,267
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 85B","Saint-Adolphe-d'Howard",8,0,54,16,30,11,0,119,305
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 86","Saint-Adolphe-d'Howard",10,0,61,21,37,16,1,146,309
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 86-1","Saint-Adolphe-d'Howard",17,0,69,18,31,17,3,155,339
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 87","Morin-Heights",30,0,78,44,73,25,1,251,442
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 87-1","Morin-Heights",3,0,15,13,22,19,2,74,159
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 88","Morin-Heights",18,0,88,28,58,33,1,226,415
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 88-1","Morin-Heights",17,1,62,16,64,24,0,184,371
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 89","Morin-Heights",9,0,62,65,90,38,2,266,481
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 90A","Morin-Heights",13,0,36,19,36,17,1,122,289
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 90B","Morin-Heights",19,1,36,35,55,33,1,180,333
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 91","Morin-Heights",8,0,54,26,67,12,1,168,322
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 91-1","Morin-Heights",9,0,53,37,61,24,2,186,339
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 92A","Mille-Isles",17,0,75,54,56,29,0,231,301
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 92B","Mille-Isles",13,0,47,24,35,21,1,141,311
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 93A","Mille-Isles",16,0,80,12,34,24,3,169,307
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 93B","Mille-Isles",3,0,68,23,24,18,1,137,300
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 94","Lakefield--Gore",13,0,114,80,32,17,3,259,445
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 95","Lakefield--Gore",14,0,88,71,40,25,3,241,460
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 96","Lakefield--Gore",7,0,61,51,25,16,3,163,344
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 97","Lachute",17,0,64,56,63,12,4,216,478
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 98A","Lachute",3,0,55,24,42,20,2,146,260
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 98B","Lachute",1,1,61,40,39,10,0,152,274
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 99","Lachute",6,2,109,35,37,13,2,204,475
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 100","Lachute",4,0,90,11,26,25,15,171,450
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 101","Lachute",8,1,104,37,33,12,2,197,474
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 102","Lachute",6,0,86,29,25,14,2,162,354
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 103","Lachute",8,1,67,19,39,16,9,159,383
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 104","Lachute",5,0,118,32,28,25,3,211,410
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 105","Lachute",9,0,73,17,27,12,5,143,396
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 106","Lachute",6,0,66,52,39,18,1,182,421
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 107","Lachute",9,1,63,31,29,13,3,149,398
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 108","Lachute",14,0,69,52,45,14,2,196,438
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 109","Lachute",11,0,89,81,53,21,4,259,482
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 110","Lachute",13,0,92,61,53,25,1,245,475
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 111","Lachute",5,0,65,28,40,15,4,157,374
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 112","Lachute",19,0,78,51,46,27,2,223,450
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 113","Lachute",8,2,58,20,37,20,2,147,472
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 114","Lachute",9,0,114,30,56,16,3,228,406
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 115","Lachute",6,0,67,22,31,25,4,155,334
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 116","Lachute",3,0,93,33,56,20,3,208,454
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 117","Lachute",1,1,140,62,38,20,1,263,452
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 118","Lachute",8,0,130,33,45,28,3,247,535
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 119","Saint-André-d'Argenteuil",7,1,15,5,12,4,1,45,186
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 120","Saint-André-d'Argenteuil",8,0,95,45,47,27,8,230,434
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 121","Saint-André-d'Argenteuil",12,2,100,30,43,26,1,214,367
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 122","Saint-André-d'Argenteuil",8,0,85,25,29,23,4,174,370
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 123","Saint-André-d'Argenteuil",4,0,109,34,51,33,3,234,488
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 124","Saint-André-d'Argenteuil",3,0,86,36,29,12,2,168,352
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 124-1","Saint-André-d'Argenteuil",8,0,76,31,25,15,2,157,248
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 125A","Saint-Placide",3,1,87,24,20,17,1,153,264
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 125B","Saint-Placide",13,0,94,27,29,19,1,183,304
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 126","Saint-Placide",11,0,120,23,16,21,3,194,342
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 127","Saint-Placide",9,0,147,32,31,24,0,243,459
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 128A","Pointe-aux-Anglais--Oka",6,0,63,16,13,16,2,116,269
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 128B","Pointe-aux-Anglais--Oka",4,0,58,18,33,17,2,132,299
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 128-1","Oka",4,0,39,6,12,12,0,73,171
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 129","Oka",16,1,121,21,55,34,7,255,473
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 130","Oka",14,1,113,31,43,39,5,246,384
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 131","Oka",6,1,95,33,26,29,2,192,281
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 132","Oka",2,0,95,32,43,22,1,195,305
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 133A","Oka",6,0,82,24,34,26,0,172,279
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 133B","Oka",6,1,104,25,45,28,2,211,310
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 134","Oka",7,1,132,37,46,36,2,261,424
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 135","Saint-Joseph-du-Lac",8,0,100,34,43,38,5,228,362
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 136","Saint-Joseph-du-Lac",5,1,95,15,28,17,3,164,324
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 137","Saint-Joseph-du-Lac",16,0,166,37,49,47,5,320,476
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 138","Saint-Joseph-du-Lac",11,0,127,51,37,26,7,259,463
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 139","Saint-Joseph-du-Lac",10,0,113,26,50,28,3,230,402
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 140","Saint-Joseph-du-Lac",10,0,130,33,29,27,9,238,414
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 141A","Saint-Joseph-du-Lac",6,0,146,34,41,33,5,265,412
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 141B","Saint-Joseph-du-Lac",13,1,134,23,43,32,4,250,399
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 142","Saint-Joseph-du-Lac",3,1,146,27,43,32,6,258,502
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 143","Saint-Joseph-du-Lac",5,0,83,25,18,29,4,164,306
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 143-1","Saint-Joseph-du-Lac",2,2,58,17,14,6,3,102,215
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 144","Pointe-Calumet",7,1,122,19,31,26,1,207,428
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 145","Pointe-Calumet",9,0,95,21,36,30,7,198,367
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 146","Pointe-Calumet",5,1,135,29,22,27,5,224,415
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 147","Pointe-Calumet",3,0,105,10,20,33,4,175,300
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 148A","Pointe-Calumet",8,0,87,15,16,26,4,156,298
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 148B","Pointe-Calumet",5,0,112,17,16,29,4,183,320
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 149","Pointe-Calumet",7,1,171,41,39,38,6,303,513
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 150","Pointe-Calumet",14,1,145,44,34,33,5,276,493
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 151A","Pointe-Calumet",8,1,84,19,23,14,4,153,284
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 151B","Pointe-Calumet",4,0,56,28,23,23,4,138,271
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 152","Pointe-Calumet",8,2,97,15,33,13,0,168,327
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 153","Pointe-Calumet",10,0,125,17,23,25,10,210,411
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 154","Pointe-Calumet",7,2,100,23,28,32,6,198,360
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 155","Mirabel (Saint-Hermas)",9,0,176,50,25,26,2,288,461
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 156","Mirabel (Saint-Hermas)",7,0,67,33,18,13,2,140,216
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 157","Mirabel (Sainte-Monique)",3,1,95,28,20,18,1,166,266
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 158","Mirabel (Sainte-Scholastique)",6,0,85,35,21,26,5,178,266
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 159A","Mirabel (Sainte-Scholastique)",7,0,98,21,21,40,2,189,281
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 159B","Mirabel (Sainte-Scholastique)",10,0,92,32,25,31,7,197,302
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 160","Mirabel (Saint-Augustin)",6,1,71,41,36,25,0,180,367
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161A","Mirabel (Parc du Domaine Vert)",5,0,77,25,30,17,0,154,268
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161B","Mirabel (Parc du Domaine Vert)",1,0,98,25,22,15,1,162,291
