Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erik Matthew Millett,Rob Moir,Rob Moore,Mark Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 80","Sussex",6,36,66,33,2,143,322
13004,"Fundy Royal/Fundy Royal"," 81","Sussex",11,20,86,43,1,161,326
13004,"Fundy Royal/Fundy Royal"," 82","Sussex",6,20,103,35,0,164,308
13004,"Fundy Royal/Fundy Royal"," 83","Sussex",25,29,63,29,1,147,396
13004,"Fundy Royal/Fundy Royal"," 84","Sussex",4,22,69,23,0,118,270
13004,"Fundy Royal/Fundy Royal"," 85","Sussex",8,20,68,21,1,118,273
13004,"Fundy Royal/Fundy Royal"," 86","Sussex",12,35,115,56,3,221,429
13004,"Fundy Royal/Fundy Royal"," 87","Sussex",5,34,95,34,3,171,319
13004,"Fundy Royal/Fundy Royal"," 88","Sussex",6,25,75,22,0,128,275
13004,"Fundy Royal/Fundy Royal"," 89","Sussex",12,27,57,25,0,121,294
13004,"Fundy Royal/Fundy Royal"," 90","Sussex",4,18,59,21,1,103,217
13004,"Fundy Royal/Fundy Royal"," 91","Apohaqui",11,45,97,55,1,209,402
13004,"Fundy Royal/Fundy Royal"," 92","Erb Settlement",11,49,76,57,2,195,349
13004,"Fundy Royal/Fundy Royal"," 93A","Norton",11,33,55,31,1,131,278
13004,"Fundy Royal/Fundy Royal"," 93B","Norton",16,18,73,33,2,142,268
13004,"Fundy Royal/Fundy Royal"," 94","Central Norton",23,70,131,34,0,258,417
13004,"Fundy Royal/Fundy Royal"," 95","Bloomfield",18,70,92,37,0,217,440
13004,"Fundy Royal/Fundy Royal"," 96A","Salt Springs",3,35,90,15,1,144,264
13004,"Fundy Royal/Fundy Royal"," 96B","Salt Springs",8,43,79,17,2,149,289
13004,"Fundy Royal/Fundy Royal"," 97A","Upham",7,36,68,13,1,125,262
13004,"Fundy Royal/Fundy Royal"," 97B","Upham",9,52,59,8,2,130,251
13004,"Fundy Royal/Fundy Royal"," 98A","Woodpecker Hall",5,46,70,23,1,145,289
13004,"Fundy Royal/Fundy Royal"," 98B","Woodpecker Hall",4,37,63,19,0,123,284
13004,"Fundy Royal/Fundy Royal"," 99","Barnesville",9,50,103,23,1,186,352
13004,"Fundy Royal/Fundy Royal"," 100","Hampton",18,55,124,48,3,248,424
13004,"Fundy Royal/Fundy Royal"," 101","Hampton",6,38,47,24,1,116,223
13004,"Fundy Royal/Fundy Royal"," 102","Hampton",17,47,57,33,1,155,375
13004,"Fundy Royal/Fundy Royal"," 103A","Hampton",13,33,70,28,0,144,262
13004,"Fundy Royal/Fundy Royal"," 103B","Hampton",9,39,70,19,0,137,287
13004,"Fundy Royal/Fundy Royal"," 104","Hampton",13,78,114,46,2,253,410
13004,"Fundy Royal/Fundy Royal"," 105","Hampton",16,63,97,36,2,214,410
13004,"Fundy Royal/Fundy Royal"," 106","Hampton",14,52,79,30,0,175,411
13004,"Fundy Royal/Fundy Royal"," 107A","Darlings Island",9,47,61,36,0,153,228
13004,"Fundy Royal/Fundy Royal"," 107B","Darlings Island",9,46,63,25,0,143,231
13004,"Fundy Royal/Fundy Royal"," 108","Bonney Road",16,38,78,27,0,159,331
13004,"Fundy Royal/Fundy Royal"," 109","Nauwigewauk",26,56,121,42,1,246,409
13004,"Fundy Royal/Fundy Royal"," 110","French Village",8,47,59,19,0,133,302
13004,"Fundy Royal/Fundy Royal"," 111","Upper Golden Grove",12,59,87,29,0,187,430
13004,"Fundy Royal/Fundy Royal"," 112A","Lower Norton",17,44,76,29,1,167,250
13004,"Fundy Royal/Fundy Royal"," 112B","Lower Norton",6,54,66,27,1,154,235
13004,"Fundy Royal/Fundy Royal"," 113","Kingston",7,71,100,28,0,206,351
13004,"Fundy Royal/Fundy Royal"," 114A","Kingston",15,59,67,23,0,164,280
13004,"Fundy Royal/Fundy Royal"," 114B","Kingston",10,47,101,24,1,183,291
13004,"Fundy Royal/Fundy Royal"," 115","Clifton Royal",11,57,109,35,0,212,399
13004,"Fundy Royal/Fundy Royal"," 116","Long Reach",13,65,79,41,2,200,302
13004,"Fundy Royal/Fundy Royal"," 117A","Summerville",9,60,67,33,2,171,275
13004,"Fundy Royal/Fundy Royal"," 117B","Summerville",16,54,79,26,1,176,287
13004,"Fundy Royal/Fundy Royal"," 118","Bayswater",10,80,91,39,2,222,395
13004,"Fundy Royal/Fundy Royal"," 119","Quispamsis",20,49,104,40,1,214,436
13004,"Fundy Royal/Fundy Royal"," 120A","Quispamsis",5,18,44,20,1,88,235
13004,"Fundy Royal/Fundy Royal"," 120B","Quispamsis",5,31,66,21,1,124,245
13004,"Fundy Royal/Fundy Royal"," 121","Quispamsis",15,38,98,44,1,196,387
13004,"Fundy Royal/Fundy Royal"," 121-1","Quispamsis",18,33,72,32,0,155,304
13004,"Fundy Royal/Fundy Royal"," 122A","Quispamsis",14,36,75,28,0,153,292
13004,"Fundy Royal/Fundy Royal"," 122B","Quispamsis",13,33,58,29,1,134,272
13004,"Fundy Royal/Fundy Royal"," 123","Quispamsis",4,44,84,44,1,177,338
13004,"Fundy Royal/Fundy Royal"," 124","Quispamsis",7,29,70,21,1,128,311
13004,"Fundy Royal/Fundy Royal"," 125","Quispamsis",10,54,57,21,1,143,423
13004,"Fundy Royal/Fundy Royal"," 126","Quispamsis",Void/Supprimé,,,,,,
13004,"Fundy Royal/Fundy Royal"," 127","Quispamsis",3,24,56,20,0,103,252
13004,"Fundy Royal/Fundy Royal"," 128","Quispamsis",8,32,99,50,2,191,407
13004,"Fundy Royal/Fundy Royal"," 128-1","Quispamsis",7,38,98,32,1,176,350
13004,"Fundy Royal/Fundy Royal"," 129","Quispamsis",7,28,82,31,1,149,301
13004,"Fundy Royal/Fundy Royal"," 129-1","Quispamsis",7,63,110,40,3,223,457
13004,"Fundy Royal/Fundy Royal"," 130","Quispamsis",14,51,96,37,0,198,372
13004,"Fundy Royal/Fundy Royal"," 131","Quispamsis",13,44,72,26,0,155,354
13004,"Fundy Royal/Fundy Royal"," 132","Quispamsis",8,20,89,33,2,152,307
13004,"Fundy Royal/Fundy Royal"," 132-1","Quispamsis",12,26,75,30,0,143,284
13004,"Fundy Royal/Fundy Royal"," 133A","Quispamsis",6,30,83,21,1,141,296
13004,"Fundy Royal/Fundy Royal"," 133B","Quispamsis",10,27,89,47,0,173,316
13004,"Fundy Royal/Fundy Royal"," 134A","Quispamsis",12,27,57,30,2,128,238
13004,"Fundy Royal/Fundy Royal"," 134B","Quispamsis",6,22,45,27,0,100,233
13004,"Fundy Royal/Fundy Royal"," 135","Quispamsis",19,45,140,70,1,275,461
13004,"Fundy Royal/Fundy Royal"," 135-1","Gondola - Dissolve 1997",8,38,114,76,0,236,399
13004,"Fundy Royal/Fundy Royal"," 136","Quispamsis",18,51,106,53,1,229,438
13004,"Fundy Royal/Fundy Royal"," 137","Quispamsis",14,65,89,57,2,227,447
13004,"Fundy Royal/Fundy Royal"," 138A","Quispamsis",8,27,58,35,0,128,253
13004,"Fundy Royal/Fundy Royal"," 138B","Quispamsis",6,25,71,29,1,132,252
13004,"Fundy Royal/Fundy Royal"," 139","Quispamsis",18,43,115,49,0,225,413
13004,"Fundy Royal/Fundy Royal"," 500","Mobile poll/Bureau itinérant",6,10,22,14,0,52,71
13004,"Fundy Royal/Fundy Royal"," 501","Mobile poll/Bureau itinérant",3,10,19,10,1,43,82
13004,"Fundy Royal/Fundy Royal"," 502","Mobile poll/Bureau itinérant",7,7,28,13,0,55,118
13004,"Fundy Royal/Fundy Royal"," 503","Mobile poll/Bureau itinérant",7,12,36,14,0,69,117
13004,"Fundy Royal/Fundy Royal"," 600","Cumberland Bay",2,8,26,16,0,52,
13004,"Fundy Royal/Fundy Royal"," 601","Petitcodiac",22,50,172,48,3,295,
13004,"Fundy Royal/Fundy Royal"," 602","Salisbury",18,67,240,47,1,373,
13004,"Fundy Royal/Fundy Royal"," 603","Riverview",26,51,176,67,4,324,
13004,"Fundy Royal/Fundy Royal"," 604","Riverview",16,47,138,44,1,246,
13004,"Fundy Royal/Fundy Royal"," 605","Hillsborough",8,28,109,18,1,164,
13004,"Fundy Royal/Fundy Royal"," 606","Riverside-Albert",6,15,58,11,1,91,
13004,"Fundy Royal/Fundy Royal"," 607","Sussex Corner",10,46,150,74,4,284,
13004,"Fundy Royal/Fundy Royal"," 608","Sussex",14,41,238,105,0,398,
13004,"Fundy Royal/Fundy Royal"," 609","St. Martins",4,12,75,21,0,112,
13004,"Fundy Royal/Fundy Royal"," 610","Simonds",9,41,97,37,0,184,
13004,"Fundy Royal/Fundy Royal"," 611","Norton",3,11,71,42,0,127,
13004,"Fundy Royal/Fundy Royal"," 612","Hampton",20,86,229,86,1,422,
13004,"Fundy Royal/Fundy Royal"," 613","Kingston",10,35,96,30,0,171,
13004,"Fundy Royal/Fundy Royal"," 614","Quispamsis",36,78,340,119,6,579,
13004,"Fundy Royal/Fundy Royal"," 615","Quispamsis",32,66,278,122,3,501,
13004,"Fundy Royal/Fundy Royal",,Group 1/Groupe 1,7,22,91,19,5,144,322
13004,"Fundy Royal/Fundy Royal",,Group 2/Groupe 2,28,74,262,95,16,475,

