Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,François Fillion,Gwyneth Helen Grant,Jean Landry,Éric Lefebvre,Stéphane Ricard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 98B","Victoriaville",94,3,17,2,53,24,1,194,315
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 99A","Victoriaville",89,4,11,0,45,8,5,162,271
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 99B","Victoriaville",66,4,17,0,44,11,4,146,265
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 100","Victoriaville",72,2,13,2,47,15,7,158,311
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 101A","Victoriaville",94,4,12,1,65,17,3,196,290
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 101B","Victoriaville",105,2,16,1,47,13,7,191,304
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 102","Victoriaville",94,9,21,0,41,19,1,185,350
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 103","Victoriaville",89,5,25,3,72,12,3,209,368
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 104A","Victoriaville",112,6,35,3,91,14,0,261,427
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 104B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,64
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 105","Victoriaville",114,1,15,1,38,15,0,184,359
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 106","Saint-Norbert-d'Arthabaska",106,1,17,1,69,19,2,215,378
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 107","Norbertville",86,2,23,0,44,5,4,164,227
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 108","Saint-Norbert-d'Arthabaska",99,9,10,1,41,21,1,182,287
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 109","Chester-Est",81,6,14,1,40,13,1,156,271
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 110","Chesterville",85,5,16,2,39,12,2,161,268
