Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Carmichael,Catherine Holliday,Rob Oliphant,David Sparrow,Georgina Wilcock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Don Valley West/Don Valley-Ouest"," 78","North York",120,1,122,15,16,1,275,460
35017,"Don Valley West/Don Valley-Ouest"," 79","Toronto",75,1,120,12,29,0,237,401
35017,"Don Valley West/Don Valley-Ouest"," 80","Toronto",45,0,74,34,29,1,183,355
35017,"Don Valley West/Don Valley-Ouest"," 81","Toronto",39,0,60,15,12,1,127,262
35017,"Don Valley West/Don Valley-Ouest"," 82A","Toronto",49,2,85,25,10,0,171,349
35017,"Don Valley West/Don Valley-Ouest"," 82B","Toronto",40,2,101,31,23,0,197,337
35017,"Don Valley West/Don Valley-Ouest"," 83","Toronto",74,2,97,37,29,3,242,448
35017,"Don Valley West/Don Valley-Ouest"," 84","Toronto",28,1,37,12,24,1,103,217
35017,"Don Valley West/Don Valley-Ouest"," 85","North York",81,0,74,6,16,2,179,378
35017,"Don Valley West/Don Valley-Ouest"," 86","North York",85,0,135,12,6,0,238,448
35017,"Don Valley West/Don Valley-Ouest"," 87","North York",82,3,91,8,25,0,209,368
35017,"Don Valley West/Don Valley-Ouest"," 88","North York",117,0,116,9,25,0,267,361
35017,"Don Valley West/Don Valley-Ouest"," 89","North York",75,0,80,7,18,1,181,320
35017,"Don Valley West/Don Valley-Ouest"," 90","North York",123,0,114,8,7,1,253,478
35017,"Don Valley West/Don Valley-Ouest"," 91","North York",63,1,75,26,14,0,179,410
35017,"Don Valley West/Don Valley-Ouest"," 91-1","North York",109,0,95,8,3,2,217,340
35017,"Don Valley West/Don Valley-Ouest"," 92","North York",63,0,64,17,17,0,161,290
35017,"Don Valley West/Don Valley-Ouest"," 93","North York",68,1,73,18,17,1,178,331
35017,"Don Valley West/Don Valley-Ouest"," 94","North York",130,0,75,7,9,0,221,485
35017,"Don Valley West/Don Valley-Ouest"," 95","North York",79,0,125,17,25,0,246,409
35017,"Don Valley West/Don Valley-Ouest"," 96","North York",65,0,90,23,26,0,204,311
35017,"Don Valley West/Don Valley-Ouest"," 96-1","North York",30,0,59,5,1,0,95,217
35017,"Don Valley West/Don Valley-Ouest"," 97","North York",50,0,65,16,9,2,142,295
35017,"Don Valley West/Don Valley-Ouest"," 98","North York",72,6,121,19,24,0,242,453
35017,"Don Valley West/Don Valley-Ouest"," 98-1","North York",110,2,139,27,18,0,296,537
35017,"Don Valley West/Don Valley-Ouest"," 98-2","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 99A","East York",112,1,76,12,17,0,218,369
35017,"Don Valley West/Don Valley-Ouest"," 99B","East York",119,0,107,12,13,1,252,406
35017,"Don Valley West/Don Valley-Ouest"," 100","East York",124,0,121,12,23,3,283,453
35017,"Don Valley West/Don Valley-Ouest"," 101","East York",92,0,83,21,24,0,220,317
35017,"Don Valley West/Don Valley-Ouest"," 102","East York",135,0,135,13,19,0,302,416
35017,"Don Valley West/Don Valley-Ouest"," 103","East York",81,0,106,25,38,0,250,423
35017,"Don Valley West/Don Valley-Ouest"," 104","East York",111,1,154,26,17,2,311,446
35017,"Don Valley West/Don Valley-Ouest"," 105","East York",118,0,132,11,23,0,284,433
35017,"Don Valley West/Don Valley-Ouest"," 106","East York",102,1,116,18,31,0,268,480
35017,"Don Valley West/Don Valley-Ouest"," 107","East York",91,0,105,22,14,1,233,404
35017,"Don Valley West/Don Valley-Ouest"," 108","East York",52,1,73,22,23,1,172,357
35017,"Don Valley West/Don Valley-Ouest"," 109","East York",77,0,99,20,13,1,210,327
35017,"Don Valley West/Don Valley-Ouest"," 110","East York",127,1,133,12,19,0,292,411
35017,"Don Valley West/Don Valley-Ouest"," 111","East York",97,1,90,11,13,4,216,355
35017,"Don Valley West/Don Valley-Ouest"," 112","East York",93,1,78,15,18,0,205,351
35017,"Don Valley West/Don Valley-Ouest"," 113","East York",65,0,86,5,5,0,161,227
35017,"Don Valley West/Don Valley-Ouest"," 114","East York",64,0,75,9,10,0,158,227
35017,"Don Valley West/Don Valley-Ouest"," 115","East York",85,3,111,16,16,0,231,339
35017,"Don Valley West/Don Valley-Ouest"," 116","East York",95,0,117,13,19,2,246,412
35017,"Don Valley West/Don Valley-Ouest"," 117","East York",85,1,124,15,22,0,247,436
35017,"Don Valley West/Don Valley-Ouest"," 118","East York",105,2,124,22,34,0,287,457
35017,"Don Valley West/Don Valley-Ouest"," 119","East York",115,0,113,6,33,0,267,409
35017,"Don Valley West/Don Valley-Ouest"," 120","East York",94,0,108,7,18,1,228,410
35017,"Don Valley West/Don Valley-Ouest"," 121","East York",101,2,85,9,20,0,217,406
35017,"Don Valley West/Don Valley-Ouest"," 122","East York",106,0,79,5,12,0,202,329
35017,"Don Valley West/Don Valley-Ouest"," 123","East York",107,0,112,6,28,0,253,404
35017,"Don Valley West/Don Valley-Ouest"," 124","East York",76,2,94,9,27,0,208,371
35017,"Don Valley West/Don Valley-Ouest"," 125","East York",67,0,91,30,25,1,214,460
35017,"Don Valley West/Don Valley-Ouest"," 126","East York",46,1,66,25,3,0,141,265
35017,"Don Valley West/Don Valley-Ouest"," 127","East York",27,0,52,81,3,0,163,390
35017,"Don Valley West/Don Valley-Ouest"," 128","East York",37,1,34,10,4,0,86,206
35017,"Don Valley West/Don Valley-Ouest"," 129","East York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 130","East York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 131A","East York",44,0,58,43,4,0,149,307
35017,"Don Valley West/Don Valley-Ouest"," 131B","East York",32,1,58,57,9,0,157,322
35017,"Don Valley West/Don Valley-Ouest"," 132","East York",32,4,72,46,12,3,169,448
35017,"Don Valley West/Don Valley-Ouest"," 133","East York",69,5,126,52,10,5,267,461
35017,"Don Valley West/Don Valley-Ouest"," 134","East York",57,1,62,52,11,1,184,464
35017,"Don Valley West/Don Valley-Ouest"," 135","East York",58,0,88,22,14,1,183,367
35017,"Don Valley West/Don Valley-Ouest"," 136","East York",59,1,121,22,16,0,219,373
35017,"Don Valley West/Don Valley-Ouest"," 137","East York",114,0,140,17,19,1,291,459
35017,"Don Valley West/Don Valley-Ouest"," 138","East York",114,1,104,9,26,1,255,390
35017,"Don Valley West/Don Valley-Ouest"," 139A","North York",52,0,88,27,17,0,184,322
35017,"Don Valley West/Don Valley-Ouest"," 139B","North York",42,0,78,16,5,0,141,285
35017,"Don Valley West/Don Valley-Ouest"," 140","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 141","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 142","North York",161,0,175,11,11,3,361,487
35017,"Don Valley West/Don Valley-Ouest"," 143","North York",86,1,116,45,32,1,281,443
35017,"Don Valley West/Don Valley-Ouest"," 144","North York",89,0,101,25,10,0,225,322
35017,"Don Valley West/Don Valley-Ouest"," 145","North York",64,0,80,19,3,1,167,316
35017,"Don Valley West/Don Valley-Ouest"," 146","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 147","North York",22,1,78,46,7,0,154,456
35017,"Don Valley West/Don Valley-Ouest"," 148","North York",49,2,117,35,2,4,209,379
35017,"Don Valley West/Don Valley-Ouest"," 149","North York",57,1,145,40,17,0,260,568
35017,"Don Valley West/Don Valley-Ouest"," 149-1A","North York",36,0,94,32,5,0,167,362
35017,"Don Valley West/Don Valley-Ouest"," 149-1B","North York",26,0,88,32,5,2,153,368
35017,"Don Valley West/Don Valley-Ouest"," 150","North York",10,1,35,15,1,0,62,199
35017,"Don Valley West/Don Valley-Ouest"," 151","North York",27,1,48,43,3,0,122,390
35017,"Don Valley West/Don Valley-Ouest"," 152","North York",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 153","North York",Merged with No. 432B/Fusionné avec le nº 432B,,,,,,,94
35017,"Don Valley West/Don Valley-Ouest"," 154","North York",32,0,100,90,6,0,228,575
35017,"Don Valley West/Don Valley-Ouest"," 155","North York",24,0,63,49,4,0,140,354
35017,"Don Valley West/Don Valley-Ouest"," 156","North York",23,2,61,27,3,0,116,272
35017,"Don Valley West/Don Valley-Ouest"," 157A","North York",28,0,79,24,5,0,136,313
35017,"Don Valley West/Don Valley-Ouest"," 157B","North York",26,0,78,21,8,1,134,312
35017,"Don Valley West/Don Valley-Ouest"," 158","North York",47,1,114,40,15,0,217,456
35017,"Don Valley West/Don Valley-Ouest"," 159A","North York",26,0,112,26,1,1,166,298
35017,"Don Valley West/Don Valley-Ouest"," 159B","North York",23,0,121,34,3,2,183,310
35017,"Don Valley West/Don Valley-Ouest"," 160","North York",34,0,114,27,4,1,180,382
35017,"Don Valley West/Don Valley-Ouest"," 161","North York",36,2,127,39,5,2,211,444
35017,"Don Valley West/Don Valley-Ouest"," 162","North York",65,3,179,55,14,0,316,578
35017,"Don Valley West/Don Valley-Ouest"," 163","North York",46,1,140,65,16,0,268,545
35017,"Don Valley West/Don Valley-Ouest"," 400","North York",98,1,69,25,12,4,209,358
35017,"Don Valley West/Don Valley-Ouest"," 401","North York",40,0,62,19,5,0,126,167
35017,"Don Valley West/Don Valley-Ouest"," 402","North York",123,1,106,8,14,6,258,358
35017,"Don Valley West/Don Valley-Ouest"," 403A","North York",42,1,69,13,6,0,131,249
35017,"Don Valley West/Don Valley-Ouest"," 403B","North York",54,1,89,26,8,0,178,304
35017,"Don Valley West/Don Valley-Ouest"," 404","North York",86,0,99,8,7,1,201,269
35017,"Don Valley West/Don Valley-Ouest"," 405","North York",98,1,105,35,20,1,260,478
35017,"Don Valley West/Don Valley-Ouest"," 406","North York",64,1,98,44,14,0,221,452
35017,"Don Valley West/Don Valley-Ouest"," 407","North York",71,1,89,27,12,0,200,309
35017,"Don Valley West/Don Valley-Ouest"," 408","North York",21,2,73,23,0,0,119,267
35017,"Don Valley West/Don Valley-Ouest"," 409","North York",16,0,81,36,6,0,139,331
35017,"Don Valley West/Don Valley-Ouest"," 410","North York",20,0,73,41,5,0,139,393
35017,"Don Valley West/Don Valley-Ouest"," 411","North York",37,3,89,37,7,3,176,419
35017,"Don Valley West/Don Valley-Ouest"," 412","North York",18,5,113,40,1,1,178,419
35017,"Don Valley West/Don Valley-Ouest"," 413","North York",32,1,137,39,8,5,222,433
35017,"Don Valley West/Don Valley-Ouest"," 414","East York",42,1,98,72,12,2,227,456
35017,"Don Valley West/Don Valley-Ouest"," 415","East York",40,2,88,36,5,0,171,375
35017,"Don Valley West/Don Valley-Ouest"," 416","East York",55,1,94,27,18,0,195,340
35017,"Don Valley West/Don Valley-Ouest"," 417","East York",36,2,162,47,1,0,248,497
35017,"Don Valley West/Don Valley-Ouest"," 418","East York",39,0,129,85,9,2,264,494
35017,"Don Valley West/Don Valley-Ouest"," 419","East York",39,2,74,71,1,0,187,436
35017,"Don Valley West/Don Valley-Ouest"," 420","East York",56,2,113,55,2,0,228,574
35017,"Don Valley West/Don Valley-Ouest"," 421","East York",60,2,131,132,6,0,331,621
35017,"Don Valley West/Don Valley-Ouest"," 422","East York",36,2,70,78,6,0,192,385
35017,"Don Valley West/Don Valley-Ouest"," 423","East York",27,0,80,61,4,0,172,327
35017,"Don Valley West/Don Valley-Ouest"," 424","East York",60,0,119,93,12,0,284,638
35017,"Don Valley West/Don Valley-Ouest"," 425","East York",46,0,84,78,2,2,212,458
35017,"Don Valley West/Don Valley-Ouest"," 426","East York",34,0,133,21,1,0,189,294
35017,"Don Valley West/Don Valley-Ouest"," 427","East York",44,0,95,26,18,0,183,328
35017,"Don Valley West/Don Valley-Ouest"," 428","Toronto",71,0,146,40,23,0,280,560
35017,"Don Valley West/Don Valley-Ouest"," 429A","East York",38,0,83,32,12,0,165,344
35017,"Don Valley West/Don Valley-Ouest"," 429B","East York",43,1,86,35,17,0,182,351
35017,"Don Valley West/Don Valley-Ouest"," 430","North York",62,1,86,18,9,0,176,323
35017,"Don Valley West/Don Valley-Ouest"," 431A","North York",28,1,71,28,5,2,135,306
35017,"Don Valley West/Don Valley-Ouest"," 431B","North York",29,0,96,30,7,0,162,325
35017,"Don Valley West/Don Valley-Ouest"," 432A","North York",52,0,109,25,1,3,190,366
35017,"Don Valley West/Don Valley-Ouest"," 432B","North York",28,1,91,34,7,0,161,240
35017,"Don Valley West/Don Valley-Ouest"," 433A","North York",40,2,84,25,8,2,161,317
35017,"Don Valley West/Don Valley-Ouest"," 433B","North York",21,1,86,38,5,0,151,256
35017,"Don Valley West/Don Valley-Ouest"," 500","Mobile poll/Bureau itinérant",55,3,33,13,6,2,112,233
35017,"Don Valley West/Don Valley-Ouest"," 600","North York",610,0,290,33,47,1,981,
35017,"Don Valley West/Don Valley-Ouest"," 601","North York",530,1,194,19,21,0,765,
35017,"Don Valley West/Don Valley-Ouest"," 602","North York--Toronto",404,0,330,20,50,0,804,
35017,"Don Valley West/Don Valley-Ouest"," 603","Toronto",221,1,277,40,43,3,585,
35017,"Don Valley West/Don Valley-Ouest"," 604","North York",248,0,242,35,35,0,560,
35017,"Don Valley West/Don Valley-Ouest"," 605","East York",245,1,260,28,27,1,562,
35017,"Don Valley West/Don Valley-Ouest"," 606","East York",268,0,291,32,50,0,641,
35017,"Don Valley West/Don Valley-Ouest"," 607","North York",159,1,198,147,24,4,533,
35017,"Don Valley West/Don Valley-Ouest"," 608","North York",81,0,178,40,15,1,315,
35017,"Don Valley West/Don Valley-Ouest"," 609","North York",71,2,142,79,6,0,300,
35017,"Don Valley West/Don Valley-Ouest",,Group 1/Groupe 1,23,1,49,11,8,4,96,163
35017,"Don Valley West/Don Valley-Ouest",,Group 2/Groupe 2,352,0,349,58,54,7,820,

