Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Les Coultas,Jack Harris,Walter Noel,Howard Story,Shannon John Tobin,Craig Westcott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 101","St. John's",0,141,35,4,0,25,0,205,366
10006,"St. John's East/St. John's-Est"," 102","St. John's",4,169,38,4,2,22,1,240,453
10006,"St. John's East/St. John's-Est"," 103","St. John's",2,97,15,3,2,6,2,127,320
10006,"St. John's East/St. John's-Est"," 104","St. John's",3,224,44,5,4,34,2,316,512
10006,"St. John's East/St. John's-Est"," 105","St. John's",0,143,27,3,0,23,0,196,289
10006,"St. John's East/St. John's-Est"," 106","St. John's",1,221,39,3,2,40,1,307,455
10006,"St. John's East/St. John's-Est"," 107","St. John's",3,126,30,6,1,25,2,193,276
10006,"St. John's East/St. John's-Est"," 108","St. John's",3,185,39,5,4,40,1,277,423
10006,"St. John's East/St. John's-Est"," 109","St. John's",1,109,19,4,3,20,0,156,226
10006,"St. John's East/St. John's-Est"," 110","St. John's",3,138,35,3,2,43,2,226,364
10006,"St. John's East/St. John's-Est"," 111","St. John's",3,131,26,7,3,26,0,196,282
10006,"St. John's East/St. John's-Est"," 112","St. John's",1,72,17,0,2,18,0,110,264
10006,"St. John's East/St. John's-Est"," 113A","St. John's",1,128,22,6,1,15,0,173,344
10006,"St. John's East/St. John's-Est"," 113B","St. John's",2,220,74,40,5,27,2,370,382
10006,"St. John's East/St. John's-Est"," 114","St. John's",5,132,22,4,1,11,2,177,368
10006,"St. John's East/St. John's-Est"," 115","St. John's",2,95,22,5,2,14,1,141,256
10006,"St. John's East/St. John's-Est"," 116","St. John's",2,123,13,3,5,11,2,159,331
10006,"St. John's East/St. John's-Est"," 117","St. John's",0,68,12,3,1,7,1,92,289
10006,"St. John's East/St. John's-Est"," 118","St. John's",2,75,12,3,0,13,1,106,237
10006,"St. John's East/St. John's-Est"," 119","St. John's",2,113,21,5,4,20,0,165,270
10006,"St. John's East/St. John's-Est"," 120","St. John's",0,89,18,3,3,7,2,122,242
10006,"St. John's East/St. John's-Est"," 121","St. John's",0,94,20,0,4,27,1,146,267
10006,"St. John's East/St. John's-Est"," 122","St. John's",2,84,30,2,2,26,0,146,243
10006,"St. John's East/St. John's-Est"," 123","St. John's",0,111,16,2,1,9,0,139,282
10006,"St. John's East/St. John's-Est"," 124","St. John's",0,151,23,4,6,14,0,198,453
10006,"St. John's East/St. John's-Est"," 124-1","St. John's",0,145,39,3,2,11,1,201,438
10006,"St. John's East/St. John's-Est"," 125","St. John's",2,117,31,5,0,19,1,175,255
10006,"St. John's East/St. John's-Est"," 126A","St. John's",1,110,10,5,0,13,1,140,291
10006,"St. John's East/St. John's-Est"," 126B","St. John's",1,111,18,2,0,6,1,139,294
10006,"St. John's East/St. John's-Est"," 127","St. John's",1,140,15,3,0,11,0,170,315
10006,"St. John's East/St. John's-Est"," 128","St. John's",2,177,21,5,1,13,2,221,333
10006,"St. John's East/St. John's-Est"," 129","St. John's",2,127,16,4,1,14,0,164,338
10006,"St. John's East/St. John's-Est"," 130","St. John's",0,159,26,8,4,15,0,212,375
10006,"St. John's East/St. John's-Est"," 131","St. John's",0,146,27,11,5,25,1,215,398
10006,"St. John's East/St. John's-Est"," 132","St. John's",2,118,17,5,5,7,0,154,364
10006,"St. John's East/St. John's-Est"," 133","St. John's",1,190,22,2,5,11,1,232,392
10006,"St. John's East/St. John's-Est"," 134","St. John's",0,131,20,3,1,11,0,166,330
10006,"St. John's East/St. John's-Est"," 135","St. John's",3,135,9,0,2,5,0,154,304
10006,"St. John's East/St. John's-Est"," 136","St. John's",0,99,16,4,0,8,1,128,280
10006,"St. John's East/St. John's-Est"," 137","St. John's",0,104,8,2,1,11,1,127,264
10006,"St. John's East/St. John's-Est"," 138","St. John's",0,105,14,1,3,10,0,133,287
10006,"St. John's East/St. John's-Est"," 139","Conception Bay South",3,154,30,5,2,32,1,227,387
10006,"St. John's East/St. John's-Est"," 139-1","Conception Bay South",0,162,29,3,1,34,1,230,336
10006,"St. John's East/St. John's-Est"," 140","Conception Bay South",2,207,28,4,3,29,1,274,529
10006,"St. John's East/St. John's-Est"," 141","Conception Bay South",2,188,23,2,5,38,0,258,505
10006,"St. John's East/St. John's-Est"," 142","Conception Bay South",1,180,38,8,1,33,0,261,437
10006,"St. John's East/St. John's-Est"," 143","Conception Bay South",2,115,14,3,2,11,0,147,309
10006,"St. John's East/St. John's-Est"," 144","Conception Bay South",1,170,39,0,4,14,0,228,499
10006,"St. John's East/St. John's-Est"," 145A","Conception Bay South",0,121,21,0,2,3,0,147,294
10006,"St. John's East/St. John's-Est"," 145B","Conception Bay South",0,106,25,1,2,6,0,140,279
10006,"St. John's East/St. John's-Est"," 146","Conception Bay South",4,202,23,2,2,11,0,244,434
10006,"St. John's East/St. John's-Est"," 147","Conception Bay South",2,168,23,1,6,18,1,219,391
10006,"St. John's East/St. John's-Est"," 147-1","Conception Bay South",0,107,25,0,2,11,1,146,281
10006,"St. John's East/St. John's-Est"," 148A","Conception Bay South",1,107,20,3,5,10,0,146,302
10006,"St. John's East/St. John's-Est"," 148B","Conception Bay South",0,102,24,0,1,16,0,143,306
10006,"St. John's East/St. John's-Est"," 149","Conception Bay South",2,137,27,2,6,26,0,200,408
10006,"St. John's East/St. John's-Est"," 150","Conception Bay South",0,132,35,2,2,21,1,193,344
10006,"St. John's East/St. John's-Est"," 151","Conception Bay South",Void/Supprimé,,,,,,,,
10006,"St. John's East/St. John's-Est"," 152","Conception Bay South",3,111,17,3,3,20,1,158,368
10006,"St. John's East/St. John's-Est"," 153","Conception Bay South",2,170,20,2,5,17,0,216,421
10006,"St. John's East/St. John's-Est"," 153-1","Conception Bay South",1,132,24,3,2,25,0,187,477
10006,"St. John's East/St. John's-Est"," 154","Conception Bay South",6,105,27,1,7,9,1,156,346
10006,"St. John's East/St. John's-Est"," 155","Conception Bay South",0,87,7,2,0,18,1,115,347
10006,"St. John's East/St. John's-Est"," 500","Mobile poll/Bureau itinérant",0,13,13,1,11,0,0,38,70
10006,"St. John's East/St. John's-Est"," 501","Mobile poll/Bureau itinérant",1,35,40,1,3,5,5,90,158
10006,"St. John's East/St. John's-Est"," 502","Mobile poll/Bureau itinérant",0,64,31,0,11,13,0,119,208
10006,"St. John's East/St. John's-Est"," 503","Mobile poll/Bureau itinérant",4,47,13,1,3,6,0,74,292
10006,"St. John's East/St. John's-Est"," 600","Torbay",4,246,27,3,4,23,0,307,
10006,"St. John's East/St. John's-Est"," 601","Wabana",0,66,18,0,2,21,0,107,
10006,"St. John's East/St. John's-Est"," 602","Portugal Cove-St. Philips",1,134,17,4,6,6,1,169,
10006,"St. John's East/St. John's-Est"," 603","Paradise",4,300,43,3,4,49,0,403,
10006,"St. John's East/St. John's-Est"," 604","St. John's",5,228,50,3,5,30,3,324,
10006,"St. John's East/St. John's-Est"," 605","St. John's",1,117,26,4,3,20,1,172,
10006,"St. John's East/St. John's-Est"," 606","St. John's",3,276,47,2,2,45,0,375,
10006,"St. John's East/St. John's-Est"," 607","St. John's",2,197,31,3,2,46,1,282,
10006,"St. John's East/St. John's-Est"," 608","St. John's",0,80,19,1,3,20,0,123,
10006,"St. John's East/St. John's-Est"," 609","St. John's",1,129,16,5,1,19,0,171,
10006,"St. John's East/St. John's-Est"," 610","Conception Bay South",1,266,40,2,2,52,1,364,
10006,"St. John's East/St. John's-Est",,Group 1/Groupe 1,1,55,27,8,29,51,7,178,463
10006,"St. John's East/St. John's-Est",,Group 2/Groupe 2,5,454,122,5,13,96,10,705,

