Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Dhavernas,Lulzim Laloshi,Thomas Mulcair,F. Monsieur Corde à Linge Pilon,Marcela Valdivia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Outremont/Outremont"," 75","Outremont",68,12,104,8,64,1,257,450
24047,"Outremont/Outremont"," 76","Outremont",111,14,64,2,10,0,201,397
24047,"Outremont/Outremont"," 77","Outremont",98,21,90,3,28,0,240,391
24047,"Outremont/Outremont"," 78","Outremont",87,18,81,5,28,3,222,394
24047,"Outremont/Outremont"," 79","Outremont",54,27,39,3,13,2,138,270
24047,"Outremont/Outremont"," 80","Montréal",118,59,47,18,10,0,252,447
24047,"Outremont/Outremont"," 81","Montréal",67,18,22,7,6,0,120,276
24047,"Outremont/Outremont"," 82","Montréal",65,20,27,3,7,2,124,472
24047,"Outremont/Outremont"," 83","Montréal",53,7,24,12,7,0,103,492
24047,"Outremont/Outremont"," 84","Montréal",44,22,54,6,12,0,138,496
24047,"Outremont/Outremont"," 85","Montréal",41,7,20,1,7,0,76,497
24047,"Outremont/Outremont"," 86","Montréal",37,16,28,4,7,1,93,274
24047,"Outremont/Outremont"," 87","Montréal",68,19,33,6,10,2,138,413
24047,"Outremont/Outremont"," 88","Montréal",70,37,40,5,10,1,163,426
24047,"Outremont/Outremont"," 89","Montréal",44,19,33,6,12,0,114,295
24047,"Outremont/Outremont"," 90","Montréal",108,38,47,3,15,0,211,439
24047,"Outremont/Outremont"," 91","Montréal",102,25,56,1,21,1,206,415
24047,"Outremont/Outremont"," 92","Outremont",68,17,62,4,27,2,180,304
24047,"Outremont/Outremont"," 93","Montréal",23,7,59,4,13,3,109,236
24047,"Outremont/Outremont"," 94","Montréal",66,9,71,6,36,2,190,394
24047,"Outremont/Outremont"," 95","Montréal",67,10,130,11,62,5,285,554
24047,"Outremont/Outremont"," 96","Outremont",59,15,94,12,33,0,213,396
24047,"Outremont/Outremont"," 97","Montréal",Void/Supprimé,,,,,,,
24047,"Outremont/Outremont"," 98","Montréal",20,8,57,2,17,1,105,219
24047,"Outremont/Outremont"," 99","Montréal",41,5,59,6,26,1,138,335
24047,"Outremont/Outremont"," 100","Montréal",68,35,35,3,12,1,154,356
24047,"Outremont/Outremont"," 101","Montréal",93,16,55,9,17,2,192,491
24047,"Outremont/Outremont"," 102","Montréal",50,30,67,12,13,4,176,411
24047,"Outremont/Outremont"," 103","Montréal",62,26,76,9,18,1,192,505
24047,"Outremont/Outremont"," 104","Montréal",77,19,71,6,18,3,194,511
24047,"Outremont/Outremont"," 105","Montréal",106,33,36,6,12,1,194,491
24047,"Outremont/Outremont"," 106","Montréal",77,21,44,6,7,0,155,313
24047,"Outremont/Outremont"," 107","Montréal",100,26,43,9,9,9,196,407
24047,"Outremont/Outremont"," 108","Montréal",85,37,67,12,19,1,221,509
24047,"Outremont/Outremont"," 109","Montréal",110,37,36,7,9,2,201,453
24047,"Outremont/Outremont"," 110","Montréal",109,54,55,12,9,3,242,560
24047,"Outremont/Outremont"," 111","Montréal",47,16,64,9,32,2,170,481
24047,"Outremont/Outremont"," 112","Montréal",36,14,55,6,20,2,133,319
24047,"Outremont/Outremont"," 113","Montréal",50,9,61,4,23,3,150,315
24047,"Outremont/Outremont"," 114","Montréal",93,22,93,4,37,0,249,401
24047,"Outremont/Outremont"," 115","Montréal",15,1,38,5,15,0,74,169
24047,"Outremont/Outremont"," 116","Montréal",20,5,63,4,19,0,111,209
24047,"Outremont/Outremont"," 117","Montréal",38,8,72,3,25,0,146,286
24047,"Outremont/Outremont"," 118","Montréal",54,16,75,6,27,1,179,412
24047,"Outremont/Outremont"," 119","Montréal",54,13,53,5,17,2,144,315
24047,"Outremont/Outremont"," 120","Montréal",68,25,70,10,17,1,191,439
24047,"Outremont/Outremont"," 121","Montréal",76,23,71,2,13,1,186,478
24047,"Outremont/Outremont"," 122","Montréal",61,26,64,3,13,1,168,416
24047,"Outremont/Outremont"," 123","Montréal",56,25,60,3,18,3,165,423
24047,"Outremont/Outremont"," 124","Montréal",57,21,53,6,16,2,155,412
24047,"Outremont/Outremont"," 125","Montréal",51,17,36,5,7,1,117,269
24047,"Outremont/Outremont"," 126","Montréal",55,14,109,7,29,2,216,469
24047,"Outremont/Outremont"," 127","Montréal",80,38,111,6,28,2,265,516
24047,"Outremont/Outremont"," 128","Montréal",66,34,49,9,6,0,164,361
24047,"Outremont/Outremont"," 129","Montréal",55,17,77,4,22,0,175,333
24047,"Outremont/Outremont"," 130","Montréal",61,9,69,8,8,0,155,348
24047,"Outremont/Outremont"," 131","Montréal",99,22,67,6,6,3,203,478
24047,"Outremont/Outremont"," 132","Montréal",76,21,79,6,32,5,219,404
24047,"Outremont/Outremont"," 133","Montréal",31,11,66,10,25,1,144,330
24047,"Outremont/Outremont"," 134","Montréal",46,9,81,9,50,0,195,371
24047,"Outremont/Outremont"," 135","Montréal",25,6,87,4,24,1,147,302
24047,"Outremont/Outremont"," 136","Montréal",36,13,35,1,16,1,102,294
24047,"Outremont/Outremont"," 137","Montréal",45,12,33,2,16,2,110,296
24047,"Outremont/Outremont"," 138","Montréal",83,35,86,13,17,3,237,523
24047,"Outremont/Outremont"," 139","Montréal",Void/Supprimé,,,,,,,
24047,"Outremont/Outremont"," 140","Montréal",102,41,55,9,3,0,210,442
24047,"Outremont/Outremont"," 141","Montréal",70,33,26,1,4,0,134,261
24047,"Outremont/Outremont"," 142","Montréal",50,18,59,6,8,3,144,334
24047,"Outremont/Outremont"," 143","Montréal",76,29,64,7,16,2,194,467
24047,"Outremont/Outremont"," 144","Montréal",Void/Supprimé,,,,,,,
24047,"Outremont/Outremont"," 145","Montréal",83,20,80,11,25,0,219,379
24047,"Outremont/Outremont"," 146","Montréal",70,23,56,6,23,1,179,314
24047,"Outremont/Outremont"," 147","Montréal",80,25,91,14,22,0,232,386
24047,"Outremont/Outremont"," 148","Montréal",47,29,42,4,10,0,132,288
24047,"Outremont/Outremont"," 149","Montréal",98,50,53,6,19,0,226,382
24047,"Outremont/Outremont"," 150","Montréal",54,22,54,3,19,3,155,278
24047,"Outremont/Outremont"," 151A","Montréal",92,34,79,13,41,2,261,495
24047,"Outremont/Outremont"," 151B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,41
24047,"Outremont/Outremont"," 152","Montréal",29,23,44,4,10,3,113,341
24047,"Outremont/Outremont"," 153","Montréal",82,28,98,9,30,0,247,523
24047,"Outremont/Outremont"," 154","Montréal",70,38,48,9,22,2,189,470
24047,"Outremont/Outremont"," 155","Montréal",88,6,90,13,22,2,221,469
24047,"Outremont/Outremont"," 156","Montréal",67,15,77,7,11,0,177,469
24047,"Outremont/Outremont"," 400","Outremont",111,20,49,5,26,2,213,355
24047,"Outremont/Outremont"," 500","Mobile poll/Bureau itinérant",47,7,20,2,6,2,84,172
24047,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",21,4,10,1,5,1,42,137
24047,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",53,9,23,1,5,2,93,108
24047,"Outremont/Outremont"," 600","Montréal",123,143,335,36,85,5,727,
24047,"Outremont/Outremont"," 601","Outremont--Montréal",189,97,257,25,108,1,677,
24047,"Outremont/Outremont"," 602","Outremont--Montréal",138,79,212,18,109,2,558,
24047,"Outremont/Outremont"," 603","Outremont--Montréal",317,328,220,24,64,4,957,
24047,"Outremont/Outremont"," 604","Outremont--Montréal",208,141,178,6,84,1,618,
24047,"Outremont/Outremont"," 605","Montréal",126,57,208,18,79,1,489,
24047,"Outremont/Outremont"," 606","Montréal",142,74,100,9,36,2,363,
24047,"Outremont/Outremont",,Group 1/Groupe 1,29,22,53,8,12,4,128,193
24047,"Outremont/Outremont",,Group 2/Groupe 2,167,166,212,25,56,12,638,

