Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dufort,Marc Garneau,Claude William Genest,Anne Lagacé Dowson,Charles Larivée,David Sommer Rovins,Bill Sloan,Linda Sullivan,Judith Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 101","Montréal",26,91,12,26,17,0,0,0,0,0,172,464
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 102","Montréal",39,100,9,51,9,1,0,0,0,0,209,455
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 103","Montréal",29,102,14,42,25,0,0,0,0,0,212,505
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 104","Montréal",8,43,7,33,2,0,0,0,0,2,95,362
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 105","Montréal",46,97,9,18,11,0,0,0,0,0,181,363
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 106","Montréal",32,67,9,29,15,0,0,0,0,1,153,433
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 107","Montréal",31,28,3,25,3,0,1,0,0,1,92,361
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 108","Westmount",41,103,16,25,3,0,0,0,0,1,189,360
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 109","Westmount",22,94,13,16,0,0,0,0,1,3,149,289
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 110","Westmount",33,93,21,42,2,0,0,1,0,0,192,411
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 111","Westmount",38,126,20,36,1,0,0,0,0,1,222,471
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 112","Westmount",41,77,7,17,6,0,0,0,0,0,148,327
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 113","Westmount",30,89,17,31,6,1,0,0,0,1,175,328
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 114","Westmount",27,118,20,52,6,0,0,0,0,0,223,453
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 115","Montréal",16,58,11,58,11,0,0,0,0,2,156,384
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 116","Montréal",31,69,12,67,19,0,0,2,0,4,204,385
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 117","Montréal",21,53,14,29,10,0,1,1,0,1,130,362
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 118","Montréal",27,83,24,49,10,0,0,0,0,2,195,485
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 119","Montréal",19,90,22,58,16,0,0,0,1,0,206,407
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 120","Montréal",15,70,11,36,7,0,0,0,1,1,141,325
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 121","Montréal",24,32,13,44,4,0,0,0,0,5,122,334
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 122","Montréal",27,94,23,52,21,1,0,2,0,1,221,429
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 123","Montréal",22,78,21,89,36,0,0,0,0,3,249,451
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 124","Montréal",25,122,11,75,25,0,0,0,1,1,260,568
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 125A","Montréal",26,46,1,13,4,0,0,0,0,1,91,310
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 125B","Mobile poll/Bureau itinérant",Merged with No. 125C/Fusionné avec le nº 125C,,,,,,,,,,,69
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 125C","Mobile poll/Bureau itinérant",13,72,1,8,3,0,0,0,0,3,100,88
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 126","Montréal",28,52,14,21,1,0,0,0,0,2,118,345
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 127A","Montréal",13,69,6,41,18,0,0,0,0,1,148,252
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 127B","Mobile poll/Bureau itinérant",Merged with No. 3B/Fusionné avec le nº 3B,,,,,,,,,,,63
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 128","Montréal",38,110,18,57,34,1,0,0,2,1,261,428
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 129","Montréal",34,113,19,67,27,0,0,0,0,2,262,460
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 130","Montréal",27,118,14,51,21,0,0,0,1,0,232,409
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 131","Montréal",8,69,15,43,7,1,0,0,0,0,143,277
