Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Andrews,Dave Aylward,Randy Wayne Dawe,Fabian Manning,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 154A","Conception Bay South",58,2,38,29,0,127,253
10001,"Avalon/Avalon"," 154B","Conception Bay South",60,2,27,28,0,117,302
10001,"Avalon/Avalon"," 155","Conception Bay South",99,1,42,34,0,176,327
10001,"Avalon/Avalon"," 156","Conception Bay South",93,1,43,52,0,189,377
10001,"Avalon/Avalon"," 157A","Conception Bay South",37,0,24,28,0,89,220
10001,"Avalon/Avalon"," 157B","Conception Bay South",44,3,22,20,0,89,210
10001,"Avalon/Avalon"," 158","Conception Bay South",72,4,50,40,5,171,365
10001,"Avalon/Avalon"," 159","Witless Bay",37,30,20,54,1,142,207
10001,"Avalon/Avalon"," 160A","Bay Bulls",60,18,29,44,1,152,279
10001,"Avalon/Avalon"," 160B","Bay Bulls",66,16,37,75,0,194,354
10001,"Avalon/Avalon"," 161","Bay Bulls",46,21,26,70,1,164,269
10001,"Avalon/Avalon"," 162A","Witless Bay",49,18,29,71,2,169,280
10001,"Avalon/Avalon"," 162B","Witless Bay",39,22,15,62,2,140,243
10001,"Avalon/Avalon"," 163","Witless Bay",6,26,2,15,0,49,84
10001,"Avalon/Avalon"," 164","Mobile",22,7,19,53,0,101,170
10001,"Avalon/Avalon"," 165","Tors Cove",82,23,28,83,4,220,309
10001,"Avalon/Avalon"," 166","Bauline East",39,18,30,79,0,166,254
10001,"Avalon/Avalon"," 167","Ship Harbour",16,3,9,26,2,56,118
10001,"Avalon/Avalon"," 168","Dunville",28,1,6,25,0,60,153
10001,"Avalon/Avalon"," 169","Fox Harbour",18,0,10,97,3,128,248
10001,"Avalon/Avalon"," 170","Dunville",68,0,23,98,0,189,410
10001,"Avalon/Avalon"," 171","Freshwater",46,2,13,72,0,133,249
10001,"Avalon/Avalon"," 172","Freshwater",61,1,18,71,5,156,263
10001,"Avalon/Avalon"," 173","Jerseyside",30,1,14,82,3,130,240
10001,"Avalon/Avalon"," 174","Jerseyside",15,1,5,38,0,59,112
10001,"Avalon/Avalon"," 175","Dunville",39,1,8,32,0,80,154
10001,"Avalon/Avalon"," 176","Dunville",71,3,24,108,0,206,347
10001,"Avalon/Avalon"," 177","Point Verde",22,0,1,50,0,73,136
10001,"Avalon/Avalon"," 178","Placentia",57,2,13,95,0,167,420
10001,"Avalon/Avalon"," 179","Placentia",30,1,8,54,0,93,225
10001,"Avalon/Avalon"," 180","Placentia",36,0,17,75,0,128,244
10001,"Avalon/Avalon"," 181","Southeast Placentia",88,1,16,135,1,241,412
10001,"Avalon/Avalon"," 182","Colinet",49,1,19,46,1,116,171
10001,"Avalon/Avalon"," 183","Brigus Junction",30,0,15,15,0,60,88
10001,"Avalon/Avalon"," 184","St. Catherine's",13,1,9,6,0,29,117
10001,"Avalon/Avalon"," 185","Riverhead",36,1,4,89,0,130,152
10001,"Avalon/Avalon"," 186A","Mount Carmel",70,3,25,93,6,197,361
10001,"Avalon/Avalon"," 186B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,8
10001,"Avalon/Avalon"," 187","St. Joseph's",50,3,13,85,0,151,256
10001,"Avalon/Avalon"," 188","North Harbour",10,0,1,43,1,55,84
10001,"Avalon/Avalon"," 189","Admirals Beach",22,0,9,53,0,84,164
10001,"Avalon/Avalon"," 190","Gaskiers-Point La Haye",21,0,8,85,3,117,163
10001,"Avalon/Avalon"," 191A","St. Mary's",32,1,14,61,3,111,242
10001,"Avalon/Avalon"," 191B","St. Mary's",33,0,12,74,1,120,228
10001,"Avalon/Avalon"," 192","Cape Broyle",71,16,30,106,0,223,451
10001,"Avalon/Avalon"," 193","Cape Broyle",27,2,19,48,4,100,173
10001,"Avalon/Avalon"," 194","Calvert",35,9,26,79,3,152,273
10001,"Avalon/Avalon"," 195","Ferryland",44,1,31,73,4,153,372
10001,"Avalon/Avalon"," 196","Gaskiers-Point La Haye",13,2,9,29,2,55,77
10001,"Avalon/Avalon"," 197","Aquaforte",5,0,8,24,0,37,80
10001,"Avalon/Avalon"," 198","Fermeuse--Port Kirwan",45,4,28,84,3,164,357
10001,"Avalon/Avalon"," 199","Renews",26,0,16,100,2,144,253
10001,"Avalon/Avalon"," 200","Cappahayden",9,0,4,18,0,31,55
10001,"Avalon/Avalon"," 201","Patrick's Cove",14,0,1,23,0,38,78
10001,"Avalon/Avalon"," 202","Branch",35,1,8,114,0,158,244
10001,"Avalon/Avalon"," 203A","St. Bride's",36,0,1,170,0,207,362
10001,"Avalon/Avalon"," 203B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,14
10001,"Avalon/Avalon"," 204","Point Lance",4,0,0,75,0,79,108
10001,"Avalon/Avalon"," 205","St. Vincent's-St. Stephen's-Peter's River",43,0,7,116,2,168,353
10001,"Avalon/Avalon"," 206","St. Shotts",17,0,1,38,0,56,93
10001,"Avalon/Avalon"," 207","Trepassey",41,1,9,55,0,106,211
10001,"Avalon/Avalon"," 208","Trepassey",Void/Supprimé,,,,,,
10001,"Avalon/Avalon"," 209","Trepassey",61,2,15,59,0,137,439
10001,"Avalon/Avalon"," 210","Portugal Cove South",17,3,2,63,2,87,173
10001,"Avalon/Avalon"," 500","Mobile poll/Bureau itinérant",38,1,4,12,0,55,161
10001,"Avalon/Avalon"," 501","Mobile poll/Bureau itinérant",51,0,4,25,0,80,201
10001,"Avalon/Avalon"," 502","Mobile poll/Bureau itinérant",37,1,11,23,5,77,196
10001,"Avalon/Avalon"," 503","Mobile poll/Bureau itinérant",44,2,1,15,4,66,254
10001,"Avalon/Avalon"," 504","Mobile poll/Bureau itinérant",26,4,8,14,3,55,92
10001,"Avalon/Avalon"," 505","Mobile poll/Bureau itinérant",18,2,9,22,0,51,83
10001,"Avalon/Avalon"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
10001,"Avalon/Avalon"," 507","Mobile poll/Bureau itinérant",30,2,6,34,10,82,97
10001,"Avalon/Avalon"," 508","Mobile poll/Bureau itinérant",10,0,2,13,3,28,60
10001,"Avalon/Avalon"," 509","Mobile poll/Bureau itinérant",30,2,9,32,0,73,27
10001,"Avalon/Avalon"," 600","Old Perlican",25,1,7,31,0,64,
10001,"Avalon/Avalon"," 601","Arnold's Cove",28,0,9,12,0,49,
10001,"Avalon/Avalon"," 602","Dildo",38,1,19,16,0,74,
10001,"Avalon/Avalon"," 603","Carbonear",87,1,32,67,0,187,
10001,"Avalon/Avalon"," 604","Harbour Grace",51,1,12,85,0,149,
10001,"Avalon/Avalon"," 605","Spaniard's Bay",37,0,8,20,0,65,
10001,"Avalon/Avalon"," 606","Clarke's Beach",52,2,26,38,1,119,
10001,"Avalon/Avalon"," 607","Avondale",52,3,29,57,0,141,
10001,"Avalon/Avalon"," 608","Upper Gullies",158,3,52,72,2,287,
10001,"Avalon/Avalon"," 609","Witless Bay",16,3,13,18,0,50,
10001,"Avalon/Avalon"," 610","Placentia",71,1,8,100,0,180,
10001,"Avalon/Avalon"," 611","St. Joseph's",14,0,6,35,0,55,
10001,"Avalon/Avalon"," 612","Ferryland",12,1,5,34,0,52,
10001,"Avalon/Avalon"," 613","St. Bride's",5,0,2,68,1,76,
10001,"Avalon/Avalon"," 614","Trepassey",11,0,7,29,0,47,
10001,"Avalon/Avalon"," 615","Grates Cove",66,1,13,31,0,111,
10001,"Avalon/Avalon",,Group 1/Groupe 1,26,5,16,79,2,128,452
10001,"Avalon/Avalon",,Group 2/Groupe 2,205,5,51,164,10,435,

