Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 60","Plantagenet",67,39,57,3,1,167,361
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 61","Centrefield",56,26,110,12,1,205,375
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62","Curran",78,31,89,13,2,213,262
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62-1","Alfred and Plantagenet",66,21,109,15,4,215,370
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 63","L'Ange-Gardien",48,25,64,6,1,144,252
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 63-1","Champlain",102,16,84,10,0,212,339
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 64","L'Orignal",103,36,74,16,3,232,404
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 65","L'Orignal",89,24,70,13,2,198,335
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 66","L'Orignal",93,39,81,10,1,224,358
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 67","L'Orignal",76,20,102,10,2,210,352
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 67-1","Champlain",64,16,73,8,0,161,238
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 68","Cassburn",80,28,148,15,0,271,442
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 69","McAlpine",31,13,80,5,0,129,227
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 70","St-Bernardin",36,34,79,20,0,169,250
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 71","St-Amour",73,11,96,9,0,189,307
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 72","Aberdeen",66,30,182,10,2,290,499
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73","Vankleek Hill",32,10,79,8,0,129,227
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73-1","Champlain",51,18,80,4,2,155,317
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 74","Vankleek Hill",43,11,95,12,1,162,306
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 75","Vankleek Hill",43,15,69,14,0,141,316
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 76","Vankleek Hill",58,13,86,12,2,171,336
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 77","Green Lane",108,49,138,21,5,321,594
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 78","Vankleek Hill Station",69,25,162,5,2,263,402
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 79","Pleasant Corners",99,36,133,24,1,293,421
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 80","Champlain",65,14,82,9,1,171,320
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 81","Stardale",85,34,162,12,3,296,504
