Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Avery,Emma Daughton,Lawrence MacAulay,Larry McGuire,Sid McMullin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 42","Kinross",21,9,103,13,51,1,198,297
11001,"Cardigan/Cardigan"," 43","Millview",24,13,99,3,70,1,210,298
11001,"Cardigan/Cardigan"," 44","Pownal",22,23,126,9,64,0,244,403
11001,"Cardigan/Cardigan"," 45","Cherry Valley",15,10,114,7,57,0,203,299
11001,"Cardigan/Cardigan"," 46","Hermitage",24,12,107,9,90,1,243,370
11001,"Cardigan/Cardigan"," 47","New Perth",9,4,92,32,66,1,204,358
11001,"Cardigan/Cardigan"," 48","Peakes",13,5,89,48,51,0,206,373
11001,"Cardigan/Cardigan"," 49","Fort Augustus",25,4,95,4,58,1,187,319
11001,"Cardigan/Cardigan"," 50","Savage Harbour",21,5,103,51,45,1,226,390
11001,"Cardigan/Cardigan"," 51","Mount Stewart",18,4,113,45,61,1,242,381
11001,"Cardigan/Cardigan"," 52","Tracadie Cross",21,8,147,20,44,0,240,383
11001,"Cardigan/Cardigan"," 53","Grand Tracadie",44,17,139,4,64,4,272,400
11001,"Cardigan/Cardigan"," 54","Bedford Station",38,10,132,16,82,0,278,408
11001,"Cardigan/Cardigan"," 55","Johnstons River",28,7,101,16,59,0,211,413
11001,"Cardigan/Cardigan"," 56","Glenfinnan",16,6,99,16,51,1,189,348
11001,"Cardigan/Cardigan"," 57","Hazelbrook",38,12,95,7,75,0,227,392
11001,"Cardigan/Cardigan"," 58","Mount Herbert",30,17,178,5,77,2,309,477
11001,"Cardigan/Cardigan"," 59","Alexandra",21,15,108,10,52,1,207,342
11001,"Cardigan/Cardigan"," 60","Stratford",25,18,118,10,112,2,285,439
11001,"Cardigan/Cardigan"," 61","Stratford",18,9,117,3,85,1,233,370
11001,"Cardigan/Cardigan"," 62","Stratford",26,21,147,8,51,2,255,377
11001,"Cardigan/Cardigan"," 63A","Stratford",34,20,97,3,64,0,218,318
11001,"Cardigan/Cardigan"," 63B","Stratford",13,15,87,4,70,1,190,318
11001,"Cardigan/Cardigan"," 64","Stratford",24,17,154,9,71,1,276,399
11001,"Cardigan/Cardigan"," 65","Stratford",24,10,113,6,73,1,227,342
11001,"Cardigan/Cardigan"," 66","Stratford",37,11,147,5,61,2,263,428
11001,"Cardigan/Cardigan"," 67","Stratford",21,12,106,7,56,0,202,359
11001,"Cardigan/Cardigan"," 68","Stratford",15,5,95,4,44,1,164,293
11001,"Cardigan/Cardigan"," 69","Stratford",34,10,119,5,76,0,244,437
11001,"Cardigan/Cardigan"," 70","Stratford",20,8,126,4,44,2,204,373
11001,"Cardigan/Cardigan"," 71","Stratford",53,16,161,13,99,0,342,570
11001,"Cardigan/Cardigan"," 72","Stratford",45,17,128,8,82,0,280,432
11001,"Cardigan/Cardigan"," 73","Stratford",18,6,89,9,47,0,169,354
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",1,0,24,1,9,1,36,73
11001,"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",1,0,42,1,36,2,82,126
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",3,2,53,2,37,3,100,131
11001,"Cardigan/Cardigan"," 600","Souris",20,7,257,18,99,1,402,
11001,"Cardigan/Cardigan"," 601","Mount Stewart",17,7,160,45,113,2,344,
11001,"Cardigan/Cardigan"," 602","Montague",27,14,355,27,225,1,649,
11001,"Cardigan/Cardigan"," 603","Stratford Center",35,19,299,11,181,1,546,
11001,"Cardigan/Cardigan"," 604","Stratford",30,21,206,9,100,0,366,
11001,"Cardigan/Cardigan"," 605","Wood Islands",8,8,93,7,67,0,183,
11001,"Cardigan/Cardigan",,Group 1/Groupe 1,5,5,26,0,36,1,73,160
11001,"Cardigan/Cardigan",,Group 2/Groupe 2,24,13,274,25,130,8,474,

