Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Moffat,Tony Mowery,Mike Richardson,Rodney Weston,Paul Zed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John/Saint John"," 30","Saint John",2,40,8,56,45,0,151,379
13009,"Saint John/Saint John"," 31","Saint John",4,42,12,108,70,0,236,526
13009,"Saint John/Saint John"," 32","Saint John",1,26,8,39,26,1,101,267
13009,"Saint John/Saint John"," 33","Saint John",2,44,10,100,55,0,211,483
13009,"Saint John/Saint John"," 34","Saint John",1,18,6,75,67,0,167,339
13009,"Saint John/Saint John"," 35","Saint John",1,46,11,122,47,0,227,514
13009,"Saint John/Saint John"," 36","Saint John",0,19,2,38,20,0,79,347
13009,"Saint John/Saint John"," 37","Saint John",2,25,10,123,68,1,229,529
13009,"Saint John/Saint John"," 38","Saint John",0,23,6,56,48,0,133,303
13009,"Saint John/Saint John"," 39","Saint John",0,32,15,78,59,2,186,386
13009,"Saint John/Saint John"," 40","Saint John",1,33,3,53,50,1,141,347
13009,"Saint John/Saint John"," 41","Saint John",1,34,6,64,17,0,122,326
13009,"Saint John/Saint John"," 42","Saint John",0,14,3,26,33,1,77,243
13009,"Saint John/Saint John"," 43","Saint John",1,37,11,124,78,1,252,455
13009,"Saint John/Saint John"," 44","Saint John",3,22,5,28,27,0,85,315
13009,"Saint John/Saint John"," 45","Saint John",4,31,4,58,37,1,135,298
13009,"Saint John/Saint John"," 46","Saint John",1,25,2,39,33,0,100,245
13009,"Saint John/Saint John"," 47","Saint John",2,21,3,70,68,0,164,344
13009,"Saint John/Saint John"," 48","Saint John",5,40,4,60,55,3,167,502
13009,"Saint John/Saint John"," 49","Saint John",2,16,7,59,32,0,116,264
13009,"Saint John/Saint John"," 50","Saint John",0,43,16,100,112,2,273,507
13009,"Saint John/Saint John"," 51","Saint John",3,35,10,83,46,1,178,428
13009,"Saint John/Saint John"," 52","Saint John",3,48,5,138,73,1,268,498
13009,"Saint John/Saint John"," 53","Saint John",3,51,8,80,53,1,196,566
13009,"Saint John/Saint John"," 54","Saint John",0,22,6,37,44,0,109,302
13009,"Saint John/Saint John"," 55","Saint John",3,23,9,52,34,0,121,376
13009,"Saint John/Saint John"," 56","Saint John",1,18,5,41,26,0,91,312
13009,"Saint John/Saint John"," 57","Saint John",1,24,5,31,23,2,86,298
13009,"Saint John/Saint John"," 58","Saint John",2,12,6,24,14,0,58,222
13009,"Saint John/Saint John"," 59","Saint John",1,29,8,55,59,3,155,310
13009,"Saint John/Saint John"," 60","Saint John",3,36,13,87,45,2,186,412
13009,"Saint John/Saint John"," 61","Saint John",4,43,8,68,81,0,204,370
13009,"Saint John/Saint John"," 62","Saint John",1,19,8,66,42,1,137,290
13009,"Saint John/Saint John"," 63","Saint John",1,22,10,72,53,0,158,338
13009,"Saint John/Saint John"," 64","Saint John",5,22,14,94,65,7,207,321
13009,"Saint John/Saint John"," 65","Saint John",1,27,9,76,82,0,195,398
13009,"Saint John/Saint John"," 66","Saint John",0,22,3,38,34,0,97,276
13009,"Saint John/Saint John"," 67","Saint John",2,46,16,44,51,1,160,372
13009,"Saint John/Saint John"," 68","Saint John",1,22,16,60,41,1,141,326
13009,"Saint John/Saint John"," 69","Saint John",1,33,11,56,54,1,156,340
13009,"Saint John/Saint John"," 70","Saint John",2,33,5,58,42,0,140,400
13009,"Saint John/Saint John"," 71","Saint John",1,28,6,57,30,0,122,324
13009,"Saint John/Saint John"," 72","Saint John",4,35,10,62,32,2,145,300
13009,"Saint John/Saint John"," 73","Saint John",0,32,10,48,37,1,128,293
13009,"Saint John/Saint John"," 74","Saint John",4,38,15,67,42,1,167,329
13009,"Saint John/Saint John"," 75","Saint John",5,60,13,104,56,0,238,564
13009,"Saint John/Saint John"," 76","Saint John",1,32,13,94,147,3,290,499
13009,"Saint John/Saint John"," 77","Saint John",2,20,12,108,108,0,250,408
13009,"Saint John/Saint John"," 78","Saint John",1,21,8,75,84,1,190,384
13009,"Saint John/Saint John"," 79","Saint John",0,24,6,32,40,1,103,235
13009,"Saint John/Saint John"," 80","Saint John",0,12,7,154,136,2,311,520
13009,"Saint John/Saint John"," 81","Saint John",5,19,18,118,128,1,289,440
13009,"Saint John/Saint John"," 82","Saint John",0,14,15,130,137,0,296,506
13009,"Saint John/Saint John"," 83","Saint John",2,19,11,72,80,0,184,302
13009,"Saint John/Saint John"," 84","Saint John",4,15,15,125,110,1,270,522
13009,"Saint John/Saint John"," 85","Saint John",1,31,8,36,57,0,133,245
13009,"Saint John/Saint John"," 86","Saint John",0,13,6,26,24,1,70,301
13009,"Saint John/Saint John"," 87","Saint John",0,21,12,44,34,1,112,285
13009,"Saint John/Saint John"," 88","Saint John",1,17,13,31,75,0,137,333
13009,"Saint John/Saint John"," 89","Saint John",5,51,18,65,82,0,221,526
13009,"Saint John/Saint John"," 90","Saint John",Void/Supprimé,,,,,,,
13009,"Saint John/Saint John"," 91","Saint John",1,19,5,42,46,2,115,353
13009,"Saint John/Saint John"," 92","Saint John",0,25,16,33,58,1,133,368
13009,"Saint John/Saint John"," 93","Saint John",2,21,6,34,39,0,102,314
13009,"Saint John/Saint John"," 94","Saint John",0,12,1,23,32,0,68,206
13009,"Saint John/Saint John"," 95","Saint John",1,32,7,33,51,2,126,388
13009,"Saint John/Saint John"," 96","Saint John",0,26,8,33,29,2,98,251
13009,"Saint John/Saint John"," 97","Saint John",5,37,15,31,93,0,181,469
13009,"Saint John/Saint John"," 98","Saint John",2,30,11,42,58,0,143,341
13009,"Saint John/Saint John"," 99","Saint John",1,22,14,86,98,0,221,475
13009,"Saint John/Saint John"," 100","Saint John",1,15,3,15,22,1,57,285
13009,"Saint John/Saint John"," 101","Saint John",3,25,3,17,25,1,74,253
13009,"Saint John/Saint John"," 102","Saint John",2,18,8,17,29,1,75,289
13009,"Saint John/Saint John"," 103","Saint John",1,22,9,22,49,1,104,369
13009,"Saint John/Saint John"," 104","Saint John",0,14,5,26,29,0,74,273
13009,"Saint John/Saint John"," 105","Saint John",1,19,16,19,45,1,101,326
13009,"Saint John/Saint John"," 106","Saint John",3,22,11,31,38,0,105,275
13009,"Saint John/Saint John"," 107","Saint John",0,25,10,67,90,0,192,365
13009,"Saint John/Saint John"," 108","Saint John",1,25,12,44,75,3,160,306
13009,"Saint John/Saint John"," 109","Saint John",2,28,12,63,94,2,201,423
13009,"Saint John/Saint John"," 110","Saint John",1,24,10,19,51,1,106,338
13009,"Saint John/Saint John"," 111","Saint John",0,19,7,19,43,0,88,291
13009,"Saint John/Saint John"," 112","Saint John",3,24,15,14,44,2,102,280
13009,"Saint John/Saint John"," 113","Saint John",4,24,30,33,69,0,160,350
13009,"Saint John/Saint John"," 114","Saint John",0,25,16,33,64,1,139,328
13009,"Saint John/Saint John"," 115","Saint John",4,22,12,15,55,0,108,294
13009,"Saint John/Saint John"," 116","Saint John",0,22,10,37,43,0,112,320
13009,"Saint John/Saint John"," 117","Saint John",1,25,10,16,42,0,94,285
13009,"Saint John/Saint John"," 118","Saint John",3,28,11,30,34,0,106,321
13009,"Saint John/Saint John"," 119","Saint John",0,18,4,36,50,0,108,405
13009,"Saint John/Saint John"," 120","Saint John",0,27,16,52,67,1,163,446
13009,"Saint John/Saint John"," 121","Saint John",2,33,5,62,58,2,162,334
13009,"Saint John/Saint John"," 122","Saint John",1,29,4,64,58,0,156,358
13009,"Saint John/Saint John"," 123","Saint John",0,22,5,29,22,0,78,245
13009,"Saint John/Saint John"," 124","Saint John",0,30,7,35,36,2,110,375
13009,"Saint John/Saint John"," 125","Saint John",2,34,4,49,41,0,130,309
13009,"Saint John/Saint John"," 126","Saint John",1,19,4,30,22,0,76,328
13009,"Saint John/Saint John"," 127","Saint John",1,13,8,27,23,1,73,266
13009,"Saint John/Saint John"," 128","Saint John",1,18,3,32,16,0,70,283
13009,"Saint John/Saint John"," 129","Saint John",0,19,6,25,17,0,67,251
13009,"Saint John/Saint John"," 130","Saint John",1,28,10,65,60,4,168,374
13009,"Saint John/Saint John"," 131","Saint John",5,32,5,49,77,0,168,346
13009,"Saint John/Saint John"," 132","Saint John",1,22,9,60,96,0,188,374
13009,"Saint John/Saint John"," 133","Saint John",1,44,5,44,35,0,129,341
13009,"Saint John/Saint John"," 134","Saint John",6,50,13,74,67,1,211,428
13009,"Saint John/Saint John"," 135","Saint John",1,28,14,109,129,0,281,512
13009,"Saint John/Saint John"," 136","Saint John",3,38,12,68,54,2,177,349
13009,"Saint John/Saint John"," 137","Saint John",1,23,5,38,37,0,104,253
13009,"Saint John/Saint John"," 138","Saint John",2,29,8,33,32,2,106,330
13009,"Saint John/Saint John"," 139","Saint John",0,26,3,84,82,2,197,347
13009,"Saint John/Saint John"," 140","Saint John",2,28,14,85,81,0,210,376
13009,"Saint John/Saint John"," 141","Saint John",0,46,15,141,133,3,338,653
13009,"Saint John/Saint John"," 142A","Saint John",0,15,14,77,76,0,182,354
13009,"Saint John/Saint John"," 142B","Saint John",0,9,3,56,23,0,91,127
13009,"Saint John/Saint John"," 143","Saint John",6,27,11,93,69,0,206,404
13009,"Saint John/Saint John"," 144","Saint John",2,26,7,68,65,2,170,320
13009,"Saint John/Saint John"," 145","Saint John",2,35,9,93,105,2,246,484
13009,"Saint John/Saint John"," 146","Saint John",3,45,12,130,118,1,309,586
13009,"Saint John/Saint John"," 147","Saint John",3,39,5,36,37,1,121,272
13009,"Saint John/Saint John"," 148","Saint John",0,49,10,63,68,2,192,501
13009,"Saint John/Saint John"," 149","Saint John",2,40,7,35,31,0,115,329
13009,"Saint John/Saint John"," 150","Saint John",1,29,6,46,33,0,115,341
13009,"Saint John/Saint John"," 151","Saint John",3,54,16,50,68,3,194,506
13009,"Saint John/Saint John"," 152","Saint John",Void/Supprimé,,,,,,,
13009,"Saint John/Saint John"," 153","Saint John",0,31,11,52,57,2,153,298
13009,"Saint John/Saint John"," 154","Saint John",1,21,15,36,38,1,112,225
13009,"Saint John/Saint John"," 155","Saint John",2,50,5,65,69,0,191,382
13009,"Saint John/Saint John"," 156","Saint John",2,41,7,68,44,1,163,381
13009,"Saint John/Saint John"," 157","Saint John",2,42,12,61,57,0,174,335
13009,"Saint John/Saint John"," 158","Saint John",2,42,6,72,60,0,182,409
13009,"Saint John/Saint John"," 159","Saint John",0,42,10,123,67,0,242,497
13009,"Saint John/Saint John"," 160","Saint John",0,41,12,70,61,1,185,331
13009,"Saint John/Saint John"," 161","Saint John",3,49,16,132,102,3,305,606
13009,"Saint John/Saint John"," 162","Saint John",4,40,9,57,55,2,167,361
13009,"Saint John/Saint John"," 163","Saint John",3,54,19,43,57,0,176,385
13009,"Saint John/Saint John"," 164","Saint John",1,34,12,80,95,2,224,446
13009,"Saint John/Saint John"," 165","Saint John",3,35,10,67,51,1,167,312
13009,"Saint John/Saint John"," 166","Saint John",6,41,12,68,35,1,163,292
13009,"Saint John/Saint John"," 167","Saint John",5,28,7,70,61,0,171,292
13009,"Saint John/Saint John"," 168","Saint John",3,43,17,114,46,0,223,379
13009,"Saint John/Saint John"," 169","Saint John",3,52,12,96,50,3,216,420
13009,"Saint John/Saint John"," 170","Saint John",0,44,6,77,57,3,187,401
13009,"Saint John/Saint John"," 171","Saint John",2,26,5,70,26,0,129,219
13009,"Saint John/Saint John"," 172","Saint John",4,45,4,77,31,0,161,335
13009,"Saint John/Saint John"," 500","Mobile poll/Bureau itinérant",4,7,6,31,22,1,71,118
13009,"Saint John/Saint John"," 501","Mobile poll/Bureau itinérant",1,11,3,35,42,3,95,102
13009,"Saint John/Saint John"," 502","Mobile poll/Bureau itinérant",2,13,6,38,57,0,116,223
13009,"Saint John/Saint John"," 503","Mobile poll/Bureau itinérant",2,2,4,18,70,0,96,153
13009,"Saint John/Saint John"," 600","Quispamsis",2,54,25,273,214,3,571,
13009,"Saint John/Saint John"," 601","Rothesay",2,28,17,216,278,3,544,
13009,"Saint John/Saint John"," 602","Saint John",2,28,15,147,96,0,288,
13009,"Saint John/Saint John"," 603","Saint John",7,91,19,291,238,1,647,
13009,"Saint John/Saint John"," 604","Saint John",0,24,7,62,76,1,170,
13009,"Saint John/Saint John"," 605","Saint John",0,37,11,90,133,0,271,
13009,"Saint John/Saint John"," 606","Saint John",0,52,18,214,261,2,547,
13009,"Saint John/Saint John"," 607","Saint John",2,16,13,105,130,1,267,
13009,"Saint John/Saint John"," 608","Saint John",3,56,26,230,174,0,489,
13009,"Saint John/Saint John"," 609","Saint John",5,34,19,175,151,5,389,
13009,"Saint John/Saint John"," 610","Saint John",1,27,16,168,121,0,333,
13009,"Saint John/Saint John"," 611","Saint John",0,20,5,86,55,0,166,
13009,"Saint John/Saint John",,Group 1/Groupe 1,11,18,12,84,71,4,200,523
13009,"Saint John/Saint John",,Group 2/Groupe 2,2,55,23,235,554,14,883,

