Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stan Knowlton,Jared McCollum,Ted Menzies,Isabel Paynter,Marc Slingerland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 43A","Okotoks",13,13,118,13,1,0,158,313
48020,"Macleod/Macleod"," 43B","Okotoks",10,10,121,9,0,0,150,282
48020,"Macleod/Macleod"," 44","Okotoks",8,22,112,8,0,0,150,284
48020,"Macleod/Macleod"," 45","Okotoks",24,27,157,8,2,0,218,469
48020,"Macleod/Macleod"," 46","Okotoks",23,27,192,15,2,0,259,581
48020,"Macleod/Macleod"," 46-1A","Okotoks",7,10,144,9,0,0,170,351
48020,"Macleod/Macleod"," 46-1B","Okotoks",8,21,151,8,1,2,191,366
48020,"Macleod/Macleod"," 47A","Okotoks",7,14,132,8,0,0,161,313
48020,"Macleod/Macleod"," 47B","Okotoks",8,11,89,6,0,0,114,281
48020,"Macleod/Macleod"," 47-1","Okotoks",7,9,97,7,0,0,120,236
48020,"Macleod/Macleod"," 47-2","Okotoks",15,29,191,24,0,0,259,499
48020,"Macleod/Macleod"," 48","Okotoks",16,34,228,12,6,0,296,620
48020,"Macleod/Macleod"," 49","Okotoks",18,24,183,8,3,0,236,469
48020,"Macleod/Macleod"," 50A","Okotoks",9,18,165,3,1,0,196,404
48020,"Macleod/Macleod"," 50B","Okotoks",18,19,171,8,0,0,216,409
48020,"Macleod/Macleod"," 51","Okotoks",7,18,178,26,4,0,233,482
48020,"Macleod/Macleod"," 52","Okotoks",10,13,77,5,0,0,105,202
48020,"Macleod/Macleod"," 53","Okotoks",16,21,228,21,2,0,288,464
48020,"Macleod/Macleod"," 53-1","Okotoks",11,15,178,12,0,0,216,421
48020,"Macleod/Macleod"," 54","Okotoks",29,35,183,14,4,0,265,568
48020,"Macleod/Macleod"," 55A","Okotoks",11,26,134,9,2,0,182,326
48020,"Macleod/Macleod"," 55B","Okotoks",12,17,146,6,1,0,182,349
48020,"Macleod/Macleod"," 56","Okotoks",17,15,107,12,2,0,153,489
48020,"Macleod/Macleod"," 57","Okotoks",28,27,159,15,2,0,231,673
48020,"Macleod/Macleod"," 58A","Okotoks",15,22,137,13,0,0,187,347
48020,"Macleod/Macleod"," 58B","Okotoks",9,17,119,9,1,0,155,327
48020,"Macleod/Macleod"," 59","Okotoks",19,35,283,16,3,0,356,673
48020,"Macleod/Macleod"," 60A","Okotoks",11,18,79,11,1,0,120,288
48020,"Macleod/Macleod"," 60B","Okotoks",9,11,69,11,2,0,102,299
48020,"Macleod/Macleod"," 61A","Okotoks",24,9,112,14,1,1,161,390
48020,"Macleod/Macleod"," 61B","Okotoks",11,13,103,4,2,0,133,346
48020,"Macleod/Macleod"," 62A","Okotoks",9,7,108,6,2,0,132,283
48020,"Macleod/Macleod"," 62B","Okotoks",7,10,150,14,0,0,181,332
48020,"Macleod/Macleod"," 63A","Okotoks",10,20,130,12,0,0,172,368
48020,"Macleod/Macleod"," 63B","Okotoks",20,22,150,4,0,2,198,359
48020,"Macleod/Macleod"," 64","Okotoks",1,8,32,3,0,1,45,87
48020,"Macleod/Macleod"," 65","Okotoks",Merged with No. 64/Fusionné avec le nº 64,,,,,,,2
48020,"Macleod/Macleod"," 66","Okotoks",9,18,264,11,0,2,304,651
48020,"Macleod/Macleod"," 67","Gladys",8,21,260,11,0,1,301,547
48020,"Macleod/Macleod"," 68A","High River",7,12,155,5,2,0,181,337
48020,"Macleod/Macleod"," 68B","High River",9,22,179,16,2,1,229,389
48020,"Macleod/Macleod"," 69A","High River",13,10,158,12,3,0,196,401
48020,"Macleod/Macleod"," 69B","High River",12,16,121,12,1,0,162,339
48020,"Macleod/Macleod"," 69-1","High River",1,6,110,5,1,0,123,284
48020,"Macleod/Macleod"," 69-2A","High River",5,7,141,14,1,0,168,267
48020,"Macleod/Macleod"," 69-2B","High River",11,6,166,11,1,0,195,293
48020,"Macleod/Macleod"," 70","High River",9,12,236,15,1,0,273,494
48020,"Macleod/Macleod"," 70-1","High River",8,11,190,11,0,0,220,330
48020,"Macleod/Macleod"," 70-2","High River",16,10,132,6,1,0,165,422
48020,"Macleod/Macleod"," 71","High River",20,47,164,18,1,1,251,462
48020,"Macleod/Macleod"," 72","High River",6,18,100,11,0,0,135,248
48020,"Macleod/Macleod"," 73","High River",15,22,183,18,1,0,239,511
48020,"Macleod/Macleod"," 74","High River",11,32,98,13,3,0,157,393
48020,"Macleod/Macleod"," 75","High River",16,35,164,10,1,0,226,465
48020,"Macleod/Macleod"," 76","High River",20,25,122,16,1,2,186,456
48020,"Macleod/Macleod"," 77","High River",22,44,136,14,3,0,219,516
48020,"Macleod/Macleod"," 78","High River",18,24,181,11,1,0,235,489
48020,"Macleod/Macleod"," 79","High River",19,41,195,12,4,0,271,544
48020,"Macleod/Macleod"," 80","High River",5,6,62,6,1,1,81,158
48020,"Macleod/Macleod"," 81A","High River",17,21,155,17,0,0,210,463
48020,"Macleod/Macleod"," 81B","High River",18,17,176,10,4,0,225,472
48020,"Macleod/Macleod"," 81-1","High River",Merged with No. 81A/Fusionné avec le nº 81A,,,,,,,25
48020,"Macleod/Macleod"," 82A","High River",7,18,121,10,2,0,158,286
48020,"Macleod/Macleod"," 82B","High River",9,10,125,15,2,0,161,296
48020,"Macleod/Macleod"," 82-1","High River",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 83","High River",10,5,129,6,0,0,150,284
48020,"Macleod/Macleod"," 84","Blackie",18,40,206,7,2,0,273,581
48020,"Macleod/Macleod"," 85A","Cayley",13,13,141,4,3,0,174,346
48020,"Macleod/Macleod"," 85B","Cayley",14,8,121,0,2,0,145,312
48020,"Macleod/Macleod"," 86","Siksika",12,0,6,8,0,0,26,264
48020,"Macleod/Macleod"," 87","Siksika",71,8,24,30,1,3,137,747
48020,"Macleod/Macleod"," 88","Siksika",26,3,22,7,0,0,58,354
48020,"Macleod/Macleod"," 89","Siksika",11,0,4,9,0,0,24,148
48020,"Macleod/Macleod"," 90","Farrow",5,3,110,5,3,0,126,200
48020,"Macleod/Macleod"," 91","Arrowwood",6,6,330,6,7,0,355,430
48020,"Macleod/Macleod"," 92","Milo",12,10,200,3,1,0,226,413
48020,"Macleod/Macleod"," 93","Brant",5,10,100,6,4,0,125,336
48020,"Macleod/Macleod"," 94","Vulcan",24,13,261,11,2,0,311,612
48020,"Macleod/Macleod"," 95","Vulcan",10,9,123,2,2,0,146,276
48020,"Macleod/Macleod"," 96","Vulcan",15,13,200,2,3,2,235,428
48020,"Macleod/Macleod"," 97","Vulcan",8,7,137,5,1,0,158,301
48020,"Macleod/Macleod"," 98","Armada",7,15,143,5,1,1,172,397
48020,"Macleod/Macleod"," 99","Kirkcaldy",10,8,163,7,3,0,191,313
48020,"Macleod/Macleod"," 100","Champion",12,11,254,10,6,0,293,538
48020,"Macleod/Macleod"," 101","Carmangay",17,10,155,1,2,0,185,371
48020,"Macleod/Macleod"," 101-1","Travers",1,0,29,1,0,0,31,88
48020,"Macleod/Macleod"," 102","Maycroft",6,15,126,4,2,0,153,238
48020,"Macleod/Macleod"," 103","Crowsnest Pass",17,14,127,15,0,0,173,379
48020,"Macleod/Macleod"," 104","Crowsnest Pass",24,19,131,17,1,1,193,378
48020,"Macleod/Macleod"," 105","Crowsnest Pass",18,21,87,12,1,0,139,294
48020,"Macleod/Macleod"," 106","Crowsnest Pass",31,26,138,24,3,0,222,552
48020,"Macleod/Macleod"," 107","Crowsnest Pass",8,13,81,9,0,0,111,189
48020,"Macleod/Macleod"," 108","Crowsnest Pass",26,5,108,15,3,0,157,291
48020,"Macleod/Macleod"," 109","Crowsnest Pass",7,1,100,8,0,0,116,235
48020,"Macleod/Macleod"," 110","Crowsnest Pass",18,30,142,15,3,0,208,549
48020,"Macleod/Macleod"," 111","Crowsnest Pass",26,14,121,12,0,0,173,326
48020,"Macleod/Macleod"," 112","Crowsnest Pass",14,10,81,6,0,0,111,249
48020,"Macleod/Macleod"," 113","Crowsnest Pass",21,26,188,18,1,0,254,536
48020,"Macleod/Macleod"," 114","Crowsnest Pass",24,18,174,15,2,0,233,531
48020,"Macleod/Macleod"," 115","Lundbreck",24,40,183,13,3,0,263,485
48020,"Macleod/Macleod"," 116","Nanton",14,30,258,8,0,0,310,441
48020,"Macleod/Macleod"," 117","Nanton",23,21,169,17,2,1,233,411
48020,"Macleod/Macleod"," 118A","Nanton",10,15,144,15,0,0,184,351
48020,"Macleod/Macleod"," 118B","Nanton",18,16,149,2,0,2,187,322
48020,"Macleod/Macleod"," 119","Nanton",Merged with No. 120/Fusionné avec le nº 120,,,,,,,149
48020,"Macleod/Macleod"," 120","Nanton",33,12,295,12,2,0,354,410
48020,"Macleod/Macleod"," 121","Parkland",12,3,124,3,0,0,142,273
48020,"Macleod/Macleod"," 122","Stavely",8,9,186,6,1,0,210,323
48020,"Macleod/Macleod"," 123","Stavely",18,12,180,5,0,0,215,390
48020,"Macleod/Macleod"," 124A","Claresholm",8,12,110,4,3,1,138,424
48020,"Macleod/Macleod"," 124B","Claresholm",4,2,77,0,0,0,83,455
48020,"Macleod/Macleod"," 125","Claresholm",10,18,162,8,2,1,201,339
48020,"Macleod/Macleod"," 126","Claresholm",12,14,139,3,0,1,169,334
48020,"Macleod/Macleod"," 127","Claresholm",6,5,143,4,2,0,160,317
48020,"Macleod/Macleod"," 128","Claresholm",7,19,156,3,2,0,187,304
48020,"Macleod/Macleod"," 129","Claresholm",5,12,141,9,2,0,169,313
48020,"Macleod/Macleod"," 130","Claresholm",18,21,229,9,2,0,279,548
48020,"Macleod/Macleod"," 131","Claresholm",16,7,91,5,3,0,122,195
48020,"Macleod/Macleod"," 132","Claresholm",27,24,263,10,2,0,326,600
48020,"Macleod/Macleod"," 133","Granum",8,13,153,6,9,0,189,449
48020,"Macleod/Macleod"," 134","Cowley",19,23,151,12,1,0,206,425
48020,"Macleod/Macleod"," 135","Peigan 147",54,3,13,13,0,0,83,395
48020,"Macleod/Macleod"," 136","Peigan 147",62,0,8,22,0,0,92,338
48020,"Macleod/Macleod"," 137","Beaver Mines",8,24,101,9,0,0,142,290
48020,"Macleod/Macleod"," 138","Pincher Creek",15,9,153,11,3,0,191,500
48020,"Macleod/Macleod"," 139","Pincher Creek",8,22,144,14,4,0,192,426
48020,"Macleod/Macleod"," 140","Pincher Creek",11,18,89,7,1,1,127,316
48020,"Macleod/Macleod"," 141","Pincher Creek",6,10,92,8,1,0,117,254
48020,"Macleod/Macleod"," 142","Pincher Creek",17,30,205,19,2,1,274,681
48020,"Macleod/Macleod"," 143","Pincher Creek",9,24,104,9,4,0,150,320
48020,"Macleod/Macleod"," 144","Pincher Creek",18,14,149,12,2,0,195,406
48020,"Macleod/Macleod"," 145","Pincher Creek",15,17,121,17,1,0,171,352
48020,"Macleod/Macleod"," 146","Twin Butte",10,18,103,15,0,0,146,224
48020,"Macleod/Macleod"," 147","Hill Spring",5,11,205,6,0,0,227,546
48020,"Macleod/Macleod"," 148","Granum",23,16,209,12,7,0,267,436
48020,"Macleod/Macleod"," 149","Fort Macleod",12,8,107,9,8,1,145,298
48020,"Macleod/Macleod"," 150","Fort Macleod",24,9,114,10,5,1,163,359
48020,"Macleod/Macleod"," 151","Fort Macleod",28,17,205,12,14,1,277,518
48020,"Macleod/Macleod"," 152","Fort Macleod",25,20,136,14,5,2,202,510
48020,"Macleod/Macleod"," 153","Fort Macleod",10,9,69,6,1,0,95,209
48020,"Macleod/Macleod"," 154","Fort Macleod",9,5,75,8,7,0,104,215
48020,"Macleod/Macleod"," 155","Fort Macleod",19,15,145,12,6,2,199,348
48020,"Macleod/Macleod"," 156","Fort Macleod",13,8,71,5,4,0,101,223
48020,"Macleod/Macleod"," 157","Fort Macleod",12,10,171,4,38,0,235,485
48020,"Macleod/Macleod"," 158","Pearce",6,13,114,10,16,0,159,286
48020,"Macleod/Macleod"," 159","Glenwood",18,7,158,6,5,0,194,497
48020,"Macleod/Macleod"," 160","Blood 148",15,2,4,5,0,0,26,259
48020,"Macleod/Macleod"," 161","Blood 148",18,2,1,8,0,1,30,166
48020,"Macleod/Macleod"," 162","Stand Off",43,1,15,17,1,0,77,496
48020,"Macleod/Macleod"," 163","Blood 148",8,0,3,4,0,0,15,183
48020,"Macleod/Macleod"," 164","Blood 148",30,0,7,17,0,0,54,474
48020,"Macleod/Macleod"," 165","Blood 148",36,2,5,16,0,0,59,339
48020,"Macleod/Macleod"," 500","Mobile poll/Bureau itinérant",6,4,44,6,0,0,60,95
48020,"Macleod/Macleod"," 501","Mobile poll/Bureau itinérant",5,3,54,3,0,0,65,81
48020,"Macleod/Macleod"," 502","Mobile poll/Bureau itinérant",7,8,95,12,0,0,122,185
48020,"Macleod/Macleod"," 503","Mobile poll/Bureau itinérant",1,0,6,4,0,0,11,92
48020,"Macleod/Macleod"," 504","Mobile poll/Bureau itinérant",7,4,76,7,1,4,99,105
48020,"Macleod/Macleod"," 505","Mobile poll/Bureau itinérant",5,4,33,3,3,2,50,88
48020,"Macleod/Macleod"," 506","Mobile poll/Bureau itinérant",1,4,39,4,2,0,50,77
48020,"Macleod/Macleod"," 507","Mobile poll/Bureau itinérant",5,3,47,3,1,0,59,108
48020,"Macleod/Macleod"," 508","Mobile poll/Bureau itinérant",2,0,32,3,0,0,37,51
48020,"Macleod/Macleod"," 600","Bragg Creek",11,43,183,26,1,1,265,
48020,"Macleod/Macleod"," 601","Black Diamond",12,22,223,9,0,3,269,
48020,"Macleod/Macleod"," 602","Okotoks",37,89,720,51,5,1,903,
48020,"Macleod/Macleod"," 603","High River",31,59,701,53,8,2,854,
48020,"Macleod/Macleod"," 604","Vulcan",8,14,213,10,2,1,248,
48020,"Macleod/Macleod"," 605","Blairmore",38,18,238,23,2,0,319,
48020,"Macleod/Macleod"," 606","Claresholm",15,18,353,17,3,0,406,
48020,"Macleod/Macleod"," 607","Pincher Creek",24,31,222,20,2,0,299,
48020,"Macleod/Macleod"," 608","Fort Macleod",7,11,148,21,3,0,190,
48020,"Macleod/Macleod"," 609","De Winton",10,31,314,11,8,1,375,
48020,"Macleod/Macleod"," 610","Springbank--Elbow Springs",4,35,377,28,1,0,445,
48020,"Macleod/Macleod",,Group 1/Groupe 1,12,4,42,14,0,3,75,138
48020,"Macleod/Macleod",,Group 2/Groupe 2,35,68,601,55,2,8,769,

