Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodger Cuzner,Dwayne MacEachern,Mark MacNeill,Allan Richard Murphy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 99","Louisbourg",78,5,31,35,0,149,241
12001,"Cape Breton--Canso/Cape Breton--Canso"," 100","Louisbourg",60,8,40,30,0,138,224
12001,"Cape Breton--Canso/Cape Breton--Canso"," 101","Louisbourg",99,8,34,45,3,189,313
12001,"Cape Breton--Canso/Cape Breton--Canso"," 102","Trout Brook",102,19,39,49,1,210,354
12001,"Cape Breton--Canso/Cape Breton--Canso"," 103","Grand Mira South",97,14,41,47,0,199,322
12001,"Cape Breton--Canso/Cape Breton--Canso"," 104","Gabarus",50,7,25,45,2,129,190
12001,"Cape Breton--Canso/Cape Breton--Canso"," 105","Gardiner Mines",91,13,80,30,2,216,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 106A","Gardiner Mines",65,4,44,21,1,135,262
12001,"Cape Breton--Canso/Cape Breton--Canso"," 106B","Gardiner Mines",84,7,39,18,2,150,248
12001,"Cape Breton--Canso/Cape Breton--Canso"," 107","Reserve Mines",74,5,35,22,3,139,342
12001,"Cape Breton--Canso/Cape Breton--Canso"," 108","Reserve Mines",81,7,54,26,6,174,309
12001,"Cape Breton--Canso/Cape Breton--Canso"," 109","Reserve Mines",115,14,46,31,0,206,344
12001,"Cape Breton--Canso/Cape Breton--Canso"," 110","Grand Lake Road",102,11,60,42,3,218,386
12001,"Cape Breton--Canso/Cape Breton--Canso"," 111A","Grand Lake Road",86,8,45,28,1,168,172
12001,"Cape Breton--Canso/Cape Breton--Canso"," 111B","Grand Lake Road",22,7,26,5,0,60,120
12001,"Cape Breton--Canso/Cape Breton--Canso"," 112","Gardiner Mines",136,8,67,15,1,227,397
12001,"Cape Breton--Canso/Cape Breton--Canso"," 113","Cape Breton",71,3,67,18,0,159,318
12001,"Cape Breton--Canso/Cape Breton--Canso"," 114","Cape Breton",130,6,77,34,4,251,393
12001,"Cape Breton--Canso/Cape Breton--Canso"," 115","Cape Breton",136,8,55,38,2,239,360
12001,"Cape Breton--Canso/Cape Breton--Canso"," 116","Cape Breton",44,4,21,10,1,80,210
12001,"Cape Breton--Canso/Cape Breton--Canso"," 117","Cape Breton",117,4,77,24,2,224,386
12001,"Cape Breton--Canso/Cape Breton--Canso"," 118","Cape Breton",81,6,52,16,1,156,304
12001,"Cape Breton--Canso/Cape Breton--Canso"," 119","Cape Breton",113,8,92,8,3,224,397
12001,"Cape Breton--Canso/Cape Breton--Canso"," 120","Cape Breton",105,11,78,26,1,221,431
12001,"Cape Breton--Canso/Cape Breton--Canso"," 121","Cape Breton",99,6,58,29,2,194,338
12001,"Cape Breton--Canso/Cape Breton--Canso"," 122","Cape Breton",84,9,35,12,2,142,285
12001,"Cape Breton--Canso/Cape Breton--Canso"," 123","Cape Breton",57,8,27,11,0,103,174
12001,"Cape Breton--Canso/Cape Breton--Canso"," 124","Cape Breton",68,4,46,10,2,130,256
12001,"Cape Breton--Canso/Cape Breton--Canso"," 125","Glace Bay",90,9,60,19,1,179,339
12001,"Cape Breton--Canso/Cape Breton--Canso"," 126","Cape Breton",205,3,66,41,2,317,489
12001,"Cape Breton--Canso/Cape Breton--Canso"," 127","Cape Breton",102,11,47,36,0,196,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 128","Cape Breton",120,4,44,25,0,193,336
12001,"Cape Breton--Canso/Cape Breton--Canso"," 129","Cape Breton",99,4,29,24,1,157,298
12001,"Cape Breton--Canso/Cape Breton--Canso"," 130","Cape Breton",119,4,59,20,1,203,370
12001,"Cape Breton--Canso/Cape Breton--Canso"," 131","Cape Breton",116,11,49,15,4,195,295
12001,"Cape Breton--Canso/Cape Breton--Canso"," 132","Cape Breton",182,5,60,28,2,277,424
12001,"Cape Breton--Canso/Cape Breton--Canso"," 133","Cape Breton",147,6,46,24,1,224,408
12001,"Cape Breton--Canso/Cape Breton--Canso"," 134","Cape Breton",100,4,45,20,4,173,343
12001,"Cape Breton--Canso/Cape Breton--Canso"," 135","Cape Breton",111,12,46,31,4,204,401
12001,"Cape Breton--Canso/Cape Breton--Canso"," 136","Cape Breton",104,4,20,21,3,152,293
12001,"Cape Breton--Canso/Cape Breton--Canso"," 137","Cape Breton",76,9,44,24,0,153,300
12001,"Cape Breton--Canso/Cape Breton--Canso"," 138","Cape Breton",59,5,38,21,1,124,261
12001,"Cape Breton--Canso/Cape Breton--Canso"," 139","Cape Breton",109,5,37,25,2,178,343
12001,"Cape Breton--Canso/Cape Breton--Canso"," 140","Cape Breton",118,5,49,12,1,185,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 141","Cape Breton",63,2,34,16,0,115,235
12001,"Cape Breton--Canso/Cape Breton--Canso"," 142","Cape Breton",87,8,33,23,3,154,361
12001,"Cape Breton--Canso/Cape Breton--Canso"," 143","Cape Breton",100,4,47,17,2,170,343
12001,"Cape Breton--Canso/Cape Breton--Canso"," 144","Cape Breton",41,10,51,1,0,103,266
12001,"Cape Breton--Canso/Cape Breton--Canso"," 145","Cape Breton",113,8,49,24,2,196,351
12001,"Cape Breton--Canso/Cape Breton--Canso"," 146","Cape Breton",91,4,39,23,0,157,306
12001,"Cape Breton--Canso/Cape Breton--Canso"," 147","Cape Breton",75,6,27,22,1,131,292
12001,"Cape Breton--Canso/Cape Breton--Canso"," 148","Cape Breton",95,3,43,19,4,164,377
12001,"Cape Breton--Canso/Cape Breton--Canso"," 149","Cape Breton",68,3,37,22,1,131,273
12001,"Cape Breton--Canso/Cape Breton--Canso"," 150A","Cape Breton",78,2,46,20,1,147,313
12001,"Cape Breton--Canso/Cape Breton--Canso"," 150B","Cape Breton",63,4,32,10,2,111,212
12001,"Cape Breton--Canso/Cape Breton--Canso"," 151","Cape Breton",92,4,38,20,0,154,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 152","Cape Breton",48,6,29,18,0,101,200
12001,"Cape Breton--Canso/Cape Breton--Canso"," 153","Cape Breton",125,6,46,24,4,205,341
12001,"Cape Breton--Canso/Cape Breton--Canso"," 154","Cape Breton",86,4,41,23,2,156,332
12001,"Cape Breton--Canso/Cape Breton--Canso"," 155","Cape Breton",57,9,42,10,0,118,264
12001,"Cape Breton--Canso/Cape Breton--Canso"," 156","Donkin",86,7,51,42,5,191,373
12001,"Cape Breton--Canso/Cape Breton--Canso"," 157","Donkin",81,1,33,24,0,139,308
12001,"Cape Breton--Canso/Cape Breton--Canso"," 158","Port Morien",86,10,26,31,3,156,285
12001,"Cape Breton--Canso/Cape Breton--Canso"," 159","Port Morien",100,6,51,37,0,194,310
12001,"Cape Breton--Canso/Cape Breton--Canso"," 160","Sand Lake",55,4,48,13,1,121,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 161","Birch Grove",94,7,43,31,2,177,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 162","Mira Gut",88,13,46,58,0,205,315
12001,"Cape Breton--Canso/Cape Breton--Canso"," 163","Mulgrave",60,8,68,38,0,174,271
12001,"Cape Breton--Canso/Cape Breton--Canso"," 164","Mulgrave",65,23,104,74,3,269,449
12001,"Cape Breton--Canso/Cape Breton--Canso"," 165","Hadleyville",34,10,17,31,0,92,148
12001,"Cape Breton--Canso/Cape Breton--Canso"," 166","St. Francis Harbour",24,16,22,34,0,96,146
12001,"Cape Breton--Canso/Cape Breton--Canso"," 167","Boylston",81,19,26,110,0,236,393
12001,"Cape Breton--Canso/Cape Breton--Canso"," 168","Boylston",31,9,9,55,2,106,168
12001,"Cape Breton--Canso/Cape Breton--Canso"," 169","Hazel Hill",31,3,42,59,1,136,221
12001,"Cape Breton--Canso/Cape Breton--Canso"," 170","Canso",49,9,70,48,0,176,319
12001,"Cape Breton--Canso/Cape Breton--Canso"," 171","Canso",18,4,22,31,1,76,179
12001,"Cape Breton--Canso/Cape Breton--Canso"," 172","Canso",37,4,37,35,0,113,229
12001,"Cape Breton--Canso/Cape Breton--Canso"," 173","Little Dover",48,4,61,64,1,178,287
12001,"Cape Breton--Canso/Cape Breton--Canso"," 174","Halfway Cove",32,13,32,64,0,141,280
12001,"Cape Breton--Canso/Cape Breton--Canso"," 175","Port Felix",39,3,46,26,0,114,210
12001,"Cape Breton--Canso/Cape Breton--Canso"," 176","Guysborough",67,10,25,85,2,189,362
12001,"Cape Breton--Canso/Cape Breton--Canso"," 177","Guysborough",60,9,22,29,1,121,253
12001,"Cape Breton--Canso/Cape Breton--Canso"," 178","Charlos Cove",75,3,23,44,0,145,230
12001,"Cape Breton--Canso/Cape Breton--Canso"," 179","Tor Bay",44,13,28,51,0,136,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 180","Erinville",27,3,12,47,0,89,130
12001,"Cape Breton--Canso/Cape Breton--Canso"," 181","Goldboro",11,9,21,38,0,79,125
12001,"Cape Breton--Canso/Cape Breton--Canso"," 182","Isaacs Harbour",21,15,27,47,0,110,156
12001,"Cape Breton--Canso/Cape Breton--Canso"," 183","Country Harbour Lake",73,14,22,81,2,192,313
12001,"Cape Breton--Canso/Cape Breton--Canso"," 184","Port Bickerton",Void/Supprimé,,,,,,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 500","Mobile poll/Bureau itinérant",72,5,7,26,2,112,118
12001,"Cape Breton--Canso/Cape Breton--Canso"," 501","Mobile poll/Bureau itinérant",33,3,3,6,3,48,178
12001,"Cape Breton--Canso/Cape Breton--Canso"," 502","Mobile poll/Bureau itinérant",24,1,8,26,0,59,96
12001,"Cape Breton--Canso/Cape Breton--Canso"," 503","Mobile poll/Bureau itinérant",17,5,6,9,0,37,102
12001,"Cape Breton--Canso/Cape Breton--Canso"," 600","Chéticamp",118,7,23,50,0,198,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 601","Inverness",78,27,19,44,1,169,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 602","Port Hawkesbury",122,25,53,161,5,366,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 603","Arichat",77,6,17,62,0,162,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 604","Rockdale",43,1,19,41,1,105,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 605","Sydney Forks",197,15,66,96,5,379,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 606","Louisbourg",56,6,21,38,1,122,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 607","Reserve Mines",41,2,8,14,0,65,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 608","Glace Bay",194,7,73,40,4,318,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 609","Glace Bay",204,18,58,61,4,345,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 610","Donkin",49,1,9,15,0,74,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 611","Mulgrave",23,0,19,16,0,58,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 612","Canso",22,3,20,23,0,68,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 613","Guysborough",26,7,5,34,0,72,
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 1/Groupe 1,47,12,22,97,10,188,609
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 2/Groupe 2,346,37,86,113,15,597,

