Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patti Chmelyk,Andrew Kania,Kyle Seeback,Jagtar Shergill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton West/Brampton-Ouest"," 32C","Brampton",8,56,49,19,0,132,325
35008,"Brampton West/Brampton-Ouest"," 32-1A","Brampton",4,64,42,24,1,135,336
35008,"Brampton West/Brampton-Ouest"," 32-1B","Brampton",6,71,36,25,3,141,376
35008,"Brampton West/Brampton-Ouest"," 32-2","Brampton",14,115,77,34,3,243,567
35008,"Brampton West/Brampton-Ouest"," 32-3","Brampton",5,47,44,23,1,120,361
35008,"Brampton West/Brampton-Ouest"," 33","Brampton",8,95,62,35,2,202,504
35008,"Brampton West/Brampton-Ouest"," 34","Brampton",5,77,85,37,0,204,472
35008,"Brampton West/Brampton-Ouest"," 35","Brampton",18,94,67,22,0,201,431
35008,"Brampton West/Brampton-Ouest"," 36","Brampton",7,87,55,26,1,176,403
35008,"Brampton West/Brampton-Ouest"," 37","Brampton",7,125,60,48,5,245,544
35008,"Brampton West/Brampton-Ouest"," 38","Brampton",5,68,67,26,0,166,403
35008,"Brampton West/Brampton-Ouest"," 39","Brampton",14,96,77,33,0,220,448
35008,"Brampton West/Brampton-Ouest"," 40","Brampton",6,82,110,33,2,233,474
35008,"Brampton West/Brampton-Ouest"," 41","Brampton",18,62,100,21,0,201,455
35008,"Brampton West/Brampton-Ouest"," 42","Brampton",9,65,95,17,0,186,394
35008,"Brampton West/Brampton-Ouest"," 43","Brampton",14,129,105,27,1,276,628
35008,"Brampton West/Brampton-Ouest"," 44","Brampton",20,102,98,26,1,247,526
35008,"Brampton West/Brampton-Ouest"," 45","Brampton",6,94,83,17,1,201,510
35008,"Brampton West/Brampton-Ouest"," 46","Brampton",2,90,62,44,2,200,453
35008,"Brampton West/Brampton-Ouest"," 47A","Brampton",8,78,79,20,2,187,447
35008,"Brampton West/Brampton-Ouest"," 47B","Brampton",6,89,53,29,2,179,433
35008,"Brampton West/Brampton-Ouest"," 47C","Brampton",7,88,67,56,0,218,471
35008,"Brampton West/Brampton-Ouest"," 48","Brampton",8,137,44,32,0,221,519
35008,"Brampton West/Brampton-Ouest"," 49","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 50A","Brampton",12,77,42,26,1,158,370
35008,"Brampton West/Brampton-Ouest"," 50B","Brampton",8,74,48,20,4,154,392
35008,"Brampton West/Brampton-Ouest"," 51","Brampton",2,45,40,5,1,93,228
35008,"Brampton West/Brampton-Ouest"," 52","Brampton",11,35,61,19,1,127,288
35008,"Brampton West/Brampton-Ouest"," 53","Brampton",17,51,43,25,0,136,350
35008,"Brampton West/Brampton-Ouest"," 54","Brampton",2,88,52,20,1,163,371
35008,"Brampton West/Brampton-Ouest"," 55","Brampton",3,63,50,15,0,131,280
35008,"Brampton West/Brampton-Ouest"," 56","Brampton",5,70,33,20,0,128,341
35008,"Brampton West/Brampton-Ouest"," 57","Brampton",7,104,64,24,0,199,424
35008,"Brampton West/Brampton-Ouest"," 58","Brampton",6,100,67,34,0,207,474
35008,"Brampton West/Brampton-Ouest"," 59","Brampton",10,74,59,31,0,174,393
35008,"Brampton West/Brampton-Ouest"," 60A","Brampton",3,98,31,21,1,154,361
35008,"Brampton West/Brampton-Ouest"," 60B","Brampton",4,74,28,32,1,139,333
35008,"Brampton West/Brampton-Ouest"," 61","Brampton",3,89,67,23,1,183,432
35008,"Brampton West/Brampton-Ouest"," 62","Brampton",6,65,30,23,2,126,353
35008,"Brampton West/Brampton-Ouest"," 63","Brampton",4,53,47,32,0,136,375
35008,"Brampton West/Brampton-Ouest"," 64","Brampton",5,32,34,18,1,90,242
35008,"Brampton West/Brampton-Ouest"," 65","Brampton",4,99,45,31,1,180,404
35008,"Brampton West/Brampton-Ouest"," 66","Brampton",5,116,68,29,1,219,437
35008,"Brampton West/Brampton-Ouest"," 67","Brampton",5,101,63,23,0,192,416
35008,"Brampton West/Brampton-Ouest"," 68","Brampton",4,89,54,18,2,167,361
35008,"Brampton West/Brampton-Ouest"," 69","Brampton",15,76,114,18,1,224,467
35008,"Brampton West/Brampton-Ouest"," 70","Brampton",13,66,72,20,0,171,333
35008,"Brampton West/Brampton-Ouest"," 71","Brampton",3,93,64,27,1,188,489
35008,"Brampton West/Brampton-Ouest"," 72","Brampton",10,78,67,19,2,176,504
35008,"Brampton West/Brampton-Ouest"," 73","Brampton",8,64,53,21,2,148,398
35008,"Brampton West/Brampton-Ouest"," 74","Brampton",8,70,51,30,0,159,490
35008,"Brampton West/Brampton-Ouest"," 75","Brampton",7,41,46,15,1,110,312
35008,"Brampton West/Brampton-Ouest"," 76","Brampton",7,49,52,26,0,134,379
35008,"Brampton West/Brampton-Ouest"," 77A","Brampton",11,82,57,27,2,179,496
35008,"Brampton West/Brampton-Ouest"," 77B","Brampton",12,63,79,34,2,190,488
35008,"Brampton West/Brampton-Ouest"," 77C","Brampton",5,75,33,19,1,133,354
35008,"Brampton West/Brampton-Ouest"," 77D","Brampton",7,93,57,26,0,183,506
35008,"Brampton West/Brampton-Ouest"," 77E","Brampton",6,84,68,36,1,195,482
35008,"Brampton West/Brampton-Ouest"," 77F","Brampton",2,41,31,16,0,90,258
35008,"Brampton West/Brampton-Ouest"," 78","Brampton",34,56,82,10,1,183,336
35008,"Brampton West/Brampton-Ouest"," 79","Brampton",5,79,56,43,1,184,474
35008,"Brampton West/Brampton-Ouest"," 80","Brampton",5,54,44,30,2,135,242
35008,"Brampton West/Brampton-Ouest"," 81","Brampton",4,41,39,15,0,99,227
35008,"Brampton West/Brampton-Ouest"," 82","Brampton",10,64,51,27,1,153,388
35008,"Brampton West/Brampton-Ouest"," 83","Brampton",14,43,88,23,0,168,401
35008,"Brampton West/Brampton-Ouest"," 84","Brampton",27,50,72,18,0,167,396
35008,"Brampton West/Brampton-Ouest"," 85","Brampton",11,54,49,21,1,136,308
35008,"Brampton West/Brampton-Ouest"," 86","Brampton",8,45,66,21,2,142,313
35008,"Brampton West/Brampton-Ouest"," 87","Brampton",12,37,57,23,1,130,372
35008,"Brampton West/Brampton-Ouest"," 88","Brampton",21,102,82,39,3,247,522
35008,"Brampton West/Brampton-Ouest"," 89","Brampton",13,43,45,10,0,111,263
35008,"Brampton West/Brampton-Ouest"," 90","Brampton",12,66,59,34,0,171,407
35008,"Brampton West/Brampton-Ouest"," 91","Brampton",5,52,56,24,3,140,331
35008,"Brampton West/Brampton-Ouest"," 92","Brampton",4,45,63,19,0,131,335
35008,"Brampton West/Brampton-Ouest"," 93","Brampton",12,56,69,20,2,159,350
35008,"Brampton West/Brampton-Ouest"," 94","Brampton",7,124,60,57,2,250,495
35008,"Brampton West/Brampton-Ouest"," 95","Brampton",8,71,67,39,0,185,392
35008,"Brampton West/Brampton-Ouest"," 96","Brampton",16,87,77,25,1,206,397
35008,"Brampton West/Brampton-Ouest"," 97","Brampton",7,105,59,53,4,228,573
35008,"Brampton West/Brampton-Ouest"," 98","Brampton",19,103,94,31,5,252,492
35008,"Brampton West/Brampton-Ouest"," 99","Brampton",15,101,74,38,4,232,449
35008,"Brampton West/Brampton-Ouest"," 100","Brampton",8,79,57,45,0,189,387
35008,"Brampton West/Brampton-Ouest"," 101","Brampton",8,52,41,14,3,118,302
35008,"Brampton West/Brampton-Ouest"," 102","Brampton",5,84,54,32,1,176,385
35008,"Brampton West/Brampton-Ouest"," 103","Brampton",11,18,33,14,2,78,312
35008,"Brampton West/Brampton-Ouest"," 104","Brampton",14,54,86,25,0,179,414
35008,"Brampton West/Brampton-Ouest"," 105","Brampton",24,67,76,33,0,200,449
35008,"Brampton West/Brampton-Ouest"," 106","Brampton",9,39,65,22,0,135,323
35008,"Brampton West/Brampton-Ouest"," 107","Brampton",8,31,40,19,1,99,312
35008,"Brampton West/Brampton-Ouest"," 108","Brampton",16,42,65,18,1,142,315
35008,"Brampton West/Brampton-Ouest"," 109","Brampton",16,41,84,19,0,160,352
35008,"Brampton West/Brampton-Ouest"," 110","Brampton",20,59,113,33,0,225,428
35008,"Brampton West/Brampton-Ouest"," 111","Brampton",14,71,77,16,1,179,350
35008,"Brampton West/Brampton-Ouest"," 112","Brampton",19,42,56,7,1,125,244
35008,"Brampton West/Brampton-Ouest"," 113","Brampton",7,81,108,22,2,220,454
35008,"Brampton West/Brampton-Ouest"," 114","Brampton",12,60,76,33,3,184,432
35008,"Brampton West/Brampton-Ouest"," 115","Brampton",23,42,69,23,0,157,391
35008,"Brampton West/Brampton-Ouest"," 116","Brampton",15,61,56,12,1,145,445
35008,"Brampton West/Brampton-Ouest"," 117","Brampton",11,63,66,27,1,168,354
35008,"Brampton West/Brampton-Ouest"," 118","Brampton",16,60,52,14,2,144,322
35008,"Brampton West/Brampton-Ouest"," 119","Brampton",31,75,84,40,0,230,483
35008,"Brampton West/Brampton-Ouest"," 120","Brampton",10,46,113,22,0,191,442
35008,"Brampton West/Brampton-Ouest"," 121","Brampton",22,72,76,38,0,208,428
35008,"Brampton West/Brampton-Ouest"," 122","Brampton",23,65,81,28,2,199,381
35008,"Brampton West/Brampton-Ouest"," 123","Brampton",18,40,83,20,0,161,366
35008,"Brampton West/Brampton-Ouest"," 124","Brampton",4,47,29,16,0,96,222
35008,"Brampton West/Brampton-Ouest"," 125","Brampton",11,66,91,17,1,186,385
35008,"Brampton West/Brampton-Ouest"," 126","Brampton",16,46,54,20,1,137,301
35008,"Brampton West/Brampton-Ouest"," 127","Brampton",25,66,98,23,1,213,462
35008,"Brampton West/Brampton-Ouest"," 128","Brampton",6,15,50,28,0,99,347
35008,"Brampton West/Brampton-Ouest"," 129","Brampton",12,47,57,18,0,134,438
35008,"Brampton West/Brampton-Ouest"," 130","Brampton",10,26,83,34,0,153,424
35008,"Brampton West/Brampton-Ouest"," 131","Brampton",20,46,85,14,0,165,354
35008,"Brampton West/Brampton-Ouest"," 132A","Brampton",7,83,32,20,0,142,399
35008,"Brampton West/Brampton-Ouest"," 132B","Brampton",6,68,40,27,3,144,353
35008,"Brampton West/Brampton-Ouest"," 133","Brampton",4,46,44,13,1,108,328
35008,"Brampton West/Brampton-Ouest"," 134","Brampton",20,51,95,28,2,196,444
35008,"Brampton West/Brampton-Ouest"," 135","Brampton",18,54,115,45,3,235,419
35008,"Brampton West/Brampton-Ouest"," 136","Brampton",19,57,95,23,2,196,402
35008,"Brampton West/Brampton-Ouest"," 137","Brampton",6,57,95,30,4,192,346
35008,"Brampton West/Brampton-Ouest"," 138","Brampton",19,65,126,24,1,235,420
35008,"Brampton West/Brampton-Ouest"," 139","Brampton",21,58,128,16,1,224,441
35008,"Brampton West/Brampton-Ouest"," 140","Brampton",8,87,61,25,1,182,401
35008,"Brampton West/Brampton-Ouest"," 141","Brampton",9,97,75,28,0,209,466
35008,"Brampton West/Brampton-Ouest"," 142","Brampton",13,93,72,31,1,210,497
35008,"Brampton West/Brampton-Ouest"," 143","Brampton",9,49,46,23,3,130,325
35008,"Brampton West/Brampton-Ouest"," 144","Brampton",10,73,57,17,0,157,344
35008,"Brampton West/Brampton-Ouest"," 145","Brampton",6,77,69,18,1,171,300
35008,"Brampton West/Brampton-Ouest"," 146","Brampton",16,73,64,21,5,179,435
35008,"Brampton West/Brampton-Ouest"," 147","Brampton",12,49,56,4,0,121,272
35008,"Brampton West/Brampton-Ouest"," 148","Brampton",14,88,133,24,0,259,483
35008,"Brampton West/Brampton-Ouest"," 149","Brampton",10,29,64,16,0,119,397
35008,"Brampton West/Brampton-Ouest"," 150","Brampton",4,50,28,22,0,104,411
35008,"Brampton West/Brampton-Ouest"," 151","Brampton",9,38,34,32,1,114,338
35008,"Brampton West/Brampton-Ouest"," 152","Brampton",14,90,104,27,1,236,558
35008,"Brampton West/Brampton-Ouest"," 153","Brampton",22,81,103,18,1,225,388
35008,"Brampton West/Brampton-Ouest"," 154","Brampton",18,40,63,17,0,138,286
35008,"Brampton West/Brampton-Ouest"," 155","Brampton",16,49,109,30,4,208,443
35008,"Brampton West/Brampton-Ouest"," 156","Brampton",11,48,106,32,0,197,421
35008,"Brampton West/Brampton-Ouest"," 157","Brampton",4,37,57,19,0,117,352
35008,"Brampton West/Brampton-Ouest"," 158","Brampton",14,73,100,18,2,207,373
35008,"Brampton West/Brampton-Ouest"," 159","Brampton",23,78,107,20,1,229,415
35008,"Brampton West/Brampton-Ouest"," 160","Brampton",21,61,135,20,0,237,380
35008,"Brampton West/Brampton-Ouest"," 161","Brampton",14,63,160,8,0,245,398
35008,"Brampton West/Brampton-Ouest"," 162","Brampton",17,61,115,17,0,210,370
35008,"Brampton West/Brampton-Ouest"," 163","Brampton",15,93,141,16,2,267,456
35008,"Brampton West/Brampton-Ouest"," 164","Brampton",15,40,20,16,2,93,487
35008,"Brampton West/Brampton-Ouest"," 165","Brampton",14,50,69,23,1,157,337
35008,"Brampton West/Brampton-Ouest"," 166","Brampton",18,39,131,11,5,204,335
35008,"Brampton West/Brampton-Ouest"," 167","Brampton",22,47,100,23,0,192,406
35008,"Brampton West/Brampton-Ouest"," 168","Brampton",7,38,61,27,0,133,305
35008,"Brampton West/Brampton-Ouest"," 169","Brampton",16,42,54,23,1,136,312
35008,"Brampton West/Brampton-Ouest"," 170","Brampton",9,84,112,13,1,219,320
35008,"Brampton West/Brampton-Ouest"," 171","Brampton",36,70,127,17,0,250,382
35008,"Brampton West/Brampton-Ouest"," 172","Brampton",20,77,125,14,0,236,391
35008,"Brampton West/Brampton-Ouest"," 173","Brampton",13,72,144,25,1,255,395
35008,"Brampton West/Brampton-Ouest"," 174","Brampton",27,90,121,22,0,260,442
35008,"Brampton West/Brampton-Ouest"," 175","Brampton",18,102,103,18,3,244,426
35008,"Brampton West/Brampton-Ouest"," 176","Brampton",25,75,122,34,2,258,502
35008,"Brampton West/Brampton-Ouest"," 177","Brampton",8,42,32,16,0,98,359
35008,"Brampton West/Brampton-Ouest"," 178","Brampton",11,45,95,31,2,184,440
35008,"Brampton West/Brampton-Ouest"," 179","Brampton",35,77,133,23,0,268,447
35008,"Brampton West/Brampton-Ouest"," 180","Brampton",23,58,94,14,2,191,430
35008,"Brampton West/Brampton-Ouest"," 181","Brampton",13,21,62,20,0,116,282
35008,"Brampton West/Brampton-Ouest"," 182","Brampton",26,56,113,22,3,220,434
35008,"Brampton West/Brampton-Ouest"," 183","Brampton",12,61,132,17,0,222,331
35008,"Brampton West/Brampton-Ouest"," 184","Brampton",14,74,165,16,0,269,419
35008,"Brampton West/Brampton-Ouest"," 185","Brampton",14,50,33,12,0,109,292
35008,"Brampton West/Brampton-Ouest"," 186","Brampton",19,92,118,21,2,252,472
35008,"Brampton West/Brampton-Ouest"," 187","Brampton",23,50,75,11,0,159,272
35008,"Brampton West/Brampton-Ouest"," 188","Brampton",8,50,96,15,0,169,308
35008,"Brampton West/Brampton-Ouest"," 189","Brampton",9,60,106,22,0,197,374
35008,"Brampton West/Brampton-Ouest"," 190","Brampton",16,57,97,17,2,189,404
35008,"Brampton West/Brampton-Ouest"," 191","Brampton",18,92,71,33,2,216,463
35008,"Brampton West/Brampton-Ouest"," 192","Brampton",27,51,76,34,1,189,416
35008,"Brampton West/Brampton-Ouest"," 193","Brampton",17,110,73,25,3,228,469
35008,"Brampton West/Brampton-Ouest"," 194","Brampton",7,103,72,31,4,217,547
35008,"Brampton West/Brampton-Ouest"," 195","Brampton",7,77,74,20,0,178,451
35008,"Brampton West/Brampton-Ouest"," 196","Brampton",17,46,50,20,2,135,307
35008,"Brampton West/Brampton-Ouest"," 197","Brampton",12,74,45,22,0,153,394
35008,"Brampton West/Brampton-Ouest"," 198","Brampton",16,107,52,20,1,196,499
35008,"Brampton West/Brampton-Ouest"," 199","Brampton",11,92,65,49,1,218,498
35008,"Brampton West/Brampton-Ouest"," 200","Brampton",12,105,125,54,7,303,601
35008,"Brampton West/Brampton-Ouest"," 201","Brampton",6,109,96,40,1,252,485
35008,"Brampton West/Brampton-Ouest"," 202","Brampton",7,105,76,33,1,222,474
35008,"Brampton West/Brampton-Ouest"," 203","Brampton",9,104,103,37,1,254,570
35008,"Brampton West/Brampton-Ouest"," 204","Brampton",10,89,57,31,0,187,395
35008,"Brampton West/Brampton-Ouest"," 205","Brampton",17,74,86,31,3,211,473
35008,"Brampton West/Brampton-Ouest"," 206","Brampton",22,95,115,25,0,257,504
35008,"Brampton West/Brampton-Ouest"," 207","Brampton",27,71,69,39,0,206,438
35008,"Brampton West/Brampton-Ouest"," 208","Brampton",6,110,90,27,3,236,483
35008,"Brampton West/Brampton-Ouest"," 209","Brampton",10,88,65,27,3,193,401
35008,"Brampton West/Brampton-Ouest"," 210","Brampton",11,137,50,32,3,233,508
35008,"Brampton West/Brampton-Ouest"," 211","Brampton",7,147,57,29,2,242,563
35008,"Brampton West/Brampton-Ouest"," 212","Brampton",10,114,40,34,0,198,432
35008,"Brampton West/Brampton-Ouest"," 213","Brampton",12,94,76,39,3,224,523
35008,"Brampton West/Brampton-Ouest"," 214","Brampton",16,124,56,37,0,233,532
35008,"Brampton West/Brampton-Ouest"," 215","Brampton",12,102,41,26,0,181,378
35008,"Brampton West/Brampton-Ouest"," 216","Brampton",12,114,55,41,2,224,510
35008,"Brampton West/Brampton-Ouest"," 217","Brampton",11,84,52,26,0,173,362
35008,"Brampton West/Brampton-Ouest"," 218","Brampton",Merged with No. 217/Fusionné avec le nº 217,,,,,,124
35008,"Brampton West/Brampton-Ouest"," 219","Brampton",8,90,61,34,0,193,478
35008,"Brampton West/Brampton-Ouest"," 220","Brampton",4,77,34,19,5,139,256
35008,"Brampton West/Brampton-Ouest"," 221","Brampton",3,90,23,41,1,158,334
35008,"Brampton West/Brampton-Ouest"," 222","Brampton",4,114,39,60,8,225,475
35008,"Brampton West/Brampton-Ouest"," 223","Brampton",6,96,33,66,0,201,433
35008,"Brampton West/Brampton-Ouest"," 224","Brampton",9,95,50,22,0,176,480
35008,"Brampton West/Brampton-Ouest"," 225","Brampton",6,113,58,24,1,202,489
35008,"Brampton West/Brampton-Ouest"," 226","Brampton",4,105,31,33,3,176,411
35008,"Brampton West/Brampton-Ouest"," 227","Brampton",3,94,45,28,2,172,478
35008,"Brampton West/Brampton-Ouest"," 228","Brampton",10,73,49,29,4,165,439
35008,"Brampton West/Brampton-Ouest"," 229","Brampton",6,151,69,24,1,251,545
35008,"Brampton West/Brampton-Ouest"," 230","Brampton",4,74,22,13,0,113,292
35008,"Brampton West/Brampton-Ouest"," 231","Brampton",4,79,38,21,1,143,333
35008,"Brampton West/Brampton-Ouest"," 232","Brampton",0,78,17,28,0,123,353
35008,"Brampton West/Brampton-Ouest"," 233","Brampton",4,131,35,24,0,194,423
35008,"Brampton West/Brampton-Ouest"," 234A","Brampton",7,82,91,17,0,197,467
35008,"Brampton West/Brampton-Ouest"," 234B","Brampton",11,59,84,6,0,160,457
35008,"Brampton West/Brampton-Ouest"," 234C","Brampton",4,56,102,14,1,177,422
35008,"Brampton West/Brampton-Ouest"," 234D","Brampton",5,67,85,14,0,171,391
35008,"Brampton West/Brampton-Ouest"," 235","Brampton",18,40,53,9,2,122,239
35008,"Brampton West/Brampton-Ouest"," 236","Brampton",6,106,61,41,2,216,429
35008,"Brampton West/Brampton-Ouest"," 237A","Brampton",7,77,48,23,1,156,359
35008,"Brampton West/Brampton-Ouest"," 237B","Brampton",5,71,44,31,1,152,330
35008,"Brampton West/Brampton-Ouest"," 238","Brampton",11,84,50,20,0,165,375
35008,"Brampton West/Brampton-Ouest"," 239","Brampton",26,123,101,50,0,300,558
35008,"Brampton West/Brampton-Ouest"," 240","Brampton",10,112,74,14,0,210,440
35008,"Brampton West/Brampton-Ouest"," 241","Brampton",17,90,96,13,0,216,515
35008,"Brampton West/Brampton-Ouest"," 242","Brampton",17,110,89,26,0,242,510
35008,"Brampton West/Brampton-Ouest"," 400","Brampton",6,42,37,26,1,112,310
35008,"Brampton West/Brampton-Ouest"," 401","Brampton",17,46,45,26,0,134,293
35008,"Brampton West/Brampton-Ouest"," 402","Brampton",6,18,26,15,1,66,304
35008,"Brampton West/Brampton-Ouest"," 403","Brampton",10,49,44,18,2,123,356
35008,"Brampton West/Brampton-Ouest"," 404","Brampton",3,49,27,15,0,94,297
35008,"Brampton West/Brampton-Ouest"," 405","Brampton",4,32,31,8,1,76,266
35008,"Brampton West/Brampton-Ouest"," 406","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 407","Brampton",20,65,266,29,2,382,584
35008,"Brampton West/Brampton-Ouest"," 408","Brampton",2,26,100,5,1,134,171
35008,"Brampton West/Brampton-Ouest"," 500","Mobile poll/Bureau itinérant",8,64,56,15,2,145,290
35008,"Brampton West/Brampton-Ouest"," 501","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,121
35008,"Brampton West/Brampton-Ouest"," 502","Mobile poll/Bureau itinérant",8,43,147,9,3,210,403
35008,"Brampton West/Brampton-Ouest"," 600","Brampton",13,133,132,31,0,309,
35008,"Brampton West/Brampton-Ouest"," 601","Brampton",16,252,147,42,0,457,
35008,"Brampton West/Brampton-Ouest"," 602","Brampton",16,172,111,36,0,335,
35008,"Brampton West/Brampton-Ouest"," 603","Brampton",16,229,189,67,0,501,
35008,"Brampton West/Brampton-Ouest"," 604","Brampton",10,145,144,46,4,349,
35008,"Brampton West/Brampton-Ouest"," 605","Brampton",28,102,152,46,2,330,
35008,"Brampton West/Brampton-Ouest"," 606","Brampton",26,163,228,42,2,461,
35008,"Brampton West/Brampton-Ouest"," 607","Brampton",45,147,321,32,0,545,
35008,"Brampton West/Brampton-Ouest"," 608","Brampton",43,214,312,50,4,623,
35008,"Brampton West/Brampton-Ouest"," 609","Brampton",15,186,134,40,3,378,
35008,"Brampton West/Brampton-Ouest"," 610","Brampton",13,262,140,105,11,531,
35008,"Brampton West/Brampton-Ouest"," 611","Brampton",9,114,106,15,3,247,
35008,"Brampton West/Brampton-Ouest",,Group 1/Groupe 1,2,38,33,3,8,84,162
35008,"Brampton West/Brampton-Ouest",,Group 2/Groupe 2,32,236,200,57,4,529,

