Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Peter Goldring,Stephanie Laskoski,Ray Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Edmonton East/Edmonton-Est"," 39","Edmonton",7,56,19,40,0,122,323
48013,"Edmonton East/Edmonton-Est"," 40","Edmonton",11,65,25,40,0,141,400
48013,"Edmonton East/Edmonton-Est"," 41","Edmonton",4,47,16,36,0,103,358
48013,"Edmonton East/Edmonton-Est"," 42","Edmonton",9,45,19,37,0,110,342
48013,"Edmonton East/Edmonton-Est"," 43","Edmonton",7,52,19,43,0,121,442
48013,"Edmonton East/Edmonton-Est"," 44","Edmonton",8,100,14,47,0,169,374
48013,"Edmonton East/Edmonton-Est"," 45","Edmonton",9,69,12,50,1,141,339
48013,"Edmonton East/Edmonton-Est"," 46","Edmonton",6,116,23,30,0,175,349
48013,"Edmonton East/Edmonton-Est"," 47","Edmonton",13,165,9,55,0,242,438
48013,"Edmonton East/Edmonton-Est"," 48","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 49A","Edmonton",7,90,25,41,0,163,402
48013,"Edmonton East/Edmonton-Est"," 49B","Edmonton",5,95,18,42,0,160,394
48013,"Edmonton East/Edmonton-Est"," 49C","Edmonton",5,98,16,30,0,149,359
48013,"Edmonton East/Edmonton-Est"," 49-1A","Edmonton",10,80,15,20,0,125,373
48013,"Edmonton East/Edmonton-Est"," 49-1B","Edmonton",6,74,19,23,0,122,370
48013,"Edmonton East/Edmonton-Est"," 49-1C","Edmonton",4,89,7,27,0,127,338
48013,"Edmonton East/Edmonton-Est"," 49-2","Edmonton",3,69,11,11,0,94,256
48013,"Edmonton East/Edmonton-Est"," 50A","Edmonton",4,84,11,21,3,123,374
48013,"Edmonton East/Edmonton-Est"," 50B","Edmonton",4,63,10,20,0,97,333
48013,"Edmonton East/Edmonton-Est"," 50-1A","Edmonton",4,60,19,22,0,105,337
48013,"Edmonton East/Edmonton-Est"," 50-1B","Edmonton",3,64,18,13,2,100,316
48013,"Edmonton East/Edmonton-Est"," 51A","Edmonton",14,74,27,35,0,150,326
48013,"Edmonton East/Edmonton-Est"," 51B","Edmonton",4,75,15,40,0,134,367
48013,"Edmonton East/Edmonton-Est"," 51C","Edmonton",8,75,10,40,0,133,308
48013,"Edmonton East/Edmonton-Est"," 52","Edmonton",4,123,21,37,1,186,474
48013,"Edmonton East/Edmonton-Est"," 53","Edmonton",7,121,25,50,0,203,478
48013,"Edmonton East/Edmonton-Est"," 54","Edmonton",3,103,30,38,0,174,403
48013,"Edmonton East/Edmonton-Est"," 55","Edmonton",6,119,22,35,0,182,406
48013,"Edmonton East/Edmonton-Est"," 56","Edmonton",6,149,29,52,0,236,547
48013,"Edmonton East/Edmonton-Est"," 57","Edmonton",6,66,5,21,0,98,248
48013,"Edmonton East/Edmonton-Est"," 58","Edmonton",2,59,8,44,0,113,260
48013,"Edmonton East/Edmonton-Est"," 59","Edmonton",5,113,10,34,0,162,346
48013,"Edmonton East/Edmonton-Est"," 60","Edmonton",6,150,27,48,0,231,511
48013,"Edmonton East/Edmonton-Est"," 61","Edmonton",18,101,21,55,0,195,403
48013,"Edmonton East/Edmonton-Est"," 62A","Edmonton",6,64,14,21,0,105,311
48013,"Edmonton East/Edmonton-Est"," 62B","Edmonton",6,54,19,32,0,111,295
48013,"Edmonton East/Edmonton-Est"," 63","Edmonton",12,116,20,43,0,191,396
48013,"Edmonton East/Edmonton-Est"," 64","Edmonton",12,95,13,47,0,167,376
48013,"Edmonton East/Edmonton-Est"," 65","Edmonton",11,71,18,35,6,141,449
48013,"Edmonton East/Edmonton-Est"," 66","Edmonton",4,42,8,32,0,86,247
48013,"Edmonton East/Edmonton-Est"," 67","Edmonton",10,89,14,38,0,151,432
48013,"Edmonton East/Edmonton-Est"," 68A","Edmonton",5,87,15,26,1,134,304
48013,"Edmonton East/Edmonton-Est"," 68B","Edmonton",3,76,18,28,0,125,280
48013,"Edmonton East/Edmonton-Est"," 68-1","Edmonton",8,122,16,68,0,214,474
48013,"Edmonton East/Edmonton-Est"," 68-2","Edmonton",11,87,30,43,0,171,475
48013,"Edmonton East/Edmonton-Est"," 68-3","Edmonton",6,78,10,38,0,132,382
48013,"Edmonton East/Edmonton-Est"," 69","Edmonton",8,84,9,37,1,139,342
48013,"Edmonton East/Edmonton-Est"," 70","Edmonton",8,110,5,40,0,163,333
48013,"Edmonton East/Edmonton-Est"," 71","Edmonton",13,62,9,46,0,130,295
48013,"Edmonton East/Edmonton-Est"," 72","Edmonton",22,106,14,74,1,217,523
48013,"Edmonton East/Edmonton-Est"," 73","Edmonton",11,50,16,40,0,117,350
48013,"Edmonton East/Edmonton-Est"," 74","Edmonton",12,101,10,56,0,179,448
48013,"Edmonton East/Edmonton-Est"," 75","Edmonton",6,108,7,41,0,162,340
48013,"Edmonton East/Edmonton-Est"," 76","Edmonton",8,86,17,64,1,176,454
48013,"Edmonton East/Edmonton-Est"," 77","Edmonton",15,110,23,43,0,191,413
48013,"Edmonton East/Edmonton-Est"," 78","Edmonton",7,104,15,76,0,202,373
48013,"Edmonton East/Edmonton-Est"," 79","Edmonton",8,54,18,18,0,98,236
48013,"Edmonton East/Edmonton-Est"," 80","Edmonton",4,110,24,33,0,171,385
48013,"Edmonton East/Edmonton-Est"," 81","Edmonton",11,93,21,95,3,223,439
48013,"Edmonton East/Edmonton-Est"," 82","Edmonton",17,117,28,48,0,210,447
48013,"Edmonton East/Edmonton-Est"," 83","Edmonton",3,85,10,53,0,151,362
48013,"Edmonton East/Edmonton-Est"," 84","Edmonton",8,72,13,41,0,134,308
48013,"Edmonton East/Edmonton-Est"," 85","Edmonton",7,101,36,70,0,214,546
48013,"Edmonton East/Edmonton-Est"," 86","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 87","Edmonton",5,94,9,61,0,169,333
48013,"Edmonton East/Edmonton-Est"," 88","Edmonton",4,39,11,28,1,83,288
48013,"Edmonton East/Edmonton-Est"," 89","Edmonton",1,32,12,29,0,74,285
48013,"Edmonton East/Edmonton-Est"," 90","Edmonton",7,62,9,27,2,107,318
48013,"Edmonton East/Edmonton-Est"," 91","Edmonton",10,66,18,42,0,136,393
48013,"Edmonton East/Edmonton-Est"," 92","Edmonton",6,88,15,50,0,159,402
48013,"Edmonton East/Edmonton-Est"," 93","Edmonton",5,78,10,41,1,135,375
48013,"Edmonton East/Edmonton-Est"," 94","Edmonton",8,42,7,33,1,91,342
48013,"Edmonton East/Edmonton-Est"," 95","Edmonton",7,71,14,40,0,132,330
48013,"Edmonton East/Edmonton-Est"," 96","Edmonton",7,107,16,49,0,179,435
48013,"Edmonton East/Edmonton-Est"," 97","Edmonton",4,57,18,41,0,120,366
48013,"Edmonton East/Edmonton-Est"," 98","Edmonton",9,38,9,51,1,108,370
48013,"Edmonton East/Edmonton-Est"," 99","Edmonton",3,81,13,64,0,161,342
48013,"Edmonton East/Edmonton-Est"," 100","Edmonton",3,84,6,74,1,168,307
48013,"Edmonton East/Edmonton-Est"," 101","Edmonton",4,94,9,53,0,160,339
48013,"Edmonton East/Edmonton-Est"," 102","Edmonton",6,80,8,50,2,146,305
48013,"Edmonton East/Edmonton-Est"," 103","Edmonton",14,103,15,66,0,198,477
48013,"Edmonton East/Edmonton-Est"," 104","Edmonton",8,124,20,67,0,219,395
48013,"Edmonton East/Edmonton-Est"," 105","Edmonton",6,40,13,45,0,104,335
48013,"Edmonton East/Edmonton-Est"," 106","Edmonton",6,76,18,57,2,159,363
48013,"Edmonton East/Edmonton-Est"," 107","Edmonton",16,132,16,61,0,225,392
48013,"Edmonton East/Edmonton-Est"," 108","Edmonton",6,88,14,50,0,158,340
48013,"Edmonton East/Edmonton-Est"," 109","Edmonton",9,108,13,53,0,183,332
48013,"Edmonton East/Edmonton-Est"," 110","Edmonton",12,85,11,62,0,170,360
48013,"Edmonton East/Edmonton-Est"," 111","Edmonton",15,70,20,58,0,163,372
48013,"Edmonton East/Edmonton-Est"," 112","Edmonton",10,67,4,46,0,127,357
48013,"Edmonton East/Edmonton-Est"," 113","Edmonton",4,71,10,53,0,138,470
48013,"Edmonton East/Edmonton-Est"," 114","Edmonton",19,36,11,43,0,109,433
48013,"Edmonton East/Edmonton-Est"," 115","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 116","Edmonton",7,58,7,56,0,128,297
48013,"Edmonton East/Edmonton-Est"," 117","Edmonton",8,52,14,43,0,117,269
48013,"Edmonton East/Edmonton-Est"," 118","Edmonton",10,30,14,57,2,113,319
48013,"Edmonton East/Edmonton-Est"," 119","Edmonton",8,66,14,53,0,141,400
48013,"Edmonton East/Edmonton-Est"," 120","Edmonton",4,60,13,56,0,133,319
48013,"Edmonton East/Edmonton-Est"," 121","Edmonton",7,43,5,35,0,90,344
48013,"Edmonton East/Edmonton-Est"," 122","Edmonton",9,66,24,62,0,161,457
48013,"Edmonton East/Edmonton-Est"," 123","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 124","Edmonton",7,70,12,55,2,146,372
48013,"Edmonton East/Edmonton-Est"," 125","Edmonton",10,35,13,44,0,102,331
48013,"Edmonton East/Edmonton-Est"," 126","Edmonton",17,61,19,59,1,157,404
48013,"Edmonton East/Edmonton-Est"," 127","Edmonton",7,40,14,45,0,106,310
48013,"Edmonton East/Edmonton-Est"," 128","Edmonton",9,56,11,46,0,122,325
48013,"Edmonton East/Edmonton-Est"," 129","Edmonton",17,56,19,61,0,153,478
48013,"Edmonton East/Edmonton-Est"," 130","Edmonton",5,58,15,73,1,152,564
48013,"Edmonton East/Edmonton-Est"," 131","Edmonton",6,40,14,68,2,130,377
48013,"Edmonton East/Edmonton-Est"," 132","Edmonton",12,46,7,53,0,118,412
48013,"Edmonton East/Edmonton-Est"," 133","Edmonton",6,39,6,30,0,81,353
48013,"Edmonton East/Edmonton-Est"," 134","Edmonton",5,37,10,20,0,72,233
48013,"Edmonton East/Edmonton-Est"," 135","Edmonton",10,52,14,65,2,143,458
48013,"Edmonton East/Edmonton-Est"," 136","Edmonton",17,76,6,62,0,161,472
48013,"Edmonton East/Edmonton-Est"," 137","Edmonton",5,106,3,62,0,176,340
48013,"Edmonton East/Edmonton-Est"," 138","Edmonton",19,99,18,86,0,222,484
48013,"Edmonton East/Edmonton-Est"," 139","Edmonton",12,63,12,47,0,134,287
48013,"Edmonton East/Edmonton-Est"," 140","Edmonton",10,118,7,89,0,224,409
48013,"Edmonton East/Edmonton-Est"," 141","Edmonton",9,106,7,56,0,178,371
48013,"Edmonton East/Edmonton-Est"," 142","Edmonton",6,100,9,66,1,182,365
48013,"Edmonton East/Edmonton-Est"," 143","Edmonton",9,54,8,45,0,116,336
48013,"Edmonton East/Edmonton-Est"," 144","Edmonton",10,62,18,64,0,154,475
48013,"Edmonton East/Edmonton-Est"," 145","Edmonton",24,109,16,86,1,236,518
48013,"Edmonton East/Edmonton-Est"," 146","Edmonton",Void/Supprimé,,,,,,
48013,"Edmonton East/Edmonton-Est"," 147","Edmonton",17,71,10,53,0,151,375
48013,"Edmonton East/Edmonton-Est"," 148","Edmonton",7,63,8,50,0,128,293
48013,"Edmonton East/Edmonton-Est"," 149","Edmonton",3,65,11,36,0,115,274
48013,"Edmonton East/Edmonton-Est"," 150","Edmonton",7,53,4,39,0,103,254
48013,"Edmonton East/Edmonton-Est"," 151","Edmonton",11,80,9,63,0,163,408
48013,"Edmonton East/Edmonton-Est"," 152","Edmonton",7,77,10,51,0,145,399
48013,"Edmonton East/Edmonton-Est"," 153","Edmonton",27,119,8,86,0,240,407
48013,"Edmonton East/Edmonton-Est"," 154","Edmonton",10,84,9,53,0,156,322
48013,"Edmonton East/Edmonton-Est"," 155","Edmonton",9,105,14,52,0,180,392
48013,"Edmonton East/Edmonton-Est"," 156","Edmonton",5,104,10,111,0,230,398
48013,"Edmonton East/Edmonton-Est"," 157","Edmonton",18,108,4,60,0,190,379
48013,"Edmonton East/Edmonton-Est"," 158","Edmonton",10,119,12,70,0,211,419
48013,"Edmonton East/Edmonton-Est"," 159","Edmonton",7,105,14,53,1,180,354
48013,"Edmonton East/Edmonton-Est"," 160","Edmonton",13,77,16,83,0,189,412
48013,"Edmonton East/Edmonton-Est"," 161","Edmonton",8,38,6,46,0,98,335
48013,"Edmonton East/Edmonton-Est"," 162","Edmonton",13,124,17,97,0,251,531
48013,"Edmonton East/Edmonton-Est"," 163","Edmonton",12,55,10,40,2,119,296
48013,"Edmonton East/Edmonton-Est"," 164","Edmonton",6,66,9,54,0,135,303
48013,"Edmonton East/Edmonton-Est"," 165","Edmonton",9,50,16,59,0,134,432
48013,"Edmonton East/Edmonton-Est"," 166","Edmonton",11,30,6,48,1,96,476
48013,"Edmonton East/Edmonton-Est"," 167","Edmonton",2,83,8,48,0,141,337
48013,"Edmonton East/Edmonton-Est"," 168","Edmonton",8,75,7,44,0,134,341
48013,"Edmonton East/Edmonton-Est"," 169","Edmonton",6,91,6,83,0,186,352
48013,"Edmonton East/Edmonton-Est"," 170","Edmonton",15,111,14,59,0,199,523
48013,"Edmonton East/Edmonton-Est"," 171","Edmonton",16,120,13,68,0,217,377
48013,"Edmonton East/Edmonton-Est"," 172","Edmonton",8,114,12,54,0,188,340
48013,"Edmonton East/Edmonton-Est"," 173","Edmonton",10,103,9,55,0,177,301
48013,"Edmonton East/Edmonton-Est"," 174","Edmonton",7,74,6,44,0,131,289
48013,"Edmonton East/Edmonton-Est"," 175","Edmonton",13,112,8,83,0,216,370
48013,"Edmonton East/Edmonton-Est"," 176","Edmonton",14,26,13,59,1,113,357
48013,"Edmonton East/Edmonton-Est"," 177","Edmonton",10,49,11,63,0,133,309
48013,"Edmonton East/Edmonton-Est"," 178","Edmonton",15,53,13,66,0,147,315
48013,"Edmonton East/Edmonton-Est"," 179","Edmonton",23,65,15,60,0,163,421
48013,"Edmonton East/Edmonton-Est"," 180","Edmonton",13,51,16,73,0,153,409
48013,"Edmonton East/Edmonton-Est"," 181","Edmonton",7,34,5,36,1,83,253
48013,"Edmonton East/Edmonton-Est"," 182","Edmonton",11,48,14,75,0,148,388
48013,"Edmonton East/Edmonton-Est"," 183","Edmonton",17,43,17,41,2,120,422
48013,"Edmonton East/Edmonton-Est"," 184","Edmonton",12,41,19,86,0,158,385
48013,"Edmonton East/Edmonton-Est"," 185","Edmonton",25,55,30,79,1,190,436
48013,"Edmonton East/Edmonton-Est"," 186","Edmonton",7,53,13,59,0,132,391
48013,"Edmonton East/Edmonton-Est"," 187","Edmonton",7,36,16,38,0,97,295
48013,"Edmonton East/Edmonton-Est"," 188","Edmonton",10,59,17,66,0,152,425
48013,"Edmonton East/Edmonton-Est"," 188-1","Edmonton",2,46,3,29,1,81,227
48013,"Edmonton East/Edmonton-Est"," 189A","Edmonton",13,94,15,66,0,188,310
48013,"Edmonton East/Edmonton-Est"," 189B","Edmonton",13,94,10,72,0,189,294
48013,"Edmonton East/Edmonton-Est"," 190","Edmonton",13,107,11,67,1,199,350
48013,"Edmonton East/Edmonton-Est"," 191","Edmonton",15,87,19,81,1,203,357
48013,"Edmonton East/Edmonton-Est"," 192","Edmonton",25,62,12,88,2,189,327
48013,"Edmonton East/Edmonton-Est"," 193","Edmonton",22,74,25,97,1,219,409
48013,"Edmonton East/Edmonton-Est"," 194","Edmonton",8,46,14,85,0,153,271
48013,"Edmonton East/Edmonton-Est"," 195","Edmonton",3,59,8,58,1,129,255
48013,"Edmonton East/Edmonton-Est"," 196","Edmonton",11,104,13,98,1,227,404
48013,"Edmonton East/Edmonton-Est"," 197","Edmonton",16,42,12,50,0,120,302
48013,"Edmonton East/Edmonton-Est"," 198","Edmonton",18,63,27,82,2,192,489
48013,"Edmonton East/Edmonton-Est"," 199","Edmonton",7,16,12,32,0,67,218
48013,"Edmonton East/Edmonton-Est"," 200","Edmonton",17,35,9,54,0,115,298
48013,"Edmonton East/Edmonton-Est"," 201","Edmonton",14,36,18,37,1,106,385
48013,"Edmonton East/Edmonton-Est"," 202A","Edmonton",4,19,19,38,0,80,351
48013,"Edmonton East/Edmonton-Est"," 202B","Edmonton",9,29,21,30,0,89,307
48013,"Edmonton East/Edmonton-Est"," 203","Edmonton",12,41,27,58,0,138,404
48013,"Edmonton East/Edmonton-Est"," 204","Edmonton",14,50,15,36,0,115,358
48013,"Edmonton East/Edmonton-Est"," 205","Edmonton",Merged with No. 209B/Fusionné avec le nº 209B,,,,,,34
48013,"Edmonton East/Edmonton-Est"," 206","Edmonton",12,46,26,49,0,133,488
48013,"Edmonton East/Edmonton-Est"," 207","Edmonton",13,66,25,72,2,178,467
48013,"Edmonton East/Edmonton-Est"," 208","Edmonton",16,58,13,60,1,148,432
48013,"Edmonton East/Edmonton-Est"," 209A","Edmonton",11,50,15,34,2,112,262
48013,"Edmonton East/Edmonton-Est"," 209B","Edmonton",6,25,16,27,1,75,191
48013,"Edmonton East/Edmonton-Est"," 210","Edmonton",19,79,43,72,0,213,588
48013,"Edmonton East/Edmonton-Est"," 211","Edmonton",18,25,22,56,0,121,303
48013,"Edmonton East/Edmonton-Est"," 212","Edmonton",23,55,48,75,1,202,507
48013,"Edmonton East/Edmonton-Est"," 213","Edmonton",16,52,29,73,1,171,579
48013,"Edmonton East/Edmonton-Est"," 214","Edmonton",26,60,40,121,1,248,404
48013,"Edmonton East/Edmonton-Est"," 215","Edmonton",16,44,24,105,0,189,354
48013,"Edmonton East/Edmonton-Est"," 216","Edmonton",6,47,37,65,1,156,229
48013,"Edmonton East/Edmonton-Est"," 216-1","Edmonton",29,116,44,102,0,291,460
48013,"Edmonton East/Edmonton-Est"," 400","Edmonton",4,22,7,15,0,48,78
48013,"Edmonton East/Edmonton-Est"," 500","Mobile poll/Bureau itinérant",4,61,20,18,2,105,178
48013,"Edmonton East/Edmonton-Est"," 501","Mobile poll/Bureau itinérant",5,134,7,18,1,165,228
48013,"Edmonton East/Edmonton-Est"," 502","Mobile poll/Bureau itinérant",3,26,8,22,2,61,120
48013,"Edmonton East/Edmonton-Est"," 503","Mobile poll/Bureau itinérant",6,63,19,35,0,123,208
48013,"Edmonton East/Edmonton-Est"," 504","Mobile poll/Bureau itinérant",7,73,15,32,2,129,220
48013,"Edmonton East/Edmonton-Est"," 505","Mobile poll/Bureau itinérant",0,38,6,16,1,61,97
48013,"Edmonton East/Edmonton-Est"," 506","Mobile poll/Bureau itinérant",4,39,11,47,0,101,181
48013,"Edmonton East/Edmonton-Est"," 507","Mobile poll/Bureau itinérant",10,152,31,5,5,203,346
48013,"Edmonton East/Edmonton-Est"," 600","Edmonton",10,228,37,82,2,359,
48013,"Edmonton East/Edmonton-Est"," 601","Edmonton",15,291,48,108,0,462,
48013,"Edmonton East/Edmonton-Est"," 602","Edmonton",36,520,67,200,0,823,
48013,"Edmonton East/Edmonton-Est"," 603","Edmonton",16,160,17,62,2,257,
48013,"Edmonton East/Edmonton-Est"," 604","Edmonton",6,129,13,83,0,231,
48013,"Edmonton East/Edmonton-Est"," 605","Edmonton",18,101,16,75,0,210,
48013,"Edmonton East/Edmonton-Est"," 606","Edmonton",19,130,19,92,1,261,
48013,"Edmonton East/Edmonton-Est"," 607","Edmonton",18,122,13,62,1,216,
48013,"Edmonton East/Edmonton-Est"," 608","Edmonton",24,118,15,122,3,282,
48013,"Edmonton East/Edmonton-Est"," 609","Edmonton",23,126,39,124,0,312,
48013,"Edmonton East/Edmonton-Est",,Group 1/Groupe 1,21,83,66,56,22,248,395
48013,"Edmonton East/Edmonton-Est",,Group 2/Groupe 2,16,211,49,120,15,411,

