Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Mary Lou Babineau,David Innes,Ben Kelly,Jesse Travis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 121","Minto",68,20,25,1,23,2,139,304
13003,"Fredericton/Fredericton"," 122","Minto",39,18,31,1,13,0,102,244
13003,"Fredericton/Fredericton"," 123","Minto",38,37,27,1,30,2,135,317
13003,"Fredericton/Fredericton"," 124","Northfield",64,21,32,1,32,1,151,284
13003,"Fredericton/Fredericton"," 125","Newcastle Creek",63,26,46,1,25,3,164,468
13003,"Fredericton/Fredericton"," 126","Douglas Harbour",119,18,60,0,15,0,212,355
13003,"Fredericton/Fredericton"," 127","Sheffield",133,14,56,1,27,2,233,408
13003,"Fredericton/Fredericton"," 128","Sheffield",53,8,40,0,21,0,122,217
13003,"Fredericton/Fredericton"," 128-1","Sheffield",49,12,18,1,17,0,97,150
13003,"Fredericton/Fredericton"," 129","Maugerville",137,8,48,5,33,0,231,404
13003,"Fredericton/Fredericton"," 129-1","Maugerville",72,6,29,0,28,2,137,213
13003,"Fredericton/Fredericton"," 130","Lincoln",101,18,45,0,39,1,204,324
13003,"Fredericton/Fredericton"," 130-1","Lincoln",102,23,39,1,26,0,191,349
13003,"Fredericton/Fredericton"," 131","Lincoln",80,7,36,1,40,0,164,351
13003,"Fredericton/Fredericton"," 132","Lincoln",68,14,28,1,49,2,162,315
13003,"Fredericton/Fredericton"," 133","Lincoln",129,19,24,0,35,0,207,359
13003,"Fredericton/Fredericton"," 134","Lincoln",87,14,37,0,38,0,176,332
13003,"Fredericton/Fredericton"," 134-1","Lincoln",76,11,40,0,31,1,159,304
13003,"Fredericton/Fredericton"," 135","Waasis",77,5,21,1,38,0,142,299
13003,"Fredericton/Fredericton"," 135-1","Waasis",90,10,30,0,36,0,166,347
13003,"Fredericton/Fredericton"," 136","Lincoln",56,12,24,1,36,2,131,307
13003,"Fredericton/Fredericton"," 137","Rusagonis",87,9,41,0,35,1,173,279
13003,"Fredericton/Fredericton"," 138","Rusagonis",132,15,31,1,44,1,224,362
13003,"Fredericton/Fredericton"," 139","Rusagonis",124,21,41,0,50,1,237,466
13003,"Fredericton/Fredericton"," 140","Waterville",82,6,13,0,17,0,118,264
13003,"Fredericton/Fredericton"," 140-1","Waterville",91,7,32,0,19,3,152,266
13003,"Fredericton/Fredericton"," 141","French Lake",120,8,42,0,12,2,184,326
13003,"Fredericton/Fredericton"," 141-1","Burton",44,12,24,1,11,0,92,157
13003,"Fredericton/Fredericton"," 142","Geary",69,13,43,1,20,0,146,243
13003,"Fredericton/Fredericton"," 143","Haneytown",87,21,41,1,31,1,182,315
13003,"Fredericton/Fredericton"," 144","Geary",129,20,57,2,38,2,248,410
13003,"Fredericton/Fredericton"," 145","Burton",93,20,55,2,25,3,198,381
13003,"Fredericton/Fredericton"," 145-1","Burton",56,6,20,0,15,0,97,138
13003,"Fredericton/Fredericton"," 145-2","Burton",Merged with No. 145-1/Fusionné avec le nº 145-1,,,,,,,52
13003,"Fredericton/Fredericton"," 146","Lower Burton",113,14,59,1,27,0,214,365
13003,"Fredericton/Fredericton"," 146-1","Lower Burton",106,16,17,1,21,2,163,243
13003,"Fredericton/Fredericton"," 147","Burpees Corner",121,27,33,0,37,1,219,352
13003,"Fredericton/Fredericton"," 148","Oromocto",85,15,35,0,30,1,166,346
13003,"Fredericton/Fredericton"," 149","Oromocto",106,21,44,0,22,4,197,361
13003,"Fredericton/Fredericton"," 150","Oromocto",92,13,52,4,29,2,192,396
13003,"Fredericton/Fredericton"," 151","Oromocto",136,17,58,0,35,2,248,440
13003,"Fredericton/Fredericton"," 151-1","Oromocto",59,13,27,2,12,1,114,211
13003,"Fredericton/Fredericton"," 152","Oromocto",179,17,69,0,50,1,316,598
13003,"Fredericton/Fredericton"," 153","Oromocto",71,4,48,2,14,2,141,322
13003,"Fredericton/Fredericton"," 154","Oromocto",51,11,8,0,21,2,93,289
13003,"Fredericton/Fredericton"," 155","Oromocto",19,2,9,0,17,0,47,176
13003,"Fredericton/Fredericton"," 156","Oromocto",66,5,33,1,15,1,121,339
13003,"Fredericton/Fredericton"," 157","Oromocto",61,9,36,0,13,0,119,344
13003,"Fredericton/Fredericton"," 158","Oromocto",65,7,29,0,26,0,127,426
13003,"Fredericton/Fredericton"," 159","Oromocto",31,2,1,0,12,0,46,137
13003,"Fredericton/Fredericton"," 160","Oromocto",25,5,6,0,2,1,39,148
13003,"Fredericton/Fredericton"," 161","Oromocto",Merged with No. 161-1/Fusionné avec le nº 161-1,,,,,,,87
13003,"Fredericton/Fredericton"," 161-1","Oromocto",54,7,9,1,17,0,88,130
13003,"Fredericton/Fredericton"," 500","Mobile poll/Bureau itinérant",18,8,23,1,4,0,54,117
