Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,Carol E. Harris,Jim Hnatiuk,Brendan MacNeill,Rosemary Segado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Kings--Hants/Kings--Hants"," 132","Mount Uniacke",42,37,1,5,7,0,92,169
12006,"Kings--Hants/Kings--Hants"," 133","Mount Uniacke",85,74,3,16,51,1,230,447
12006,"Kings--Hants/Kings--Hants"," 133-1","Mount Uniacke",40,62,0,7,23,0,132,270
12006,"Kings--Hants/Kings--Hants"," 134","East Uniacke",87,70,3,21,45,1,227,468
12006,"Kings--Hants/Kings--Hants"," 135","Mount Uniacke",45,43,2,8,41,0,139,273
12006,"Kings--Hants/Kings--Hants"," 136","Etter Settlement",26,43,2,6,24,0,101,207
12006,"Kings--Hants/Kings--Hants"," 137","South Uniacke",59,60,0,9,40,0,168,452
12006,"Kings--Hants/Kings--Hants"," 138","East Walton",72,35,2,3,26,2,140,226
12006,"Kings--Hants/Kings--Hants"," 139","Minasville",47,35,2,1,19,1,105,179
12006,"Kings--Hants/Kings--Hants"," 140","Noel",52,28,0,7,31,0,118,231
12006,"Kings--Hants/Kings--Hants"," 141","East Noel",48,31,0,8,33,0,120,352
12006,"Kings--Hants/Kings--Hants"," 142","Lower Selma",Void/Supprimé,,,,,,,
12006,"Kings--Hants/Kings--Hants"," 143","Maitland",101,58,2,22,61,1,245,424
12006,"Kings--Hants/Kings--Hants"," 144","Noel Road",74,42,2,7,77,4,206,461
12006,"Kings--Hants/Kings--Hants"," 145","Latties Brook",55,52,1,7,44,2,161,353
12006,"Kings--Hants/Kings--Hants"," 146","Clarksville",30,30,1,10,27,0,98,205
12006,"Kings--Hants/Kings--Hants"," 147","Kennetcook",50,44,1,4,55,0,154,293
12006,"Kings--Hants/Kings--Hants"," 148","Upper Kennetcook",Void/Supprimé,,,,,,,
12006,"Kings--Hants/Kings--Hants"," 149","South Maitland",20,15,1,2,13,0,51,106
12006,"Kings--Hants/Kings--Hants"," 150","Rawdon Gold Mines",55,37,1,8,28,0,129,246
12006,"Kings--Hants/Kings--Hants"," 151","Gore",50,39,2,9,23,0,123,257
12006,"Kings--Hants/Kings--Hants"," 151-1","Gore",57,39,6,3,40,1,146,312
12006,"Kings--Hants/Kings--Hants"," 152","Rawdon Gold Mines",75,40,2,7,31,0,155,336
12006,"Kings--Hants/Kings--Hants"," 153","Shubenacadie",41,48,9,12,58,0,168,279
12006,"Kings--Hants/Kings--Hants"," 154","Shubenacadie",32,48,2,11,53,2,148,287
12006,"Kings--Hants/Kings--Hants"," 155","Shubenacadie",44,38,6,7,43,1,139,301
12006,"Kings--Hants/Kings--Hants"," 155-1","Shubenacadie",55,62,1,3,49,0,170,314
12006,"Kings--Hants/Kings--Hants"," 156","Shubenacadie",52,50,3,12,56,1,174,311
12006,"Kings--Hants/Kings--Hants"," 157","Milford Station",89,83,5,10,62,0,249,460
12006,"Kings--Hants/Kings--Hants"," 158","Nine Mile River",26,37,1,2,26,0,92,159
12006,"Kings--Hants/Kings--Hants"," 159","Nine Mile River",82,80,10,12,56,1,241,411
12006,"Kings--Hants/Kings--Hants"," 160","Nine Mile River",84,90,6,10,57,3,250,489
12006,"Kings--Hants/Kings--Hants"," 161","Milford Station",61,49,1,10,40,0,161,347
12006,"Kings--Hants/Kings--Hants"," 162","Milford Station",75,35,4,5,55,0,174,308
12006,"Kings--Hants/Kings--Hants"," 163","Lantz",45,46,8,8,21,1,129,276
12006,"Kings--Hants/Kings--Hants"," 163-1","Lantz",53,71,14,7,44,0,189,362
12006,"Kings--Hants/Kings--Hants"," 164","Lantz",42,23,3,1,24,1,94,276
12006,"Kings--Hants/Kings--Hants"," 164-1","Lantz",30,30,8,2,18,0,88,260
12006,"Kings--Hants/Kings--Hants"," 165","Lantz",113,56,10,10,68,0,257,440
12006,"Kings--Hants/Kings--Hants"," 165-1","Lantz",43,24,11,7,28,0,113,225
12006,"Kings--Hants/Kings--Hants"," 166","Elmsdale",28,16,4,2,19,0,69,144
12006,"Kings--Hants/Kings--Hants"," 167","Elmsdale",88,72,8,12,31,0,211,324
12006,"Kings--Hants/Kings--Hants"," 167-1","Elmsdale",37,25,2,5,17,2,88,150
12006,"Kings--Hants/Kings--Hants"," 168","Elmsdale",70,83,7,9,50,2,221,410
12006,"Kings--Hants/Kings--Hants"," 168-1","Elmsdale",36,27,3,7,21,0,94,179
12006,"Kings--Hants/Kings--Hants"," 169","Enfield",79,31,8,11,48,0,177,316
12006,"Kings--Hants/Kings--Hants"," 169-1","Enfield",74,61,4,10,66,0,215,373
12006,"Kings--Hants/Kings--Hants"," 170","Enfield",34,44,3,4,23,0,108,267
12006,"Kings--Hants/Kings--Hants"," 170-1","Enfield",65,50,11,15,33,0,174,308
12006,"Kings--Hants/Kings--Hants"," 171","Enfield",71,69,14,10,42,2,208,410
12006,"Kings--Hants/Kings--Hants"," 172","Elmsdale",43,21,1,5,25,0,95,186
12006,"Kings--Hants/Kings--Hants"," 173","Enfield",67,106,11,13,58,1,256,429
12006,"Kings--Hants/Kings--Hants"," 174","Enfield",82,47,7,14,54,1,205,319
12006,"Kings--Hants/Kings--Hants"," 174-1","Enfield",43,41,6,4,42,1,137,281
12006,"Kings--Hants/Kings--Hants"," 175","Micmac",53,22,5,4,4,1,89,188
12006,"Kings--Hants/Kings--Hants"," 176","Micmac",110,61,4,11,6,0,192,453
12006,"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",49,7,1,0,31,0,88,176
12006,"Kings--Hants/Kings--Hants"," 501","Mobile poll/Bureau itinérant",43,9,3,3,29,1,88,194
12006,"Kings--Hants/Kings--Hants"," 502","Mobile poll/Bureau itinérant",61,7,3,2,42,4,119,167
12006,"Kings--Hants/Kings--Hants"," 600","Canning",72,15,2,15,29,0,133,
12006,"Kings--Hants/Kings--Hants"," 601","Centreville",123,46,2,19,100,0,290,
12006,"Kings--Hants/Kings--Hants"," 602","Kentville",40,19,0,6,42,0,107,
12006,"Kings--Hants/Kings--Hants"," 603","Kentville",161,40,2,9,120,0,332,
12006,"Kings--Hants/Kings--Hants"," 604","New Minas",159,45,2,21,133,1,361,
12006,"Kings--Hants/Kings--Hants"," 605","Wolfville",87,30,1,6,44,0,168,
12006,"Kings--Hants/Kings--Hants"," 606","Wolfville",98,30,2,15,30,0,175,
12006,"Kings--Hants/Kings--Hants"," 607","Hantsport",81,11,0,10,39,1,142,
12006,"Kings--Hants/Kings--Hants"," 608","Windsor",146,30,1,13,82,2,274,
12006,"Kings--Hants/Kings--Hants"," 609","Windsor",129,15,4,11,58,1,218,
12006,"Kings--Hants/Kings--Hants"," 610","Summerville",74,13,1,6,44,1,139,
12006,"Kings--Hants/Kings--Hants"," 611","Mount Uniacke",73,52,1,2,55,0,183,
12006,"Kings--Hants/Kings--Hants"," 612","Kennetcook",47,27,0,2,31,0,107,
12006,"Kings--Hants/Kings--Hants"," 613","Elmsdale",95,30,7,8,56,1,197,
12006,"Kings--Hants/Kings--Hants"," 614","Elmsdale",80,56,7,5,68,1,217,
12006,"Kings--Hants/Kings--Hants",,Group 1/Groupe 1,70,25,1,10,113,4,223,545
12006,"Kings--Hants/Kings--Hants",,Group 2/Groupe 2,242,60,5,18,117,16,458,

